name,onset,offset,duration
saccade,1040,1080,40
saccade,1420,1480,60
saccade,1700,1760,60
saccade,1960,2020,60
saccade,2300,2360,60
saccade,2460,2520,60
saccade,2560,2580,20
saccade,2820,2860,40
saccade,2960,3020,60
saccade,3240,3360,120
saccade,3620,3660,40
saccade,4120,4200,80
saccade,4700,4760,60
saccade,5020,5100,80
saccade,5340,5400,60
saccade,5660,5680,20
saccade,5840,5940,100
saccade,6280,6380,100
saccade,6440,6460,20
saccade,6500,6520,20
saccade,6840,6900,60
saccade,6980,7220,240
saccade,7320,7340,20
saccade,7380,7400,20
saccade,7600,7620,20
saccade,8000,8060,60
saccade,8140,8200,60
saccade,8320,8400,80
saccade,8500,8540,40
saccade,8860,8900,40
saccade,9020,9060,40
saccade,9340,9400,60
saccade,9800,9820,20
saccade,10180,10300,120
saccade,10440,10480,40
saccade,10780,10800,20
saccade,11060,11140,80
saccade,11540,11600,60
saccade,11760,11820,60
saccade,12220,12300,80
saccade,12480,12540,60
saccade,12760,12780,20
saccade,12860,12880,20
saccade,12920,13000,80
saccade,13180,13200,20
saccade,13240,13260,20
saccade,13360,13400,40
saccade,13860,13980,120
saccade,14080,14120,40
saccade,14940,14980,40
saccade,15140,15220,80
saccade,15260,15300,40
saccade,15560,15640,80
saccade,15920,15980,60
saccade,16140,16200,60
saccade,16700,16820,120
saccade,17080,17140,60
saccade,17680,17760,80
saccade,17920,18000,80
saccade,18100,18120,20
saccade,18440,18500,60
saccade,18820,18880,60
saccade,19080,19160,80
saccade,19340,19380,40
saccade,19680,19760,80
saccade,19900,19960,60
saccade,20700,20740,40
saccade,20780,20800,20
saccade,20840,20860,20
saccade,21100,21140,40
saccade,21260,21320,60
saccade,21480,21540,60
saccade,21880,21940,60
saccade,22740,22760,20
saccade,23320,23420,100
saccade,23800,23860,60
saccade,24200,24280,80
saccade,24680,24740,60
saccade,25040,25100,60
saccade,25860,25940,80
saccade,26020,26080,60
saccade,26160,26200,40
saccade,26300,26320,20
saccade,26360,26380,20
saccade,26420,26480,60
saccade,26600,26620,20
saccade,26660,26680,20
saccade,26780,26880,100
saccade,26980,27040,60
saccade,27320,27400,80
saccade,27620,27700,80
saccade,27860,27920,60
saccade,28240,28320,80
saccade,28680,28760,80
saccade,29060,29120,60
saccade,29400,29460,60
saccade,29600,29680,80
saccade,30240,30320,80
saccade,30440,30520,80
saccade,30920,30940,20
saccade,31240,31300,60
saccade,32120,32260,140
saccade,32300,32420,120
saccade,32460,32540,80
saccade,32720,32740,20
saccade,32800,33060,260
saccade,33100,33320,220
saccade,33400,33800,400
saccade,34000,34060,60
saccade,34140,34300,160
saccade,34500,34820,320
saccade,34900,35000,100
saccade,35140,35220,80
saccade,35420,35560,140
saccade,35720,35860,140
saccade,36100,36240,140
saccade,36440,36480,40
saccade,36520,36820,300
saccade,37060,37220,160
saccade,37340,37400,60
saccade,37540,37620,80
saccade,37740,38040,300
saccade,38120,38140,20
saccade,38200,38320,120
saccade,38680,38760,80
saccade,39420,39480,60
saccade,39820,39900,80
fixation.ivt,40,280,240
fixation.ivt,340,1020,680
fixation.ivt,1100,1400,300
fixation.ivt,1500,1680,180
fixation.ivt,1780,1940,160
fixation.ivt,2040,2280,240
fixation.ivt,2600,2800,200
fixation.ivt,3040,3220,180
fixation.ivt,3380,3600,220
fixation.ivt,3680,4100,420
fixation.ivt,4220,4680,460
fixation.ivt,4780,5000,220
fixation.ivt,5120,5320,200
fixation.ivt,5420,5640,220
fixation.ivt,5700,5820,120
fixation.ivt,5960,6240,280
fixation.ivt,6540,6820,280
fixation.ivt,7420,7580,160
fixation.ivt,7640,7980,340
fixation.ivt,8560,8840,280
fixation.ivt,9080,9320,240
fixation.ivt,9420,9780,360
fixation.ivt,9840,10000,160
fixation.ivt,10320,10420,100
fixation.ivt,10520,10760,240
fixation.ivt,10820,11040,220
fixation.ivt,11160,11520,360
fixation.ivt,11620,11740,120
fixation.ivt,11840,12080,240
fixation.ivt,12320,12460,140
fixation.ivt,12560,12720,160
fixation.ivt,13020,13160,140
fixation.ivt,13420,13840,420
fixation.ivt,14200,14940,740
fixation.ivt,14980,15120,140
fixation.ivt,15300,15540,240
fixation.ivt,15660,15900,240
fixation.ivt,16000,16120,120
fixation.ivt,16200,16660,460
fixation.ivt,16880,17060,180
fixation.ivt,17160,17320,160
fixation.ivt,17360,17660,300
fixation.ivt,17780,17900,120
fixation.ivt,18140,18420,280
fixation.ivt,18520,18800,280
fixation.ivt,18900,19060,160
fixation.ivt,19180,19320,140
fixation.ivt,19400,19660,260
fixation.ivt,19980,20300,320
fixation.ivt,20340,20680,340
fixation.ivt,20880,21080,200
fixation.ivt,21560,21860,300
fixation.ivt,21960,22720,760
fixation.ivt,22780,22960,180
fixation.ivt,23000,23300,300
fixation.ivt,23440,23780,340
fixation.ivt,23880,24200,320
fixation.ivt,24300,24660,360
fixation.ivt,24760,25020,260
fixation.ivt,25120,25720,600
fixation.ivt,27060,27300,240
fixation.ivt,27420,27620,200
fixation.ivt,27720,27840,120
fixation.ivt,27940,28220,280
fixation.ivt,28340,28660,320
fixation.ivt,28780,29040,260
fixation.ivt,29140,29380,240
fixation.ivt,29480,29580,100
fixation.ivt,29700,30220,520
fixation.ivt,30540,30900,360
fixation.ivt,30960,31220,260
fixation.ivt,31320,31540,220
fixation.ivt,31600,32080,480
fixation.ivt,33840,33960,120
fixation.ivt,34320,34480,160
fixation.ivt,35020,35120,100
fixation.ivt,35240,35400,160
fixation.ivt,35600,35700,100
fixation.ivt,35900,36080,180
fixation.ivt,36240,36420,180
fixation.ivt,36860,37040,180
fixation.ivt,37420,37520,100
fixation.ivt,38440,38660,220
fixation.ivt,38780,39020,240
fixation.ivt,39160,39400,240
fixation.ivt,39500,39800,300
fixation.ivt,40,280,240
fixation.ivt,340,1020,680
fixation.ivt,1100,1400,300
fixation.ivt,1500,1680,180
fixation.ivt,1780,1940,160
fixation.ivt,2040,2280,240
fixation.ivt,2600,2800,200
fixation.ivt,3040,3220,180
fixation.ivt,3380,3600,220
fixation.ivt,3680,4100,420
fixation.ivt,4220,4680,460
fixation.ivt,4780,5000,220
fixation.ivt,5120,5320,200
fixation.ivt,5420,5640,220
fixation.ivt,5700,5820,120
fixation.ivt,5960,6240,280
fixation.ivt,6540,6820,280
fixation.ivt,7420,7580,160
fixation.ivt,7640,7980,340
fixation.ivt,8560,8840,280
fixation.ivt,9080,9320,240
fixation.ivt,9420,9780,360
fixation.ivt,9840,10000,160
fixation.ivt,10320,10420,100
fixation.ivt,10520,10760,240
fixation.ivt,10820,11040,220
fixation.ivt,11160,11520,360
fixation.ivt,11620,11740,120
fixation.ivt,11840,12080,240
fixation.ivt,12320,12460,140
fixation.ivt,12560,12720,160
fixation.ivt,13020,13160,140
fixation.ivt,13420,13840,420
fixation.ivt,14200,14940,740
fixation.ivt,14980,15120,140
fixation.ivt,15300,15540,240
fixation.ivt,15660,15900,240
fixation.ivt,16000,16120,120
fixation.ivt,16200,16660,460
fixation.ivt,16880,17060,180
fixation.ivt,17160,17320,160
fixation.ivt,17360,17660,300
fixation.ivt,17780,17900,120
fixation.ivt,18140,18420,280
fixation.ivt,18520,18800,280
fixation.ivt,18900,19060,160
fixation.ivt,19180,19320,140
fixation.ivt,19400,19660,260
fixation.ivt,19980,20300,320
fixation.ivt,20340,20680,340
fixation.ivt,20880,21080,200
fixation.ivt,21560,21860,300
fixation.ivt,21960,22720,760
fixation.ivt,22780,22960,180
fixation.ivt,23000,23300,300
fixation.ivt,23440,23780,340
fixation.ivt,23880,24200,320
fixation.ivt,24300,24660,360
fixation.ivt,24760,25020,260
fixation.ivt,25120,25720,600
fixation.ivt,27060,27300,240
fixation.ivt,27420,27620,200
fixation.ivt,27720,27840,120
fixation.ivt,27940,28220,280
fixation.ivt,28340,28660,320
fixation.ivt,28780,29040,260
fixation.ivt,29140,29380,240
fixation.ivt,29480,29580,100
fixation.ivt,29700,30220,520
fixation.ivt,30540,30900,360
fixation.ivt,30960,31220,260
fixation.ivt,31320,31540,220
fixation.ivt,31600,32080,480
fixation.ivt,33840,33960,120
fixation.ivt,34320,34480,160
fixation.ivt,35020,35120,100
fixation.ivt,35240,35400,160
fixation.ivt,35600,35700,100
fixation.ivt,35900,36080,180
fixation.ivt,36240,36420,180
fixation.ivt,36860,37040,180
fixation.ivt,37420,37520,100
fixation.ivt,38440,38660,220
fixation.ivt,38780,39020,240
fixation.ivt,39160,39400,240
fixation.ivt,39500,39800,300
fixation.ivt,40,280,240
fixation.ivt,340,1020,680
fixation.ivt,1100,1400,300
fixation.ivt,1500,1680,180
fixation.ivt,1780,1940,160
fixation.ivt,2040,2280,240
fixation.ivt,2600,2800,200
fixation.ivt,3040,3220,180
fixation.ivt,3380,3600,220
fixation.ivt,3680,4100,420
fixation.ivt,4220,4680,460
fixation.ivt,4780,5000,220
fixation.ivt,5120,5320,200
fixation.ivt,5420,5640,220
fixation.ivt,5700,5820,120
fixation.ivt,5960,6240,280
fixation.ivt,6540,6820,280
fixation.ivt,7420,7580,160
fixation.ivt,7640,7980,340
fixation.ivt,8560,8840,280
fixation.ivt,9080,9320,240
fixation.ivt,9420,9780,360
fixation.ivt,9840,10000,160
fixation.ivt,10320,10420,100
fixation.ivt,10520,10760,240
fixation.ivt,10820,11040,220
fixation.ivt,11160,11520,360
fixation.ivt,11620,11740,120
fixation.ivt,11840,12080,240
fixation.ivt,12320,12460,140
fixation.ivt,12560,12720,160
fixation.ivt,13020,13160,140
fixation.ivt,13420,13840,420
fixation.ivt,14200,14940,740
fixation.ivt,14980,15120,140
fixation.ivt,15300,15540,240
fixation.ivt,15660,15900,240
fixation.ivt,16000,16120,120
fixation.ivt,16200,16660,460
fixation.ivt,16880,17060,180
fixation.ivt,17160,17320,160
fixation.ivt,17360,17660,300
fixation.ivt,17780,17900,120
fixation.ivt,18140,18420,280
fixation.ivt,18520,18800,280
fixation.ivt,18900,19060,160
fixation.ivt,19180,19320,140
fixation.ivt,19400,19660,260
fixation.ivt,19980,20300,320
fixation.ivt,20340,20680,340
fixation.ivt,20880,21080,200
fixation.ivt,21560,21860,300
fixation.ivt,21960,22720,760
fixation.ivt,22780,22960,180
fixation.ivt,23000,23300,300
fixation.ivt,23440,23780,340
fixation.ivt,23880,24200,320
fixation.ivt,24300,24660,360
fixation.ivt,24760,25020,260
fixation.ivt,25120,25720,600
fixation.ivt,27060,27300,240
fixation.ivt,27420,27620,200
fixation.ivt,27720,27840,120
fixation.ivt,27940,28220,280
fixation.ivt,28340,28660,320
fixation.ivt,28780,29040,260
fixation.ivt,29140,29380,240
fixation.ivt,29480,29580,100
fixation.ivt,29700,30220,520
fixation.ivt,30540,30900,360
fixation.ivt,30960,31220,260
fixation.ivt,31320,31540,220
fixation.ivt,31600,32080,480
fixation.ivt,33840,33960,120
fixation.ivt,34320,34480,160
fixation.ivt,35020,35120,100
fixation.ivt,35240,35400,160
fixation.ivt,35600,35700,100
fixation.ivt,35900,36080,180
fixation.ivt,36240,36420,180
fixation.ivt,36860,37040,180
fixation.ivt,37420,37520,100
fixation.ivt,38440,38660,220
fixation.ivt,38780,39020,240
fixation.ivt,39160,39400,240
fixation.ivt,39500,39800,300
fixation.ivt,40,280,240
fixation.ivt,340,1020,680
fixation.ivt,1100,1400,300
fixation.ivt,1500,1680,180
fixation.ivt,1780,1940,160
fixation.ivt,2040,2280,240
fixation.ivt,2600,2800,200
fixation.ivt,3040,3220,180
fixation.ivt,3380,3600,220
fixation.ivt,3680,4100,420
fixation.ivt,4220,4680,460
fixation.ivt,4780,5000,220
fixation.ivt,5120,5320,200
fixation.ivt,5420,5640,220
fixation.ivt,5700,5820,120
fixation.ivt,5960,6240,280
fixation.ivt,6540,6820,280
fixation.ivt,7420,7580,160
fixation.ivt,7640,7980,340
fixation.ivt,8560,8840,280
fixation.ivt,9080,9320,240
fixation.ivt,9420,9780,360
fixation.ivt,9840,10000,160
fixation.ivt,10320,10420,100
fixation.ivt,10520,10760,240
fixation.ivt,10820,11040,220
fixation.ivt,11160,11520,360
fixation.ivt,11620,11740,120
fixation.ivt,11840,12080,240
fixation.ivt,12320,12460,140
fixation.ivt,12560,12720,160
fixation.ivt,13020,13160,140
fixation.ivt,13420,13840,420
fixation.ivt,14200,14940,740
fixation.ivt,14980,15120,140
fixation.ivt,15300,15540,240
fixation.ivt,15660,15900,240
fixation.ivt,16000,16120,120
fixation.ivt,16200,16660,460
fixation.ivt,16880,17060,180
fixation.ivt,17160,17320,160
fixation.ivt,17360,17660,300
fixation.ivt,17780,17900,120
fixation.ivt,18140,18420,280
fixation.ivt,18520,18800,280
fixation.ivt,18900,19060,160
fixation.ivt,19180,19320,140
fixation.ivt,19400,19660,260
fixation.ivt,19980,20300,320
fixation.ivt,20340,20680,340
fixation.ivt,20880,21080,200
fixation.ivt,21560,21860,300
fixation.ivt,21960,22720,760
fixation.ivt,22780,22960,180
fixation.ivt,23000,23300,300
fixation.ivt,23440,23780,340
fixation.ivt,23880,24200,320
fixation.ivt,24300,24660,360
fixation.ivt,24760,25020,260
fixation.ivt,25120,25720,600
fixation.ivt,27060,27300,240
fixation.ivt,27420,27620,200
fixation.ivt,27720,27840,120
fixation.ivt,27940,28220,280
fixation.ivt,28340,28660,320
fixation.ivt,28780,29040,260
fixation.ivt,29140,29380,240
fixation.ivt,29480,29580,100
fixation.ivt,29700,30220,520
fixation.ivt,30540,30900,360
fixation.ivt,30960,31220,260
fixation.ivt,31320,31540,220
fixation.ivt,31600,32080,480
fixation.ivt,33840,33960,120
fixation.ivt,34320,34480,160
fixation.ivt,35020,35120,100
fixation.ivt,35240,35400,160
fixation.ivt,35600,35700,100
fixation.ivt,35900,36080,180
fixation.ivt,36240,36420,180
fixation.ivt,36860,37040,180
fixation.ivt,37420,37520,100
fixation.ivt,38440,38660,220
fixation.ivt,38780,39020,240
fixation.ivt,39160,39400,240
fixation.ivt,39500,39800,300
fixation.ivt,40,280,240
fixation.ivt,340,1020,680
fixation.ivt,1100,1400,300
