name,onset,offset,duration
saccade,1260,1360,100
saccade,1820,1900,80
saccade,1940,1960,20
saccade,2160,2220,60
saccade,2480,2560,80
saccade,3060,3120,60
saccade,3180,3200,20
saccade,3240,3300,60
saccade,3560,3620,60
saccade,3840,3920,80
saccade,4040,4060,20
saccade,4100,4120,20
saccade,4420,4480,60
saccade,4700,4760,60
saccade,5480,5520,40
saccade,5660,5680,20
saccade,5980,6040,60
saccade,6200,6240,40
saccade,7640,7740,100
saccade,7900,7980,80
saccade,8140,8260,120
saccade,8460,8540,80
saccade,8980,9040,60
saccade,9580,9660,80
saccade,9900,9960,60
saccade,10040,10160,120
saccade,10380,10400,20
saccade,10540,10560,20
saccade,10600,10620,20
saccade,10920,10940,20
saccade,11140,11200,60
saccade,11840,11860,20
saccade,11900,12020,120
saccade,12700,12760,60
saccade,13020,13080,60
saccade,13320,13380,60
saccade,13580,13660,80
saccade,13860,13940,80
saccade,14460,14560,100
saccade,14900,14960,60
saccade,15040,15100,60
saccade,15160,15220,60
saccade,15540,15600,60
saccade,15760,15780,20
saccade,15820,15880,60
saccade,16140,16160,20
saccade,17060,17120,60
saccade,17340,17400,60
saccade,18060,18120,60
saccade,18720,18740,20
saccade,20000,20040,40
saccade,20200,20240,40
saccade,20440,20520,80
saccade,20780,20860,80
saccade,21000,21080,80
saccade,21540,21620,80
saccade,21920,21960,40
saccade,22320,22400,80
saccade,23240,23300,60
saccade,23500,23520,20
saccade,23780,23820,40
saccade,24020,24080,60
saccade,24280,24300,20
saccade,25180,25200,20
saccade,25760,25780,20
saccade,26040,26060,20
saccade,26380,26440,60
saccade,26680,26720,40
saccade,26880,26920,40
saccade,27460,27520,60
saccade,27780,27860,80
saccade,28000,28120,120
saccade,28220,28300,80
saccade,28560,28600,40
saccade,28960,29020,60
saccade,29380,29400,20
saccade,29440,29460,20
saccade,29720,29820,100
saccade,30800,30860,60
saccade,30900,30960,60
saccade,31000,31020,20
saccade,31180,31200,20
saccade,32300,32320,20
saccade,32520,32560,40
saccade,33280,33340,60
saccade,33940,33960,20
saccade,34300,34320,20
saccade,34360,34500,140
saccade,34660,34740,80
saccade,34920,34960,40
saccade,35260,35280,20
saccade,35500,35540,40
saccade,35820,35900,80
saccade,36000,36060,60
saccade,36400,36440,40
saccade,36720,36780,60
saccade,37000,37060,60
saccade,37200,37260,60
saccade,37380,37400,20
saccade,37440,37500,60
saccade,37780,37840,60
saccade,38080,38100,20
saccade,38320,38340,20
saccade,38860,38900,40
saccade,39120,39180,60
saccade,39620,39640,20
fixation.ivt,40,1260,1220
fixation.ivt,1380,1800,420
fixation.ivt,1980,2140,160
fixation.ivt,2220,2480,260
fixation.ivt,2560,3040,480
fixation.ivt,3320,3540,220
fixation.ivt,3640,3820,180
fixation.ivt,4140,4420,280
fixation.ivt,4480,4680,200
fixation.ivt,4780,5640,860
