name,onset,offset,duration
saccade,40,100,60
saccade,340,400,60
saccade,640,700,60
saccade,1480,1520,40
saccade,1800,1860,60
saccade,2060,2140,80
saccade,2340,2420,80
saccade,2520,2600,80
saccade,3260,3320,60
saccade,3620,3680,60
saccade,3900,3960,60
saccade,4140,4180,40
saccade,4360,4420,60
saccade,4540,4620,80
saccade,5120,5140,20
saccade,5340,5400,60
saccade,5580,5640,60
saccade,5780,5840,60
saccade,6020,6080,60
saccade,6380,6460,80
saccade,6900,6920,20
saccade,7120,7180,60
saccade,7300,7340,40
saccade,7540,7580,40
saccade,7820,7900,80
saccade,8220,8240,20
saccade,8500,8540,40
saccade,8780,8840,60
saccade,9100,9160,60
saccade,9360,9420,60
saccade,9580,9620,40
saccade,9780,9840,60
saccade,10000,10060,60
saccade,10160,10240,80
saccade,10600,10660,60
saccade,10840,10880,40
saccade,11100,11180,80
saccade,11460,11520,60
saccade,11660,11740,80
saccade,12180,12240,60
saccade,12340,12400,60
saccade,12520,12580,60
saccade,12800,12880,80
saccade,13020,13380,360
saccade,13540,13600,60
saccade,13720,13880,160
saccade,14020,14080,60
saccade,14280,14300,20
saccade,14460,14540,80
saccade,14740,14760,20
saccade,14820,14880,60
saccade,15120,15220,100
saccade,15560,15640,80
saccade,15700,15720,20
saccade,15760,15780,20
saccade,16020,16100,80
saccade,16140,16160,20
saccade,16300,16380,80
saccade,16500,16700,200
saccade,16940,17100,160
saccade,17200,17240,40
saccade,17740,17800,60
saccade,17920,18000,80
saccade,18700,19100,400
saccade,19340,19420,80
saccade,19480,19540,60
saccade,19580,19800,220
saccade,20020,20100,80
saccade,20720,20860,140
saccade,21180,21260,80
saccade,21620,21660,40
saccade,22300,22580,280
saccade,22780,22840,60
saccade,23180,23260,80
saccade,23560,23620,60
saccade,23720,24460,740
saccade,24540,24580,40
saccade,24740,24940,200
fixation.ivt,120,300,180
fixation.ivt,420,600,180
fixation.ivt,740,1460,720
fixation.ivt,1540,1780,240
fixation.ivt,1900,2040,140
fixation.ivt,2200,2320,120
fixation.ivt,2640,3240,600
fixation.ivt,3340,3580,240
fixation.ivt,3700,3880,180
fixation.ivt,3980,4120,140
fixation.ivt,4200,4340,140
fixation.ivt,4700,4900,200
fixation.ivt,4960,5080,120
fixation.ivt,5160,5320,160
fixation.ivt,5420,5560,140
fixation.ivt,5660,5760,100
fixation.ivt,5860,6000,140
fixation.ivt,6100,6360,260
fixation.ivt,6540,6880,340
fixation.ivt,6940,7080,140
fixation.ivt,7380,7500,120
fixation.ivt,7620,7800,180
fixation.ivt,7920,8200,280
fixation.ivt,8280,8480,200
fixation.ivt,8560,8760,200
fixation.ivt,8860,9080,220
fixation.ivt,9180,9340,160
fixation.ivt,9460,9560,100
fixation.ivt,9640,9760,120
fixation.ivt,9860,9980,120
fixation.ivt,10260,10580,320
fixation.ivt,10680,10820,140
fixation.ivt,10920,11080,160
fixation.ivt,11200,11440,240
fixation.ivt,11540,11640,100
fixation.ivt,11760,11960,200
fixation.ivt,12040,12160,120
fixation.ivt,12600,12780,180
fixation.ivt,12900,13000,100
fixation.ivt,13900,14000,100
fixation.ivt,14100,14260,160
fixation.ivt,14340,14440,100
fixation.ivt,14560,14720,160
fixation.ivt,14900,15100,200
fixation.ivt,15280,15540,260
fixation.ivt,15800,16000,200
fixation.ivt,16740,16920,180
fixation.ivt,17260,17720,460
fixation.ivt,18020,18680,660
fixation.ivt,19140,19240,100
fixation.ivt,20140,20500,360
fixation.ivt,20880,21160,280
fixation.ivt,21280,21580,300
fixation.ivt,21700,22260,560
fixation.ivt,22860,22960,100
fixation.ivt,23020,23160,140
fixation.ivt,23280,23540,260
fixation.ivt,24620,24720,100
fixation.ivt,120,300,180
fixation.ivt,420,600,180
fixation.ivt,740,1460,720
fixation.ivt,1540,1780,240
fixation.ivt,1900,2040,140
fixation.ivt,2200,2320,120
fixation.ivt,2640,3240,600
fixation.ivt,3340,3580,240
fixation.ivt,3700,3880,180
fixation.ivt,3980,4120,140
fixation.ivt,4200,4340,140
fixation.ivt,4700,4900,200
fixation.ivt,4960,5080,120
fixation.ivt,5160,5320,160
fixation.ivt,5420,5560,140
fixation.ivt,5660,5760,100
fixation.ivt,5860,6000,140
fixation.ivt,6100,6360,260
fixation.ivt,6540,6880,340
fixation.ivt,6940,7080,140
fixation.ivt,7380,7500,120
fixation.ivt,7620,7800,180
fixation.ivt,7920,8200,280
fixation.ivt,8280,8480,200
fixation.ivt,8560,8760,200
fixation.ivt,8860,9080,220
fixation.ivt,9180,9340,160
fixation.ivt,9460,9560,100
fixation.ivt,9640,9760,120
fixation.ivt,9860,9980,120
fixation.ivt,10260,10580,320
fixation.ivt,10680,10820,140
fixation.ivt,10920,11080,160
fixation.ivt,11200,11440,240
fixation.ivt,11540,11640,100
fixation.ivt,11760,11960,200
fixation.ivt,12040,12160,120
fixation.ivt,12600,12780,180
fixation.ivt,12900,13000,100
fixation.ivt,13900,14000,100
fixation.ivt,14100,14260,160
fixation.ivt,14340,14440,100
fixation.ivt,14560,14720,160
fixation.ivt,14900,15100,200
fixation.ivt,15280,15540,260
fixation.ivt,15800,16000,200
fixation.ivt,16740,16920,180
fixation.ivt,17260,17720,460
fixation.ivt,18020,18680,660
fixation.ivt,19140,19240,100
fixation.ivt,20140,20500,360
fixation.ivt,20880,21160,280
fixation.ivt,21280,21580,300
fixation.ivt,21700,22260,560
fixation.ivt,22860,22960,100
fixation.ivt,23020,23160,140
fixation.ivt,23280,23540,260
fixation.ivt,24620,24720,100
fixation.ivt,120,300,180
fixation.ivt,420,600,180
fixation.ivt,740,1460,720
fixation.ivt,1540,1780,240
fixation.ivt,1900,2040,140
fixation.ivt,2200,2320,120
fixation.ivt,2640,3240,600
fixation.ivt,3340,3580,240
fixation.ivt,3700,3880,180
fixation.ivt,3980,4120,140
fixation.ivt,4200,4340,140
fixation.ivt,4700,4900,200
fixation.ivt,4960,5080,120
fixation.ivt,5160,5320,160
fixation.ivt,5420,5560,140
fixation.ivt,5660,5760,100
fixation.ivt,5860,6000,140
fixation.ivt,6100,6360,260
fixation.ivt,6540,6880,340
fixation.ivt,6940,7080,140
fixation.ivt,7380,7500,120
fixation.ivt,7620,7800,180
fixation.ivt,7920,8200,280
fixation.ivt,8280,8480,200
fixation.ivt,8560,8760,200
fixation.ivt,8860,9080,220
