name,onset,offset,duration
saccade,460,500,40
saccade,720,760,40
saccade,1040,1080,40
saccade,1260,1280,20
saccade,1460,1500,40
saccade,1880,1960,80
saccade,2280,2300,20
saccade,2440,2480,40
saccade,2640,2700,60
saccade,2760,2800,40
saccade,2920,2940,20
saccade,2980,3000,20
saccade,3120,3200,80
saccade,3500,3540,40
saccade,3680,3740,60
saccade,4080,4120,40
saccade,4260,4300,40
saccade,4680,4760,80
saccade,5040,5060,20
saccade,5240,5280,40
saccade,5500,5560,60
saccade,5720,5780,60
saccade,5900,5920,20
saccade,5960,5980,20
saccade,6080,6140,60
saccade,6480,6500,20
saccade,6640,6720,80
saccade,7040,7080,40
saccade,7240,7280,40
saccade,7520,7560,40
saccade,7760,7820,60
saccade,7960,8000,40
saccade,8360,8440,80
saccade,8840,8900,60
saccade,9100,9160,60
saccade,9360,9400,40
saccade,9740,9780,40
saccade,9940,9960,20
saccade,10120,10140,20
saccade,10480,10520,40
saccade,10700,10760,60
saccade,11040,11080,40
saccade,11280,11320,40
saccade,11720,11780,60
saccade,11960,12020,60
saccade,12220,12260,40
saccade,12480,12520,40
saccade,12900,12920,20
saccade,13100,13140,40
saccade,13300,13380,80
saccade,13520,13560,40
saccade,14140,14180,40
saccade,14320,14360,40
saccade,14640,14700,60
saccade,14960,15020,60
saccade,15220,15280,60
saccade,15580,15620,40
saccade,15760,15820,60
saccade,15940,15960,20
saccade,16100,16140,40
saccade,16340,16380,40
saccade,16580,16620,40
saccade,16880,16940,60
saccade,17280,17340,60
saccade,18080,18180,100
saccade,18280,18440,160
saccade,19100,19280,180
saccade,19340,19440,100
saccade,19520,19580,60
saccade,19620,19880,260
saccade,19920,20000,80
saccade,20320,20780,460
saccade,21240,21540,300
saccade,21780,21880,100
saccade,21920,22020,100
saccade,22060,22200,140
saccade,22860,23120,260
saccade,23260,23280,20
saccade,23380,23760,380
saccade,23880,23960,80
saccade,24000,24280,280
saccade,24460,24540,80
saccade,24640,24940,300
saccade,24980,25020,40
saccade,25080,25140,60
saccade,25520,25840,320
saccade,25880,25900,20
saccade,26160,26420,260
saccade,26480,26560,80
saccade,26900,26960,60
saccade,27260,27340,80
saccade,27600,27880,280
saccade,27940,28020,80
saccade,28260,28340,80
saccade,28740,28840,100
saccade,29160,29240,80
saccade,29460,29540,80
saccade,29760,29860,100
saccade,30060,30100,40
saccade,30460,30660,200
saccade,30760,30820,60
saccade,31080,31140,60
saccade,31440,31520,80
saccade,31700,31780,80
saccade,32120,32460,340
saccade,32520,32600,80
saccade,32840,32960,120
saccade,33160,33240,80
saccade,33400,33480,80
saccade,34220,34380,160
saccade,34580,34660,80
saccade,34900,35260,360
saccade,35760,35820,60
saccade,36120,36180,60
saccade,36460,36580,120
