name,onset,offset,duration
saccade,440,480,40
saccade,640,700,60
saccade,1000,1020,20
saccade,1460,1480,20
saccade,1700,1780,80
saccade,2000,2040,40
saccade,2240,2280,40
saccade,2720,2760,40
saccade,3260,3340,80
saccade,3460,3480,20
saccade,3620,3640,20
saccade,3760,3820,60
saccade,4000,4020,20
saccade,4240,4260,20
saccade,4520,4580,60
saccade,4920,4960,40
saccade,5040,5060,20
saccade,5100,5120,20
saccade,5180,5220,40
saccade,5820,5880,60
saccade,6320,6340,20
saccade,6560,6600,40
saccade,6880,6920,40
saccade,7080,7140,60
saccade,7300,7360,60
saccade,7740,7780,40
saccade,8300,8340,40
saccade,8960,9020,60
saccade,9440,9480,40
saccade,9620,9660,40
saccade,9740,9760,20
saccade,9800,9820,20
saccade,9940,9960,20
saccade,10100,10180,80
saccade,10600,10620,20
saccade,10960,10980,20
saccade,11100,11160,60
saccade,11420,11440,20
saccade,11520,11600,80
saccade,11920,11940,20
saccade,12000,12040,40
saccade,12340,12440,100
saccade,12740,12780,40
saccade,13220,13260,40
saccade,13440,13480,40
saccade,14300,14420,120
saccade,14460,14480,20
saccade,14820,14880,60
saccade,15940,15980,40
saccade,16400,16460,60
saccade,16680,16740,60
saccade,16800,16860,60
saccade,16980,17140,160
saccade,17300,17380,80
saccade,17580,17640,60
saccade,18020,18100,80
saccade,18140,18180,40
saccade,18260,18440,180
saccade,18720,18780,60
saccade,18840,18920,80
saccade,19040,19140,100
saccade,19340,19400,60
saccade,19520,19640,120
saccade,19960,19980,20
saccade,20200,20260,60
saccade,20580,20700,120
saccade,20800,20840,40
saccade,21040,21080,40
saccade,21180,21260,80
saccade,21640,21720,80
saccade,21880,22040,160
saccade,22160,22300,140
saccade,22340,22400,60
saccade,22640,22700,60
saccade,22840,22920,80
saccade,23120,23200,80
saccade,23420,23500,80
saccade,23820,23880,60
saccade,24100,24180,80
saccade,24320,24400,80
saccade,24740,24780,40
saccade,25000,25060,60
saccade,25160,25480,320
saccade,25580,25760,180
saccade,25940,26280,340
saccade,26400,26460,60
saccade,26660,26760,100
saccade,26900,27000,100
saccade,27160,27280,120
saccade,27440,27520,80
saccade,27860,27940,80
saccade,27980,28060,80
saccade,28300,28520,220
saccade,28900,28980,80
saccade,29280,29320,40
saccade,29400,29500,100
saccade,29740,29940,200
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
fixation.ivt,13500,13600,100
fixation.ivt,13780,14280,500
fixation.ivt,14500,14800,300
fixation.ivt,14920,15900,980
fixation.ivt,16020,16380,360
fixation.ivt,16500,16660,160
fixation.ivt,17420,17540,120
fixation.ivt,17660,17940,280
fixation.ivt,20020,20180,160
fixation.ivt,20880,21000,120
fixation.ivt,21300,21600,300
fixation.ivt,21760,21860,100
fixation.ivt,22720,22820,100
fixation.ivt,22980,23080,100
fixation.ivt,23260,23400,140
fixation.ivt,23680,23800,120
fixation.ivt,23900,24060,160
fixation.ivt,26500,26620,120
fixation.ivt,27580,27680,100
fixation.ivt,28680,28860,180
fixation.ivt,29000,29120,120
fixation.ivt,29520,29700,180
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
fixation.ivt,13500,13600,100
fixation.ivt,13780,14280,500
fixation.ivt,14500,14800,300
fixation.ivt,14920,15900,980
fixation.ivt,16020,16380,360
fixation.ivt,16500,16660,160
fixation.ivt,17420,17540,120
fixation.ivt,17660,17940,280
fixation.ivt,20020,20180,160
fixation.ivt,20880,21000,120
fixation.ivt,21300,21600,300
fixation.ivt,21760,21860,100
fixation.ivt,22720,22820,100
fixation.ivt,22980,23080,100
fixation.ivt,23260,23400,140
fixation.ivt,23680,23800,120
fixation.ivt,23900,24060,160
fixation.ivt,26500,26620,120
fixation.ivt,27580,27680,100
fixation.ivt,28680,28860,180
fixation.ivt,29000,29120,120
fixation.ivt,29520,29700,180
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
fixation.ivt,13500,13600,100
fixation.ivt,13780,14280,500
fixation.ivt,14500,14800,300
fixation.ivt,14920,15900,980
fixation.ivt,16020,16380,360
fixation.ivt,16500,16660,160
fixation.ivt,17420,17540,120
fixation.ivt,17660,17940,280
fixation.ivt,20020,20180,160
fixation.ivt,20880,21000,120
fixation.ivt,21300,21600,300
fixation.ivt,21760,21860,100
fixation.ivt,22720,22820,100
fixation.ivt,22980,23080,100
fixation.ivt,23260,23400,140
fixation.ivt,23680,23800,120
fixation.ivt,23900,24060,160
fixation.ivt,26500,26620,120
fixation.ivt,27580,27680,100
fixation.ivt,28680,28860,180
fixation.ivt,29000,29120,120
fixation.ivt,29520,29700,180
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
fixation.ivt,13500,13600,100
fixation.ivt,13780,14280,500
fixation.ivt,14500,14800,300
fixation.ivt,14920,15900,980
fixation.ivt,16020,16380,360
fixation.ivt,16500,16660,160
fixation.ivt,17420,17540,120
fixation.ivt,17660,17940,280
fixation.ivt,20020,20180,160
fixation.ivt,20880,21000,120
fixation.ivt,21300,21600,300
fixation.ivt,21760,21860,100
fixation.ivt,22720,22820,100
fixation.ivt,22980,23080,100
fixation.ivt,23260,23400,140
fixation.ivt,23680,23800,120
fixation.ivt,23900,24060,160
fixation.ivt,26500,26620,120
fixation.ivt,27580,27680,100
fixation.ivt,28680,28860,180
fixation.ivt,29000,29120,120
fixation.ivt,29520,29700,180
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
fixation.ivt,13500,13600,100
fixation.ivt,13780,14280,500
fixation.ivt,14500,14800,300
fixation.ivt,14920,15900,980
fixation.ivt,16020,16380,360
fixation.ivt,16500,16660,160
fixation.ivt,17420,17540,120
fixation.ivt,17660,17940,280
fixation.ivt,20020,20180,160
fixation.ivt,20880,21000,120
fixation.ivt,21300,21600,300
fixation.ivt,21760,21860,100
fixation.ivt,22720,22820,100
fixation.ivt,22980,23080,100
fixation.ivt,23260,23400,140
fixation.ivt,23680,23800,120
fixation.ivt,23900,24060,160
fixation.ivt,26500,26620,120
fixation.ivt,27580,27680,100
fixation.ivt,28680,28860,180
fixation.ivt,29000,29120,120
fixation.ivt,29520,29700,180
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
fixation.ivt,13500,13600,100
fixation.ivt,13780,14280,500
fixation.ivt,14500,14800,300
fixation.ivt,14920,15900,980
fixation.ivt,16020,16380,360
fixation.ivt,16500,16660,160
fixation.ivt,17420,17540,120
fixation.ivt,17660,17940,280
fixation.ivt,20020,20180,160
fixation.ivt,20880,21000,120
fixation.ivt,21300,21600,300
fixation.ivt,21760,21860,100
fixation.ivt,22720,22820,100
fixation.ivt,22980,23080,100
fixation.ivt,23260,23400,140
fixation.ivt,23680,23800,120
fixation.ivt,23900,24060,160
fixation.ivt,26500,26620,120
fixation.ivt,27580,27680,100
fixation.ivt,28680,28860,180
fixation.ivt,29000,29120,120
fixation.ivt,29520,29700,180
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
fixation.ivt,13500,13600,100
fixation.ivt,13780,14280,500
fixation.ivt,14500,14800,300
fixation.ivt,14920,15900,980
fixation.ivt,16020,16380,360
fixation.ivt,16500,16660,160
fixation.ivt,17420,17540,120
fixation.ivt,17660,17940,280
fixation.ivt,20020,20180,160
fixation.ivt,20880,21000,120
fixation.ivt,21300,21600,300
fixation.ivt,21760,21860,100
fixation.ivt,22720,22820,100
fixation.ivt,22980,23080,100
fixation.ivt,23260,23400,140
fixation.ivt,23680,23800,120
fixation.ivt,23900,24060,160
fixation.ivt,26500,26620,120
fixation.ivt,27580,27680,100
fixation.ivt,28680,28860,180
fixation.ivt,29000,29120,120
fixation.ivt,29520,29700,180
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
fixation.ivt,13500,13600,100
fixation.ivt,13780,14280,500
fixation.ivt,14500,14800,300
fixation.ivt,14920,15900,980
fixation.ivt,16020,16380,360
fixation.ivt,16500,16660,160
fixation.ivt,17420,17540,120
fixation.ivt,17660,17940,280
fixation.ivt,20020,20180,160
fixation.ivt,20880,21000,120
fixation.ivt,21300,21600,300
fixation.ivt,21760,21860,100
fixation.ivt,22720,22820,100
fixation.ivt,22980,23080,100
fixation.ivt,23260,23400,140
fixation.ivt,23680,23800,120
fixation.ivt,23900,24060,160
fixation.ivt,26500,26620,120
fixation.ivt,27580,27680,100
fixation.ivt,28680,28860,180
fixation.ivt,29000,29120,120
fixation.ivt,29520,29700,180
fixation.ivt,40,400,360
fixation.ivt,500,620,120
fixation.ivt,720,820,100
fixation.ivt,1060,1180,120
fixation.ivt,1260,1420,160
fixation.ivt,1520,1680,160
fixation.ivt,1820,1960,140
fixation.ivt,2080,2200,120
fixation.ivt,2320,2440,120
fixation.ivt,2540,2700,160
fixation.ivt,2800,3060,260
fixation.ivt,3120,3240,120
fixation.ivt,3860,3960,100
fixation.ivt,4060,4200,140
fixation.ivt,4300,4500,200
fixation.ivt,4620,4760,140
fixation.ivt,5260,5420,160
fixation.ivt,5680,5780,100
fixation.ivt,5920,6120,200
fixation.ivt,6380,6540,160
fixation.ivt,6620,6780,160
fixation.ivt,6960,7060,100
fixation.ivt,7160,7260,100
fixation.ivt,7380,7700,320
fixation.ivt,7820,7980,160
fixation.ivt,8060,8260,200
fixation.ivt,8360,8520,160
fixation.ivt,8620,8760,140
fixation.ivt,8800,8920,120
fixation.ivt,9040,9420,380
fixation.ivt,10200,10360,160
fixation.ivt,10460,10560,100
fixation.ivt,10660,10920,260
fixation.ivt,11200,11380,180
fixation.ivt,12860,13200,340
fixation.ivt,13300,13400,100
