name,onset,offset,duration
saccade,40,60,20
saccade,500,540,40
saccade,860,920,60
saccade,1460,1520,60
saccade,1760,1820,60
saccade,1960,2060,100
saccade,2180,2200,20
saccade,2440,2500,60
saccade,2700,2740,40
saccade,3300,3380,80
saccade,3600,3640,40
saccade,3720,3800,80
saccade,4000,4060,60
saccade,4260,4300,40
saccade,4700,4780,80
saccade,4900,4960,60
saccade,5000,5080,80
saccade,5220,5240,20
saccade,5440,5500,60
saccade,5620,5660,40
saccade,5860,5920,60
saccade,6180,6220,40
saccade,6340,6360,20
saccade,6520,6620,100
saccade,7020,7040,20
saccade,7260,7300,40
saccade,7600,7660,60
saccade,7820,7900,80
saccade,7980,8000,20
saccade,8460,8520,60
saccade,9020,9080,60
saccade,9300,9380,80
saccade,9800,9880,80
saccade,10240,10280,40
saccade,10460,10520,60
saccade,10860,10900,40
saccade,10980,11060,80
saccade,11240,11280,40
saccade,11460,11500,40
saccade,11680,11760,80
saccade,12080,12140,60
saccade,12400,12420,20
saccade,12460,12480,20
saccade,12540,12680,140
saccade,12740,12860,120
saccade,12900,12980,80
saccade,13020,13220,200
saccade,13280,13360,80
saccade,13540,13560,20
saccade,13740,13760,20
saccade,13800,13820,20
saccade,14500,14560,60
saccade,14600,14620,20
saccade,14920,14980,60
saccade,15140,15260,120
saccade,15300,15500,200
saccade,15740,15840,100
saccade,15940,15960,20
saccade,16000,16020,20
saccade,16180,16300,120
saccade,16660,16720,60
saccade,16860,17060,200
saccade,17420,17440,20
saccade,17680,17740,60
saccade,18580,18680,100
saccade,18900,19080,180
saccade,19160,19280,120
saccade,19720,19820,100
saccade,19860,20180,320
saccade,20240,20320,80
saccade,20560,20620,60
saccade,21320,21380,60
saccade,22980,23100,120
saccade,23140,23300,160
saccade,23340,23400,60
saccade,24440,24460,20
saccade,24500,24520,20
saccade,24700,24780,80
fixation.ivt,100,480,380
fixation.ivt,560,720,160
fixation.ivt,940,1120,180
fixation.ivt,1200,1320,120
fixation.ivt,1540,1740,200
fixation.ivt,1840,1940,100
fixation.ivt,2280,2420,140
fixation.ivt,2520,2680,160
fixation.ivt,2760,3100,340
fixation.ivt,3140,3260,120
fixation.ivt,3840,3980,140
fixation.ivt,4080,4240,160
fixation.ivt,4500,4680,180
fixation.ivt,5280,5420,140
fixation.ivt,5680,5840,160
fixation.ivt,5960,6140,180
fixation.ivt,6400,6500,100
fixation.ivt,7080,7240,160
fixation.ivt,7340,7440,100
fixation.ivt,7680,7800,120
fixation.ivt,8100,8240,140
