name,onset,offset,duration
saccade,600,640,40
saccade,900,960,60
saccade,1100,1140,40
saccade,1280,1300,20
saccade,1500,1540,40
saccade,1800,1960,160
saccade,2140,2260,120
saccade,2300,2340,40
saccade,2520,2600,80
saccade,2760,2800,40
saccade,3300,3340,40
saccade,3560,3600,40
saccade,3740,3880,140
saccade,4200,4260,60
saccade,4360,4400,40
saccade,4540,4580,40
saccade,4880,4940,60
saccade,5140,5220,80
saccade,5340,5360,20
saccade,5600,5700,100
saccade,5880,5940,60
saccade,6060,6120,60
saccade,6280,6340,60
saccade,6560,6600,40
saccade,6780,6840,60
saccade,6880,6900,20
saccade,7040,7140,100
saccade,7340,7400,60
saccade,7660,7700,40
saccade,7880,7920,40
saccade,8000,8060,60
saccade,8280,8320,40
saccade,8660,8720,60
saccade,8940,9000,60
saccade,9160,9220,60
saccade,9520,9700,180
saccade,9780,9840,60
saccade,10080,10140,60
saccade,10400,10460,60
saccade,10740,10800,60
saccade,10840,10860,20
saccade,10900,10960,60
saccade,11160,11220,60
saccade,11400,11460,60
saccade,11640,11760,120
saccade,11840,11860,20
saccade,12000,12060,60
saccade,12260,12380,120
saccade,12460,12500,40
saccade,12600,12660,60
saccade,12860,12920,60
saccade,13040,13080,40
saccade,13320,13360,40
saccade,13580,13660,80
saccade,13760,13820,60
saccade,14000,14060,60
saccade,14220,14280,60
saccade,14420,14460,40
saccade,14640,14700,60
saccade,14840,14860,20
saccade,14900,14920,20
saccade,15200,15320,120
saccade,15400,15700,300
saccade,16020,16100,80
saccade,16200,16240,40
saccade,16460,16520,60
saccade,16760,16820,60
saccade,17380,17780,400
saccade,17860,17920,60
saccade,17960,18140,180
saccade,18200,18420,220
saccade,18460,18540,80
saccade,18780,18980,200
saccade,19100,19200,100
saccade,19520,19640,120
saccade,19780,19860,80
saccade,20120,20140,20
saccade,20180,20260,80
saccade,20420,20440,20
saccade,20480,20580,100
saccade,21120,21220,100
saccade,21380,21400,20
saccade,21440,21460,20
saccade,21580,21620,40
saccade,21760,21840,80
saccade,23280,23480,200
saccade,23680,23720,40
saccade,23880,24000,120
saccade,24160,24260,100
saccade,24400,24840,440
saccade,24940,25000,60
saccade,25320,25400,80
saccade,25680,25780,100
saccade,26020,26120,100
saccade,26840,26940,100
saccade,27120,27360,240
saccade,29300,29400,100
saccade,29680,29780,100
fixation.ivt,40,560,520
fixation.ivt,660,880,220
fixation.ivt,1340,1460,120
fixation.ivt,1580,1780,200
fixation.ivt,2000,2100,100
fixation.ivt,2360,2500,140
fixation.ivt,2620,2740,120
fixation.ivt,2820,3280,460
fixation.ivt,4000,4180,180
fixation.ivt,4620,4860,240
fixation.ivt,4960,5120,160
fixation.ivt,5400,5580,180
fixation.ivt,5740,5840,100
fixation.ivt,6140,6240,100
fixation.ivt,6360,6520,160
fixation.ivt,6620,6760,140
fixation.ivt,6920,7020,100
fixation.ivt,7160,7320,160
fixation.ivt,7420,7620,200
fixation.ivt,7740,7840,100
fixation.ivt,8080,8240,160
fixation.ivt,8340,8640,300
fixation.ivt,8740,8920,180
fixation.ivt,9020,9140,120
fixation.ivt,9260,9480,220
fixation.ivt,10160,10380,220
fixation.ivt,10500,10720,220
fixation.ivt,11000,11140,140
fixation.ivt,11240,11380,140
fixation.ivt,11480,11620,140
fixation.ivt,12080,12220,140
fixation.ivt,12700,12840,140
fixation.ivt,13120,13280,160
fixation.ivt,13380,13560,180
fixation.ivt,13840,13960,120
fixation.ivt,14080,14180,100
fixation.ivt,14480,14620,140
fixation.ivt,14720,14820,100
fixation.ivt,14940,15180,240
fixation.ivt,15760,16000,240
fixation.ivt,16280,16440,160
fixation.ivt,16540,16740,200
fixation.ivt,16840,17360,520
fixation.ivt,18560,18760,200
fixation.ivt,19260,19500,240
fixation.ivt,19660,19760,100
fixation.ivt,19880,20100,220
fixation.ivt,20600,21080,480
fixation.ivt,21240,21360,120
fixation.ivt,21860,23260,1400
fixation.ivt,23520,23640,120
fixation.ivt,23740,23860,120
fixation.ivt,24040,24140,100
fixation.ivt,25060,25280,220
fixation.ivt,25420,25660,240
fixation.ivt,25860,26000,140
fixation.ivt,26140,26820,680
fixation.ivt,27380,29280,1900
fixation.ivt,29420,29660,240
fixation.ivt,29800,29940,140
fixation.ivt,40,560,520
fixation.ivt,660,880,220
fixation.ivt,1340,1460,120
fixation.ivt,1580,1780,200
fixation.ivt,2000,2100,100
fixation.ivt,2360,2500,140
fixation.ivt,2620,2740,120
fixation.ivt,2820,3280,460
fixation.ivt,4000,4180,180
fixation.ivt,4620,4860,240
fixation.ivt,4960,5120,160
fixation.ivt,5400,5580,180
fixation.ivt,5740,5840,100
fixation.ivt,6140,6240,100
fixation.ivt,6360,6520,160
fixation.ivt,6620,6760,140
fixation.ivt,6920,7020,100
fixation.ivt,7160,7320,160
fixation.ivt,7420,7620,200
fixation.ivt,7740,7840,100
fixation.ivt,8080,8240,160
fixation.ivt,8340,8640,300
fixation.ivt,8740,8920,180
fixation.ivt,9020,9140,120
fixation.ivt,9260,9480,220
fixation.ivt,10160,10380,220
fixation.ivt,10500,10720,220
fixation.ivt,11000,11140,140
fixation.ivt,11240,11380,140
fixation.ivt,11480,11620,140
fixation.ivt,12080,12220,140
fixation.ivt,12700,12840,140
fixation.ivt,13120,13280,160
fixation.ivt,13380,13560,180
fixation.ivt,13840,13960,120
fixation.ivt,14080,14180,100
fixation.ivt,14480,14620,140
fixation.ivt,14720,14820,100
fixation.ivt,14940,15180,240
fixation.ivt,15760,16000,240
fixation.ivt,16280,16440,160
fixation.ivt,16540,16740,200
fixation.ivt,16840,17360,520
fixation.ivt,18560,18760,200
fixation.ivt,19260,19500,240
fixation.ivt,19660,19760,100
fixation.ivt,19880,20100,220
fixation.ivt,20600,21080,480
fixation.ivt,21240,21360,120
fixation.ivt,21860,23260,1400
fixation.ivt,23520,23640,120
fixation.ivt,23740,23860,120
fixation.ivt,24040,24140,100
fixation.ivt,25060,25280,220
fixation.ivt,25420,25660,240
fixation.ivt,25860,26000,140
