name,onset,offset,duration
saccade,580,600,20
saccade,1340,1440,100
saccade,1640,1720,80
saccade,1960,2020,60
saccade,2160,2220,60
saccade,2520,2580,60
saccade,2860,2960,100
saccade,3080,3160,80
saccade,3280,3360,80
saccade,3720,3740,20
saccade,3780,3800,20
saccade,3860,3920,60
saccade,4080,4140,60
saccade,4520,4560,40
saccade,4740,4800,60
saccade,5040,5100,60
saccade,5260,5380,120
saccade,5540,5600,60
saccade,5920,6000,80
saccade,6300,6360,60
saccade,6620,6680,60
saccade,6980,7020,40
saccade,7240,7400,160
saccade,7700,7780,80
saccade,7960,8040,80
saccade,8240,8300,60
saccade,8420,8480,60
saccade,8760,8800,40
saccade,8960,9080,120
saccade,9200,9260,60
saccade,9480,9540,60
saccade,9800,9860,60
saccade,10000,10080,80
saccade,10220,10280,60
saccade,10800,10860,60
saccade,10980,11040,60
saccade,11300,11380,80
saccade,11480,11560,80
saccade,11820,11880,60
saccade,12180,12240,60
saccade,12580,12620,40
saccade,12920,12980,60
saccade,13160,13180,20
saccade,13220,13300,80
saccade,13420,13440,20
saccade,13480,13580,100
saccade,13620,13640,20
saccade,13680,13700,20
saccade,13780,13800,20
saccade,13840,13920,80
saccade,14240,14300,60
saccade,14600,14660,60
saccade,14920,15040,120
saccade,15400,15440,40
saccade,15860,15900,40
saccade,16060,16140,80
saccade,16400,16460,60
saccade,16600,16660,60
saccade,16980,17060,80
saccade,17260,17320,60
saccade,17520,17580,60
saccade,17700,17760,60
saccade,17960,17980,20
saccade,18020,18080,60
saccade,18380,18440,60
saccade,18720,18780,60
saccade,18920,19000,80
saccade,19280,19440,160
saccade,19700,19760,60
saccade,20040,20120,80
saccade,20280,20360,80
saccade,20500,20560,60
saccade,20660,20720,60
saccade,21100,21160,60
saccade,21480,21540,60
saccade,21680,21720,40
saccade,21880,21960,80
saccade,22120,22180,60
saccade,22340,22420,80
saccade,22620,22660,40
saccade,22780,22840,60
saccade,23160,23200,40
saccade,23580,23600,20
saccade,23640,23660,20
saccade,23920,24060,140
saccade,24100,24180,80
saccade,24220,24460,240
saccade,24760,24800,40
saccade,25200,25240,40
saccade,25460,25560,100
saccade,25720,25820,100
saccade,26060,26320,260
saccade,26520,26600,80
saccade,26860,26960,100
saccade,27160,27240,80
saccade,27640,27720,80
saccade,27880,27960,80
saccade,28060,28120,60
saccade,28240,28340,100
saccade,28660,28800,140
saccade,29240,29360,120
saccade,29400,29420,20
saccade,29920,30000,80
saccade,30340,30420,80
saccade,31040,31380,340
saccade,31900,31960,60
saccade,32380,32660,280
saccade,32700,32960,260
saccade,33060,33240,180
