name,onset,offset,duration
saccade,400,460,60
saccade,640,660,20
saccade,760,780,20
saccade,820,840,20
saccade,1240,1300,60
saccade,1580,1640,60
saccade,2340,2360,20
saccade,2400,2420,20
saccade,2820,2860,40
saccade,3480,3500,20
saccade,3560,3580,20
saccade,3780,3860,80
saccade,4680,4720,40
saccade,5280,5400,120
saccade,5500,5740,240
saccade,6060,6120,60
saccade,7700,7760,60
saccade,7960,8000,40
saccade,8100,8160,60
saccade,8680,8700,20
saccade,9060,9080,20
saccade,9240,9300,60
saccade,10140,10200,60
saccade,10840,10900,60
saccade,11060,11180,120
saccade,11320,11380,60
saccade,11700,11760,60
saccade,12600,12660,60
saccade,13220,13260,40
saccade,13440,13500,60
saccade,14540,14560,20
saccade,14800,14860,60
saccade,15180,15220,40
saccade,16000,16040,40
saccade,16440,16560,120
saccade,16640,16700,60
saccade,16900,16920,20
saccade,16960,16980,20
saccade,17380,17440,60
saccade,18100,18140,40
saccade,18720,18760,40
saccade,20000,20060,60
saccade,20280,20320,40
saccade,20440,20480,40
saccade,20720,20780,60
saccade,21180,21280,100
saccade,22300,22360,60
saccade,22840,22860,20
saccade,23080,23160,80
saccade,23560,23580,20
saccade,23720,23760,40
saccade,24400,24700,300
saccade,24820,24840,20
saccade,25560,25580,20
saccade,25740,25820,80
saccade,25900,25940,40
saccade,26680,26700,20
saccade,27620,27640,20
saccade,27680,27700,20
saccade,27760,27820,60
saccade,28660,28680,20
saccade,28860,28900,40
saccade,29480,29540,60
saccade,29660,29700,40
saccade,29940,30000,60
saccade,30640,30660,20
saccade,33020,33060,40
saccade,33180,33260,80
saccade,33360,33440,80
saccade,33600,33640,40
saccade,34420,34500,80
saccade,36040,36060,20
saccade,36260,36280,20
saccade,36840,36860,20
saccade,36900,36920,20
saccade,37000,37020,20
saccade,37200,37260,60
saccade,38060,38100,40
saccade,38500,38560,60
saccade,38820,38860,40
saccade,39000,39100,100
saccade,39220,39280,60
fixation.ivt,40,380,340
fixation.ivt,460,620,160
fixation.ivt,860,1220,360
fixation.ivt,1320,1560,240
fixation.ivt,1660,2320,660
fixation.ivt,2440,2660,220
fixation.ivt,2700,2800,100
fixation.ivt,2860,3460,600
fixation.ivt,3600,3780,180
fixation.ivt,3860,4660,800
fixation.ivt,4720,5260,540
fixation.ivt,5760,6040,280
fixation.ivt,6140,7520,1380
fixation.ivt,7560,7680,120
fixation.ivt,7760,7940,180
fixation.ivt,8180,8680,500
fixation.ivt,8720,8840,120
fixation.ivt,8880,9040,160
fixation.ivt,9100,9220,120
fixation.ivt,9320,10120,800
fixation.ivt,10220,10860,640
fixation.ivt,10900,11040,140
fixation.ivt,11200,11300,100
fixation.ivt,11380,11680,300
fixation.ivt,11780,12580,800
fixation.ivt,12680,13200,520
fixation.ivt,13280,13420,140
fixation.ivt,13520,14520,1000
fixation.ivt,14580,14800,220
fixation.ivt,14880,15160,280
fixation.ivt,15240,16000,760
fixation.ivt,16060,16420,360
fixation.ivt,16720,16880,160
fixation.ivt,17000,17360,360
fixation.ivt,17460,18080,620
fixation.ivt,18160,18700,540
fixation.ivt,18780,19980,1200
fixation.ivt,20080,20260,180
fixation.ivt,20500,20700,200
fixation.ivt,20800,21160,360
fixation.ivt,21280,22280,1000
fixation.ivt,22380,22820,440
fixation.ivt,22880,23060,180
fixation.ivt,23160,23540,380
fixation.ivt,23600,23700,100
fixation.ivt,23780,24380,600
fixation.ivt,24700,24800,100
fixation.ivt,24860,25540,680
fixation.ivt,25600,25740,140
fixation.ivt,25840,26660,820
fixation.ivt,26720,26960,240
fixation.ivt,27000,27600,600
fixation.ivt,27840,28640,800
fixation.ivt,28700,28840,140
fixation.ivt,28920,29460,540
fixation.ivt,29720,29920,200
fixation.ivt,30020,30160,140
fixation.ivt,30200,30620,420
fixation.ivt,30680,32160,1480
fixation.ivt,32200,33000,800
fixation.ivt,33460,33580,120
fixation.ivt,33660,34420,760
fixation.ivt,34520,36020,1500
fixation.ivt,36080,36240,160
fixation.ivt,36300,36680,380
fixation.ivt,36720,36820,100
fixation.ivt,37040,37180,140
fixation.ivt,37280,38060,780
fixation.ivt,38120,38800,680
fixation.ivt,38880,38980,100
fixation.ivt,39080,39220,140
fixation.ivt,39280,39940,660
fixation.ivt,40,380,340
fixation.ivt,460,620,160
fixation.ivt,860,1220,360
fixation.ivt,1320,1560,240
fixation.ivt,1660,2320,660
fixation.ivt,2440,2660,220
fixation.ivt,2700,2800,100
fixation.ivt,2860,3460,600
fixation.ivt,3600,3780,180
fixation.ivt,3860,4660,800
fixation.ivt,4720,5260,540
fixation.ivt,5760,6040,280
fixation.ivt,6140,7520,1380
fixation.ivt,7560,7680,120
fixation.ivt,7760,7940,180
fixation.ivt,8180,8680,500
fixation.ivt,8720,8840,120
fixation.ivt,8880,9040,160
fixation.ivt,9100,9220,120
fixation.ivt,9320,10120,800
fixation.ivt,10220,10860,640
fixation.ivt,10900,11040,140
fixation.ivt,11200,11300,100
fixation.ivt,11380,11680,300
fixation.ivt,11780,12580,800
fixation.ivt,12680,13200,520
fixation.ivt,13280,13420,140
fixation.ivt,13520,14520,1000
fixation.ivt,14580,14800,220
fixation.ivt,14880,15160,280
fixation.ivt,15240,16000,760
fixation.ivt,16060,16420,360
fixation.ivt,16720,16880,160
fixation.ivt,17000,17360,360
fixation.ivt,17460,18080,620
fixation.ivt,18160,18700,540
fixation.ivt,18780,19980,1200
fixation.ivt,20080,20260,180
fixation.ivt,20500,20700,200
fixation.ivt,20800,21160,360
fixation.ivt,21280,22280,1000
fixation.ivt,22380,22820,440
fixation.ivt,22880,23060,180
fixation.ivt,23160,23540,380
fixation.ivt,23600,23700,100
fixation.ivt,23780,24380,600
fixation.ivt,24700,24800,100
fixation.ivt,24860,25540,680
fixation.ivt,25600,25740,140
fixation.ivt,25840,26660,820
fixation.ivt,26720,26960,240
fixation.ivt,27000,27600,600
fixation.ivt,27840,28640,800
fixation.ivt,28700,28840,140
fixation.ivt,28920,29460,540
fixation.ivt,29720,29920,200
fixation.ivt,30020,30160,140
fixation.ivt,30200,30620,420
fixation.ivt,30680,32160,1480
fixation.ivt,32200,33000,800
fixation.ivt,33460,33580,120
fixation.ivt,33660,34420,760
fixation.ivt,34520,36020,1500
fixation.ivt,36080,36240,160
fixation.ivt,36300,36680,380
fixation.ivt,36720,36820,100
fixation.ivt,37040,37180,140
fixation.ivt,37280,38060,780
fixation.ivt,38120,38800,680
fixation.ivt,38880,38980,100
fixation.ivt,39080,39220,140
fixation.ivt,39280,39940,660
fixation.ivt,40,380,340
fixation.ivt,460,620,160
fixation.ivt,860,1220,360
