name,onset,offset,duration
saccade,220,280,60
saccade,1220,1300,80
saccade,1340,1360,20
saccade,1780,1920,140
saccade,2120,2180,60
saccade,2440,2460,20
saccade,3500,3540,40
saccade,3720,3740,20
saccade,4160,4300,140
saccade,4960,5060,100
saccade,5160,5220,60
saccade,5740,5820,80
saccade,5900,5980,80
saccade,6360,6440,80
saccade,6680,6740,60
saccade,6980,7000,20
saccade,7040,7080,40
saccade,7400,7440,40
saccade,7660,7700,40
saccade,8360,8420,60
saccade,9000,9040,40
saccade,9800,9920,120
saccade,10020,10100,80
saccade,10520,10580,60
saccade,11580,11600,20
saccade,11640,11660,20
saccade,12300,12360,60
saccade,12560,12600,40
saccade,12860,12920,60
saccade,13100,13160,60
saccade,14140,14180,40
saccade,14340,14500,160
saccade,14620,14740,120
saccade,15020,15080,60
saccade,15800,15860,60
saccade,16380,16560,180
saccade,16620,16640,20
saccade,17140,17180,40
saccade,18360,18400,40
saccade,18600,18660,60
saccade,18820,18880,60
saccade,19160,19200,40
saccade,19240,19260,20
saccade,19420,19460,40
saccade,20520,20540,20
saccade,20700,20760,60
saccade,21140,21260,120
saccade,21740,21860,120
saccade,22020,22040,20
saccade,23120,23160,40
saccade,23660,23680,20
saccade,24080,24120,40
saccade,25260,25300,40
saccade,25680,25720,40
saccade,26060,26220,160
saccade,26440,26480,40
saccade,26920,26940,20
saccade,27460,27480,20
saccade,27660,27720,60
saccade,28320,28360,40
saccade,28620,28640,20
saccade,28680,28700,20
saccade,28800,28820,20
saccade,29240,29260,20
saccade,30160,30280,120
saccade,31680,31700,20
saccade,32020,32040,20
saccade,32160,32220,60
saccade,32840,32900,60
saccade,33200,33240,40
saccade,33860,33900,40
saccade,34500,34560,60
saccade,34820,34840,20
saccade,35080,35100,20
saccade,35140,35160,20
saccade,35780,35820,40
saccade,36240,36260,20
saccade,36700,36760,60
saccade,37420,37460,40
saccade,37700,37800,100
saccade,38820,38840,20
saccade,39000,39100,100
saccade,39240,39300,60
saccade,39780,39800,20
fixation.ivt,40,200,160
fixation.ivt,300,940,640
fixation.ivt,980,1200,220
fixation.ivt,1380,1760,380
fixation.ivt,1940,2100,160
fixation.ivt,2480,3140,660
fixation.ivt,3180,3480,300
fixation.ivt,3560,3700,140
fixation.ivt,3760,3920,160
fixation.ivt,3960,4140,180
fixation.ivt,4320,4940,620
fixation.ivt,5240,5720,480
fixation.ivt,6000,6340,340
fixation.ivt,6460,6660,200
fixation.ivt,6760,6960,200
fixation.ivt,7120,7380,260
fixation.ivt,7460,7640,180
fixation.ivt,7720,8340,620
fixation.ivt,8440,8700,260
fixation.ivt,8860,8980,120
fixation.ivt,9060,9440,380
fixation.ivt,9500,9780,280
fixation.ivt,10140,10240,100
fixation.ivt,10280,10500,220
fixation.ivt,10600,11520,920
fixation.ivt,11680,12280,600
fixation.ivt,12380,12540,160
fixation.ivt,12620,12840,220
fixation.ivt,13180,14100,920
fixation.ivt,14200,14320,120
