name,onset,offset,duration
saccade,1100,1160,60
saccade,1320,1400,80
saccade,1760,1800,40
saccade,2100,2160,60
saccade,2460,2560,100
saccade,3000,3020,20
saccade,3060,3140,80
saccade,3320,3380,60
saccade,4160,4200,40
saccade,4360,4420,60
saccade,5260,5380,120
saccade,5480,5540,60
saccade,6020,6080,60
saccade,6480,6540,60
saccade,6720,6740,20
saccade,7040,7100,60
saccade,7440,7500,60
saccade,7680,7740,60
saccade,8080,8140,60
saccade,8580,8700,120
saccade,8880,8920,40
saccade,9440,9480,40
saccade,10100,10500,400
saccade,10600,10740,140
saccade,10800,10900,100
saccade,10980,11280,300
saccade,11400,11420,20
saccade,11560,11820,260
saccade,11860,12160,300
saccade,12420,12460,40
saccade,12600,12660,60
saccade,13040,13080,40
saccade,13420,13440,20
saccade,13620,13720,100
saccade,13840,13900,60
saccade,14760,14820,60
saccade,15160,15240,80
saccade,15480,15540,60
saccade,15860,15920,60
saccade,16380,16440,60
saccade,16600,16620,20
saccade,16660,16680,20
saccade,16800,16840,40
saccade,17060,17100,40
saccade,17480,17520,40
saccade,17880,17940,60
saccade,18400,18500,100
saccade,18660,18860,200
saccade,19080,19340,260
saccade,19780,19820,40
saccade,20580,20720,140
saccade,20780,20840,60
saccade,21300,21360,60
saccade,21480,21540,60
saccade,21860,21920,60
saccade,22220,22280,60
saccade,22440,22460,20
saccade,22500,22520,20
saccade,22680,22760,80
saccade,23260,23420,160
saccade,23620,23780,160
saccade,24080,24540,460
saccade,24820,24880,60
saccade,25240,25300,60
saccade,25500,25580,80
saccade,26600,26640,40
saccade,26680,26700,20
saccade,27000,27040,40
saccade,27280,27340,60
saccade,28500,28540,40
saccade,28920,28960,40
saccade,29180,29200,20
saccade,29540,29580,40
saccade,30040,30120,80
saccade,30240,30320,80
saccade,30440,30520,80
saccade,30560,30580,20
saccade,30960,31040,80
saccade,31260,31280,20
saccade,31440,31500,60
saccade,31960,32040,80
saccade,32260,32320,60
saccade,32480,32540,60
saccade,33220,33240,20
saccade,33620,33640,20
saccade,33940,34340,400
saccade,34480,34540,60
saccade,34580,35300,720
saccade,35420,35480,60
saccade,35700,35920,220
saccade,35960,36140,180
saccade,36240,36300,60
saccade,36740,36760,20
saccade,36800,37040,240
saccade,38000,38060,60
saccade,38100,38220,120
saccade,38300,38400,100
saccade,38680,38760,80
saccade,38800,39120,320
saccade,39360,39600,240
fixation.ivt,40,680,640
fixation.ivt,720,1080,360
fixation.ivt,1180,1300,120
fixation.ivt,1400,1740,340
fixation.ivt,1820,2080,260
fixation.ivt,2180,2420,240
fixation.ivt,2580,2820,240
fixation.ivt,2860,2980,120
fixation.ivt,3160,3300,140
fixation.ivt,3400,4140,740
fixation.ivt,4220,4340,120
fixation.ivt,4440,5240,800
fixation.ivt,5560,6000,440
fixation.ivt,6100,6460,360
fixation.ivt,6560,6700,140
fixation.ivt,6760,7020,260
fixation.ivt,7120,7420,300
fixation.ivt,7520,7660,140
fixation.ivt,7760,8060,300
fixation.ivt,8160,8560,400
fixation.ivt,8740,8860,120
fixation.ivt,8940,9420,480
fixation.ivt,9500,10080,580
fixation.ivt,11440,11540,100
fixation.ivt,12200,12420,220
fixation.ivt,12480,12580,100
fixation.ivt,12780,13020,240
fixation.ivt,13100,13420,320
fixation.ivt,13460,13600,140
fixation.ivt,13920,14740,820
fixation.ivt,14840,15140,300
fixation.ivt,15260,15460,200
fixation.ivt,15560,15840,280
fixation.ivt,15940,16360,420
fixation.ivt,16460,16580,120
fixation.ivt,16700,16800,100
fixation.ivt,16840,17040,200
fixation.ivt,17120,17460,340
fixation.ivt,17540,17860,320
fixation.ivt,17960,18380,420
fixation.ivt,18540,18640,100
fixation.ivt,18880,19060,180
fixation.ivt,19400,19740,340
fixation.ivt,19860,20540,680
fixation.ivt,20860,21280,420
fixation.ivt,21560,21840,280
fixation.ivt,21940,22200,260
fixation.ivt,22300,22420,120
fixation.ivt,22540,22660,120
fixation.ivt,22780,23220,440
fixation.ivt,23460,23600,140
fixation.ivt,23800,24060,260
fixation.ivt,24600,24800,200
fixation.ivt,24900,25240,340
fixation.ivt,25320,25480,160
fixation.ivt,25600,26580,980
fixation.ivt,26720,26980,260
fixation.ivt,27060,27280,220
fixation.ivt,27360,28500,1140
fixation.ivt,28560,28900,340
fixation.ivt,28980,29160,180
fixation.ivt,29220,29520,300
fixation.ivt,29600,30020,420
fixation.ivt,30600,30940,340
fixation.ivt,31060,31260,200
fixation.ivt,31300,31420,120
fixation.ivt,31520,31940,420
fixation.ivt,32040,32240,200
fixation.ivt,32340,32460,120
fixation.ivt,32560,33200,640
fixation.ivt,33260,33600,340
fixation.ivt,33660,33900,240
fixation.ivt,35500,35660,160
fixation.ivt,36320,36440,120
fixation.ivt,36500,36720,220
fixation.ivt,37060,37960,900
fixation.ivt,38420,38660,240
fixation.ivt,39140,39340,200
fixation.ivt,39820,39940,120
fixation.ivt,40,680,640
fixation.ivt,720,1080,360
fixation.ivt,1180,1300,120
fixation.ivt,1400,1740,340
fixation.ivt,1820,2080,260
fixation.ivt,2180,2420,240
fixation.ivt,2580,2820,240
fixation.ivt,2860,2980,120
fixation.ivt,3160,3300,140
fixation.ivt,3400,4140,740
fixation.ivt,4220,4340,120
fixation.ivt,4440,5240,800
fixation.ivt,5560,6000,440
fixation.ivt,6100,6460,360
fixation.ivt,6560,6700,140
fixation.ivt,6760,7020,260
fixation.ivt,7120,7420,300
fixation.ivt,7520,7660,140
fixation.ivt,7760,8060,300
fixation.ivt,8160,8560,400
fixation.ivt,8740,8860,120
fixation.ivt,8940,9420,480
fixation.ivt,9500,10080,580
fixation.ivt,11440,11540,100
fixation.ivt,12200,12420,220
fixation.ivt,12480,12580,100
fixation.ivt,12780,13020,240
fixation.ivt,13100,13420,320
fixation.ivt,13460,13600,140
fixation.ivt,13920,14740,820
fixation.ivt,14840,15140,300
fixation.ivt,15260,15460,200
fixation.ivt,15560,15840,280
fixation.ivt,15940,16360,420
fixation.ivt,16460,16580,120
fixation.ivt,16700,16800,100
fixation.ivt,16840,17040,200
fixation.ivt,17120,17460,340
fixation.ivt,17540,17860,320
fixation.ivt,17960,18380,420
fixation.ivt,18540,18640,100
fixation.ivt,18880,19060,180
fixation.ivt,19400,19740,340
fixation.ivt,19860,20540,680
fixation.ivt,20860,21280,420
fixation.ivt,21560,21840,280
fixation.ivt,21940,22200,260
fixation.ivt,22300,22420,120
fixation.ivt,22540,22660,120
fixation.ivt,22780,23220,440
fixation.ivt,23460,23600,140
fixation.ivt,23800,24060,260
fixation.ivt,24600,24800,200
fixation.ivt,24900,25240,340
fixation.ivt,25320,25480,160
fixation.ivt,25600,26580,980
fixation.ivt,26720,26980,260
fixation.ivt,27060,27280,220
fixation.ivt,27360,28500,1140
fixation.ivt,28560,28900,340
fixation.ivt,28980,29160,180
fixation.ivt,29220,29520,300
fixation.ivt,29600,30020,420
fixation.ivt,30600,30940,340
fixation.ivt,31060,31260,200
fixation.ivt,31300,31420,120
fixation.ivt,31520,31940,420
fixation.ivt,32040,32240,200
fixation.ivt,32340,32460,120
fixation.ivt,32560,33200,640
fixation.ivt,33260,33600,340
fixation.ivt,33660,33900,240
fixation.ivt,35500,35660,160
fixation.ivt,36320,36440,120
fixation.ivt,36500,36720,220
fixation.ivt,37060,37960,900
fixation.ivt,38420,38660,240
fixation.ivt,39140,39340,200
fixation.ivt,39820,39940,120
fixation.ivt,40,680,640
fixation.ivt,720,1080,360
fixation.ivt,1180,1300,120
fixation.ivt,1400,1740,340
fixation.ivt,1820,2080,260
fixation.ivt,2180,2420,240
fixation.ivt,2580,2820,240
fixation.ivt,2860,2980,120
fixation.ivt,3160,3300,140
fixation.ivt,3400,4140,740
fixation.ivt,4220,4340,120
fixation.ivt,4440,5240,800
fixation.ivt,5560,6000,440
fixation.ivt,6100,6460,360
fixation.ivt,6560,6700,140
fixation.ivt,6760,7020,260
fixation.ivt,7120,7420,300
fixation.ivt,7520,7660,140
fixation.ivt,7760,8060,300
fixation.ivt,8160,8560,400
fixation.ivt,8740,8860,120
fixation.ivt,8940,9420,480
fixation.ivt,9500,10080,580
fixation.ivt,11440,11540,100
fixation.ivt,12200,12420,220
fixation.ivt,12480,12580,100
fixation.ivt,12780,13020,240
fixation.ivt,13100,13420,320
fixation.ivt,13460,13600,140
fixation.ivt,13920,14740,820
fixation.ivt,14840,15140,300
fixation.ivt,15260,15460,200
fixation.ivt,15560,15840,280
fixation.ivt,15940,16360,420
fixation.ivt,16460,16580,120
fixation.ivt,16700,16800,100
fixation.ivt,16840,17040,200
fixation.ivt,17120,17460,340
fixation.ivt,17540,17860,320
fixation.ivt,17960,18380,420
fixation.ivt,18540,18640,100
fixation.ivt,18880,19060,180
fixation.ivt,19400,19740,340
fixation.ivt,19860,20540,680
fixation.ivt,20860,21280,420
fixation.ivt,21560,21840,280
fixation.ivt,21940,22200,260
fixation.ivt,22300,22420,120
fixation.ivt,22540,22660,120
fixation.ivt,22780,23220,440
fixation.ivt,23460,23600,140
fixation.ivt,23800,24060,260
fixation.ivt,24600,24800,200
fixation.ivt,24900,25240,340
fixation.ivt,25320,25480,160
fixation.ivt,25600,26580,980
fixation.ivt,26720,26980,260
fixation.ivt,27060,27280,220
fixation.ivt,27360,28500,1140
fixation.ivt,28560,28900,340
fixation.ivt,28980,29160,180
fixation.ivt,29220,29520,300
fixation.ivt,29600,30020,420
fixation.ivt,30600,30940,340
fixation.ivt,31060,31260,200
fixation.ivt,31300,31420,120
fixation.ivt,31520,31940,420
fixation.ivt,32040,32240,200
fixation.ivt,32340,32460,120
fixation.ivt,32560,33200,640
fixation.ivt,33260,33600,340
fixation.ivt,33660,33900,240
fixation.ivt,35500,35660,160
fixation.ivt,36320,36440,120
fixation.ivt,36500,36720,220
fixation.ivt,37060,37960,900
fixation.ivt,38420,38660,240
fixation.ivt,39140,39340,200
fixation.ivt,39820,39940,120
fixation.ivt,40,680,640
fixation.ivt,720,1080,360
fixation.ivt,1180,1300,120
fixation.ivt,1400,1740,340
fixation.ivt,1820,2080,260
fixation.ivt,2180,2420,240
fixation.ivt,2580,2820,240
fixation.ivt,2860,2980,120
fixation.ivt,3160,3300,140
fixation.ivt,3400,4140,740
fixation.ivt,4220,4340,120
fixation.ivt,4440,5240,800
fixation.ivt,5560,6000,440
fixation.ivt,6100,6460,360
fixation.ivt,6560,6700,140
fixation.ivt,6760,7020,260
fixation.ivt,7120,7420,300
fixation.ivt,7520,7660,140
fixation.ivt,7760,8060,300
fixation.ivt,8160,8560,400
fixation.ivt,8740,8860,120
fixation.ivt,8940,9420,480
fixation.ivt,9500,10080,580
fixation.ivt,11440,11540,100
fixation.ivt,12200,12420,220
fixation.ivt,12480,12580,100
fixation.ivt,12780,13020,240
fixation.ivt,13100,13420,320
fixation.ivt,13460,13600,140
fixation.ivt,13920,14740,820
fixation.ivt,14840,15140,300
fixation.ivt,15260,15460,200
fixation.ivt,15560,15840,280
fixation.ivt,15940,16360,420
fixation.ivt,16460,16580,120
fixation.ivt,16700,16800,100
fixation.ivt,16840,17040,200
fixation.ivt,17120,17460,340
fixation.ivt,17540,17860,320
fixation.ivt,17960,18380,420
fixation.ivt,18540,18640,100
fixation.ivt,18880,19060,180
fixation.ivt,19400,19740,340
fixation.ivt,19860,20540,680
fixation.ivt,20860,21280,420
fixation.ivt,21560,21840,280
fixation.ivt,21940,22200,260
fixation.ivt,22300,22420,120
fixation.ivt,22540,22660,120
fixation.ivt,22780,23220,440
fixation.ivt,23460,23600,140
fixation.ivt,23800,24060,260
fixation.ivt,24600,24800,200
fixation.ivt,24900,25240,340
fixation.ivt,25320,25480,160
fixation.ivt,25600,26580,980
fixation.ivt,26720,26980,260
fixation.ivt,27060,27280,220
fixation.ivt,27360,28500,1140
fixation.ivt,28560,28900,340
fixation.ivt,28980,29160,180
fixation.ivt,29220,29520,300
fixation.ivt,29600,30020,420
fixation.ivt,30600,30940,340
fixation.ivt,31060,31260,200
fixation.ivt,31300,31420,120
fixation.ivt,31520,31940,420
fixation.ivt,32040,32240,200
fixation.ivt,32340,32460,120
fixation.ivt,32560,33200,640
fixation.ivt,33260,33600,340
fixation.ivt,33660,33900,240
fixation.ivt,35500,35660,160
fixation.ivt,36320,36440,120
fixation.ivt,36500,36720,220
fixation.ivt,37060,37960,900
fixation.ivt,38420,38660,240
fixation.ivt,39140,39340,200
fixation.ivt,39820,39940,120
fixation.ivt,40,680,640
fixation.ivt,720,1080,360
fixation.ivt,1180,1300,120
fixation.ivt,1400,1740,340
fixation.ivt,1820,2080,260
fixation.ivt,2180,2420,240
fixation.ivt,2580,2820,240
fixation.ivt,2860,2980,120
fixation.ivt,3160,3300,140
fixation.ivt,3400,4140,740
fixation.ivt,4220,4340,120
fixation.ivt,4440,5240,800
fixation.ivt,5560,6000,440
fixation.ivt,6100,6460,360
fixation.ivt,6560,6700,140
fixation.ivt,6760,7020,260
fixation.ivt,7120,7420,300
fixation.ivt,7520,7660,140
fixation.ivt,7760,8060,300
fixation.ivt,8160,8560,400
fixation.ivt,8740,8860,120
fixation.ivt,8940,9420,480
fixation.ivt,9500,10080,580
fixation.ivt,11440,11540,100
fixation.ivt,12200,12420,220
fixation.ivt,12480,12580,100
fixation.ivt,12780,13020,240
fixation.ivt,13100,13420,320
fixation.ivt,13460,13600,140
fixation.ivt,13920,14740,820
fixation.ivt,14840,15140,300
fixation.ivt,15260,15460,200
fixation.ivt,15560,15840,280
fixation.ivt,15940,16360,420
fixation.ivt,16460,16580,120
fixation.ivt,16700,16800,100
fixation.ivt,16840,17040,200
fixation.ivt,17120,17460,340
fixation.ivt,17540,17860,320
fixation.ivt,17960,18380,420
fixation.ivt,18540,18640,100
fixation.ivt,18880,19060,180
fixation.ivt,19400,19740,340
fixation.ivt,19860,20540,680
fixation.ivt,20860,21280,420
fixation.ivt,21560,21840,280
fixation.ivt,21940,22200,260
fixation.ivt,22300,22420,120
fixation.ivt,22540,22660,120
fixation.ivt,22780,23220,440
fixation.ivt,23460,23600,140
fixation.ivt,23800,24060,260
fixation.ivt,24600,24800,200
fixation.ivt,24900,25240,340
fixation.ivt,25320,25480,160
fixation.ivt,25600,26580,980
fixation.ivt,26720,26980,260
fixation.ivt,27060,27280,220
fixation.ivt,27360,28500,1140
fixation.ivt,28560,28900,340
fixation.ivt,28980,29160,180
fixation.ivt,29220,29520,300
fixation.ivt,29600,30020,420
fixation.ivt,30600,30940,340
fixation.ivt,31060,31260,200
fixation.ivt,31300,31420,120
fixation.ivt,31520,31940,420
fixation.ivt,32040,32240,200
fixation.ivt,32340,32460,120
fixation.ivt,32560,33200,640
fixation.ivt,33260,33600,340
fixation.ivt,33660,33900,240
fixation.ivt,35500,35660,160
fixation.ivt,36320,36440,120
fixation.ivt,36500,36720,220
fixation.ivt,37060,37960,900
fixation.ivt,38420,38660,240
fixation.ivt,39140,39340,200
fixation.ivt,39820,39940,120
fixation.ivt,40,680,640
fixation.ivt,720,1080,360
fixation.ivt,1180,1300,120
fixation.ivt,1400,1740,340
fixation.ivt,1820,2080,260
fixation.ivt,2180,2420,240
fixation.ivt,2580,2820,240
fixation.ivt,2860,2980,120
fixation.ivt,3160,3300,140
fixation.ivt,3400,4140,740
fixation.ivt,4220,4340,120
fixation.ivt,4440,5240,800
fixation.ivt,5560,6000,440
fixation.ivt,6100,6460,360
fixation.ivt,6560,6700,140
fixation.ivt,6760,7020,260
fixation.ivt,7120,7420,300
fixation.ivt,7520,7660,140
fixation.ivt,7760,8060,300
fixation.ivt,8160,8560,400
fixation.ivt,8740,8860,120
fixation.ivt,8940,9420,480
fixation.ivt,9500,10080,580
fixation.ivt,11440,11540,100
fixation.ivt,12200,12420,220
fixation.ivt,12480,12580,100
fixation.ivt,12780,13020,240
fixation.ivt,13100,13420,320
fixation.ivt,13460,13600,140
fixation.ivt,13920,14740,820
fixation.ivt,14840,15140,300
fixation.ivt,15260,15460,200
fixation.ivt,15560,15840,280
fixation.ivt,15940,16360,420
