name,onset,offset,duration
saccade,260,600,340
saccade,1060,1080,20
saccade,1120,1140,20
saccade,1380,1460,80
saccade,1600,1620,20
saccade,1740,1780,40
saccade,2140,2180,40
saccade,2400,2440,40
saccade,2820,2860,40
saccade,3120,3180,60
saccade,3540,3600,60
saccade,3760,3820,60
saccade,4260,4320,60
saccade,4920,5000,80
saccade,5140,5340,200
saccade,5800,5840,40
saccade,6040,6080,40
saccade,6260,6280,20
saccade,6600,6620,20
saccade,6800,6840,40
saccade,6960,6980,20
saccade,7100,7180,80
saccade,7300,7360,60
saccade,7660,7720,60
saccade,7880,7940,60
saccade,8140,8160,20
saccade,8520,8580,60
saccade,8760,8820,60
saccade,8960,9040,80
saccade,9180,9240,60
saccade,9460,9500,40
saccade,9660,9720,60
saccade,9940,9980,40
saccade,10700,10740,40
saccade,10900,10960,60
saccade,11200,11240,40
saccade,11400,11500,100
saccade,11600,11660,60
saccade,11940,11980,40
saccade,12040,12060,20
saccade,12120,12180,60
saccade,12660,12700,40
saccade,12980,13040,60
saccade,13140,13220,80
saccade,13380,13400,20
saccade,13560,13620,60
saccade,13860,13900,40
saccade,14400,14440,40
saccade,14580,14620,40
saccade,14820,14840,20
saccade,15140,15160,20
saccade,15320,15360,40
saccade,15600,15660,60
saccade,15860,15900,40
saccade,16060,16180,120
saccade,16280,16300,20
saccade,16420,16500,80
saccade,16940,17000,60
saccade,17140,17180,40
saccade,17440,17500,60
saccade,17740,17820,80
saccade,17960,18000,40
saccade,18220,18280,60
saccade,18720,18760,40
saccade,18920,18980,60
saccade,19280,19400,120
saccade,19520,19680,160
saccade,19860,19900,40
saccade,20240,20280,40
saccade,20540,20580,40
saccade,20760,20820,60
saccade,21280,21320,40
saccade,21580,21640,60
saccade,21820,21920,100
saccade,22160,22480,320
saccade,22540,22580,40
saccade,23020,23080,60
saccade,24280,24320,40
saccade,24500,24600,100
saccade,24640,24780,140
saccade,24960,25040,80
saccade,25800,25920,120
saccade,25960,26020,60
saccade,26080,26100,20
saccade,26160,26180,20
saccade,26260,26360,100
saccade,26440,26460,20
saccade,26700,26760,60
saccade,27540,27640,100
saccade,27920,28000,80
saccade,28200,28320,120
saccade,28480,28580,100
saccade,28760,28860,100
saccade,29540,29640,100
saccade,29880,29940,60
fixation.ivt,40,240,200
fixation.ivt,640,1040,400
fixation.ivt,1260,1360,100
fixation.ivt,1800,2120,320
fixation.ivt,2220,2360,140
fixation.ivt,2480,2780,300
fixation.ivt,2900,3080,180
fixation.ivt,3200,3500,300
fixation.ivt,4020,4240,220
fixation.ivt,4340,4900,560
fixation.ivt,5380,5760,380
fixation.ivt,5880,6000,120
fixation.ivt,6320,6560,240
fixation.ivt,6640,6760,120
fixation.ivt,7380,7640,260
fixation.ivt,7740,7860,120
fixation.ivt,7960,8100,140
fixation.ivt,8180,8500,320
fixation.ivt,8840,8940,100
fixation.ivt,9300,9440,140
fixation.ivt,9520,9620,100
fixation.ivt,9740,9840,100
fixation.ivt,10020,10240,220
fixation.ivt,10320,10460,140
fixation.ivt,10520,10680,160
fixation.ivt,10980,11180,200
fixation.ivt,11280,11380,100
fixation.ivt,11680,11880,200
fixation.ivt,12200,12340,140
fixation.ivt,12420,12620,200
fixation.ivt,12860,12960,100
fixation.ivt,13640,13820,180
fixation.ivt,13920,14060,140
fixation.ivt,14100,14380,280
fixation.ivt,14640,14780,140
fixation.ivt,14880,15020,140
fixation.ivt,15180,15300,120
fixation.ivt,15460,15580,120
fixation.ivt,15700,15840,140
fixation.ivt,15940,16040,100
fixation.ivt,16520,16920,400
fixation.ivt,17020,17120,100
fixation.ivt,17220,17420,200
fixation.ivt,17520,17720,200
fixation.ivt,18020,18200,180
