name,onset,offset,duration
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
fixation.ivt,340,840,500
fixation.ivt,940,1140,200
fixation.ivt,1340,1540,200
fixation.ivt,1640,1840,200
fixation.ivt,1920,2100,180
fixation.ivt,2180,2320,140
fixation.ivt,2740,2840,100
fixation.ivt,2940,3260,320
fixation.ivt,3360,3480,120
fixation.ivt,3720,3820,100
fixation.ivt,3920,4060,140
fixation.ivt,4140,4300,160
fixation.ivt,4600,4700,100
fixation.ivt,5000,5100,100
fixation.ivt,5200,5300,100
fixation.ivt,5560,5720,160
fixation.ivt,5840,5960,120
fixation.ivt,6000,6100,100
fixation.ivt,6220,6320,100
fixation.ivt,7040,7160,120
fixation.ivt,7680,7900,220
fixation.ivt,8020,8140,120
fixation.ivt,8560,8700,140
fixation.ivt,8800,8960,160
fixation.ivt,9080,9220,140
fixation.ivt,9320,9620,300
fixation.ivt,9720,9940,220
fixation.ivt,10020,10400,380
fixation.ivt,10680,10920,240
fixation.ivt,11020,11240,220
fixation.ivt,11340,11500,160
fixation.ivt,11760,11880,120
fixation.ivt,11960,12200,240
fixation.ivt,12280,13540,1260
fixation.ivt,14020,14140,120
fixation.ivt,14400,14540,140
fixation.ivt,15160,15300,140
fixation.ivt,15540,15800,260
fixation.ivt,15880,16080,200
fixation.ivt,16140,16480,340
fixation.ivt,17700,17800,100
fixation.ivt,20160,20320,160
fixation.ivt,20700,20800,100
fixation.ivt,20960,21240,280
fixation.ivt,21400,21620,220
fixation.ivt,21800,21940,140
fixation.ivt,22040,22180,140
fixation.ivt,22320,22440,120
fixation.ivt,22840,23120,280
fixation.ivt,23620,23940,320
fixation.ivt,24060,24200,140
fixation.ivt,24280,24420,140
fixation.ivt,25000,25960,960
fixation.ivt,27160,27500,340
fixation.ivt,27920,29020,1100
fixation.ivt,40,240,200
