name,onset,offset,duration
fixation.ivt,120,220,100
fixation.ivt,880,1020,140
fixation.ivt,1820,1920,100
fixation.ivt,2300,2520,220
fixation.ivt,2560,2840,280
fixation.ivt,2940,3860,920
fixation.ivt,3920,4300,380
fixation.ivt,4400,5080,680
fixation.ivt,5200,5300,100
fixation.ivt,5560,6020,460
fixation.ivt,6120,6740,620
fixation.ivt,6900,7060,160
fixation.ivt,7120,7260,140
fixation.ivt,7580,8120,540
fixation.ivt,8240,8940,700
fixation.ivt,9020,9520,500
fixation.ivt,9860,10080,220
fixation.ivt,10180,10620,440
fixation.ivt,10720,10920,200
fixation.ivt,11000,11340,340
fixation.ivt,11440,11940,500
fixation.ivt,12040,12380,340
fixation.ivt,12420,12900,480
fixation.ivt,13000,13780,780
fixation.ivt,13860,14360,500
fixation.ivt,14460,15160,700
fixation.ivt,15220,15400,180
fixation.ivt,15860,15980,120
fixation.ivt,16240,16560,320
fixation.ivt,17140,17540,400
fixation.ivt,17640,18000,360
fixation.ivt,18040,18180,140
fixation.ivt,18260,18460,200
fixation.ivt,18500,18760,260
fixation.ivt,18960,19120,160
fixation.ivt,19220,19560,340
fixation.ivt,19780,19900,120
fixation.ivt,19980,21140,1160
fixation.ivt,21180,21860,680
fixation.ivt,21920,22120,200
fixation.ivt,22220,22520,300
fixation.ivt,22600,22840,240
fixation.ivt,22920,23780,860
fixation.ivt,24040,24520,480
fixation.ivt,24600,24940,340
fixation.ivt,25560,26000,440
fixation.ivt,26120,26280,160
fixation.ivt,26320,26440,120
fixation.ivt,26520,26980,460
fixation.ivt,27060,27480,420
fixation.ivt,27600,27860,260
fixation.ivt,27960,28060,100
fixation.ivt,28160,28280,120
fixation.ivt,28360,28580,220
fixation.ivt,28820,29440,620
fixation.ivt,29500,29920,420
fixation.ivt,30020,30280,260
fixation.ivt,30400,30720,320
fixation.ivt,30800,31120,320
fixation.ivt,31180,31380,200
fixation.ivt,31440,31640,200
fixation.ivt,31720,31900,180
fixation.ivt,31980,32160,180
fixation.ivt,32240,32420,180
fixation.ivt,32540,32780,240
fixation.ivt,33020,33200,180
fixation.ivt,33280,33540,260
fixation.ivt,33620,34380,760
fixation.ivt,34480,34580,100
fixation.ivt,34660,35160,500
fixation.ivt,35240,35440,200
fixation.ivt,35520,35680,160
fixation.ivt,35780,35980,200
fixation.ivt,36040,36420,380
fixation.ivt,36500,37360,860
fixation.ivt,37500,37600,100
fixation.ivt,37700,37800,100
fixation.ivt,37860,38660,800
fixation.ivt,38720,39740,1020
fixation.ivt,39840,39940,100
fixation.ivt,120,220,100
fixation.ivt,880,1020,140
fixation.ivt,1820,1920,100
fixation.ivt,2300,2520,220
fixation.ivt,2560,2840,280
fixation.ivt,2940,3860,920
fixation.ivt,3920,4300,380
fixation.ivt,4400,5080,680
fixation.ivt,5200,5300,100
fixation.ivt,5560,6020,460
fixation.ivt,6120,6740,620
fixation.ivt,6900,7060,160
