name,onset,offset,duration
fixation.ivt,40,1040,1000
fixation.ivt,1120,1480,360
fixation.ivt,1560,1800,240
fixation.ivt,2060,2200,140
fixation.ivt,2300,2400,100
fixation.ivt,2480,2720,240
fixation.ivt,2820,3120,300
fixation.ivt,3420,3700,280
fixation.ivt,3820,3940,120
fixation.ivt,4040,4180,140
fixation.ivt,4240,4540,300
fixation.ivt,4660,4860,200
fixation.ivt,5020,5260,240
fixation.ivt,6040,6240,200
fixation.ivt,6340,6480,140
fixation.ivt,6580,6700,120
fixation.ivt,6800,7340,540
fixation.ivt,7460,7900,440
fixation.ivt,8020,8160,140
fixation.ivt,8300,8420,120
fixation.ivt,8900,9040,140
fixation.ivt,9100,9240,140
fixation.ivt,9340,9620,280
fixation.ivt,9720,9820,100
fixation.ivt,10120,10320,200
fixation.ivt,10420,10640,220
fixation.ivt,11060,11360,300
fixation.ivt,11440,11580,140
fixation.ivt,11680,11840,160
fixation.ivt,11940,12220,280
fixation.ivt,12320,12680,360
fixation.ivt,12780,12900,120
fixation.ivt,13240,13360,120
fixation.ivt,13400,13500,100
fixation.ivt,13620,13900,280
fixation.ivt,14300,14560,260
fixation.ivt,14980,15140,160
fixation.ivt,15260,15720,460
fixation.ivt,15820,15960,140
fixation.ivt,16060,16180,120
fixation.ivt,16280,16560,280
fixation.ivt,16660,16980,320
fixation.ivt,17060,17280,220
fixation.ivt,17460,17600,140
fixation.ivt,17700,17980,280
fixation.ivt,18100,18240,140
fixation.ivt,18340,18620,280
fixation.ivt,18740,18840,100
fixation.ivt,18880,19140,260
fixation.ivt,19680,19880,200
fixation.ivt,20200,20460,260
fixation.ivt,20560,20780,220
fixation.ivt,20880,21000,120
fixation.ivt,21100,21660,560
fixation.ivt,21800,21960,160
fixation.ivt,22060,22920,860
fixation.ivt,23100,23240,140
fixation.ivt,24380,25340,960
fixation.ivt,25460,25620,160
fixation.ivt,25660,25820,160
fixation.ivt,27280,27420,140
fixation.ivt,27520,27960,440
fixation.ivt,28060,28440,380
fixation.ivt,28660,29240,580
fixation.ivt,29340,29540,200
fixation.ivt,29620,30580,960
fixation.ivt,30680,30960,280
fixation.ivt,31060,31620,560
fixation.ivt,32340,32440,100
fixation.ivt,32560,32740,180
fixation.ivt,32860,33020,160
fixation.ivt,33120,33440,320
fixation.ivt,33620,33760,140
fixation.ivt,34660,34760,100
fixation.ivt,35220,35480,260
fixation.ivt,35620,35780,160
fixation.ivt,35920,37560,1640
fixation.ivt,37840,39580,1740
fixation.ivt,39820,39940,120
fixation.ivt,40,1040,1000
fixation.ivt,1120,1480,360
fixation.ivt,1560,1800,240
fixation.ivt,2060,2200,140
fixation.ivt,2300,2400,100
fixation.ivt,2480,2720,240
fixation.ivt,2820,3120,300
fixation.ivt,3420,3700,280
fixation.ivt,3820,3940,120
fixation.ivt,4040,4180,140
fixation.ivt,4240,4540,300
fixation.ivt,4660,4860,200
fixation.ivt,5020,5260,240
fixation.ivt,6040,6240,200
fixation.ivt,6340,6480,140
fixation.ivt,6580,6700,120
fixation.ivt,6800,7340,540
fixation.ivt,7460,7900,440
fixation.ivt,8020,8160,140
fixation.ivt,8300,8420,120
fixation.ivt,8900,9040,140
fixation.ivt,9100,9240,140
fixation.ivt,9340,9620,280
fixation.ivt,9720,9820,100
fixation.ivt,10120,10320,200
fixation.ivt,10420,10640,220
fixation.ivt,11060,11360,300
fixation.ivt,11440,11580,140
fixation.ivt,11680,11840,160
fixation.ivt,11940,12220,280
fixation.ivt,12320,12680,360
fixation.ivt,12780,12900,120
