name,onset,offset,duration
fixation.ivt,40,340,300
fixation.ivt,640,1220,580
fixation.ivt,1320,1520,200
fixation.ivt,1900,2000,100
fixation.ivt,2100,2680,580
fixation.ivt,2720,2960,240
fixation.ivt,3020,3720,700
fixation.ivt,3820,4280,460
fixation.ivt,4340,5700,1360
fixation.ivt,5760,7640,1880
fixation.ivt,7720,8280,560
fixation.ivt,8380,8560,180
fixation.ivt,8660,8940,280
fixation.ivt,9040,9220,180
fixation.ivt,9340,10540,1200
fixation.ivt,10600,11040,440
fixation.ivt,11360,12240,880
fixation.ivt,12480,13160,680
fixation.ivt,13220,13400,180
fixation.ivt,13500,13900,400
fixation.ivt,14120,14380,260
fixation.ivt,14440,14560,120
fixation.ivt,14640,15440,800
fixation.ivt,15500,15640,140
fixation.ivt,15720,16320,600
fixation.ivt,16380,16620,240
fixation.ivt,16760,16900,140
fixation.ivt,16960,17220,260
fixation.ivt,17280,17380,100
fixation.ivt,17480,17840,360
fixation.ivt,18000,18360,360
fixation.ivt,18460,18640,180
fixation.ivt,18700,18820,120
fixation.ivt,18920,19860,940
fixation.ivt,19960,20180,220
fixation.ivt,20260,20400,140
fixation.ivt,20460,20820,360
fixation.ivt,21200,21860,660
fixation.ivt,21920,22080,160
fixation.ivt,22360,22500,140
fixation.ivt,22560,22740,180
fixation.ivt,22840,23340,500
fixation.ivt,23380,23620,240
fixation.ivt,23880,24040,160
fixation.ivt,24100,24460,360
fixation.ivt,24520,24680,160
fixation.ivt,24760,24900,140
fixation.ivt,24960,25080,120
fixation.ivt,25380,25480,100
fixation.ivt,25680,25780,100
fixation.ivt,25820,26440,620
fixation.ivt,26480,27240,760
fixation.ivt,27320,27560,240
fixation.ivt,27640,28600,960
fixation.ivt,28680,28800,120
fixation.ivt,28840,29100,260
fixation.ivt,29420,29940,520
fixation.ivt,30200,30380,180
fixation.ivt,30480,30600,120
fixation.ivt,30880,31920,1040
fixation.ivt,31980,32240,260
fixation.ivt,32300,32620,320
fixation.ivt,32660,33140,480
fixation.ivt,33180,33540,360
fixation.ivt,33620,33940,320
fixation.ivt,34020,34220,200
fixation.ivt,34300,34500,200
fixation.ivt,34580,34700,120
fixation.ivt,34960,35060,100
fixation.ivt,35180,35820,640
fixation.ivt,35860,36400,540
fixation.ivt,36480,36620,140
fixation.ivt,36680,37100,420
fixation.ivt,37140,37280,140
fixation.ivt,37360,37640,280
fixation.ivt,37720,37860,140
fixation.ivt,37920,38240,320
fixation.ivt,38320,39820,1500
fixation.ivt,40,340,300
fixation.ivt,640,1220,580
fixation.ivt,1320,1520,200
fixation.ivt,1900,2000,100
fixation.ivt,2100,2680,580
fixation.ivt,2720,2960,240
fixation.ivt,3020,3720,700
fixation.ivt,3820,4280,460
fixation.ivt,4340,5700,1360
fixation.ivt,5760,7640,1880
fixation.ivt,7720,8280,560
fixation.ivt,8380,8560,180
fixation.ivt,8660,8940,280
fixation.ivt,9040,9220,180
fixation.ivt,9340,10540,1200
fixation.ivt,10600,11040,440
fixation.ivt,11360,12240,880
fixation.ivt,12480,13160,680
fixation.ivt,13220,13400,180
fixation.ivt,13500,13900,400
fixation.ivt,14120,14380,260
fixation.ivt,14440,14560,120
fixation.ivt,14640,15440,800
fixation.ivt,15500,15640,140
fixation.ivt,15720,16320,600
fixation.ivt,16380,16620,240
fixation.ivt,16760,16900,140
fixation.ivt,16960,17220,260
fixation.ivt,17280,17380,100
fixation.ivt,17480,17840,360
fixation.ivt,18000,18360,360
fixation.ivt,18460,18640,180
fixation.ivt,18700,18820,120
fixation.ivt,18920,19860,940
fixation.ivt,19960,20180,220
fixation.ivt,20260,20400,140
fixation.ivt,20460,20820,360
fixation.ivt,21200,21860,660
fixation.ivt,21920,22080,160
fixation.ivt,22360,22500,140
fixation.ivt,22560,22740,180
fixation.ivt,22840,23340,500
fixation.ivt,23380,23620,240
fixation.ivt,23880,24040,160
fixation.ivt,24100,24460,360
fixation.ivt,24520,24680,160
fixation.ivt,24760,24900,140
fixation.ivt,24960,25080,120
fixation.ivt,25380,25480,100
fixation.ivt,25680,25780,100
fixation.ivt,25820,26440,620
fixation.ivt,26480,27240,760
fixation.ivt,27320,27560,240
fixation.ivt,27640,28600,960
fixation.ivt,28680,28800,120
fixation.ivt,28840,29100,260
fixation.ivt,29420,29940,520
fixation.ivt,30200,30380,180
fixation.ivt,30480,30600,120
fixation.ivt,30880,31920,1040
fixation.ivt,31980,32240,260
fixation.ivt,32300,32620,320
fixation.ivt,32660,33140,480
fixation.ivt,33180,33540,360
fixation.ivt,33620,33940,320
fixation.ivt,34020,34220,200
fixation.ivt,34300,34500,200
fixation.ivt,34580,34700,120
fixation.ivt,34960,35060,100
fixation.ivt,35180,35820,640
fixation.ivt,35860,36400,540
fixation.ivt,36480,36620,140
fixation.ivt,36680,37100,420
fixation.ivt,37140,37280,140
fixation.ivt,37360,37640,280
fixation.ivt,37720,37860,140
fixation.ivt,37920,38240,320
fixation.ivt,38320,39820,1500
fixation.ivt,40,340,300
fixation.ivt,640,1220,580
fixation.ivt,1320,1520,200
fixation.ivt,1900,2000,100
fixation.ivt,2100,2680,580
fixation.ivt,2720,2960,240
fixation.ivt,3020,3720,700
fixation.ivt,3820,4280,460
fixation.ivt,4340,5700,1360
fixation.ivt,5760,7640,1880
fixation.ivt,7720,8280,560
fixation.ivt,8380,8560,180
fixation.ivt,8660,8940,280
fixation.ivt,9040,9220,180
fixation.ivt,9340,10540,1200
fixation.ivt,10600,11040,440
fixation.ivt,11360,12240,880
fixation.ivt,12480,13160,680
fixation.ivt,13220,13400,180
fixation.ivt,13500,13900,400
fixation.ivt,14120,14380,260
fixation.ivt,14440,14560,120
fixation.ivt,14640,15440,800
fixation.ivt,15500,15640,140
fixation.ivt,15720,16320,600
fixation.ivt,16380,16620,240
fixation.ivt,16760,16900,140
fixation.ivt,16960,17220,260
fixation.ivt,17280,17380,100
fixation.ivt,17480,17840,360
fixation.ivt,18000,18360,360
fixation.ivt,18460,18640,180
fixation.ivt,18700,18820,120
fixation.ivt,18920,19860,940
fixation.ivt,19960,20180,220
fixation.ivt,20260,20400,140
fixation.ivt,20460,20820,360
fixation.ivt,21200,21860,660
fixation.ivt,21920,22080,160
fixation.ivt,22360,22500,140
fixation.ivt,22560,22740,180
fixation.ivt,22840,23340,500
fixation.ivt,23380,23620,240
fixation.ivt,23880,24040,160
fixation.ivt,24100,24460,360
fixation.ivt,24520,24680,160
fixation.ivt,24760,24900,140
fixation.ivt,24960,25080,120
fixation.ivt,25380,25480,100
fixation.ivt,25680,25780,100
fixation.ivt,25820,26440,620
fixation.ivt,26480,27240,760
fixation.ivt,27320,27560,240
fixation.ivt,27640,28600,960
fixation.ivt,28680,28800,120
fixation.ivt,28840,29100,260
fixation.ivt,29420,29940,520
fixation.ivt,30200,30380,180
fixation.ivt,30480,30600,120
fixation.ivt,30880,31920,1040
fixation.ivt,31980,32240,260
fixation.ivt,32300,32620,320
fixation.ivt,32660,33140,480
fixation.ivt,33180,33540,360
fixation.ivt,33620,33940,320
fixation.ivt,34020,34220,200
fixation.ivt,34300,34500,200
fixation.ivt,34580,34700,120
fixation.ivt,34960,35060,100
fixation.ivt,35180,35820,640
fixation.ivt,35860,36400,540
fixation.ivt,36480,36620,140
fixation.ivt,36680,37100,420
fixation.ivt,37140,37280,140
fixation.ivt,37360,37640,280
fixation.ivt,37720,37860,140
fixation.ivt,37920,38240,320
fixation.ivt,38320,39820,1500
fixation.ivt,40,340,300
fixation.ivt,640,1220,580
fixation.ivt,1320,1520,200
fixation.ivt,1900,2000,100
fixation.ivt,2100,2680,580
fixation.ivt,2720,2960,240
