name,onset,offset,duration
fixation.ivt,240,460,220
fixation.ivt,1320,2020,700
fixation.ivt,2080,2200,120
fixation.ivt,2400,2540,140
fixation.ivt,2700,2820,120
fixation.ivt,2920,3180,260
fixation.ivt,3220,3340,120
fixation.ivt,3800,3940,140
fixation.ivt,4840,4960,120
fixation.ivt,5060,5220,160
fixation.ivt,5380,5620,240
fixation.ivt,6020,6240,220
fixation.ivt,6300,6620,320
fixation.ivt,6880,7020,140
fixation.ivt,7140,7300,160
fixation.ivt,7600,8020,420
fixation.ivt,8440,8640,200
fixation.ivt,8760,9020,260
fixation.ivt,9360,9680,320
fixation.ivt,10100,10240,140
fixation.ivt,10300,10560,260
fixation.ivt,11700,11840,140
fixation.ivt,11900,12120,220
fixation.ivt,12340,12440,100
fixation.ivt,12540,12660,120
fixation.ivt,12860,13120,260
fixation.ivt,13180,13380,200
fixation.ivt,14520,14800,280
fixation.ivt,14880,15080,200
fixation.ivt,15180,15640,460
fixation.ivt,15760,16120,360
fixation.ivt,16740,16940,200
fixation.ivt,17660,17820,160
fixation.ivt,17960,18100,140
fixation.ivt,18480,18640,160
fixation.ivt,18780,18900,120
fixation.ivt,18980,19140,160
fixation.ivt,19200,19300,100
fixation.ivt,19400,19900,500
fixation.ivt,20040,20700,660
fixation.ivt,20960,21200,240
fixation.ivt,21260,21360,100
fixation.ivt,21440,21760,320
fixation.ivt,21840,22080,240
fixation.ivt,22180,22360,180
fixation.ivt,22700,22840,140
fixation.ivt,22940,23520,580
fixation.ivt,23580,23960,380
fixation.ivt,24080,24240,160
fixation.ivt,24320,24420,100
fixation.ivt,24520,24680,160
fixation.ivt,24780,25340,560
fixation.ivt,25600,25960,360
fixation.ivt,26060,26280,220
fixation.ivt,26600,26740,140
fixation.ivt,26840,27000,160
fixation.ivt,27080,27180,100
fixation.ivt,27280,27540,260
fixation.ivt,27640,27860,220
fixation.ivt,27940,28100,160
fixation.ivt,28400,28740,340
fixation.ivt,28820,28920,100
fixation.ivt,29020,29140,120
fixation.ivt,29600,29840,240
fixation.ivt,29960,30240,280
fixation.ivt,30360,30720,360
fixation.ivt,30840,31680,840
fixation.ivt,32680,32900,220
fixation.ivt,33200,33440,240
fixation.ivt,33700,33940,240
fixation.ivt,34000,34120,120
fixation.ivt,34420,34700,280
fixation.ivt,37200,37320,120
fixation.ivt,39120,39940,820
fixation.ivt,240,460,220
fixation.ivt,1320,2020,700
fixation.ivt,2080,2200,120
fixation.ivt,2400,2540,140
fixation.ivt,2700,2820,120
fixation.ivt,2920,3180,260
fixation.ivt,3220,3340,120
fixation.ivt,3800,3940,140
fixation.ivt,4840,4960,120
fixation.ivt,5060,5220,160
fixation.ivt,5380,5620,240
fixation.ivt,6020,6240,220
fixation.ivt,6300,6620,320
fixation.ivt,6880,7020,140
fixation.ivt,7140,7300,160
fixation.ivt,7600,8020,420
fixation.ivt,8440,8640,200
fixation.ivt,8760,9020,260
fixation.ivt,9360,9680,320
fixation.ivt,10100,10240,140
fixation.ivt,10300,10560,260
fixation.ivt,11700,11840,140
fixation.ivt,11900,12120,220
fixation.ivt,12340,12440,100
fixation.ivt,12540,12660,120
fixation.ivt,12860,13120,260
fixation.ivt,13180,13380,200
fixation.ivt,14520,14800,280
fixation.ivt,14880,15080,200
fixation.ivt,15180,15640,460
fixation.ivt,15760,16120,360
fixation.ivt,16740,16940,200
fixation.ivt,17660,17820,160
fixation.ivt,17960,18100,140
fixation.ivt,18480,18640,160
fixation.ivt,18780,18900,120
fixation.ivt,18980,19140,160
fixation.ivt,19200,19300,100
fixation.ivt,19400,19900,500
fixation.ivt,20040,20700,660
fixation.ivt,20960,21200,240
fixation.ivt,21260,21360,100
fixation.ivt,21440,21760,320
fixation.ivt,21840,22080,240
fixation.ivt,22180,22360,180
fixation.ivt,22700,22840,140
fixation.ivt,22940,23520,580
fixation.ivt,23580,23960,380
fixation.ivt,24080,24240,160
fixation.ivt,24320,24420,100
fixation.ivt,24520,24680,160
fixation.ivt,24780,25340,560
fixation.ivt,25600,25960,360
fixation.ivt,26060,26280,220
fixation.ivt,26600,26740,140
fixation.ivt,26840,27000,160
fixation.ivt,27080,27180,100
fixation.ivt,27280,27540,260
fixation.ivt,27640,27860,220
fixation.ivt,27940,28100,160
fixation.ivt,28400,28740,340
fixation.ivt,28820,28920,100
fixation.ivt,29020,29140,120
fixation.ivt,29600,29840,240
fixation.ivt,29960,30240,280
fixation.ivt,30360,30720,360
fixation.ivt,30840,31680,840
fixation.ivt,32680,32900,220
fixation.ivt,33200,33440,240
fixation.ivt,33700,33940,240
fixation.ivt,34000,34120,120
fixation.ivt,34420,34700,280
fixation.ivt,37200,37320,120
fixation.ivt,39120,39940,820
fixation.ivt,240,460,220
fixation.ivt,1320,2020,700
fixation.ivt,2080,2200,120
fixation.ivt,2400,2540,140
fixation.ivt,2700,2820,120
fixation.ivt,2920,3180,260
fixation.ivt,3220,3340,120
fixation.ivt,3800,3940,140
fixation.ivt,4840,4960,120
fixation.ivt,5060,5220,160
fixation.ivt,5380,5620,240
fixation.ivt,6020,6240,220
fixation.ivt,6300,6620,320
fixation.ivt,6880,7020,140
fixation.ivt,7140,7300,160
fixation.ivt,7600,8020,420
fixation.ivt,8440,8640,200
fixation.ivt,8760,9020,260
fixation.ivt,9360,9680,320
fixation.ivt,10100,10240,140
fixation.ivt,10300,10560,260
fixation.ivt,11700,11840,140
fixation.ivt,11900,12120,220
fixation.ivt,12340,12440,100
fixation.ivt,12540,12660,120
fixation.ivt,12860,13120,260
fixation.ivt,13180,13380,200
