name,onset,offset,duration
fixation.ivt,40,460,420
fixation.ivt,540,740,200
fixation.ivt,820,940,120
fixation.ivt,1020,1500,480
fixation.ivt,1600,1720,120
fixation.ivt,1840,1960,120
fixation.ivt,2040,2160,120
fixation.ivt,2280,2440,160
fixation.ivt,2540,2820,280
fixation.ivt,3160,3400,240
fixation.ivt,3500,3680,180
fixation.ivt,3780,3900,120
fixation.ivt,3980,4120,140
fixation.ivt,4220,4320,100
fixation.ivt,4420,4560,140
fixation.ivt,5040,5240,200
fixation.ivt,5340,5640,300
fixation.ivt,5780,5920,140
fixation.ivt,6120,6220,100
fixation.ivt,6320,6440,120
fixation.ivt,6560,6660,100
fixation.ivt,6800,6900,100
fixation.ivt,7000,7200,200
fixation.ivt,7320,7440,120
fixation.ivt,7540,7700,160
fixation.ivt,7800,8000,200
fixation.ivt,8720,8900,180
fixation.ivt,9380,9500,120
fixation.ivt,9800,10020,220
fixation.ivt,10080,10180,100
fixation.ivt,10280,10400,120
fixation.ivt,10740,10860,120
fixation.ivt,10960,11100,140
fixation.ivt,11200,11420,220
fixation.ivt,11540,11980,440
fixation.ivt,12080,12220,140
fixation.ivt,12460,12780,320
fixation.ivt,12900,13000,100
fixation.ivt,13100,13240,140
fixation.ivt,13340,13580,240
fixation.ivt,13880,14020,140
fixation.ivt,14280,14420,140
fixation.ivt,14540,14680,140
fixation.ivt,14860,15000,140
fixation.ivt,15120,15220,100
fixation.ivt,15320,15440,120
fixation.ivt,15540,16300,760
fixation.ivt,16400,16640,240
fixation.ivt,16960,17220,260
fixation.ivt,19000,19100,100
fixation.ivt,19140,19260,120
fixation.ivt,19380,19620,240
fixation.ivt,19660,20300,640
fixation.ivt,20560,21440,880
fixation.ivt,21540,22060,520
fixation.ivt,22100,22440,340
fixation.ivt,23380,23540,160
fixation.ivt,23680,23880,200
fixation.ivt,24000,24360,360
fixation.ivt,24480,24700,220
fixation.ivt,25020,25640,620
fixation.ivt,25740,25860,120
fixation.ivt,25940,26120,180
fixation.ivt,26220,26820,600
fixation.ivt,26940,27040,100
fixation.ivt,27360,27480,120
fixation.ivt,27640,27740,100
fixation.ivt,28120,28460,340
fixation.ivt,28540,28640,100
fixation.ivt,28720,28960,240
fixation.ivt,29260,29460,200
fixation.ivt,40,460,420
fixation.ivt,540,740,200
fixation.ivt,820,940,120
fixation.ivt,1020,1500,480
fixation.ivt,1600,1720,120
fixation.ivt,1840,1960,120
fixation.ivt,2040,2160,120
fixation.ivt,2280,2440,160
fixation.ivt,2540,2820,280
fixation.ivt,3160,3400,240
fixation.ivt,3500,3680,180
fixation.ivt,3780,3900,120
fixation.ivt,3980,4120,140
fixation.ivt,4220,4320,100
fixation.ivt,4420,4560,140
fixation.ivt,5040,5240,200
fixation.ivt,5340,5640,300
fixation.ivt,5780,5920,140
fixation.ivt,6120,6220,100
fixation.ivt,6320,6440,120
fixation.ivt,6560,6660,100
fixation.ivt,6800,6900,100
fixation.ivt,7000,7200,200
fixation.ivt,7320,7440,120
fixation.ivt,7540,7700,160
fixation.ivt,7800,8000,200
fixation.ivt,8720,8900,180
fixation.ivt,9380,9500,120
fixation.ivt,9800,10020,220
fixation.ivt,10080,10180,100
fixation.ivt,10280,10400,120
fixation.ivt,10740,10860,120
fixation.ivt,10960,11100,140
fixation.ivt,11200,11420,220
fixation.ivt,11540,11980,440
fixation.ivt,12080,12220,140
fixation.ivt,12460,12780,320
fixation.ivt,12900,13000,100
fixation.ivt,13100,13240,140
fixation.ivt,13340,13580,240
fixation.ivt,13880,14020,140
fixation.ivt,14280,14420,140
fixation.ivt,14540,14680,140
fixation.ivt,14860,15000,140
fixation.ivt,15120,15220,100
fixation.ivt,15320,15440,120
fixation.ivt,15540,16300,760
fixation.ivt,16400,16640,240
fixation.ivt,16960,17220,260
fixation.ivt,19000,19100,100
fixation.ivt,19140,19260,120
fixation.ivt,19380,19620,240
fixation.ivt,19660,20300,640
fixation.ivt,20560,21440,880
fixation.ivt,21540,22060,520
fixation.ivt,22100,22440,340
fixation.ivt,23380,23540,160
fixation.ivt,23680,23880,200
fixation.ivt,24000,24360,360
fixation.ivt,24480,24700,220
fixation.ivt,25020,25640,620
fixation.ivt,25740,25860,120
fixation.ivt,25940,26120,180
fixation.ivt,26220,26820,600
fixation.ivt,26940,27040,100
fixation.ivt,27360,27480,120
fixation.ivt,27640,27740,100
fixation.ivt,28120,28460,340
fixation.ivt,28540,28640,100
fixation.ivt,28720,28960,240
fixation.ivt,29260,29460,200
fixation.ivt,40,460,420
fixation.ivt,540,740,200
fixation.ivt,820,940,120
fixation.ivt,1020,1500,480
fixation.ivt,1600,1720,120
fixation.ivt,1840,1960,120
fixation.ivt,2040,2160,120
fixation.ivt,2280,2440,160
fixation.ivt,2540,2820,280
fixation.ivt,3160,3400,240
fixation.ivt,3500,3680,180
fixation.ivt,3780,3900,120
fixation.ivt,3980,4120,140
fixation.ivt,4220,4320,100
fixation.ivt,4420,4560,140
fixation.ivt,5040,5240,200
fixation.ivt,5340,5640,300
fixation.ivt,5780,5920,140
fixation.ivt,6120,6220,100
fixation.ivt,6320,6440,120
fixation.ivt,6560,6660,100
fixation.ivt,6800,6900,100
fixation.ivt,7000,7200,200
fixation.ivt,7320,7440,120
fixation.ivt,7540,7700,160
fixation.ivt,7800,8000,200
fixation.ivt,8720,8900,180
fixation.ivt,9380,9500,120
fixation.ivt,9800,10020,220
fixation.ivt,10080,10180,100
fixation.ivt,10280,10400,120
fixation.ivt,10740,10860,120
fixation.ivt,10960,11100,140
fixation.ivt,11200,11420,220
fixation.ivt,11540,11980,440
fixation.ivt,12080,12220,140
fixation.ivt,12460,12780,320
fixation.ivt,12900,13000,100
fixation.ivt,13100,13240,140
fixation.ivt,13340,13580,240
fixation.ivt,13880,14020,140
fixation.ivt,14280,14420,140
fixation.ivt,14540,14680,140
fixation.ivt,14860,15000,140
fixation.ivt,15120,15220,100
fixation.ivt,15320,15440,120
fixation.ivt,15540,16300,760
fixation.ivt,16400,16640,240
fixation.ivt,16960,17220,260
fixation.ivt,19000,19100,100
fixation.ivt,19140,19260,120
fixation.ivt,19380,19620,240
fixation.ivt,19660,20300,640
fixation.ivt,20560,21440,880
fixation.ivt,21540,22060,520
fixation.ivt,22100,22440,340
fixation.ivt,23380,23540,160
fixation.ivt,23680,23880,200
fixation.ivt,24000,24360,360
fixation.ivt,24480,24700,220
fixation.ivt,25020,25640,620
fixation.ivt,25740,25860,120
fixation.ivt,25940,26120,180
fixation.ivt,26220,26820,600
fixation.ivt,26940,27040,100
fixation.ivt,27360,27480,120
fixation.ivt,27640,27740,100
fixation.ivt,28120,28460,340
fixation.ivt,28540,28640,100
fixation.ivt,28720,28960,240
fixation.ivt,29260,29460,200
fixation.ivt,40,460,420
fixation.ivt,540,740,200
fixation.ivt,820,940,120
fixation.ivt,1020,1500,480
fixation.ivt,1600,1720,120
fixation.ivt,1840,1960,120
fixation.ivt,2040,2160,120
fixation.ivt,2280,2440,160
fixation.ivt,2540,2820,280
fixation.ivt,3160,3400,240
fixation.ivt,3500,3680,180
fixation.ivt,3780,3900,120
fixation.ivt,3980,4120,140
fixation.ivt,4220,4320,100
fixation.ivt,4420,4560,140
fixation.ivt,5040,5240,200
fixation.ivt,5340,5640,300
fixation.ivt,5780,5920,140
fixation.ivt,6120,6220,100
fixation.ivt,6320,6440,120
fixation.ivt,6560,6660,100
fixation.ivt,6800,6900,100
fixation.ivt,7000,7200,200
fixation.ivt,7320,7440,120
fixation.ivt,7540,7700,160
fixation.ivt,7800,8000,200
fixation.ivt,8720,8900,180
fixation.ivt,9380,9500,120
fixation.ivt,9800,10020,220
fixation.ivt,10080,10180,100
fixation.ivt,10280,10400,120
fixation.ivt,10740,10860,120
fixation.ivt,10960,11100,140
fixation.ivt,11200,11420,220
fixation.ivt,11540,11980,440
fixation.ivt,12080,12220,140
fixation.ivt,12460,12780,320
fixation.ivt,12900,13000,100
fixation.ivt,13100,13240,140
fixation.ivt,13340,13580,240
fixation.ivt,13880,14020,140
fixation.ivt,14280,14420,140
fixation.ivt,14540,14680,140
fixation.ivt,14860,15000,140
fixation.ivt,15120,15220,100
fixation.ivt,15320,15440,120
fixation.ivt,15540,16300,760
fixation.ivt,16400,16640,240
