name,onset,offset,duration
fixation.ivt,40,780,740
fixation.ivt,840,1140,300
fixation.ivt,1220,1460,240
fixation.ivt,1540,2400,860
fixation.ivt,2520,2900,380
fixation.ivt,3000,3200,200
fixation.ivt,3300,3620,320
fixation.ivt,3700,3900,200
fixation.ivt,4060,4340,280
fixation.ivt,4440,4660,220
fixation.ivt,4800,5180,380
fixation.ivt,5280,5500,220
fixation.ivt,5600,6180,580
fixation.ivt,6300,6720,420
fixation.ivt,6840,7080,240
fixation.ivt,7200,7500,300
fixation.ivt,7600,8300,700
fixation.ivt,8380,8480,100
fixation.ivt,8600,9080,480
fixation.ivt,9160,9540,380
fixation.ivt,9580,9780,200
fixation.ivt,9880,10540,660
fixation.ivt,10660,11000,340
fixation.ivt,11100,11480,380
fixation.ivt,11560,12380,820
fixation.ivt,12520,12620,100
fixation.ivt,12660,13140,480
fixation.ivt,13220,13400,180
fixation.ivt,13540,13780,240
fixation.ivt,13880,14100,220
fixation.ivt,14220,14400,180
fixation.ivt,14520,14720,200
fixation.ivt,14800,15060,260
fixation.ivt,15160,15380,220
fixation.ivt,15460,15920,460
fixation.ivt,16000,16100,100
fixation.ivt,16220,16680,460
fixation.ivt,16780,17160,380
fixation.ivt,17240,17480,240
fixation.ivt,17540,17660,120
fixation.ivt,17760,18100,340
fixation.ivt,18200,18320,120
fixation.ivt,18400,19540,1140
fixation.ivt,19640,19780,140
fixation.ivt,19880,20020,140
fixation.ivt,20200,20740,540
fixation.ivt,20840,20960,120
fixation.ivt,21060,21180,120
fixation.ivt,21300,21680,380
fixation.ivt,21780,22480,700
fixation.ivt,22580,22680,100
fixation.ivt,22780,22980,200
fixation.ivt,23080,23440,360
fixation.ivt,23540,23760,220
fixation.ivt,23860,24040,180
fixation.ivt,24140,24260,120
fixation.ivt,24340,24500,160
fixation.ivt,24620,24800,180
fixation.ivt,24940,25100,160
fixation.ivt,25140,25620,480
fixation.ivt,25740,25900,160
fixation.ivt,26020,26220,200
fixation.ivt,26340,26580,240
fixation.ivt,26680,27040,360
fixation.ivt,27340,27840,500
fixation.ivt,27940,28380,440
fixation.ivt,28480,28600,120
fixation.ivt,28720,29280,560
fixation.ivt,29380,29500,120
fixation.ivt,29600,29900,300
fixation.ivt,30120,30400,280
fixation.ivt,30960,31060,100
fixation.ivt,31180,31300,120
fixation.ivt,33340,33440,100
fixation.ivt,33560,33880,320
fixation.ivt,33980,34100,120
fixation.ivt,34180,34460,280
fixation.ivt,34900,35820,920
fixation.ivt,35940,36260,320
fixation.ivt,36400,36640,240
fixation.ivt,36800,37120,320
fixation.ivt,37480,37640,160
fixation.ivt,37820,37960,140
fixation.ivt,38320,38680,360
fixation.ivt,38940,39340,400
fixation.ivt,39720,39940,220
fixation.ivt,40,780,740
fixation.ivt,840,1140,300
fixation.ivt,1220,1460,240
fixation.ivt,1540,2400,860
fixation.ivt,2520,2900,380
fixation.ivt,3000,3200,200
fixation.ivt,3300,3620,320
fixation.ivt,3700,3900,200
fixation.ivt,4060,4340,280
fixation.ivt,4440,4660,220
fixation.ivt,4800,5180,380
fixation.ivt,5280,5500,220
fixation.ivt,5600,6180,580
fixation.ivt,6300,6720,420
fixation.ivt,6840,7080,240
fixation.ivt,7200,7500,300
fixation.ivt,7600,8300,700
fixation.ivt,8380,8480,100
fixation.ivt,8600,9080,480
fixation.ivt,9160,9540,380
fixation.ivt,9580,9780,200
fixation.ivt,9880,10540,660
fixation.ivt,10660,11000,340
fixation.ivt,11100,11480,380
fixation.ivt,11560,12380,820
fixation.ivt,12520,12620,100
fixation.ivt,12660,13140,480
fixation.ivt,13220,13400,180
fixation.ivt,13540,13780,240
fixation.ivt,13880,14100,220
fixation.ivt,14220,14400,180
fixation.ivt,14520,14720,200
fixation.ivt,14800,15060,260
fixation.ivt,15160,15380,220
fixation.ivt,15460,15920,460
fixation.ivt,16000,16100,100
fixation.ivt,16220,16680,460
fixation.ivt,16780,17160,380
fixation.ivt,17240,17480,240
fixation.ivt,17540,17660,120
fixation.ivt,17760,18100,340
fixation.ivt,18200,18320,120
fixation.ivt,18400,19540,1140
fixation.ivt,19640,19780,140
fixation.ivt,19880,20020,140
fixation.ivt,20200,20740,540
fixation.ivt,20840,20960,120
fixation.ivt,21060,21180,120
fixation.ivt,21300,21680,380
fixation.ivt,21780,22480,700
fixation.ivt,22580,22680,100
fixation.ivt,22780,22980,200
fixation.ivt,23080,23440,360
fixation.ivt,23540,23760,220
fixation.ivt,23860,24040,180
fixation.ivt,24140,24260,120
fixation.ivt,24340,24500,160
fixation.ivt,24620,24800,180
fixation.ivt,24940,25100,160
fixation.ivt,25140,25620,480
fixation.ivt,25740,25900,160
fixation.ivt,26020,26220,200
fixation.ivt,26340,26580,240
fixation.ivt,26680,27040,360
fixation.ivt,27340,27840,500
fixation.ivt,27940,28380,440
fixation.ivt,28480,28600,120
fixation.ivt,28720,29280,560
fixation.ivt,29380,29500,120
fixation.ivt,29600,29900,300
fixation.ivt,30120,30400,280
fixation.ivt,30960,31060,100
fixation.ivt,31180,31300,120
fixation.ivt,33340,33440,100
fixation.ivt,33560,33880,320
fixation.ivt,33980,34100,120
fixation.ivt,34180,34460,280
fixation.ivt,34900,35820,920
fixation.ivt,35940,36260,320
fixation.ivt,36400,36640,240
fixation.ivt,36800,37120,320
fixation.ivt,37480,37640,160
fixation.ivt,37820,37960,140
fixation.ivt,38320,38680,360
fixation.ivt,38940,39340,400
fixation.ivt,39720,39940,220
fixation.ivt,40,780,740
fixation.ivt,840,1140,300
fixation.ivt,1220,1460,240
fixation.ivt,1540,2400,860
fixation.ivt,2520,2900,380
fixation.ivt,3000,3200,200
fixation.ivt,3300,3620,320
fixation.ivt,3700,3900,200
fixation.ivt,4060,4340,280
fixation.ivt,4440,4660,220
fixation.ivt,4800,5180,380
fixation.ivt,5280,5500,220
fixation.ivt,5600,6180,580
fixation.ivt,6300,6720,420
fixation.ivt,6840,7080,240
fixation.ivt,7200,7500,300
fixation.ivt,7600,8300,700
fixation.ivt,8380,8480,100
fixation.ivt,8600,9080,480
fixation.ivt,9160,9540,380
fixation.ivt,9580,9780,200
fixation.ivt,9880,10540,660
fixation.ivt,10660,11000,340
fixation.ivt,11100,11480,380
fixation.ivt,11560,12380,820
fixation.ivt,12520,12620,100
fixation.ivt,12660,13140,480
fixation.ivt,13220,13400,180
fixation.ivt,13540,13780,240
fixation.ivt,13880,14100,220
fixation.ivt,14220,14400,180
fixation.ivt,14520,14720,200
fixation.ivt,14800,15060,260
fixation.ivt,15160,15380,220
fixation.ivt,15460,15920,460
fixation.ivt,16000,16100,100
fixation.ivt,16220,16680,460
fixation.ivt,16780,17160,380
fixation.ivt,17240,17480,240
fixation.ivt,17540,17660,120
fixation.ivt,17760,18100,340
fixation.ivt,18200,18320,120
fixation.ivt,18400,19540,1140
fixation.ivt,19640,19780,140
fixation.ivt,19880,20020,140
fixation.ivt,20200,20740,540
fixation.ivt,20840,20960,120
fixation.ivt,21060,21180,120
fixation.ivt,21300,21680,380
fixation.ivt,21780,22480,700
fixation.ivt,22580,22680,100
fixation.ivt,22780,22980,200
fixation.ivt,23080,23440,360
fixation.ivt,23540,23760,220
fixation.ivt,23860,24040,180
fixation.ivt,24140,24260,120
fixation.ivt,24340,24500,160
fixation.ivt,24620,24800,180
