name,onset,offset,duration
fixation.ivt,40,420,380
fixation.ivt,480,580,100
fixation.ivt,680,800,120
fixation.ivt,900,1140,240
fixation.ivt,1240,1360,120
fixation.ivt,1440,1600,160
fixation.ivt,1680,1900,220
fixation.ivt,2180,2320,140
fixation.ivt,2520,2700,180
fixation.ivt,3060,3180,120
fixation.ivt,3280,3540,260
fixation.ivt,3940,4340,400
fixation.ivt,4620,4800,180
fixation.ivt,4880,5040,160
fixation.ivt,5120,5280,160
fixation.ivt,5380,5520,140
fixation.ivt,5680,5780,100
fixation.ivt,6000,6160,160
fixation.ivt,6260,6360,100
fixation.ivt,6640,6900,260
fixation.ivt,6980,7120,140
fixation.ivt,7740,7880,140
fixation.ivt,8140,8260,120
fixation.ivt,8540,8760,220
fixation.ivt,8860,9040,180
fixation.ivt,9340,9500,160
fixation.ivt,9620,9840,220
fixation.ivt,9940,10100,160
fixation.ivt,10200,10300,100
fixation.ivt,10400,10840,440
fixation.ivt,10920,11080,160
fixation.ivt,11180,11300,120
fixation.ivt,11440,11640,200
fixation.ivt,11920,12020,100
fixation.ivt,12120,12260,140
fixation.ivt,12380,12600,220
fixation.ivt,12920,13040,120
fixation.ivt,13140,13300,160
fixation.ivt,13400,13640,240
fixation.ivt,13740,13940,200
fixation.ivt,14040,14480,440
fixation.ivt,15860,16240,380
fixation.ivt,16340,17360,1020
fixation.ivt,17480,17660,180
fixation.ivt,17880,18080,200
fixation.ivt,18200,18620,420
fixation.ivt,18740,19200,460
fixation.ivt,19580,19900,320
fixation.ivt,20420,20580,160
fixation.ivt,20700,20880,180
fixation.ivt,21000,22020,1020
fixation.ivt,22980,23160,180
fixation.ivt,23260,23660,400
fixation.ivt,23760,23960,200
fixation.ivt,24460,24720,260
fixation.ivt,25060,26000,940
fixation.ivt,26120,26240,120
fixation.ivt,26340,26620,280
fixation.ivt,26740,26920,180
fixation.ivt,27020,27420,400
fixation.ivt,27540,28280,740
fixation.ivt,28360,28740,380
fixation.ivt,29020,29280,260
fixation.ivt,29400,29500,100
fixation.ivt,30220,30600,380
fixation.ivt,30740,31380,640
fixation.ivt,31480,32560,1080
fixation.ivt,32680,33020,340
fixation.ivt,33060,33280,220
fixation.ivt,33340,34440,1100
fixation.ivt,34560,34900,340
fixation.ivt,35020,35240,220
fixation.ivt,35380,35540,160
fixation.ivt,36160,37140,980
fixation.ivt,37180,38060,880
fixation.ivt,38160,38320,160
fixation.ivt,38460,38640,180
fixation.ivt,38760,39180,420
fixation.ivt,39360,39900,540
fixation.ivt,40,420,380
fixation.ivt,480,580,100
fixation.ivt,680,800,120
fixation.ivt,900,1140,240
fixation.ivt,1240,1360,120
fixation.ivt,1440,1600,160
fixation.ivt,1680,1900,220
fixation.ivt,2180,2320,140
fixation.ivt,2520,2700,180
fixation.ivt,3060,3180,120
fixation.ivt,3280,3540,260
fixation.ivt,3940,4340,400
fixation.ivt,4620,4800,180
fixation.ivt,4880,5040,160
fixation.ivt,5120,5280,160
fixation.ivt,5380,5520,140
fixation.ivt,5680,5780,100
fixation.ivt,6000,6160,160
fixation.ivt,6260,6360,100
fixation.ivt,6640,6900,260
fixation.ivt,6980,7120,140
fixation.ivt,7740,7880,140
fixation.ivt,8140,8260,120
fixation.ivt,8540,8760,220
fixation.ivt,8860,9040,180
fixation.ivt,9340,9500,160
fixation.ivt,9620,9840,220
fixation.ivt,9940,10100,160
fixation.ivt,10200,10300,100
fixation.ivt,10400,10840,440
fixation.ivt,10920,11080,160
fixation.ivt,11180,11300,120
fixation.ivt,11440,11640,200
fixation.ivt,11920,12020,100
fixation.ivt,12120,12260,140
fixation.ivt,12380,12600,220
fixation.ivt,12920,13040,120
fixation.ivt,13140,13300,160
fixation.ivt,13400,13640,240
fixation.ivt,13740,13940,200
fixation.ivt,14040,14480,440
fixation.ivt,15860,16240,380
fixation.ivt,16340,17360,1020
fixation.ivt,17480,17660,180
fixation.ivt,17880,18080,200
fixation.ivt,18200,18620,420
fixation.ivt,18740,19200,460
fixation.ivt,19580,19900,320
fixation.ivt,20420,20580,160
fixation.ivt,20700,20880,180
fixation.ivt,21000,22020,1020
fixation.ivt,22980,23160,180
fixation.ivt,23260,23660,400
fixation.ivt,23760,23960,200
fixation.ivt,24460,24720,260
fixation.ivt,25060,26000,940
fixation.ivt,26120,26240,120
fixation.ivt,26340,26620,280
fixation.ivt,26740,26920,180
fixation.ivt,27020,27420,400
fixation.ivt,27540,28280,740
fixation.ivt,28360,28740,380
fixation.ivt,29020,29280,260
fixation.ivt,29400,29500,100
fixation.ivt,30220,30600,380
fixation.ivt,30740,31380,640
fixation.ivt,31480,32560,1080
fixation.ivt,32680,33020,340
fixation.ivt,33060,33280,220
fixation.ivt,33340,34440,1100
fixation.ivt,34560,34900,340
fixation.ivt,35020,35240,220
fixation.ivt,35380,35540,160
fixation.ivt,36160,37140,980
fixation.ivt,37180,38060,880
fixation.ivt,38160,38320,160
fixation.ivt,38460,38640,180
fixation.ivt,38760,39180,420
fixation.ivt,39360,39900,540
fixation.ivt,40,420,380
fixation.ivt,480,580,100
fixation.ivt,680,800,120
fixation.ivt,900,1140,240
fixation.ivt,1240,1360,120
fixation.ivt,1440,1600,160
fixation.ivt,1680,1900,220
fixation.ivt,2180,2320,140
fixation.ivt,2520,2700,180
fixation.ivt,3060,3180,120
fixation.ivt,3280,3540,260
fixation.ivt,3940,4340,400
fixation.ivt,4620,4800,180
fixation.ivt,4880,5040,160
fixation.ivt,5120,5280,160
fixation.ivt,5380,5520,140
fixation.ivt,5680,5780,100
fixation.ivt,6000,6160,160
fixation.ivt,6260,6360,100
fixation.ivt,6640,6900,260
fixation.ivt,6980,7120,140
fixation.ivt,7740,7880,140
fixation.ivt,8140,8260,120
fixation.ivt,8540,8760,220
fixation.ivt,8860,9040,180
fixation.ivt,9340,9500,160
fixation.ivt,9620,9840,220
fixation.ivt,9940,10100,160
fixation.ivt,10200,10300,100
fixation.ivt,10400,10840,440
fixation.ivt,10920,11080,160
fixation.ivt,11180,11300,120
fixation.ivt,11440,11640,200
fixation.ivt,11920,12020,100
fixation.ivt,12120,12260,140
fixation.ivt,12380,12600,220
fixation.ivt,12920,13040,120
fixation.ivt,13140,13300,160
fixation.ivt,13400,13640,240
fixation.ivt,13740,13940,200
fixation.ivt,14040,14480,440
fixation.ivt,15860,16240,380
fixation.ivt,16340,17360,1020
fixation.ivt,17480,17660,180
fixation.ivt,17880,18080,200
fixation.ivt,18200,18620,420
fixation.ivt,18740,19200,460
fixation.ivt,19580,19900,320
fixation.ivt,20420,20580,160
fixation.ivt,20700,20880,180
fixation.ivt,21000,22020,1020
fixation.ivt,22980,23160,180
fixation.ivt,23260,23660,400
fixation.ivt,23760,23960,200
fixation.ivt,24460,24720,260
fixation.ivt,25060,26000,940
fixation.ivt,26120,26240,120
fixation.ivt,26340,26620,280
fixation.ivt,26740,26920,180
fixation.ivt,27020,27420,400
fixation.ivt,27540,28280,740
fixation.ivt,28360,28740,380
fixation.ivt,29020,29280,260
fixation.ivt,29400,29500,100
fixation.ivt,30220,30600,380
fixation.ivt,30740,31380,640
fixation.ivt,31480,32560,1080
fixation.ivt,32680,33020,340
fixation.ivt,33060,33280,220
fixation.ivt,33340,34440,1100
fixation.ivt,34560,34900,340
fixation.ivt,35020,35240,220
fixation.ivt,35380,35540,160
fixation.ivt,36160,37140,980
fixation.ivt,37180,38060,880
fixation.ivt,38160,38320,160
fixation.ivt,38460,38640,180
fixation.ivt,38760,39180,420
fixation.ivt,39360,39900,540
fixation.ivt,40,420,380
fixation.ivt,480,580,100
fixation.ivt,680,800,120
fixation.ivt,900,1140,240
fixation.ivt,1240,1360,120
fixation.ivt,1440,1600,160
fixation.ivt,1680,1900,220
fixation.ivt,2180,2320,140
fixation.ivt,2520,2700,180
fixation.ivt,3060,3180,120
fixation.ivt,3280,3540,260
fixation.ivt,3940,4340,400
fixation.ivt,4620,4800,180
fixation.ivt,4880,5040,160
fixation.ivt,5120,5280,160
fixation.ivt,5380,5520,140
fixation.ivt,5680,5780,100
fixation.ivt,6000,6160,160
fixation.ivt,6260,6360,100
fixation.ivt,6640,6900,260
fixation.ivt,6980,7120,140
fixation.ivt,7740,7880,140
fixation.ivt,8140,8260,120
fixation.ivt,8540,8760,220
fixation.ivt,8860,9040,180
fixation.ivt,9340,9500,160
fixation.ivt,9620,9840,220
fixation.ivt,9940,10100,160
fixation.ivt,10200,10300,100
fixation.ivt,10400,10840,440
fixation.ivt,10920,11080,160
fixation.ivt,11180,11300,120
