name,onset,offset,duration
fixation.ivt,40,780,740
fixation.ivt,880,1080,200
fixation.ivt,1140,1880,740
fixation.ivt,1940,2160,220
fixation.ivt,2220,2400,180
fixation.ivt,2460,2560,100
fixation.ivt,2660,2900,240
fixation.ivt,2940,3600,660
fixation.ivt,3680,4620,940
fixation.ivt,4680,4800,120
fixation.ivt,4900,5020,120
fixation.ivt,5140,6220,1080
fixation.ivt,6340,6460,120
fixation.ivt,6700,6800,100
fixation.ivt,6900,7160,260
fixation.ivt,7220,7320,100
fixation.ivt,7420,8340,920
fixation.ivt,8400,8520,120
fixation.ivt,8620,8760,140
fixation.ivt,8820,8920,100
fixation.ivt,9000,9520,520
fixation.ivt,9560,9660,100
fixation.ivt,9780,10100,320
fixation.ivt,10200,10340,140
fixation.ivt,10460,10640,180
fixation.ivt,10700,10820,120
fixation.ivt,10900,11200,300
fixation.ivt,11280,11460,180
fixation.ivt,11560,11660,100
fixation.ivt,11880,11980,100
fixation.ivt,12080,12300,220
fixation.ivt,12540,12660,120
fixation.ivt,12740,12980,240
fixation.ivt,13060,13380,320
fixation.ivt,13480,13680,200
fixation.ivt,13740,13880,140
fixation.ivt,13980,15260,1280
fixation.ivt,15420,15620,200
fixation.ivt,15700,15800,100
fixation.ivt,15880,16060,180
fixation.ivt,16100,16220,120
fixation.ivt,16300,18100,1800
fixation.ivt,18200,18360,160
fixation.ivt,18460,18660,200
fixation.ivt,18760,18880,120
fixation.ivt,19000,19140,140
fixation.ivt,19220,19320,100
fixation.ivt,19360,19680,320
fixation.ivt,19800,20560,760
fixation.ivt,20680,20920,240
fixation.ivt,21000,21380,380
fixation.ivt,21460,21640,180
fixation.ivt,21740,21920,180
fixation.ivt,21980,22420,440
fixation.ivt,22660,23220,560
fixation.ivt,23340,23760,420
fixation.ivt,23980,24720,740
fixation.ivt,24780,25320,540
fixation.ivt,25400,25580,180
fixation.ivt,25620,25780,160
fixation.ivt,25860,26020,160
fixation.ivt,26120,26260,140
fixation.ivt,26580,27200,620
fixation.ivt,27260,27420,160
fixation.ivt,27500,27800,300
fixation.ivt,27900,28080,180
fixation.ivt,28120,28240,120
fixation.ivt,28360,28460,100
fixation.ivt,28560,28760,200
fixation.ivt,28860,29900,1040
fixation.ivt,29960,30280,320
fixation.ivt,30360,30600,240
fixation.ivt,30700,30900,200
fixation.ivt,30940,32020,1080
fixation.ivt,32140,32940,800
fixation.ivt,33000,33140,140
fixation.ivt,33240,33380,140
fixation.ivt,33460,33720,260
fixation.ivt,33880,34060,180
fixation.ivt,34280,34420,140
fixation.ivt,34520,34660,140
fixation.ivt,34700,35600,900
fixation.ivt,35700,35820,120
fixation.ivt,36080,37460,1380
fixation.ivt,37580,37680,100
fixation.ivt,37760,37900,140
fixation.ivt,38240,38480,240
fixation.ivt,38560,38760,200
fixation.ivt,38880,39020,140
fixation.ivt,39080,39180,100
fixation.ivt,39220,39560,340
fixation.ivt,39640,39940,300
fixation.ivt,40,780,740
fixation.ivt,880,1080,200
fixation.ivt,1140,1880,740
fixation.ivt,1940,2160,220
fixation.ivt,2220,2400,180
fixation.ivt,2460,2560,100
fixation.ivt,2660,2900,240
fixation.ivt,2940,3600,660
fixation.ivt,3680,4620,940
fixation.ivt,4680,4800,120
fixation.ivt,4900,5020,120
fixation.ivt,5140,6220,1080
fixation.ivt,6340,6460,120
fixation.ivt,6700,6800,100
fixation.ivt,6900,7160,260
fixation.ivt,7220,7320,100
fixation.ivt,7420,8340,920
fixation.ivt,8400,8520,120
fixation.ivt,8620,8760,140
fixation.ivt,8820,8920,100
fixation.ivt,9000,9520,520
fixation.ivt,9560,9660,100
fixation.ivt,9780,10100,320
fixation.ivt,10200,10340,140
fixation.ivt,10460,10640,180
fixation.ivt,10700,10820,120
fixation.ivt,10900,11200,300
fixation.ivt,11280,11460,180
fixation.ivt,11560,11660,100
fixation.ivt,11880,11980,100
fixation.ivt,12080,12300,220
fixation.ivt,12540,12660,120
fixation.ivt,12740,12980,240
fixation.ivt,13060,13380,320
fixation.ivt,13480,13680,200
fixation.ivt,13740,13880,140
fixation.ivt,13980,15260,1280
fixation.ivt,15420,15620,200
fixation.ivt,15700,15800,100
fixation.ivt,15880,16060,180
fixation.ivt,16100,16220,120
fixation.ivt,16300,18100,1800
fixation.ivt,18200,18360,160
fixation.ivt,18460,18660,200
fixation.ivt,18760,18880,120
fixation.ivt,19000,19140,140
fixation.ivt,19220,19320,100
fixation.ivt,19360,19680,320
fixation.ivt,19800,20560,760
fixation.ivt,20680,20920,240
fixation.ivt,21000,21380,380
fixation.ivt,21460,21640,180
fixation.ivt,21740,21920,180
fixation.ivt,21980,22420,440
fixation.ivt,22660,23220,560
fixation.ivt,23340,23760,420
fixation.ivt,23980,24720,740
fixation.ivt,24780,25320,540
fixation.ivt,25400,25580,180
fixation.ivt,25620,25780,160
fixation.ivt,25860,26020,160
fixation.ivt,26120,26260,140
fixation.ivt,26580,27200,620
fixation.ivt,27260,27420,160
fixation.ivt,27500,27800,300
fixation.ivt,27900,28080,180
fixation.ivt,28120,28240,120
fixation.ivt,28360,28460,100
fixation.ivt,28560,28760,200
fixation.ivt,28860,29900,1040
fixation.ivt,29960,30280,320
fixation.ivt,30360,30600,240
fixation.ivt,30700,30900,200
fixation.ivt,30940,32020,1080
fixation.ivt,32140,32940,800
fixation.ivt,33000,33140,140
fixation.ivt,33240,33380,140
fixation.ivt,33460,33720,260
fixation.ivt,33880,34060,180
fixation.ivt,34280,34420,140
fixation.ivt,34520,34660,140
fixation.ivt,34700,35600,900
fixation.ivt,35700,35820,120
fixation.ivt,36080,37460,1380
fixation.ivt,37580,37680,100
fixation.ivt,37760,37900,140
fixation.ivt,38240,38480,240
fixation.ivt,38560,38760,200
fixation.ivt,38880,39020,140
fixation.ivt,39080,39180,100
fixation.ivt,39220,39560,340
fixation.ivt,39640,39940,300
fixation.ivt,40,780,740
fixation.ivt,880,1080,200
fixation.ivt,1140,1880,740
fixation.ivt,1940,2160,220
fixation.ivt,2220,2400,180
fixation.ivt,2460,2560,100
fixation.ivt,2660,2900,240
fixation.ivt,2940,3600,660
fixation.ivt,3680,4620,940
fixation.ivt,4680,4800,120
fixation.ivt,4900,5020,120
fixation.ivt,5140,6220,1080
fixation.ivt,6340,6460,120
fixation.ivt,6700,6800,100
fixation.ivt,6900,7160,260
fixation.ivt,7220,7320,100
fixation.ivt,7420,8340,920
fixation.ivt,8400,8520,120
fixation.ivt,8620,8760,140
fixation.ivt,8820,8920,100
fixation.ivt,9000,9520,520
fixation.ivt,9560,9660,100
fixation.ivt,9780,10100,320
fixation.ivt,10200,10340,140
fixation.ivt,10460,10640,180
fixation.ivt,10700,10820,120
fixation.ivt,10900,11200,300
fixation.ivt,11280,11460,180
fixation.ivt,11560,11660,100
fixation.ivt,11880,11980,100
fixation.ivt,12080,12300,220
fixation.ivt,12540,12660,120
fixation.ivt,12740,12980,240
fixation.ivt,13060,13380,320
fixation.ivt,13480,13680,200
fixation.ivt,13740,13880,140
fixation.ivt,13980,15260,1280
fixation.ivt,15420,15620,200
fixation.ivt,15700,15800,100
fixation.ivt,15880,16060,180
fixation.ivt,16100,16220,120
fixation.ivt,16300,18100,1800
fixation.ivt,18200,18360,160
fixation.ivt,18460,18660,200
fixation.ivt,18760,18880,120
fixation.ivt,19000,19140,140
fixation.ivt,19220,19320,100
fixation.ivt,19360,19680,320
fixation.ivt,19800,20560,760
fixation.ivt,20680,20920,240
fixation.ivt,21000,21380,380
fixation.ivt,21460,21640,180
fixation.ivt,21740,21920,180
fixation.ivt,21980,22420,440
fixation.ivt,22660,23220,560
fixation.ivt,23340,23760,420
fixation.ivt,23980,24720,740
fixation.ivt,24780,25320,540
fixation.ivt,25400,25580,180
fixation.ivt,25620,25780,160
fixation.ivt,25860,26020,160
fixation.ivt,26120,26260,140
fixation.ivt,26580,27200,620
fixation.ivt,27260,27420,160
fixation.ivt,27500,27800,300
fixation.ivt,27900,28080,180
fixation.ivt,28120,28240,120
fixation.ivt,28360,28460,100
fixation.ivt,28560,28760,200
fixation.ivt,28860,29900,1040
fixation.ivt,29960,30280,320
fixation.ivt,30360,30600,240
fixation.ivt,30700,30900,200
fixation.ivt,30940,32020,1080
fixation.ivt,32140,32940,800
fixation.ivt,33000,33140,140
fixation.ivt,33240,33380,140
fixation.ivt,33460,33720,260
fixation.ivt,33880,34060,180
fixation.ivt,34280,34420,140
fixation.ivt,34520,34660,140
fixation.ivt,34700,35600,900
fixation.ivt,35700,35820,120
fixation.ivt,36080,37460,1380
fixation.ivt,37580,37680,100
fixation.ivt,37760,37900,140
fixation.ivt,38240,38480,240
fixation.ivt,38560,38760,200
fixation.ivt,38880,39020,140
fixation.ivt,39080,39180,100
fixation.ivt,39220,39560,340
fixation.ivt,39640,39940,300
fixation.ivt,40,780,740
fixation.ivt,880,1080,200
fixation.ivt,1140,1880,740
fixation.ivt,1940,2160,220
fixation.ivt,2220,2400,180
fixation.ivt,2460,2560,100
fixation.ivt,2660,2900,240
fixation.ivt,2940,3600,660
fixation.ivt,3680,4620,940
fixation.ivt,4680,4800,120
fixation.ivt,4900,5020,120
fixation.ivt,5140,6220,1080
fixation.ivt,6340,6460,120
fixation.ivt,6700,6800,100
fixation.ivt,6900,7160,260
fixation.ivt,7220,7320,100
fixation.ivt,7420,8340,920
fixation.ivt,8400,8520,120
fixation.ivt,8620,8760,140
fixation.ivt,8820,8920,100
fixation.ivt,9000,9520,520
fixation.ivt,9560,9660,100
fixation.ivt,9780,10100,320
fixation.ivt,10200,10340,140
fixation.ivt,10460,10640,180
fixation.ivt,10700,10820,120
fixation.ivt,10900,11200,300
fixation.ivt,11280,11460,180
fixation.ivt,11560,11660,100
fixation.ivt,11880,11980,100
fixation.ivt,12080,12300,220
fixation.ivt,12540,12660,120
fixation.ivt,12740,12980,240
fixation.ivt,13060,13380,320
fixation.ivt,13480,13680,200
fixation.ivt,13740,13880,140
fixation.ivt,13980,15260,1280
fixation.ivt,15420,15620,200
fixation.ivt,15700,15800,100
fixation.ivt,15880,16060,180
fixation.ivt,16100,16220,120
fixation.ivt,16300,18100,1800
fixation.ivt,18200,18360,160
fixation.ivt,18460,18660,200
fixation.ivt,18760,18880,120
fixation.ivt,19000,19140,140
fixation.ivt,19220,19320,100
fixation.ivt,19360,19680,320
fixation.ivt,19800,20560,760
fixation.ivt,20680,20920,240
fixation.ivt,21000,21380,380
fixation.ivt,21460,21640,180
fixation.ivt,21740,21920,180
fixation.ivt,21980,22420,440
fixation.ivt,22660,23220,560
fixation.ivt,23340,23760,420
fixation.ivt,23980,24720,740
fixation.ivt,24780,25320,540
fixation.ivt,25400,25580,180
fixation.ivt,25620,25780,160
fixation.ivt,25860,26020,160
fixation.ivt,26120,26260,140
fixation.ivt,26580,27200,620
fixation.ivt,27260,27420,160
fixation.ivt,27500,27800,300
fixation.ivt,27900,28080,180
fixation.ivt,28120,28240,120
fixation.ivt,28360,28460,100
fixation.ivt,28560,28760,200
fixation.ivt,28860,29900,1040
fixation.ivt,29960,30280,320
fixation.ivt,30360,30600,240
fixation.ivt,30700,30900,200
fixation.ivt,30940,32020,1080
fixation.ivt,32140,32940,800
fixation.ivt,33000,33140,140
fixation.ivt,33240,33380,140
fixation.ivt,33460,33720,260
fixation.ivt,33880,34060,180
fixation.ivt,34280,34420,140
fixation.ivt,34520,34660,140
fixation.ivt,34700,35600,900
fixation.ivt,35700,35820,120
fixation.ivt,36080,37460,1380
fixation.ivt,37580,37680,100
fixation.ivt,37760,37900,140
fixation.ivt,38240,38480,240
fixation.ivt,38560,38760,200
fixation.ivt,38880,39020,140
fixation.ivt,39080,39180,100
fixation.ivt,39220,39560,340
fixation.ivt,39640,39940,300
fixation.ivt,40,780,740
fixation.ivt,880,1080,200
fixation.ivt,1140,1880,740
fixation.ivt,1940,2160,220
fixation.ivt,2220,2400,180
fixation.ivt,2460,2560,100
fixation.ivt,2660,2900,240
fixation.ivt,2940,3600,660
fixation.ivt,3680,4620,940
fixation.ivt,4680,4800,120
fixation.ivt,4900,5020,120
fixation.ivt,5140,6220,1080
fixation.ivt,6340,6460,120
fixation.ivt,6700,6800,100
fixation.ivt,6900,7160,260
fixation.ivt,7220,7320,100
fixation.ivt,7420,8340,920
fixation.ivt,8400,8520,120
fixation.ivt,8620,8760,140
fixation.ivt,8820,8920,100
fixation.ivt,9000,9520,520
fixation.ivt,9560,9660,100
fixation.ivt,9780,10100,320
fixation.ivt,10200,10340,140
fixation.ivt,10460,10640,180
fixation.ivt,10700,10820,120
fixation.ivt,10900,11200,300
fixation.ivt,11280,11460,180
fixation.ivt,11560,11660,100
fixation.ivt,11880,11980,100
fixation.ivt,12080,12300,220
fixation.ivt,12540,12660,120
fixation.ivt,12740,12980,240
fixation.ivt,13060,13380,320
fixation.ivt,13480,13680,200
fixation.ivt,13740,13880,140
fixation.ivt,13980,15260,1280
fixation.ivt,15420,15620,200
fixation.ivt,15700,15800,100
fixation.ivt,15880,16060,180
fixation.ivt,16100,16220,120
fixation.ivt,16300,18100,1800
fixation.ivt,18200,18360,160
fixation.ivt,18460,18660,200
fixation.ivt,18760,18880,120
fixation.ivt,19000,19140,140
fixation.ivt,19220,19320,100
fixation.ivt,19360,19680,320
fixation.ivt,19800,20560,760
fixation.ivt,20680,20920,240
fixation.ivt,21000,21380,380
fixation.ivt,21460,21640,180
fixation.ivt,21740,21920,180
fixation.ivt,21980,22420,440
fixation.ivt,22660,23220,560
fixation.ivt,23340,23760,420
fixation.ivt,23980,24720,740
fixation.ivt,24780,25320,540
fixation.ivt,25400,25580,180
fixation.ivt,25620,25780,160
fixation.ivt,25860,26020,160
fixation.ivt,26120,26260,140
fixation.ivt,26580,27200,620
fixation.ivt,27260,27420,160
fixation.ivt,27500,27800,300
fixation.ivt,27900,28080,180
fixation.ivt,28120,28240,120
