name,onset,offset,duration
fixation.ivt,60,260,200
fixation.ivt,340,860,520
fixation.ivt,1040,1200,160
fixation.ivt,1280,1400,120
fixation.ivt,1680,1860,180
fixation.ivt,1940,2060,120
fixation.ivt,2200,2420,220
fixation.ivt,2480,2700,220
fixation.ivt,2800,2940,140
fixation.ivt,3040,3160,120
fixation.ivt,3820,3940,120
fixation.ivt,4260,4420,160
fixation.ivt,4520,4720,200
fixation.ivt,4960,5060,100
fixation.ivt,5300,5460,160
fixation.ivt,5780,5960,180
fixation.ivt,6060,6160,100
fixation.ivt,6280,6500,220
fixation.ivt,6760,6880,120
fixation.ivt,6940,7220,280
fixation.ivt,7300,7520,220
fixation.ivt,7640,7840,200
fixation.ivt,7960,8140,180
fixation.ivt,8460,8560,100
fixation.ivt,8800,8940,140
fixation.ivt,9040,9200,160
fixation.ivt,9320,9540,220
fixation.ivt,9640,10060,420
fixation.ivt,10160,10360,200
fixation.ivt,10460,10600,140
fixation.ivt,10680,10780,100
fixation.ivt,10860,10960,100
fixation.ivt,11300,11500,200
fixation.ivt,11600,11800,200
fixation.ivt,11920,12020,100
fixation.ivt,12140,12260,120
fixation.ivt,12380,12580,200
fixation.ivt,13060,13160,100
fixation.ivt,13460,13640,180
fixation.ivt,13740,13880,140
fixation.ivt,14800,15080,280
fixation.ivt,15320,15560,240
fixation.ivt,15680,15900,220
fixation.ivt,16100,16300,200
fixation.ivt,16920,17040,120
fixation.ivt,17780,18060,280
fixation.ivt,18200,18360,160
fixation.ivt,18420,18760,340
fixation.ivt,18840,18980,140
fixation.ivt,60,260,200
fixation.ivt,340,860,520
fixation.ivt,1040,1200,160
fixation.ivt,1280,1400,120
fixation.ivt,1680,1860,180
fixation.ivt,1940,2060,120
fixation.ivt,2200,2420,220
fixation.ivt,2480,2700,220
fixation.ivt,2800,2940,140
fixation.ivt,3040,3160,120
fixation.ivt,3820,3940,120
fixation.ivt,4260,4420,160
fixation.ivt,4520,4720,200
fixation.ivt,4960,5060,100
fixation.ivt,5300,5460,160
fixation.ivt,5780,5960,180
fixation.ivt,6060,6160,100
fixation.ivt,6280,6500,220
fixation.ivt,6760,6880,120
fixation.ivt,6940,7220,280
fixation.ivt,7300,7520,220
fixation.ivt,7640,7840,200
fixation.ivt,7960,8140,180
fixation.ivt,8460,8560,100
fixation.ivt,8800,8940,140
fixation.ivt,9040,9200,160
fixation.ivt,9320,9540,220
fixation.ivt,9640,10060,420
fixation.ivt,10160,10360,200
fixation.ivt,10460,10600,140
fixation.ivt,10680,10780,100
fixation.ivt,10860,10960,100
fixation.ivt,11300,11500,200
fixation.ivt,11600,11800,200
fixation.ivt,11920,12020,100
fixation.ivt,12140,12260,120
fixation.ivt,12380,12580,200
fixation.ivt,13060,13160,100
fixation.ivt,13460,13640,180
fixation.ivt,13740,13880,140
fixation.ivt,14800,15080,280
fixation.ivt,15320,15560,240
