name,onset,offset,duration
fixation.ivt,40,1000,960
fixation.ivt,1160,1280,120
fixation.ivt,1320,1420,100
fixation.ivt,1460,2300,840
fixation.ivt,2480,2720,240
fixation.ivt,2820,3480,660
fixation.ivt,3580,4040,460
fixation.ivt,4100,4280,180
fixation.ivt,4360,4800,440
fixation.ivt,4880,5420,540
fixation.ivt,5480,6740,1260
fixation.ivt,6800,7580,780
fixation.ivt,7660,9020,1360
fixation.ivt,9240,10100,860
fixation.ivt,10220,10320,100
fixation.ivt,10400,12140,1740
fixation.ivt,12220,13000,780
fixation.ivt,13160,14180,1020
fixation.ivt,14400,14580,180
fixation.ivt,14760,14940,180
fixation.ivt,15120,15800,680
fixation.ivt,15860,16600,740
fixation.ivt,16660,16860,200
fixation.ivt,17120,17700,580
fixation.ivt,17780,18820,1040
fixation.ivt,18860,19880,1020
fixation.ivt,19940,20060,120
fixation.ivt,20100,20460,360
fixation.ivt,20580,20720,140
fixation.ivt,20760,20900,140
fixation.ivt,21020,21380,360
fixation.ivt,21500,22660,1160
fixation.ivt,22780,23380,600
fixation.ivt,23540,23680,140
fixation.ivt,23720,24820,1100
fixation.ivt,24900,26220,1320
fixation.ivt,26260,26760,500
fixation.ivt,26800,27360,560
fixation.ivt,27440,27980,540
fixation.ivt,28040,28260,220
fixation.ivt,28360,28460,100
fixation.ivt,28560,28980,420
fixation.ivt,29020,29400,380
fixation.ivt,29520,30780,1260
fixation.ivt,30860,31300,440
fixation.ivt,31560,31880,320
fixation.ivt,32520,32660,140
fixation.ivt,32700,32980,280
fixation.ivt,33080,33740,660
fixation.ivt,33840,34020,180
fixation.ivt,34300,34500,200
fixation.ivt,34900,35040,140
fixation.ivt,35140,35280,140
fixation.ivt,35320,36340,1020
fixation.ivt,36600,37060,460
fixation.ivt,37140,37260,120
fixation.ivt,37300,37560,260
fixation.ivt,37620,37940,320
fixation.ivt,38060,38720,660
fixation.ivt,38840,39000,160
fixation.ivt,39100,39640,540
fixation.ivt,39720,39940,220
fixation.ivt,40,1000,960
fixation.ivt,1160,1280,120
fixation.ivt,1320,1420,100
fixation.ivt,1460,2300,840
fixation.ivt,2480,2720,240
fixation.ivt,2820,3480,660
fixation.ivt,3580,4040,460
fixation.ivt,4100,4280,180
fixation.ivt,4360,4800,440
fixation.ivt,4880,5420,540
fixation.ivt,5480,6740,1260
fixation.ivt,6800,7580,780
fixation.ivt,7660,9020,1360
fixation.ivt,9240,10100,860
fixation.ivt,10220,10320,100
fixation.ivt,10400,12140,1740
fixation.ivt,12220,13000,780
fixation.ivt,13160,14180,1020
fixation.ivt,14400,14580,180
fixation.ivt,14760,14940,180
fixation.ivt,15120,15800,680
fixation.ivt,15860,16600,740
fixation.ivt,16660,16860,200
fixation.ivt,17120,17700,580
fixation.ivt,17780,18820,1040
fixation.ivt,18860,19880,1020
fixation.ivt,19940,20060,120
fixation.ivt,20100,20460,360
fixation.ivt,20580,20720,140
fixation.ivt,20760,20900,140
fixation.ivt,21020,21380,360
fixation.ivt,21500,22660,1160
fixation.ivt,22780,23380,600
fixation.ivt,23540,23680,140
fixation.ivt,23720,24820,1100
fixation.ivt,24900,26220,1320
fixation.ivt,26260,26760,500
fixation.ivt,26800,27360,560
fixation.ivt,27440,27980,540
fixation.ivt,28040,28260,220
fixation.ivt,28360,28460,100
fixation.ivt,28560,28980,420
fixation.ivt,29020,29400,380
fixation.ivt,29520,30780,1260
fixation.ivt,30860,31300,440
fixation.ivt,31560,31880,320
fixation.ivt,32520,32660,140
fixation.ivt,32700,32980,280
fixation.ivt,33080,33740,660
fixation.ivt,33840,34020,180
fixation.ivt,34300,34500,200
fixation.ivt,34900,35040,140
fixation.ivt,35140,35280,140
fixation.ivt,35320,36340,1020
fixation.ivt,36600,37060,460
fixation.ivt,37140,37260,120
fixation.ivt,37300,37560,260
fixation.ivt,37620,37940,320
fixation.ivt,38060,38720,660
fixation.ivt,38840,39000,160
fixation.ivt,39100,39640,540
fixation.ivt,39720,39940,220
fixation.ivt,40,1000,960
fixation.ivt,1160,1280,120
fixation.ivt,1320,1420,100
fixation.ivt,1460,2300,840
fixation.ivt,2480,2720,240
fixation.ivt,2820,3480,660
fixation.ivt,3580,4040,460
fixation.ivt,4100,4280,180
fixation.ivt,4360,4800,440
fixation.ivt,4880,5420,540
fixation.ivt,5480,6740,1260
fixation.ivt,6800,7580,780
fixation.ivt,7660,9020,1360
fixation.ivt,9240,10100,860
fixation.ivt,10220,10320,100
fixation.ivt,10400,12140,1740
fixation.ivt,12220,13000,780
fixation.ivt,13160,14180,1020
fixation.ivt,14400,14580,180
fixation.ivt,14760,14940,180
fixation.ivt,15120,15800,680
fixation.ivt,15860,16600,740
fixation.ivt,16660,16860,200
fixation.ivt,17120,17700,580
fixation.ivt,17780,18820,1040
fixation.ivt,18860,19880,1020
fixation.ivt,19940,20060,120
fixation.ivt,20100,20460,360
fixation.ivt,20580,20720,140
fixation.ivt,20760,20900,140
fixation.ivt,21020,21380,360
fixation.ivt,21500,22660,1160
fixation.ivt,22780,23380,600
fixation.ivt,23540,23680,140
fixation.ivt,23720,24820,1100
fixation.ivt,24900,26220,1320
fixation.ivt,26260,26760,500
fixation.ivt,26800,27360,560
fixation.ivt,27440,27980,540
fixation.ivt,28040,28260,220
fixation.ivt,28360,28460,100
fixation.ivt,28560,28980,420
fixation.ivt,29020,29400,380
fixation.ivt,29520,30780,1260
fixation.ivt,30860,31300,440
fixation.ivt,31560,31880,320
fixation.ivt,32520,32660,140
fixation.ivt,32700,32980,280
fixation.ivt,33080,33740,660
fixation.ivt,33840,34020,180
fixation.ivt,34300,34500,200
fixation.ivt,34900,35040,140
fixation.ivt,35140,35280,140
fixation.ivt,35320,36340,1020
fixation.ivt,36600,37060,460
fixation.ivt,37140,37260,120
fixation.ivt,37300,37560,260
fixation.ivt,37620,37940,320
fixation.ivt,38060,38720,660
fixation.ivt,38840,39000,160
fixation.ivt,39100,39640,540
fixation.ivt,39720,39940,220
fixation.ivt,40,1000,960
fixation.ivt,1160,1280,120
fixation.ivt,1320,1420,100
fixation.ivt,1460,2300,840
fixation.ivt,2480,2720,240
fixation.ivt,2820,3480,660
fixation.ivt,3580,4040,460
fixation.ivt,4100,4280,180
fixation.ivt,4360,4800,440
fixation.ivt,4880,5420,540
fixation.ivt,5480,6740,1260
fixation.ivt,6800,7580,780
fixation.ivt,7660,9020,1360
fixation.ivt,9240,10100,860
fixation.ivt,10220,10320,100
fixation.ivt,10400,12140,1740
fixation.ivt,12220,13000,780
fixation.ivt,13160,14180,1020
fixation.ivt,14400,14580,180
fixation.ivt,14760,14940,180
fixation.ivt,15120,15800,680
fixation.ivt,15860,16600,740
fixation.ivt,16660,16860,200
fixation.ivt,17120,17700,580
fixation.ivt,17780,18820,1040
fixation.ivt,18860,19880,1020
fixation.ivt,19940,20060,120
fixation.ivt,20100,20460,360
fixation.ivt,20580,20720,140
fixation.ivt,20760,20900,140
fixation.ivt,21020,21380,360
fixation.ivt,21500,22660,1160
fixation.ivt,22780,23380,600
fixation.ivt,23540,23680,140
