name,onset,offset,duration
fixation.ivt,60,360,300
fixation.ivt,460,2480,2020
fixation.ivt,2540,2740,200
fixation.ivt,2820,3020,200
fixation.ivt,3140,4640,1500
fixation.ivt,4700,4900,200
fixation.ivt,5300,5440,140
fixation.ivt,5640,5940,300
fixation.ivt,6240,7160,920
fixation.ivt,7320,7640,320
fixation.ivt,7840,8220,380
fixation.ivt,8360,8560,200
fixation.ivt,8600,8900,300
fixation.ivt,10040,10280,240
fixation.ivt,10340,10540,200
fixation.ivt,10620,10940,320
fixation.ivt,11180,11760,580
fixation.ivt,12340,12640,300
fixation.ivt,12800,12920,120
fixation.ivt,13020,13460,440
fixation.ivt,13740,14000,260
fixation.ivt,14100,14200,100
fixation.ivt,14280,14920,640
fixation.ivt,14980,15300,320
fixation.ivt,15380,15500,120
fixation.ivt,15560,15860,300
fixation.ivt,15960,16100,140
fixation.ivt,16420,16780,360
fixation.ivt,16840,17080,240
fixation.ivt,17540,17680,140
fixation.ivt,17860,19100,1240
fixation.ivt,19180,19380,200
fixation.ivt,19480,19800,320
fixation.ivt,19900,20100,200
fixation.ivt,20220,20480,260
fixation.ivt,20580,21080,500
fixation.ivt,21180,22120,940
fixation.ivt,22200,23700,1500
fixation.ivt,23780,24120,340
fixation.ivt,24220,24560,340
fixation.ivt,24880,25020,140
fixation.ivt,25100,26560,1460
fixation.ivt,26620,26760,140
fixation.ivt,27000,27240,240
fixation.ivt,27340,28800,1460
fixation.ivt,28900,29300,400
fixation.ivt,29420,29660,240
fixation.ivt,29820,30280,460
fixation.ivt,30400,30600,200
fixation.ivt,30660,30760,100
fixation.ivt,30900,31980,1080
fixation.ivt,32060,32160,100
fixation.ivt,32260,32440,180
fixation.ivt,32520,32960,440
fixation.ivt,33000,33120,120
fixation.ivt,33280,33560,280
fixation.ivt,33620,33920,300
fixation.ivt,34020,34520,500
fixation.ivt,34620,34760,140
fixation.ivt,34820,35300,480
fixation.ivt,35360,35580,220
fixation.ivt,35660,35820,160
fixation.ivt,35900,36260,360
fixation.ivt,36360,36500,140
fixation.ivt,36560,36860,300
fixation.ivt,36960,37200,240
fixation.ivt,37500,37720,220
fixation.ivt,37820,37940,120
fixation.ivt,38020,38820,800
fixation.ivt,39020,39120,100
fixation.ivt,39160,39580,420
fixation.ivt,39660,39780,120
fixation.ivt,60,360,300
fixation.ivt,460,2480,2020
fixation.ivt,2540,2740,200
fixation.ivt,2820,3020,200
fixation.ivt,3140,4640,1500
fixation.ivt,4700,4900,200
fixation.ivt,5300,5440,140
fixation.ivt,5640,5940,300
fixation.ivt,6240,7160,920
fixation.ivt,7320,7640,320
fixation.ivt,7840,8220,380
fixation.ivt,8360,8560,200
fixation.ivt,8600,8900,300
fixation.ivt,10040,10280,240
fixation.ivt,10340,10540,200
fixation.ivt,10620,10940,320
fixation.ivt,11180,11760,580
fixation.ivt,12340,12640,300
fixation.ivt,12800,12920,120
fixation.ivt,13020,13460,440
fixation.ivt,13740,14000,260
fixation.ivt,14100,14200,100
fixation.ivt,14280,14920,640
fixation.ivt,14980,15300,320
fixation.ivt,15380,15500,120
fixation.ivt,15560,15860,300
fixation.ivt,15960,16100,140
fixation.ivt,16420,16780,360
fixation.ivt,16840,17080,240
fixation.ivt,17540,17680,140
fixation.ivt,17860,19100,1240
fixation.ivt,19180,19380,200
fixation.ivt,19480,19800,320
fixation.ivt,19900,20100,200
fixation.ivt,20220,20480,260
fixation.ivt,20580,21080,500
fixation.ivt,21180,22120,940
fixation.ivt,22200,23700,1500
fixation.ivt,23780,24120,340
fixation.ivt,24220,24560,340
fixation.ivt,24880,25020,140
fixation.ivt,25100,26560,1460
fixation.ivt,26620,26760,140
fixation.ivt,27000,27240,240
fixation.ivt,27340,28800,1460
fixation.ivt,28900,29300,400
fixation.ivt,29420,29660,240
fixation.ivt,29820,30280,460
fixation.ivt,30400,30600,200
fixation.ivt,30660,30760,100
fixation.ivt,30900,31980,1080
fixation.ivt,32060,32160,100
fixation.ivt,32260,32440,180
fixation.ivt,32520,32960,440
fixation.ivt,33000,33120,120
fixation.ivt,33280,33560,280
fixation.ivt,33620,33920,300
fixation.ivt,34020,34520,500
fixation.ivt,34620,34760,140
fixation.ivt,34820,35300,480
fixation.ivt,35360,35580,220
fixation.ivt,35660,35820,160
fixation.ivt,35900,36260,360
fixation.ivt,36360,36500,140
fixation.ivt,36560,36860,300
fixation.ivt,36960,37200,240
fixation.ivt,37500,37720,220
fixation.ivt,37820,37940,120
fixation.ivt,38020,38820,800
fixation.ivt,39020,39120,100
fixation.ivt,39160,39580,420
fixation.ivt,39660,39780,120
fixation.ivt,60,360,300
fixation.ivt,460,2480,2020
fixation.ivt,2540,2740,200
fixation.ivt,2820,3020,200
fixation.ivt,3140,4640,1500
fixation.ivt,4700,4900,200
fixation.ivt,5300,5440,140
fixation.ivt,5640,5940,300
fixation.ivt,6240,7160,920
fixation.ivt,7320,7640,320
fixation.ivt,7840,8220,380
fixation.ivt,8360,8560,200
fixation.ivt,8600,8900,300
fixation.ivt,10040,10280,240
fixation.ivt,10340,10540,200
fixation.ivt,10620,10940,320
fixation.ivt,11180,11760,580
fixation.ivt,12340,12640,300
fixation.ivt,12800,12920,120
fixation.ivt,13020,13460,440
fixation.ivt,13740,14000,260
fixation.ivt,14100,14200,100
fixation.ivt,14280,14920,640
fixation.ivt,14980,15300,320
fixation.ivt,15380,15500,120
fixation.ivt,15560,15860,300
fixation.ivt,15960,16100,140
fixation.ivt,16420,16780,360
fixation.ivt,16840,17080,240
fixation.ivt,17540,17680,140
fixation.ivt,17860,19100,1240
fixation.ivt,19180,19380,200
fixation.ivt,19480,19800,320
fixation.ivt,19900,20100,200
fixation.ivt,20220,20480,260
fixation.ivt,20580,21080,500
fixation.ivt,21180,22120,940
fixation.ivt,22200,23700,1500
fixation.ivt,23780,24120,340
fixation.ivt,24220,24560,340
fixation.ivt,24880,25020,140
fixation.ivt,25100,26560,1460
fixation.ivt,26620,26760,140
fixation.ivt,27000,27240,240
fixation.ivt,27340,28800,1460
fixation.ivt,28900,29300,400
fixation.ivt,29420,29660,240
fixation.ivt,29820,30280,460
fixation.ivt,30400,30600,200
fixation.ivt,30660,30760,100
fixation.ivt,30900,31980,1080
fixation.ivt,32060,32160,100
fixation.ivt,32260,32440,180
fixation.ivt,32520,32960,440
fixation.ivt,33000,33120,120
fixation.ivt,33280,33560,280
fixation.ivt,33620,33920,300
fixation.ivt,34020,34520,500
fixation.ivt,34620,34760,140
fixation.ivt,34820,35300,480
fixation.ivt,35360,35580,220
fixation.ivt,35660,35820,160
fixation.ivt,35900,36260,360
fixation.ivt,36360,36500,140
fixation.ivt,36560,36860,300
fixation.ivt,36960,37200,240
fixation.ivt,37500,37720,220
fixation.ivt,37820,37940,120
fixation.ivt,38020,38820,800
fixation.ivt,39020,39120,100
fixation.ivt,39160,39580,420
fixation.ivt,39660,39780,120
fixation.ivt,60,360,300
fixation.ivt,460,2480,2020
fixation.ivt,2540,2740,200
fixation.ivt,2820,3020,200
fixation.ivt,3140,4640,1500
fixation.ivt,4700,4900,200
fixation.ivt,5300,5440,140
fixation.ivt,5640,5940,300
fixation.ivt,6240,7160,920
fixation.ivt,7320,7640,320
fixation.ivt,7840,8220,380
fixation.ivt,8360,8560,200
fixation.ivt,8600,8900,300
fixation.ivt,10040,10280,240
fixation.ivt,10340,10540,200
fixation.ivt,10620,10940,320
fixation.ivt,11180,11760,580
