name,onset,offset,duration
fixation.ivt,40,1380,1340
fixation.ivt,1460,1760,300
fixation.ivt,1820,2160,340
fixation.ivt,2200,2620,420
fixation.ivt,2720,2880,160
fixation.ivt,3100,3520,420
fixation.ivt,3580,3800,220
fixation.ivt,3880,4100,220
fixation.ivt,4160,5120,960
fixation.ivt,5200,5440,240
fixation.ivt,5540,5920,380
fixation.ivt,5960,7260,1300
fixation.ivt,7520,8260,740
fixation.ivt,8400,8740,340
fixation.ivt,8900,10260,1360
fixation.ivt,10360,10900,540
fixation.ivt,10960,11720,760
fixation.ivt,11780,11920,140
fixation.ivt,12020,12940,920
fixation.ivt,13020,13120,100
fixation.ivt,13220,14060,840
fixation.ivt,14100,14240,140
fixation.ivt,14420,14940,520
fixation.ivt,15060,15160,100
fixation.ivt,15260,15860,600
fixation.ivt,15980,16080,100
fixation.ivt,16160,16400,240
fixation.ivt,16680,16860,180
fixation.ivt,16920,17380,460
fixation.ivt,17660,17900,240
fixation.ivt,18020,18140,120
fixation.ivt,18220,25140,6920
fixation.ivt,25220,25720,500
fixation.ivt,25800,26380,580
fixation.ivt,26460,26700,240
fixation.ivt,26800,27840,1040
fixation.ivt,27880,28380,500
fixation.ivt,28420,28580,160
fixation.ivt,28660,28900,240
fixation.ivt,28940,29380,440
fixation.ivt,29460,31020,1560
fixation.ivt,31140,31300,160
fixation.ivt,31360,32080,720
fixation.ivt,32200,32460,260
fixation.ivt,32560,32940,380
fixation.ivt,33220,33740,520
fixation.ivt,33840,33940,100
fixation.ivt,34040,34660,620
fixation.ivt,34700,34960,260
fixation.ivt,35020,35300,280
fixation.ivt,35340,35580,240
fixation.ivt,35640,36000,360
fixation.ivt,36140,37040,900
fixation.ivt,37080,38660,1580
fixation.ivt,38740,39360,620
fixation.ivt,39440,39800,360
fixation.ivt,40,1380,1340
fixation.ivt,1460,1760,300
fixation.ivt,1820,2160,340
fixation.ivt,2200,2620,420
fixation.ivt,2720,2880,160
fixation.ivt,3100,3520,420
fixation.ivt,3580,3800,220
fixation.ivt,3880,4100,220
fixation.ivt,4160,5120,960
fixation.ivt,5200,5440,240
fixation.ivt,5540,5920,380
fixation.ivt,5960,7260,1300
fixation.ivt,7520,8260,740
fixation.ivt,8400,8740,340
fixation.ivt,8900,10260,1360
fixation.ivt,10360,10900,540
fixation.ivt,10960,11720,760
fixation.ivt,11780,11920,140
fixation.ivt,12020,12940,920
fixation.ivt,13020,13120,100
fixation.ivt,13220,14060,840
fixation.ivt,14100,14240,140
fixation.ivt,14420,14940,520
fixation.ivt,15060,15160,100
fixation.ivt,15260,15860,600
fixation.ivt,15980,16080,100
fixation.ivt,16160,16400,240
fixation.ivt,16680,16860,180
fixation.ivt,16920,17380,460
fixation.ivt,17660,17900,240
fixation.ivt,18020,18140,120
fixation.ivt,18220,25140,6920
fixation.ivt,25220,25720,500
fixation.ivt,25800,26380,580
fixation.ivt,26460,26700,240
fixation.ivt,26800,27840,1040
fixation.ivt,27880,28380,500
fixation.ivt,28420,28580,160
fixation.ivt,28660,28900,240
fixation.ivt,28940,29380,440
fixation.ivt,29460,31020,1560
fixation.ivt,31140,31300,160
fixation.ivt,31360,32080,720
fixation.ivt,32200,32460,260
fixation.ivt,32560,32940,380
fixation.ivt,33220,33740,520
fixation.ivt,33840,33940,100
fixation.ivt,34040,34660,620
fixation.ivt,34700,34960,260
fixation.ivt,35020,35300,280
fixation.ivt,35340,35580,240
fixation.ivt,35640,36000,360
fixation.ivt,36140,37040,900
fixation.ivt,37080,38660,1580
fixation.ivt,38740,39360,620
fixation.ivt,39440,39800,360
fixation.ivt,40,1380,1340
fixation.ivt,1460,1760,300
fixation.ivt,1820,2160,340
fixation.ivt,2200,2620,420
fixation.ivt,2720,2880,160
fixation.ivt,3100,3520,420
fixation.ivt,3580,3800,220
fixation.ivt,3880,4100,220
fixation.ivt,4160,5120,960
fixation.ivt,5200,5440,240
fixation.ivt,5540,5920,380
fixation.ivt,5960,7260,1300
fixation.ivt,7520,8260,740
fixation.ivt,8400,8740,340
fixation.ivt,8900,10260,1360
fixation.ivt,10360,10900,540
fixation.ivt,10960,11720,760
fixation.ivt,11780,11920,140
fixation.ivt,12020,12940,920
fixation.ivt,13020,13120,100
fixation.ivt,13220,14060,840
fixation.ivt,14100,14240,140
fixation.ivt,14420,14940,520
fixation.ivt,15060,15160,100
fixation.ivt,15260,15860,600
fixation.ivt,15980,16080,100
fixation.ivt,16160,16400,240
fixation.ivt,16680,16860,180
fixation.ivt,16920,17380,460
fixation.ivt,17660,17900,240
fixation.ivt,18020,18140,120
fixation.ivt,18220,25140,6920
fixation.ivt,25220,25720,500
fixation.ivt,25800,26380,580
fixation.ivt,26460,26700,240
fixation.ivt,26800,27840,1040
fixation.ivt,27880,28380,500
fixation.ivt,28420,28580,160
fixation.ivt,28660,28900,240
