name,onset,offset,duration
fixation.ivt,40,540,500
fixation.ivt,660,780,120
fixation.ivt,880,1060,180
fixation.ivt,1120,1920,800
fixation.ivt,2040,2200,160
fixation.ivt,2460,2600,140
fixation.ivt,2680,2960,280
fixation.ivt,3100,3580,480
fixation.ivt,3680,4000,320
fixation.ivt,4460,4920,460
fixation.ivt,5120,5220,100
fixation.ivt,5340,5440,100
fixation.ivt,5560,5700,140
fixation.ivt,5740,6040,300
fixation.ivt,6200,6440,240
fixation.ivt,6540,6640,100
fixation.ivt,6740,6960,220
fixation.ivt,7040,7140,100
fixation.ivt,7240,7400,160
fixation.ivt,7500,7760,260
fixation.ivt,7880,7980,100
fixation.ivt,8080,8180,100
fixation.ivt,8240,8480,240
fixation.ivt,8960,9080,120
fixation.ivt,9340,9440,100
fixation.ivt,9540,9700,160
fixation.ivt,9780,10280,500
fixation.ivt,10580,10960,380
fixation.ivt,11080,11200,120
fixation.ivt,11540,11820,280
fixation.ivt,11920,12060,140
fixation.ivt,12160,12320,160
fixation.ivt,12640,13020,380
fixation.ivt,13060,13160,100
fixation.ivt,13460,13600,140
fixation.ivt,13680,13840,160
fixation.ivt,13940,14200,260
fixation.ivt,14300,14680,380
fixation.ivt,14780,14960,180
fixation.ivt,15060,15160,100
fixation.ivt,15420,15740,320
fixation.ivt,15860,16020,160
fixation.ivt,16080,16460,380
fixation.ivt,16560,16680,120
fixation.ivt,16800,16920,120
fixation.ivt,17460,17740,280
fixation.ivt,17840,17980,140
fixation.ivt,18080,18180,100
fixation.ivt,18320,18580,260
fixation.ivt,18700,18920,220
fixation.ivt,19360,19660,300
fixation.ivt,19820,19960,140
fixation.ivt,20280,20440,160
fixation.ivt,20540,21260,720
fixation.ivt,21980,22260,280
fixation.ivt,22340,22740,400
fixation.ivt,22820,23500,680
fixation.ivt,23620,23740,120
fixation.ivt,23860,24040,180
fixation.ivt,24140,24560,420
fixation.ivt,24660,26460,1800
fixation.ivt,27120,27300,180
fixation.ivt,28260,29940,1680
fixation.ivt,40,540,500
fixation.ivt,660,780,120
fixation.ivt,880,1060,180
fixation.ivt,1120,1920,800
fixation.ivt,2040,2200,160
fixation.ivt,2460,2600,140
fixation.ivt,2680,2960,280
fixation.ivt,3100,3580,480
fixation.ivt,3680,4000,320
fixation.ivt,4460,4920,460
fixation.ivt,5120,5220,100
fixation.ivt,5340,5440,100
fixation.ivt,5560,5700,140
fixation.ivt,5740,6040,300
fixation.ivt,6200,6440,240
fixation.ivt,6540,6640,100
fixation.ivt,6740,6960,220
fixation.ivt,7040,7140,100
fixation.ivt,7240,7400,160
fixation.ivt,7500,7760,260
fixation.ivt,7880,7980,100
fixation.ivt,8080,8180,100
fixation.ivt,8240,8480,240
fixation.ivt,8960,9080,120
fixation.ivt,9340,9440,100
fixation.ivt,9540,9700,160
fixation.ivt,9780,10280,500
fixation.ivt,10580,10960,380
fixation.ivt,11080,11200,120
fixation.ivt,11540,11820,280
fixation.ivt,11920,12060,140
fixation.ivt,12160,12320,160
fixation.ivt,12640,13020,380
fixation.ivt,13060,13160,100
fixation.ivt,13460,13600,140
fixation.ivt,13680,13840,160
fixation.ivt,13940,14200,260
fixation.ivt,14300,14680,380
fixation.ivt,14780,14960,180
fixation.ivt,15060,15160,100
fixation.ivt,15420,15740,320
fixation.ivt,15860,16020,160
fixation.ivt,16080,16460,380
fixation.ivt,16560,16680,120
fixation.ivt,16800,16920,120
fixation.ivt,17460,17740,280
fixation.ivt,17840,17980,140
fixation.ivt,18080,18180,100
fixation.ivt,18320,18580,260
fixation.ivt,18700,18920,220
fixation.ivt,19360,19660,300
fixation.ivt,19820,19960,140
fixation.ivt,20280,20440,160
fixation.ivt,20540,21260,720
fixation.ivt,21980,22260,280
fixation.ivt,22340,22740,400
fixation.ivt,22820,23500,680
fixation.ivt,23620,23740,120
fixation.ivt,23860,24040,180
fixation.ivt,24140,24560,420
fixation.ivt,24660,26460,1800
fixation.ivt,27120,27300,180
fixation.ivt,28260,29940,1680
fixation.ivt,40,540,500
fixation.ivt,660,780,120
fixation.ivt,880,1060,180
fixation.ivt,1120,1920,800
fixation.ivt,2040,2200,160
fixation.ivt,2460,2600,140
fixation.ivt,2680,2960,280
fixation.ivt,3100,3580,480
fixation.ivt,3680,4000,320
fixation.ivt,4460,4920,460
fixation.ivt,5120,5220,100
fixation.ivt,5340,5440,100
fixation.ivt,5560,5700,140
fixation.ivt,5740,6040,300
fixation.ivt,6200,6440,240
fixation.ivt,6540,6640,100
fixation.ivt,6740,6960,220
fixation.ivt,7040,7140,100
fixation.ivt,7240,7400,160
fixation.ivt,7500,7760,260
fixation.ivt,7880,7980,100
fixation.ivt,8080,8180,100
fixation.ivt,8240,8480,240
fixation.ivt,8960,9080,120
fixation.ivt,9340,9440,100
fixation.ivt,9540,9700,160
fixation.ivt,9780,10280,500
fixation.ivt,10580,10960,380
fixation.ivt,11080,11200,120
fixation.ivt,11540,11820,280
fixation.ivt,11920,12060,140
fixation.ivt,12160,12320,160
fixation.ivt,12640,13020,380
fixation.ivt,13060,13160,100
fixation.ivt,13460,13600,140
fixation.ivt,13680,13840,160
fixation.ivt,13940,14200,260
fixation.ivt,14300,14680,380
fixation.ivt,14780,14960,180
fixation.ivt,15060,15160,100
fixation.ivt,15420,15740,320
fixation.ivt,15860,16020,160
fixation.ivt,16080,16460,380
fixation.ivt,16560,16680,120
fixation.ivt,16800,16920,120
fixation.ivt,17460,17740,280
fixation.ivt,17840,17980,140
fixation.ivt,18080,18180,100
fixation.ivt,18320,18580,260
fixation.ivt,18700,18920,220
fixation.ivt,19360,19660,300
fixation.ivt,19820,19960,140
fixation.ivt,20280,20440,160
fixation.ivt,20540,21260,720
fixation.ivt,21980,22260,280
fixation.ivt,22340,22740,400
fixation.ivt,22820,23500,680
fixation.ivt,23620,23740,120
fixation.ivt,23860,24040,180
fixation.ivt,24140,24560,420
fixation.ivt,24660,26460,1800
fixation.ivt,27120,27300,180
fixation.ivt,28260,29940,1680
fixation.ivt,40,540,500
fixation.ivt,660,780,120
fixation.ivt,880,1060,180
fixation.ivt,1120,1920,800
fixation.ivt,2040,2200,160
fixation.ivt,2460,2600,140
fixation.ivt,2680,2960,280
fixation.ivt,3100,3580,480
fixation.ivt,3680,4000,320
fixation.ivt,4460,4920,460
fixation.ivt,5120,5220,100
fixation.ivt,5340,5440,100
fixation.ivt,5560,5700,140
fixation.ivt,5740,6040,300
fixation.ivt,6200,6440,240
fixation.ivt,6540,6640,100
fixation.ivt,6740,6960,220
fixation.ivt,7040,7140,100
fixation.ivt,7240,7400,160
fixation.ivt,7500,7760,260
fixation.ivt,7880,7980,100
fixation.ivt,8080,8180,100
fixation.ivt,8240,8480,240
fixation.ivt,8960,9080,120
fixation.ivt,9340,9440,100
fixation.ivt,9540,9700,160
fixation.ivt,9780,10280,500
fixation.ivt,10580,10960,380
fixation.ivt,11080,11200,120
fixation.ivt,11540,11820,280
fixation.ivt,11920,12060,140
fixation.ivt,12160,12320,160
fixation.ivt,12640,13020,380
fixation.ivt,13060,13160,100
fixation.ivt,13460,13600,140
fixation.ivt,13680,13840,160
fixation.ivt,13940,14200,260
fixation.ivt,14300,14680,380
fixation.ivt,14780,14960,180
fixation.ivt,15060,15160,100
fixation.ivt,15420,15740,320
fixation.ivt,15860,16020,160
fixation.ivt,16080,16460,380
fixation.ivt,16560,16680,120
fixation.ivt,16800,16920,120
fixation.ivt,17460,17740,280
fixation.ivt,17840,17980,140
fixation.ivt,18080,18180,100
fixation.ivt,18320,18580,260
fixation.ivt,18700,18920,220
fixation.ivt,19360,19660,300
fixation.ivt,19820,19960,140
fixation.ivt,20280,20440,160
fixation.ivt,20540,21260,720
fixation.ivt,21980,22260,280
fixation.ivt,22340,22740,400
fixation.ivt,22820,23500,680
fixation.ivt,23620,23740,120
fixation.ivt,23860,24040,180
fixation.ivt,24140,24560,420
fixation.ivt,24660,26460,1800
fixation.ivt,27120,27300,180
fixation.ivt,28260,29940,1680
fixation.ivt,40,540,500
fixation.ivt,660,780,120
fixation.ivt,880,1060,180
fixation.ivt,1120,1920,800
fixation.ivt,2040,2200,160
fixation.ivt,2460,2600,140
fixation.ivt,2680,2960,280
fixation.ivt,3100,3580,480
fixation.ivt,3680,4000,320
fixation.ivt,4460,4920,460
fixation.ivt,5120,5220,100
fixation.ivt,5340,5440,100
fixation.ivt,5560,5700,140
fixation.ivt,5740,6040,300
fixation.ivt,6200,6440,240
fixation.ivt,6540,6640,100
fixation.ivt,6740,6960,220
fixation.ivt,7040,7140,100
fixation.ivt,7240,7400,160
fixation.ivt,7500,7760,260
fixation.ivt,7880,7980,100
fixation.ivt,8080,8180,100
fixation.ivt,8240,8480,240
fixation.ivt,8960,9080,120
fixation.ivt,9340,9440,100
fixation.ivt,9540,9700,160
fixation.ivt,9780,10280,500
fixation.ivt,10580,10960,380
fixation.ivt,11080,11200,120
fixation.ivt,11540,11820,280
fixation.ivt,11920,12060,140
fixation.ivt,12160,12320,160
fixation.ivt,12640,13020,380
fixation.ivt,13060,13160,100
fixation.ivt,13460,13600,140
fixation.ivt,13680,13840,160
fixation.ivt,13940,14200,260
fixation.ivt,14300,14680,380
fixation.ivt,14780,14960,180
fixation.ivt,15060,15160,100
fixation.ivt,15420,15740,320
fixation.ivt,15860,16020,160
fixation.ivt,16080,16460,380
fixation.ivt,16560,16680,120
fixation.ivt,16800,16920,120
fixation.ivt,17460,17740,280
fixation.ivt,17840,17980,140
fixation.ivt,18080,18180,100
fixation.ivt,18320,18580,260
fixation.ivt,18700,18920,220
fixation.ivt,19360,19660,300
fixation.ivt,19820,19960,140
fixation.ivt,20280,20440,160
fixation.ivt,20540,21260,720
fixation.ivt,21980,22260,280
fixation.ivt,22340,22740,400
fixation.ivt,22820,23500,680
fixation.ivt,23620,23740,120
fixation.ivt,23860,24040,180
fixation.ivt,24140,24560,420
fixation.ivt,24660,26460,1800
fixation.ivt,27120,27300,180
fixation.ivt,28260,29940,1680
fixation.ivt,40,540,500
fixation.ivt,660,780,120
fixation.ivt,880,1060,180
fixation.ivt,1120,1920,800
fixation.ivt,2040,2200,160
fixation.ivt,2460,2600,140
fixation.ivt,2680,2960,280
fixation.ivt,3100,3580,480
fixation.ivt,3680,4000,320
fixation.ivt,4460,4920,460
fixation.ivt,5120,5220,100
fixation.ivt,5340,5440,100
fixation.ivt,5560,5700,140
fixation.ivt,5740,6040,300
fixation.ivt,6200,6440,240
fixation.ivt,6540,6640,100
fixation.ivt,6740,6960,220
fixation.ivt,7040,7140,100
fixation.ivt,7240,7400,160
fixation.ivt,7500,7760,260
fixation.ivt,7880,7980,100
fixation.ivt,8080,8180,100
fixation.ivt,8240,8480,240
fixation.ivt,8960,9080,120
fixation.ivt,9340,9440,100
fixation.ivt,9540,9700,160
fixation.ivt,9780,10280,500
fixation.ivt,10580,10960,380
fixation.ivt,11080,11200,120
fixation.ivt,11540,11820,280
fixation.ivt,11920,12060,140
