name,onset,offset,duration
fixation.ivt,60,200,140
fixation.ivt,440,700,260
fixation.ivt,980,1260,280
fixation.ivt,1360,1460,100
fixation.ivt,1620,1740,120
fixation.ivt,1840,1940,100
fixation.ivt,2340,2640,300
fixation.ivt,2760,2860,100
fixation.ivt,2900,3280,380
fixation.ivt,3620,3920,300
fixation.ivt,4060,4200,140
fixation.ivt,4240,4380,140
fixation.ivt,4660,4980,320
fixation.ivt,5100,5260,160
fixation.ivt,5380,5520,140
fixation.ivt,5920,6080,160
fixation.ivt,6440,6900,460
fixation.ivt,7000,7100,100
fixation.ivt,7560,7660,100
fixation.ivt,7760,7920,160
fixation.ivt,8000,8180,180
fixation.ivt,8300,8720,420
fixation.ivt,8820,9040,220
fixation.ivt,9420,9620,200
fixation.ivt,9980,10560,580
fixation.ivt,10660,10820,160
fixation.ivt,10920,11140,220
fixation.ivt,12040,12140,100
fixation.ivt,12280,12440,160
fixation.ivt,12700,12820,120
fixation.ivt,13820,13940,120
fixation.ivt,14060,14160,100
fixation.ivt,14260,14580,320
fixation.ivt,14760,14920,160
fixation.ivt,15700,15800,100
fixation.ivt,17380,17520,140
fixation.ivt,17640,17740,100
fixation.ivt,18040,18200,160
fixation.ivt,18320,18540,220
fixation.ivt,18680,18800,120
fixation.ivt,18920,19020,100
fixation.ivt,19100,19340,240
fixation.ivt,19840,19940,100
fixation.ivt,60,200,140
fixation.ivt,440,700,260
fixation.ivt,980,1260,280
fixation.ivt,1360,1460,100
fixation.ivt,1620,1740,120
fixation.ivt,1840,1940,100
fixation.ivt,2340,2640,300
fixation.ivt,2760,2860,100
fixation.ivt,2900,3280,380
fixation.ivt,3620,3920,300
fixation.ivt,4060,4200,140
fixation.ivt,4240,4380,140
fixation.ivt,4660,4980,320
fixation.ivt,5100,5260,160
fixation.ivt,5380,5520,140
fixation.ivt,5920,6080,160
fixation.ivt,6440,6900,460
fixation.ivt,7000,7100,100
fixation.ivt,7560,7660,100
fixation.ivt,7760,7920,160
fixation.ivt,8000,8180,180
fixation.ivt,8300,8720,420
fixation.ivt,8820,9040,220
fixation.ivt,9420,9620,200
fixation.ivt,9980,10560,580
fixation.ivt,10660,10820,160
fixation.ivt,10920,11140,220
fixation.ivt,12040,12140,100
fixation.ivt,12280,12440,160
fixation.ivt,12700,12820,120
fixation.ivt,13820,13940,120
fixation.ivt,14060,14160,100
fixation.ivt,14260,14580,320
fixation.ivt,14760,14920,160
fixation.ivt,15700,15800,100
fixation.ivt,17380,17520,140
fixation.ivt,17640,17740,100
fixation.ivt,18040,18200,160
fixation.ivt,18320,18540,220
fixation.ivt,18680,18800,120
fixation.ivt,18920,19020,100
fixation.ivt,19100,19340,240
fixation.ivt,19840,19940,100
fixation.ivt,60,200,140
fixation.ivt,440,700,260
fixation.ivt,980,1260,280
fixation.ivt,1360,1460,100
fixation.ivt,1620,1740,120
