name,onset,offset,duration
fixation.ivt,40,1200,1160
fixation.ivt,1300,2480,1180
fixation.ivt,2560,2780,220
fixation.ivt,2920,3140,220
fixation.ivt,3240,3580,340
fixation.ivt,3640,3840,200
fixation.ivt,3880,3980,100
fixation.ivt,4080,4840,760
fixation.ivt,4940,5180,240
fixation.ivt,5240,6500,1260
fixation.ivt,6540,6660,120
fixation.ivt,7060,8040,980
fixation.ivt,8140,8860,720
fixation.ivt,9120,9400,280
fixation.ivt,9500,9800,300
fixation.ivt,9880,10140,260
fixation.ivt,10240,10900,660
fixation.ivt,11000,11960,960
fixation.ivt,12460,12760,300
fixation.ivt,12860,13440,580
fixation.ivt,13540,13660,120
fixation.ivt,13760,14000,240
fixation.ivt,14040,14220,180
fixation.ivt,14340,15280,940
fixation.ivt,15360,15840,480
fixation.ivt,15880,16360,480
fixation.ivt,16400,16820,420
fixation.ivt,16920,17560,640
fixation.ivt,17660,18580,920
fixation.ivt,18620,18940,320
fixation.ivt,19000,19160,160
fixation.ivt,19280,19400,120
fixation.ivt,19700,19940,240
fixation.ivt,20040,20200,160
fixation.ivt,20320,20760,440
fixation.ivt,21820,22160,340
fixation.ivt,22240,22640,400
fixation.ivt,22760,23560,800
fixation.ivt,23600,24460,860
fixation.ivt,24580,25700,1120
fixation.ivt,25760,25940,180
fixation.ivt,26120,26420,300
fixation.ivt,26700,26840,140
fixation.ivt,26940,27500,560
fixation.ivt,27620,27920,300
fixation.ivt,28020,28540,520
fixation.ivt,28620,29720,1100
fixation.ivt,29820,29960,140
fixation.ivt,30260,30680,420
fixation.ivt,30800,31120,320
fixation.ivt,31180,31340,160
fixation.ivt,31440,31580,140
fixation.ivt,31640,32280,640
fixation.ivt,32340,32580,240
fixation.ivt,32700,32860,160
fixation.ivt,32920,33320,400
fixation.ivt,33380,33520,140
fixation.ivt,33600,33900,300
fixation.ivt,33980,35740,1760
fixation.ivt,35880,36020,140
fixation.ivt,36140,36420,280
fixation.ivt,36880,37020,140
fixation.ivt,37120,37420,300
fixation.ivt,37520,38020,500
fixation.ivt,38100,38520,420
fixation.ivt,38620,38900,280
fixation.ivt,39160,39480,320
fixation.ivt,39540,39860,320
fixation.ivt,40,1200,1160
fixation.ivt,1300,2480,1180
fixation.ivt,2560,2780,220
fixation.ivt,2920,3140,220
fixation.ivt,3240,3580,340
fixation.ivt,3640,3840,200
fixation.ivt,3880,3980,100
fixation.ivt,4080,4840,760
fixation.ivt,4940,5180,240
fixation.ivt,5240,6500,1260
fixation.ivt,6540,6660,120
fixation.ivt,7060,8040,980
fixation.ivt,8140,8860,720
fixation.ivt,9120,9400,280
fixation.ivt,9500,9800,300
fixation.ivt,9880,10140,260
fixation.ivt,10240,10900,660
fixation.ivt,11000,11960,960
fixation.ivt,12460,12760,300
fixation.ivt,12860,13440,580
fixation.ivt,13540,13660,120
fixation.ivt,13760,14000,240
fixation.ivt,14040,14220,180
fixation.ivt,14340,15280,940
fixation.ivt,15360,15840,480
fixation.ivt,15880,16360,480
fixation.ivt,16400,16820,420
fixation.ivt,16920,17560,640
fixation.ivt,17660,18580,920
fixation.ivt,18620,18940,320
fixation.ivt,19000,19160,160
fixation.ivt,19280,19400,120
fixation.ivt,19700,19940,240
fixation.ivt,20040,20200,160
fixation.ivt,20320,20760,440
fixation.ivt,21820,22160,340
fixation.ivt,22240,22640,400
fixation.ivt,22760,23560,800
fixation.ivt,23600,24460,860
fixation.ivt,24580,25700,1120
fixation.ivt,25760,25940,180
fixation.ivt,26120,26420,300
fixation.ivt,26700,26840,140
fixation.ivt,26940,27500,560
fixation.ivt,27620,27920,300
fixation.ivt,28020,28540,520
fixation.ivt,28620,29720,1100
fixation.ivt,29820,29960,140
fixation.ivt,30260,30680,420
fixation.ivt,30800,31120,320
fixation.ivt,31180,31340,160
fixation.ivt,31440,31580,140
fixation.ivt,31640,32280,640
fixation.ivt,32340,32580,240
fixation.ivt,32700,32860,160
fixation.ivt,32920,33320,400
fixation.ivt,33380,33520,140
fixation.ivt,33600,33900,300
fixation.ivt,33980,35740,1760
fixation.ivt,35880,36020,140
fixation.ivt,36140,36420,280
fixation.ivt,36880,37020,140
fixation.ivt,37120,37420,300
fixation.ivt,37520,38020,500
fixation.ivt,38100,38520,420
fixation.ivt,38620,38900,280
fixation.ivt,39160,39480,320
fixation.ivt,39540,39860,320
fixation.ivt,40,1200,1160
fixation.ivt,1300,2480,1180
fixation.ivt,2560,2780,220
fixation.ivt,2920,3140,220
fixation.ivt,3240,3580,340
fixation.ivt,3640,3840,200
fixation.ivt,3880,3980,100
fixation.ivt,4080,4840,760
fixation.ivt,4940,5180,240
fixation.ivt,5240,6500,1260
fixation.ivt,6540,6660,120
fixation.ivt,7060,8040,980
fixation.ivt,8140,8860,720
fixation.ivt,9120,9400,280
fixation.ivt,9500,9800,300
fixation.ivt,9880,10140,260
fixation.ivt,10240,10900,660
fixation.ivt,11000,11960,960
fixation.ivt,12460,12760,300
fixation.ivt,12860,13440,580
fixation.ivt,13540,13660,120
fixation.ivt,13760,14000,240
fixation.ivt,14040,14220,180
fixation.ivt,14340,15280,940
fixation.ivt,15360,15840,480
fixation.ivt,15880,16360,480
fixation.ivt,16400,16820,420
fixation.ivt,16920,17560,640
fixation.ivt,17660,18580,920
fixation.ivt,18620,18940,320
fixation.ivt,19000,19160,160
fixation.ivt,19280,19400,120
fixation.ivt,19700,19940,240
fixation.ivt,20040,20200,160
fixation.ivt,20320,20760,440
fixation.ivt,21820,22160,340
fixation.ivt,22240,22640,400
fixation.ivt,22760,23560,800
fixation.ivt,23600,24460,860
fixation.ivt,24580,25700,1120
fixation.ivt,25760,25940,180
fixation.ivt,26120,26420,300
fixation.ivt,26700,26840,140
fixation.ivt,26940,27500,560
fixation.ivt,27620,27920,300
fixation.ivt,28020,28540,520
fixation.ivt,28620,29720,1100
fixation.ivt,29820,29960,140
fixation.ivt,30260,30680,420
fixation.ivt,30800,31120,320
fixation.ivt,31180,31340,160
fixation.ivt,31440,31580,140
fixation.ivt,31640,32280,640
fixation.ivt,32340,32580,240
fixation.ivt,32700,32860,160
fixation.ivt,32920,33320,400
fixation.ivt,33380,33520,140
fixation.ivt,33600,33900,300
fixation.ivt,33980,35740,1760
fixation.ivt,35880,36020,140
fixation.ivt,36140,36420,280
fixation.ivt,36880,37020,140
fixation.ivt,37120,37420,300
fixation.ivt,37520,38020,500
fixation.ivt,38100,38520,420
fixation.ivt,38620,38900,280
fixation.ivt,39160,39480,320
fixation.ivt,39540,39860,320
fixation.ivt,40,1200,1160
fixation.ivt,1300,2480,1180
fixation.ivt,2560,2780,220
fixation.ivt,2920,3140,220
fixation.ivt,3240,3580,340
fixation.ivt,3640,3840,200
fixation.ivt,3880,3980,100
fixation.ivt,4080,4840,760
fixation.ivt,4940,5180,240
fixation.ivt,5240,6500,1260
fixation.ivt,6540,6660,120
fixation.ivt,7060,8040,980
fixation.ivt,8140,8860,720
fixation.ivt,9120,9400,280
fixation.ivt,9500,9800,300
