name,onset,offset,duration
fixation.ivt,40,380,340
fixation.ivt,480,680,200
fixation.ivt,1000,1180,180
fixation.ivt,1280,1440,160
fixation.ivt,1540,1920,380
fixation.ivt,2020,2360,340
fixation.ivt,2520,2620,100
fixation.ivt,2660,2860,200
fixation.ivt,2980,3220,240
fixation.ivt,3320,3540,220
fixation.ivt,3660,3860,200
fixation.ivt,4120,4280,160
fixation.ivt,4380,4580,200
fixation.ivt,5000,5120,120
fixation.ivt,5300,5440,140
fixation.ivt,5560,5760,200
fixation.ivt,5860,6100,240
fixation.ivt,6200,6460,260
fixation.ivt,6560,7020,460
fixation.ivt,7360,7620,260
fixation.ivt,7720,7820,100
fixation.ivt,7920,8160,240
fixation.ivt,8660,8780,120
fixation.ivt,9080,9380,300
fixation.ivt,9480,9580,100
fixation.ivt,9660,9880,220
fixation.ivt,9960,10280,320
fixation.ivt,10600,10780,180
fixation.ivt,10860,11220,360
fixation.ivt,11320,11740,420
fixation.ivt,11840,12120,280
fixation.ivt,12220,12440,220
fixation.ivt,12520,12660,140
fixation.ivt,12960,13400,440
fixation.ivt,13500,13720,220
fixation.ivt,13980,14200,220
fixation.ivt,14300,14600,300
fixation.ivt,14700,14880,180
fixation.ivt,14960,15320,360
fixation.ivt,15440,15560,120
fixation.ivt,15680,15900,220
fixation.ivt,16020,16200,180
fixation.ivt,16300,16420,120
fixation.ivt,16520,16800,280
fixation.ivt,16860,17000,140
fixation.ivt,17100,17380,280
fixation.ivt,17700,17900,200
fixation.ivt,18000,18180,180
fixation.ivt,18280,18480,200
fixation.ivt,18580,18820,240
fixation.ivt,18920,19460,540
fixation.ivt,20100,20700,600
fixation.ivt,20820,20940,120
fixation.ivt,21040,21260,220
fixation.ivt,21380,21540,160
fixation.ivt,21600,21780,180
fixation.ivt,21900,22140,240
fixation.ivt,22240,22640,400
fixation.ivt,22800,22920,120
fixation.ivt,23020,23220,200
fixation.ivt,23340,24100,760
fixation.ivt,24220,24400,180
fixation.ivt,24720,24840,120
fixation.ivt,25260,25500,240
fixation.ivt,25980,26160,180
fixation.ivt,26300,26500,200
fixation.ivt,26860,27980,1120
fixation.ivt,28340,28560,220
fixation.ivt,28680,29180,500
fixation.ivt,29240,29400,160
fixation.ivt,31540,31640,100
fixation.ivt,31800,32020,220
fixation.ivt,32140,32340,200
fixation.ivt,32460,32740,280
fixation.ivt,33540,33660,120
fixation.ivt,33800,33900,100
fixation.ivt,34040,34280,240
fixation.ivt,34380,34520,140
fixation.ivt,34660,35140,480
fixation.ivt,35280,35620,340
fixation.ivt,35680,36200,520
fixation.ivt,36940,37420,480
fixation.ivt,37520,37840,320
fixation.ivt,38280,38820,540
fixation.ivt,38960,39440,480
fixation.ivt,39540,39940,400
fixation.ivt,40,380,340
fixation.ivt,480,680,200
fixation.ivt,1000,1180,180
fixation.ivt,1280,1440,160
fixation.ivt,1540,1920,380
fixation.ivt,2020,2360,340
fixation.ivt,2520,2620,100
fixation.ivt,2660,2860,200
fixation.ivt,2980,3220,240
fixation.ivt,3320,3540,220
fixation.ivt,3660,3860,200
fixation.ivt,4120,4280,160
fixation.ivt,4380,4580,200
fixation.ivt,5000,5120,120
fixation.ivt,5300,5440,140
fixation.ivt,5560,5760,200
fixation.ivt,5860,6100,240
fixation.ivt,6200,6460,260
fixation.ivt,6560,7020,460
fixation.ivt,7360,7620,260
fixation.ivt,7720,7820,100
fixation.ivt,7920,8160,240
fixation.ivt,8660,8780,120
fixation.ivt,9080,9380,300
fixation.ivt,9480,9580,100
fixation.ivt,9660,9880,220
fixation.ivt,9960,10280,320
fixation.ivt,10600,10780,180
fixation.ivt,10860,11220,360
fixation.ivt,11320,11740,420
fixation.ivt,11840,12120,280
fixation.ivt,12220,12440,220
fixation.ivt,12520,12660,140
fixation.ivt,12960,13400,440
fixation.ivt,13500,13720,220
fixation.ivt,13980,14200,220
fixation.ivt,14300,14600,300
fixation.ivt,14700,14880,180
fixation.ivt,14960,15320,360
fixation.ivt,15440,15560,120
fixation.ivt,15680,15900,220
fixation.ivt,16020,16200,180
fixation.ivt,16300,16420,120
fixation.ivt,16520,16800,280
fixation.ivt,16860,17000,140
fixation.ivt,17100,17380,280
fixation.ivt,17700,17900,200
fixation.ivt,18000,18180,180
fixation.ivt,18280,18480,200
fixation.ivt,18580,18820,240
fixation.ivt,18920,19460,540
fixation.ivt,20100,20700,600
fixation.ivt,20820,20940,120
fixation.ivt,21040,21260,220
fixation.ivt,21380,21540,160
fixation.ivt,21600,21780,180
fixation.ivt,21900,22140,240
fixation.ivt,22240,22640,400
fixation.ivt,22800,22920,120
fixation.ivt,23020,23220,200
fixation.ivt,23340,24100,760
fixation.ivt,24220,24400,180
fixation.ivt,24720,24840,120
fixation.ivt,25260,25500,240
fixation.ivt,25980,26160,180
fixation.ivt,26300,26500,200
fixation.ivt,26860,27980,1120
fixation.ivt,28340,28560,220
fixation.ivt,28680,29180,500
fixation.ivt,29240,29400,160
fixation.ivt,31540,31640,100
fixation.ivt,31800,32020,220
fixation.ivt,32140,32340,200
fixation.ivt,32460,32740,280
fixation.ivt,33540,33660,120
fixation.ivt,33800,33900,100
fixation.ivt,34040,34280,240
fixation.ivt,34380,34520,140
fixation.ivt,34660,35140,480
fixation.ivt,35280,35620,340
fixation.ivt,35680,36200,520
fixation.ivt,36940,37420,480
fixation.ivt,37520,37840,320
fixation.ivt,38280,38820,540
fixation.ivt,38960,39440,480
fixation.ivt,39540,39940,400
fixation.ivt,40,380,340
fixation.ivt,480,680,200
fixation.ivt,1000,1180,180
fixation.ivt,1280,1440,160
fixation.ivt,1540,1920,380
fixation.ivt,2020,2360,340
fixation.ivt,2520,2620,100
fixation.ivt,2660,2860,200
fixation.ivt,2980,3220,240
fixation.ivt,3320,3540,220
fixation.ivt,3660,3860,200
fixation.ivt,4120,4280,160
fixation.ivt,4380,4580,200
fixation.ivt,5000,5120,120
fixation.ivt,5300,5440,140
fixation.ivt,5560,5760,200
fixation.ivt,5860,6100,240
