T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.31072,1.0000000003174e-05,-0.65535,9.9999999960687e-06,-11.610649606299212,0.0001181102362160002
40,-1.96607,1.9999999999243e-05,-0.65534,0.65538,-15.480767716535434,3.8704724409448774
60,-1.31071,0.65538,-0.65534,0.65538,-11.610531496062993,7.740708661417322
80,-1.3107,0.65539,-1.3107,1.31075,-15.480708661417323,11.611062992125985
100,-1.31071,0.65539,-1.96606,1.31074,-19.351003937007874,11.611003937007874
120,-1.96607,0.65539,-1.31071,1.31074,-19.351062992125986,11.611003937007874
140,-2.62143,1.31075,-1.96608,1.96612,-27.091594488188978,19.35159448818898
160,-3.2768,1.31076,-1.96608,1.31075,-30.96188976377953,15.481358267716535
180,-2.62144,0.65543,-1.96608,1.96611,-27.091653543307086,15.481535433070867
200,-3.2768,0.65539,-2.62144,0.65539,-34.832125984251974,7.740826771653544
220,-3.2768,1.31075,-2.62144,1.31075,-34.832125984251974,15.481299212598426
240,-3.2768,1.31075,-2.62144,1.96611,-34.832125984251974,19.351535433070868
260,-3.93216,1.31076,-3.2768,1.96611,-42.57259842519685,19.35159448818898
280,-3.93216,1.31075,-3.2768,1.9661,-42.57259842519685,19.351476377952757
300,-3.93216,1.31075,-3.93215,1.96611,-46.44277559055118,19.351535433070868
320,-4.58752,1.31075,-3.93215,1.31074,-50.31301181102362,15.481240157480316
340,-5.24287,0.65539,-5.24286,1.31074,-61.923602362204726,11.611003937007874
360,-5.89822,0.65538,-5.89822,0.65538,-69.6640157480315,7.740708661417322
380,-6.55357,1.9999999999243e-05,-5.89821,9.9999999960687e-06,-73.53413385826771,0.0001771653543030219
400,-7.20892,-0.65535,-7.20891,9.9999999960687e-06,-85.14466535433071,-3.870118110236243
420,-7.86427,-1.31071,-7.2089,-0.65535,-89.01478346456693,-11.610590551181103
440,-8.51962,-0.65535,-8.51962,-0.65535,-100.62543307086614,-7.740354330708661
460,-9.17497,-1.31071,-8.51961,-0.65535,-104.49555118110237,-11.610590551181103
480,-9.83032,-0.65534,-9.17495,-0.65535,-112.23584645669291,-7.740295275590552
500,-10.48567,-0.65534,-10.48567,9.9999999960687e-06,-123.84649606299214,-3.870059055118134
520,-11.14103,1.9999999999243e-05,-11.14102,0.65538,-131.58690944881891,3.8704724409448774
540,-11.79638,0.65539,-11.79638,1.31074,-139.32732283464566,11.611003937007874
560,-12.45173,1.31075,-13.10708,1.96611,-150.93785433070866,19.351535433070868
580,-14.41781,1.96612,-14.4178,1.96612,-170.28903543307086,23.22188976377953
600,-15.07316,1.96613,-15.07316,3.27685,-178.02944881889763,30.962480314960633
620,-15.72851,2.62149,-16.38387,2.62149,-189.64003937007877,30.962480314960633
640,-17.03923,2.6215,-16.38386,3.27685,-197.38045275590554,34.832775590551186
660,-17.69458,3.93222,-17.03922,3.93222,-205.1208661417323,46.443543307086614
680,-17.69458,3.93222,-17.03922,4.58758,-205.1208661417323,50.313779527559056
700,-17.69458,4.58759,-17.69457,5.24295,-208.9910433070866,58.054370078740156
720,-18.34993,5.24295,-18.34992,5.89831,-216.73139763779528,65.79484251968505
740,-19.00528,5.89832,-18.34992,5.89832,-220.60157480314965,69.6651968503937
760,-19.00528,6.55369,-18.34991,6.55369,-220.60151574803152,77.4057874015748
780,-19.00527,7.20905,-18.34991,7.20905,-220.6014566929134,85.1462598425197
800,-19.00527,6.55369,-19.00527,7.20905,-224.47169291338582,81.27602362204725
820,-19.66063,7.20905,-19.00526,7.20904,-228.34187007874016,85.14620078740157
840,-19.66063,6.55369,-19.66063,7.20904,-232.21216535433072,81.27596456692913
860,-20.97135,6.55369,-20.97135,7.20904,-247.6931102362205,81.27596456692913
880,-22.28207,6.55369,-22.28207,7.20904,-263.17405511811023,81.27596456692913
900,-22.93743,6.55369,-22.93742,7.20904,-270.91446850393703,81.27596456692913
920,-23.59278,7.20905,-23.59278,7.86441,-278.65488188976383,89.01649606299213
940,-24.24814,7.86441,-24.24814,7.86441,-286.39535433070864,92.88673228346457
960,-24.9035,7.20905,-24.9035,7.20904,-294.13582677165357,85.14620078740157
980,-15.7284,8.51977,2.62188,8.51978,-77.40070866141733,100.62726377952755
1000,-0.65488000000001,9.17516,-3.27634,11.14125,-23.21586614173234,119.97879921259843
1020,-3.27636,13.10735,-2.621,14.41808,-34.82692913385827,162.55175196850394
1040,-3.93173,15.72882,-3.27637,17.03954,-42.56751968503937,193.51393700787403
1060,-4.5871,17.03955,-3.93174,17.69492,-50.30811023622048,205.1248228346457
1080,-4.5871,18.35029,-4.5871,19.00564,-54.17834645669292,220.60588582677167
1100,-5.24246,19.00565,-4.5871,19.00564,-58.04858267716536,224.4761220472441
1120,-43.25333,19.00565,-4.58709,19.00565,-282.52216535433075,224.4761811023622
1140,-4.58709,19.00565,-4.58709,19.66101,-54.17822834645669,228.34641732283464
1160,-4.58709,19.00565,-3.93172,19.66101,-50.30793307086614,228.34641732283464
1180,-3.93173,19.00566,-3.27636,19.66101,-42.567460629921264,228.34647637795277
1200,-3.93172,19.66101,-3.27636,19.00565,-42.56740157480315,228.34641732283464
1220,-3.27636,19.00565,-2.62099,19.00565,-34.82687007874016,224.4761811023622
1240,-3.27636,18.35029,-2.621,19.00564,-34.82692913385827,220.60588582677167
1260,-2.621,18.35029,-1.96564,19.00564,-27.086456692913387,220.60588582677167
1280,-2.621,19.00565,-1.96563,19.00564,-27.08639763779528,224.4761220472441
1300,-1.96563,18.35029,-1.96563,18.35028,-23.216102362204726,216.7356496062992
1320,-1.31027,17.69492,-1.31026,17.69492,-15.475570866141734,208.99511811023623
1340,-0.6549,17.69492,0.0004599999999968,17.69491,-3.8648031496063187,208.99505905511813
1360,-0.6549,17.03955,0.0004699999999999,17.03955,-3.86474409448819,201.2545275590551
1380,-0.6549,17.03955,0.0004699999999999,17.03954,-3.86474409448819,201.25446850393698
1400,0.0004599999999968,17.03955,7.86485,18.35026,46.44868110236219,208.99494094488188
1420,9.83099,17.69492,9.17563,18.35028,112.24381889763781,212.86535433070867
1440,8.52026,18.35028,9.83098,19.00563,108.37346456692914,220.60576771653544
1460,8.52026,18.35028,9.17562,18.35027,104.50322834645671,216.735531496063
1480,8.52025,17.69491,9.17562,17.6949,104.50316929133858,208.99494094488188
1500,8.52025,17.03954,9.17562,17.03954,104.50316929133858,201.25440944881888
1520,8.52025,17.03954,9.17562,16.38417,104.50316929133858,197.38411417322834
1540,8.52025,16.38417,10.48634,16.38416,112.24364173228346,193.51375984251973
1560,25.5598,17.03953,33.42426,16.38419,348.33106299212596,197.38417322834647
1580,30.14746,17.03956,30.14744,18.35029,356.0722440944882,208.99517716535436
1600,30.8028,18.35029,31.45817,18.35029,367.6828937007874,216.73570866141733
1620,30.80281,18.3503,32.11353,18.35029,371.55318897637795,216.73576771653546
1640,32.11353,18.35029,33.42426,18.35028,387.0341929133858,216.7356496062992
1660,32.7689,18.35029,33.42427,19.00564,390.90454724409454,220.60588582677167
1680,32.7689,19.00563,33.42427,19.66099,390.90454724409454,228.3461811023622
1700,32.76892,19.66099,33.42429,19.66098,390.9047834645669,232.21635826771654
1720,32.76893,20.31634,32.76895,20.97169,387.0347244094488,243.82694881889765
1740,32.1136,20.31634,32.11361,20.9717,379.2945472440945,243.82700787401578
1760,31.45825,20.9717,32.11362,20.31633,375.42442913385827,243.82694881889765
1780,32.11362,20.31633,32.76899,19.66096,383.1650196850394,236.08635826771658
1800,32.11364,19.66096,32.769,19.66095,383.16519685039367,232.21600393700788
1820,32.769,19.00559,33.42437,19.00558,390.9057283464567,224.47541338582678
1840,33.42437,18.35023,34.07974,18.35021,398.6463188976378,216.73488188976378
1860,34.07974,17.69485,34.07975,17.69485,402.5166732283465,208.99429133858266
1880,34.07975,17.03949,34.73511,17.69484,406.386968503937,205.12399606299212
1900,34.07975,17.03948,34.73511,17.03948,406.386968503937,201.25370078740158
1920,34.07975,16.38412,34.73511,16.38411,406.386968503937,193.5131692913386
1940,28.83681,15.72876,24.9046,16.38411,317.370531496063,189.64293307086615
1960,24.24925,16.38412,25.55998,17.03948,294.1489960629921,197.38346456692915
1980,24.90461,17.69486,25.55997,17.69485,298.01917322834646,208.99435039370076
2000,24.90461,17.69486,25.55997,18.35021,298.01917322834646,212.86458661417325
2020,24.90716,17.69486,26.21534,18.35021,301.90452755905517,212.86458661417325
2040,26.21534,18.35021,26.21534,19.00558,309.63,220.60505905511812
2060,26.21534,19.00559,27.52607,19.00558,317.370531496063,224.47541338582678
2080,27.52607,19.00559,28.83679,19.00559,332.85153543307086,224.4754724409449
2100,28.83679,19.00559,29.49216,19.66095,344.4623031496063,228.34570866141732
