T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65537,0.65536,-0.65537,0.0,-7.740590551181103,3.8702362204724414
40,-1.31073,0.65536,-1.31072,0.65537,-15.481003937007873,7.740531496062992
60,-1.31073,0.65536,-1.96609,0.65537,-19.351299212598423,7.740531496062992
80,-1.31073,1.31073,-1.96609,0.65537,-19.351299212598423,11.610826771653544
100,-1.96609,1.96609,-1.96609,1.31073,-23.221535433070866,19.351299212598423
120,-1.96609,1.9661,-2.62145,1.9661,-27.091771653543308,23.221653543307088
140,-1.9661,3.27682,-2.62145,2.62146,-27.09183070866142,34.83236220472441
160,-1.9661,2.62147,-2.62145,2.62147,-27.09183070866142,30.962244094488188
180,-2.62145,3.27682,-2.62145,2.62146,-30.962007874015747,34.83236220472441
200,-2.62145,3.27683,-2.62145,2.62147,-30.962007874015747,34.83248031496063
220,-1.96609,3.27682,-1.96609,2.62146,-23.221535433070866,34.83236220472441
240,-1.31073,3.27682,-1.96608,2.62147,-19.351240157480316,34.83242125984252
260,-1.31072,2.62146,-0.65536,2.62146,-11.610708661417323,30.96212598425197
280,9.9999999960687e-06,1.9661,1.9999999999243e-05,0.65537999999999,0.0001771653543030219,15.481181102362145
300,1.31074,9.9999999960687e-06,1.96611,-0.65536,19.351476377952757,-3.870177165354354
320,2.62147,-1.31073,2.62149,-1.96609,30.96236220472441,-19.351299212598423
340,3.27685,-1.31073,3.93222,-1.31073,42.573248031496064,-15.481062992125985
360,3.93223,-1.31074,4.5876,-2.62146,50.31395669291339,-23.221653543307088
380,3.93223,-2.62147,3.93223,-3.27683,46.443661417322836,-34.83248031496063
400,4.58758,-3.27683,4.58758,-4.58755,54.1840157480315,-46.443188976377954
420,3.9322,-3.9322,3.9322,-3.93219,46.443307086614176,-46.44324803149607
440,3.93219,-3.27684,3.27683,-3.93219,42.57295275590551,-42.573011811023626
460,3.27682,-2.62147,3.27682,-3.27683,38.70259842519685,-34.83248031496063
480,3.27681,-1.96611,2.62145,-1.9661,34.83224409448819,-23.221712598425196
500,2.62145,-0.65539,1.96609,-2.0000000006348e-05,27.091771653543308,-3.87053149606303
520,1.96609,0.65534,1.96609,0.65534,23.221535433070866,7.7402362204724415
540,1.96609,1.96606,1.31073,1.96606,19.351299212598423,23.221181102362205
560,1.96609,3.27678,1.96609,2.62142,23.221535433070866,34.83188976377953
580,1.96607,3.27677,1.31072,2.62142,19.351122047244097,34.831830708661414
600,1.31071,3.93213,1.31071,3.27678,15.480826771653545,42.572303149606306
620,1.31071,4.5875,0.65535,3.93214,11.610590551181103,50.3128346456693
640,1.3107,3.93214,0.65535,3.93214,11.610531496062993,46.44259842519685
660,1.31071,4.58749,0.65535,3.93214,11.610590551181103,50.312775590551176
680,1.3107,4.5875,1.31071,4.5875,15.480767716535434,54.18307086614174
700,0.65534,5.24285,-1.0000000003174e-05,4.5875,3.8700590551180913,58.05324803149606
720,0.65534,5.24286,-1.9999999999243e-05,5.24287,3.870000000000005,61.923602362204726
740,-1.9999999999243e-05,5.89822,-1.9999999999243e-05,5.89823,-0.00023622047243200396,69.6640748031496
760,-3.0000000002417e-05,6.55359,-3.0000000002417e-05,6.55359,-0.00035433070868996455,77.4046062992126
780,-0.65539,6.55359,-0.65539,6.55359,-7.740826771653544,77.4046062992126
800,-0.6554,7.20895,-1.31075,6.5536,-11.611122047244095,81.27490157480315
820,-1.31076,7.20896,-1.31075,6.55359,-15.481358267716535,81.27490157480315
840,-1.31075,7.20895,-1.31074,6.55359,-15.481240157480316,81.27484251968504
860,-1.31074,7.20895,-0.65537,6.55359,-11.610885826771653,81.27484251968504
880,-0.65537,7.20895,-1.31073,5.89823,-11.610826771653544,77.4046062992126
900,-0.65537,7.20895,-1.31072,6.55359,-11.610767716535433,81.27484251968504
920,-1.31073,6.55359,-1.96609,5.89824,-19.351299212598423,73.53442913385828
940,-1.31073,6.55359,-1.96609,5.24287,-19.351299212598423,69.66413385826772
960,-1.96609,5.89823,-1.96609,4.58752,-23.221535433070866,61.92372047244094
980,-1.96609,5.24288,-2.62145,4.58752,-27.091771653543308,58.05354330708662
1000,-2.62146,5.24288,-2.62145,3.93216,-30.96206692913386,54.18330708661418
1020,-2.62145,5.24288,-2.62144,3.93216,-30.96194881889764,54.18330708661418
1040,-2.62144,4.58753,-2.62144,3.93216,-30.96188976377953,50.31312992125985
1060,-2.62144,4.58752,-2.62143,3.2768,-30.961830708661417,46.44283464566929
1080,-2.62144,3.93216,-2.62143,3.2768,-30.961830708661417,42.57259842519685
1100,-2.62143,3.27679,-2.62142,3.27679,-30.9617125984252,38.702244094488194
1120,-2.62143,3.27679,1.31078,3.27679,-7.740059055118111,38.702244094488194
