T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.65536,0.65536,1.96608,3.8702362204724414,15.480944881889766
40,0.65535000000001,2.62146,1.31071,3.27682,11.610590551181161,34.83236220472441
60,1.96607,3.27682,2.62144,3.93217,27.091594488188978,42.57277559055118
80,3.27679,5.89828,4.58752,6.55364,46.44277559055118,73.53496062992126
100,5.24288,7.86437,5.89826,7.86436,65.79413385826771,92.88620078740156
120,5.89827,7.86437,5.89828,6.55364,69.66466535433071,85.14572834645669
140,5.89829,7.20902,6.55368,7.86438,73.5352559055118,89.01614173228346
160,6.55369,8.51976,6.5537,8.51975,77.40584645669291,100.62702755905512
180,6.55371,9.83049,5.89836,9.83048,73.53584645669292,116.10809055118109
200,5.89835,9.17512,5.243,9.83048,65.79537401574802,112.23779527559056
220,3.27701,9.83049,2.62167,10.48585,34.834724409448825,119.97838582677164
240,1.96629,11.79659,1.31092,11.79659,19.353602362204725,139.3298031496063
260,0.65555000000001,11.14124,0.65554,11.14124,7.742657480315019,131.58944881889764
280,0.65553000000001,10.48589,0.000160000000001,11.14125,3.8721850393701436,127.71933070866143
300,0.0001500000000049,11.14126,0.0001500000000049,12.45198,0.0017716535433649609,139.33015748031497
320,0.0001500000000049,12.45199,0.0001400000000018,13.7627,0.0017125984252358267,154.81116141732284
340,0.0001500000000049,13.76271,0.0001500000000049,15.07343,0.0017716535433649609,170.2921653543307
360,0.0001500000000049,15.7288,0.0001500000000049,16.38416,0.0017716535433649609,189.64346456692914
380,0.000160000000001,17.69489,-0.65519999999999,17.69487,-3.8683464566928483,208.99464566929137
400,0.000160000000001,17.03953,-0.65519999999999,17.03951,-3.8683464566928483,201.25417322834645
420,-1.31056,17.03952,-1.31055,17.03951,-15.478996062992126,201.25411417322837
440,-1.31055,16.38416,-1.31055,16.38416,-15.478937007874018,193.5137007874016
460,-1.31055,17.03952,-1.31054,17.03951,-15.478877952755907,201.25411417322837
