T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65537,-1.0000000003174e-05,0.0,9.9999999960687e-06,3.8702952755905513,-4.196042485389578e-14
40,9.9999999960687e-06,0.0,0.0,0.0,5.905511808701989e-05,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0
80,9.9999999960687e-06,-1.0000000003174e-05,0.65536,0.0,3.8702952755905278,-5.9055118128980315e-05
100,0.65536,-1.0000000003174e-05,1.31072,0.0,11.610708661417323,-5.9055118128980315e-05
120,1.96608,-0.65537,1.96607,-1.31073,23.221358267716536,-11.610826771653544
140,-3.9999999998486e-05,-1.31072,-15.7289,-1.31068,-92.88744094488187,-15.480708661417326
160,-34.07923,0.65542,-39.3222,1.31079,-433.47301181102364,11.611476377952757
180,-38.01145,1.96615,-37.35609,2.62151,-445.0838976377953,27.09248031496063
200,-37.35609,2.62151,-37.3561,3.27687,-441.213720472441,34.83295275590552
220,-36.70073,3.27687,-36.70074,3.93223,-433.4732480314961,42.573425196850394
240,-36.70073,3.93223,-36.70074,3.93223,-433.4732480314961,46.443661417322836
260,-36.70074,4.58759,-36.70075,4.58759,-433.47336614173224,54.184133858267714
280,-36.70074,4.58759,-36.70075,4.58759,-433.47336614173224,54.184133858267714
300,-36.04538,4.58759,-36.04539,5.24295,-425.73289370078743,58.054370078740156
320,-36.04538,4.58759,-36.70075,5.24295,-429.60312992125984,58.054370078740156
340,-36.04538,5.24295,-36.04538,5.24295,-425.7328346456693,61.924606299212606
360,-36.04538,5.24294,-39.97758,5.24295,-448.9544881889765,61.9245472440945
380,-41.94369,5.89831,-41.28832,5.89832,-491.52761811023623,69.6651377952756
400,-41.28832,5.89832,-41.28832,5.89832,-487.6573228346457,69.6651968503937
420,-41.28832,6.55367,-41.28832,6.55367,-487.6573228346457,77.40555118110237
440,-41.28832,6.55367,-41.28832,6.55368,-487.6573228346457,77.40561023622048
460,-41.28832,6.55367,-41.28832,6.55368,-487.6573228346457,77.40561023622048
480,-41.28832,6.55367,-41.94368,7.20904,-491.5275590551181,81.27584645669292
500,-41.28831,7.20903,-41.94368,6.55368,-491.5275,81.27584645669292
520,-41.28831,6.55367,-41.28832,7.20904,-487.65726377952757,81.27584645669292
540,-41.28832,7.20904,-41.94368,7.20904,-491.5275590551181,85.14614173228347
560,-41.94367,7.20903,-41.28832,7.20904,-491.5275,85.14608267716535
580,-41.94367,7.20903,-41.94368,7.20904,-495.39773622047244,85.14608267716535
600,-41.28831,7.20904,-41.94368,7.20904,-491.5275,85.14614173228347
620,-41.94367,7.20904,-41.94367,7.8644,-495.3976771653543,89.0163779527559
640,-41.94367,7.86439,-41.94367,7.8644,-495.3976771653543,92.88655511811024
660,-41.94367,7.8644,-41.94367,7.8644,-495.3976771653543,92.88661417322835
680,-41.94367,7.86439,-41.94368,7.8644,-495.39773622047244,92.88655511811024
700,-41.94367,7.86439,-41.94367,7.8644,-495.3976771653543,92.88655511811024
720,-41.28831,7.86439,-41.94367,7.8644,-491.52744094488185,92.88655511811024
740,-41.94367,7.86439,-41.94367,7.8644,-495.3976771653543,92.88655511811024
760,-41.94367,7.86439,-39.32221,8.51975,-479.9166141732283,96.75673228346459
780,-26.8702,7.86437,-22.2826,7.209,-290.2724409448819,89.01596456692914
800,-24.24868,8.51972,-24.90405,8.51973,-290.2720275590552,100.62667322834645
