T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,-1.31072,-0.65536,-1.31073,-7.740472440944883,-15.481003937007873
40,-0.65537,-1.96608,-0.65537,-2.62145,-7.740590551181103,-27.091712598425197
60,-1.31074,-3.2768,-1.31073,-3.27681,-15.481122047244094,-38.702421259842524
80,-1.31074,-3.93217,-1.31073,-4.58754,-15.481122047244094,-50.313248031496066
100,-1.31074,-5.2429,-1.31073,-5.2429,-15.481122047244094,-61.92401574803149
120,-1.31074,-5.89826,-1.96609,-5.89826,-19.351358267716535,-69.66448818897638
140,-2.62146,-6.55362,-2.62145,-5.89758,-30.96206692913386,-73.53070866141732
160,-2.62146,-6.55362,-2.62146,-6.55363,-30.96212598425197,-77.40501968503938
180,-1.9661,-6.55363,1.0000000003174e-05,-5.2429,-11.610767716535415,-69.66454724409449
200,9.9999999960687e-06,-5.24288,1.0000000003174e-05,-5.24289,0.0001181102362160002,-61.92383858267717
220,0.0,-5.89825,1.0000000003174e-05,-5.24289,5.9055118128980315e-05,-65.79413385826771
240,-0.65535,-5.24288,1.0000000003174e-05,-4.58753,-3.8701181102362017,-58.05360236220473
260,-0.65536,-5.24288,-0.65534,-4.58752,-7.740354330708663,-58.05354330708662
280,-0.65535,-5.24288,-0.65534,-3.93217,-7.740295275590552,-54.183366141732286
300,-1.31071,-4.58752,-1.3107,-4.58753,-15.480767716535434,-54.18336614173228
320,-0.65535,-4.58752,-1.31071,-3.93217,-11.610590551181103,-50.31312992125985
340,-1.31071,-4.58753,-1.31071,-4.58754,-15.480826771653545,-54.1834842519685
360,-1.31072,-5.24289,-0.65534,-4.58754,-11.610590551181103,-58.05372047244094
380,3.93221,-5.2429,4.5876,-4.58754,50.313838582677164,-58.05377952755905
400,4.58759,-5.2429,5.24295,-4.58754,58.054370078740156,-58.05377952755905
420,4.58759,-5.24289,4.58759,-4.58753,54.184133858267714,-58.053661417322836
440,3.93222,-4.58753,3.93223,-3.93217,46.44360236220472,-50.31318897637796
460,3.93222,-4.58752,4.58758,-3.93216,50.313779527559056,-50.31307086614173
480,3.93221,-4.58751,3.93221,-5.24288,46.44342519685039,-58.05348425196851
500,3.93221,-6.55359,3.93221,-7.20895,46.44342519685039,-81.27484251968504
520,3.93221,-8.51966,3.93221,-9.17503,46.44342519685039,-104.49620078740159
540,3.9322,-11.1411,3.9322,-11.79646,46.443307086614176,-135.458031496063
560,3.93218,-13.10717,3.27682,-13.76253,42.57283464566929,-158.67933070866144
580,3.27681,-15.07324,3.27682,-15.07324,38.70253937007874,-178.0303937007874
600,3.2768,-15.72859,3.27681,-15.07324,38.702421259842524,-181.90057086614172
620,3.2768,-16.38395,3.27681,-16.38395,38.702421259842524,-193.51122047244093
640,3.2768,-17.03931,13.76266,-17.03932,100.62673228346458,-201.25175196850395
660,22.28253,-18.35002,23.59333,-18.35003,270.9204330708662,-216.73257874015746
680,22.28257,-18.35002,22.28257,-18.35001,263.17996062992125,-216.73246062992126
700,22.28257,-18.35,22.28258,-18.35,263.1800196850394,-216.73228346456696
720,22.28257,-18.34999,22.28258,-17.69462,263.1800196850394,-212.86187007874017
740,21.62721,-17.69462,22.28258,-17.03925,259.3097834645669,-205.12127952755904
760,21.62721,-17.69459,21.62721,-17.03923,255.4394881889764,-205.1209842519685
780,21.6272,-17.69458,21.62721,-17.69458,255.43942913385828,-208.9911023622047
800,21.6272,-18.34993,21.6272,-17.69458,255.43937007874015,-212.86127952755908
820,20.97183,-18.34993,19.00825,-17.69457,236.1028346456693,-212.86122047244095
840,16.38421,-18.34992,16.38422,-17.69455,193.51435039370077,-212.8610433070866
860,16.38421,-17.69454,16.38421,-17.03918,193.51429133858267,-205.12039370078745
880,15.72885,-17.69453,15.72885,-17.03917,185.7738188976378,-205.1202755905512
900,15.72885,-17.69452,15.72885,-17.03917,185.7738188976378,-205.12021653543306
920,14.41813,-17.69452,14.41813,-17.03916,170.29287401574803,-205.12015748031496
940,14.41813,-17.03916,13.76278,-17.03916,166.42269685039372,-201.24992125984252
960,13.10741,-17.69451,13.10741,-17.03916,154.81192913385826,-205.1200984251969
980,13.10741,-17.69451,12.45205,-17.69451,150.94169291338585,-208.9902755905512
1000,12.45205,-18.34987,11.79669,-17.69451,143.20122047244095,-212.8605118110236
1020,11.79669,-18.34988,11.79671,-17.69452,139.33110236220472,-212.86062992125986
1040,11.7967,-18.34987,13.10746,-17.69451,147.07181102362205,-212.8605118110236
1060,16.38433,-19.00524,17.03972,-18.34988,197.38612204724407,-220.60110236220473
1080,15.72898,-18.34987,16.38435,-18.34987,189.64564960629926,-216.73074803149606
1100,16.38434,-19.00523,16.38434,-18.34987,193.51582677165356,-220.6009842519685
1120,15.72898,-19.00522,16.38434,-19.00523,189.64559055118113,-224.4711614173229
1140,15.72897,-19.66059,16.38434,-19.00524,189.645531496063,-228.3415157480315
1160,15.72897,-19.6606,16.38434,-19.00524,189.645531496063,-228.34157480314963
1180,16.38433,-19.6606,16.38433,-19.6606,193.5157086614173,-232.21181102362203
1200,16.38432,-20.31596,17.03969,-19.66061,197.38588582677164,-236.08210629921263
1220,17.03967,-20.31597,17.03968,-20.31597,201.2560039370079,-239.95240157480316
1240,16.38431,-20.31596,17.03967,-20.31597,197.38570866141734,-239.95234251968503
1260,16.3843,-20.97133,17.03966,-20.97133,197.3855905511811,-247.69287401574803
1280,17.03966,-21.6267,17.03966,-21.6267,201.25582677165357,-255.43346456692913
1300,17.03966,-21.6267,17.69502,-21.6267,205.12606299212598,-255.43346456692913
1320,17.69501,-22.93742,17.69502,-22.28207,208.9962401574803,-267.04423228346457
1340,17.69501,-22.93743,17.69501,-22.93743,208.99618110236221,-270.9145275590551
1360,17.695,-22.93743,19.00578,-22.28208,216.73688976377954,-267.04435039370077
1380,22.93816,-22.28207,25.55974,-22.28208,286.4049212598425,-263.17411417322836
1400,24.249,-22.28207,24.24899,-21.62671,286.4054527559055,-259.3038188976378
1420,24.249,-22.28206,24.90436,-22.28207,290.27574803149605,-263.17399606299216
1440,24.24899,-22.93743,24.249,-22.28207,286.4054527559055,-267.04429133858264
1460,24.24899,-22.28207,24.249,-22.28208,286.4054527559055,-263.17411417322836
1480,24.24899,-22.93743,24.90436,-22.28208,290.275688976378,-267.04435039370077
1500,24.24899,-22.93744,24.90435,-22.28208,290.27562992125985,-267.0444094488189
1520,24.90434,-23.5928,24.90435,-22.93745,294.1458070866142,-274.7849409448819
1540,24.24898,-23.5928,24.90435,-23.59281,290.2755708661417,-278.6551771653543
1560,24.90434,-24.24817,24.90435,-23.59281,294.1458070866142,-282.5254724409449
1580,24.90435,-24.24817,24.90435,-24.24818,294.1458661417323,-286.39576771653543
1600,24.24894,-24.90354,24.24893,-24.24818,286.40474409448825,-290.26606299212597
1620,24.24893,-24.90353,24.24893,-24.24817,286.4046850393701,-290.26594488188977
1640,24.24893,-24.90353,24.24893,-24.24817,286.4046850393701,-290.26594488188977
1660,24.24893,-24.90353,24.24894,-24.24817,286.40474409448825,-290.26594488188977
1680,24.24893,-24.90353,24.24893,-24.24818,286.4046850393701,-290.2660039370079
1700,24.24892,-24.90354,24.24893,-24.90354,286.404625984252,-294.13629921259843
1720,24.24892,-25.5589,24.90428,-24.90354,290.27480314960627,-298.0065354330709
1740,24.90428,-25.5589,24.90428,-25.55891,294.14503937007873,-301.8768307086615
1760,24.90427,-26.21427,24.90427,-25.55891,294.14492125984253,-305.747125984252
1780,24.90426,-26.21427,24.90427,-25.55892,294.1448622047244,-305.7471850393701
1800,24.90426,-26.21427,24.90427,-26.21429,294.1448622047244,-309.61748031496063
1820,30.80268,-23.59284,42.59938,-22.93747,433.4767322834646,-274.78529527559056
1840,42.5994,-23.59282,40.6333,-22.93746,491.5316929133858,-274.7851181102362
1860,41.94401,-22.93745,41.94402,-22.93745,495.40175196850396,-270.91476377952756
1880,41.944,-23.59281,41.94401,-22.93745,495.4016338582677,-274.785
1900,41.944,-22.93745,41.944,-22.93746,495.40157480314963,-270.9148228346457
1920,42.59935,-23.59281,42.59935,-22.93746,503.1419291338583,-274.78505905511815
1940,41.944,-22.93745,42.59936,-22.93746,499.2718110236221,-270.9148228346457
1960,41.94399,-22.93746,41.944,-22.93746,495.4015157480315,-270.9148818897638
1980,41.94399,-22.93746,41.944,-22.93746,495.4015157480315,-270.9148818897638
2000,41.28863,-22.93746,41.28864,-22.93747,487.66104330708663,-270.91494094488195
2020,41.28863,-22.93746,41.28864,-23.59283,487.66104330708663,-274.78517716535436
2040,41.28863,-23.59282,41.28864,-23.59283,487.66104330708663,-278.6554133858268
2060,41.28863,-24.24819,48.49766,-22.93747,530.2339960629921,-278.6554724409449
2080,51.11916,-22.93745,51.11916,-22.93746,603.7696062992126,-270.9148228346457
2100,51.11915,-22.93745,51.11915,-22.28209,603.7694881889763,-267.04452755905515
2120,50.46379,-22.28208,51.11916,-22.28208,599.8993110236221,-263.1741732283465
2140,50.46379,-22.93744,51.11916,-22.28209,599.8993110236221,-267.044468503937
2160,51.11916,-22.93744,51.11916,-22.93745,603.7696062992126,-270.91470472440943
2180,51.11916,-22.93745,51.11917,-22.28209,603.7696653543308,-267.04452755905515
2200,51.11916,-22.93745,51.11917,-22.93745,603.7696653543308,-270.91476377952756
2220,51.11916,-23.59281,50.46381,-22.93745,599.8994291338583,-274.785
2240,50.4638,-23.59281,49.80845,-23.59281,592.1589566929134,-278.65523622047243
2260,49.15308,-23.5928,48.49773,-22.93745,576.6780118110237,-274.7849409448819
2280,47.84237,-23.5928,47.84237,-23.59281,565.0673622047244,-278.6551771653543
2300,47.187,-24.24816,47.18701,-24.24816,557.3268307086614,-286.3955905511811
2320,46.53165,-24.90352,46.53166,-24.24817,549.5864763779527,-290.2658858267717
2340,46.53166,-24.90352,46.53167,-24.24817,549.586594488189,-290.2658858267717
2360,45.22094,-25.5589,40.63337,-25.55891,507.0136417322835,-301.8768307086615
2380,39.978,-25.5589,40.63339,-24.90354,476.05151574803153,-298.0065354330709
2400,40.63338,-25.5589,39.97803,-24.90354,476.0516338582678,-298.0065354330709
2420,39.97802,-25.5589,40.63339,-25.5589,476.0516338582678,-301.87677165354336
2440,40.63338,-25.5589,40.63339,-25.55891,479.92187007874014,-301.8768307086615
2460,40.63338,-25.55891,40.63339,-25.55891,479.92187007874014,-301.87688976377956
2480,41.28874,-26.21427,41.28875,-25.55892,487.662342519685,-305.7471850393701
2500,41.28875,-26.21427,41.28875,-25.55891,487.66240157480314,-305.747125984252
2520,41.28875,-25.55891,41.94411,-25.55892,491.5326377952756,-301.87694881889763
2540,41.9441,-25.55892,41.94411,-24.90356,495.40281496062994,-298.0067716535433
2560,41.9441,-25.55891,41.94411,-25.55892,495.40281496062994,-301.87694881889763
2580,41.9441,-25.55892,41.94411,-25.55892,495.40281496062994,-301.87700787401576
2600,41.9441,-26.21428,41.9441,-25.55893,495.4027559055118,-305.7473031496063
2620,42.59946,-26.21429,40.63337,-25.55893,491.53246062992133,-305.7473622047244
2640,36.04579,-26.21428,35.39042,-25.55892,421.86738188976375,-305.7472440944882
2660,36.0458,-26.21428,36.70116,-24.90355,429.608031496063,-301.87694881889763
2680,35.39043,-25.55891,36.0458,-24.90355,421.8675,-298.0066535433071
2700,36.04579,-25.5589,36.0458,-24.90355,425.7377362204724,-298.00659448818897
2720,36.04579,-25.5589,36.70116,-24.90355,429.6079724409449,-298.00659448818897
2740,35.39043,-25.55891,36.04579,-24.90355,421.86744094488193,-298.0066535433071
2760,36.04579,-25.55891,36.0458,-24.90355,425.7377362204724,-298.0066535433071
2780,36.04579,-25.55891,36.0458,-24.90355,425.7377362204724,-298.0066535433071
2800,35.39043,-25.5589,35.39044,-24.90355,417.99726377952754,-298.00659448818897
2820,35.39043,-24.90355,35.39044,-24.90355,417.99726377952754,-294.13641732283463
