T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.65536,-0.65537,3.8702362204724414,-3.8702952755905513
40,0.0,0.0,0.65536,-0.65537,3.8702362204724414,-3.8702952755905513
60,0.0,0.0,0.65536,-0.65536,3.8702362204724414,-3.8702362204724414
80,0.0,0.0,0.65537,0.0,3.8702952755905513,0.0
100,0.65537,0.0,0.65537,0.0,7.740590551181103,0.0
120,0.65537,0.0,0.65538,0.0,7.740649606299213,0.0
140,0.65537,0.0,0.65537,-0.65536,7.740590551181103,-3.8702362204724414
160,0.65537,-0.65535999999999,0.65537,-0.65537,7.740590551181103,-7.740531496062933
180,0.0,-0.65535999999999,0.65537,-1.31073,3.8702952755905513,-11.610767716535374
200,1.0000000003174e-05,-0.65537,1.0000000003174e-05,-0.65537,0.00011811023625796063,-7.740590551181103
220,-0.65536,-0.65535999999999,0.0,-1.31073,-3.8702362204724414,-11.610767716535374
240,-0.65536,-0.65470999999999,0.0,-0.65537,-3.8702362204724414,-7.736692913385768
260,0.0,-0.65535999999999,0.0,-1.31072,0.0,-11.610708661417265
280,0.0,-0.65535,0.0,-1.31072,0.0,-11.610649606299212
300,0.0,-1.31071,0.65537,-1.31071,3.8702952755905513,-15.480826771653545
320,0.65537,-1.31071,1.31073,-1.3107,11.610826771653544,-15.480767716535434
340,1.31073,-1.31069,1.9661,-1.3107,19.351358267716535,-15.480649606299213
360,1.31074,-0.65532,2.62146,-0.65532,23.221653543307088,-7.74
380,2.62146,6.0000000004834e-05,3.27683,5.9999999997729e-05,34.83242125984252,0.0007086614173379705
400,3.27682,8.0000000004077e-05,3.27683,-0.65528,38.70265748031496,-3.869291338582652
420,3.27682,-1.31063,3.93219,-1.96599,42.572893700787404,-19.35011811023622
440,3.93219,-1.96598,4.58755,-1.96598,50.313425196850396,-23.220236220472444
460,4.58755,-1.96597,5.89827,-1.96597,61.92413385826772,-23.22011811023622
480,5.24291,-1.3106,5.89828,-0.65525,65.79442913385827,-11.609350393700788
500,5.89827,-0.65524,5.89828,-0.65525,69.66466535433071,-7.739114173228348
520,5.89828,0.0001200000000025,5.89828,0.0001199999999954,69.66472440944882,0.0014173228346326771
540,5.89828,0.0001300000000057,5.89828,0.0001299999999986,69.66472440944882,0.001535433070890945
560,5.89828,0.6555,6.55364,0.65549,73.53496062992126,7.742066929133858
580,5.89828,0.65551,5.89828,0.6555,69.66472440944882,7.742185039370079
600,5.89827,1.31087,6.55364,1.31087,73.53490157480316,15.48271653543307
620,5.89827,1.96623,5.89827,1.96624,69.66460629921261,23.223248031496063
