T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-6.55405,0.65552,-9.17531,0.65544,-92.88992125984252,7.741889763779528
40,-10.4862,1.31087,-7.20918,0.65542,-104.50027559055118,11.61194881889764
60,-10.48621,0.65551,-7.20919,0.65542,-104.5003937007874,7.741712598425196
80,-9.83084,1.31087,-6.55383,0.65542,-96.75986220472441,11.61194881889764
100,-9.83085,1.31087,-6.55384,0.65543,-96.75998031496063,11.612007874015749
120,-9.1755,0.65551,-6.55385,0.65543,-92.88986220472441,7.741771653543307
140,-9.83087,1.31088,-6.55386,1.3108,-96.76021653543307,15.48236220472441
160,-9.83087,1.96625,-7.20922,1.96616,-100.63045275590551,23.222893700787402
180,-9.83088,2.62161,-7.20922,3.27689,-100.63051181102364,34.83366141732284
200,-10.48624,3.93233,-7.20923,3.93225,-104.50080708661417,46.44437007874016
220,-10.48624,4.5877,-7.20923,3.93225,-104.50080708661417,50.31466535433071
240,-9.83088,4.58769,-7.20923,4.58761,-100.63057086614172,54.18484251968504
260,-10.48625,4.5877,-7.20923,4.58761,-104.50086614173229,54.18490157480315
280,-10.48625,4.5877,-7.20923,4.58761,-104.50086614173229,54.18490157480315
300,-10.48625,5.24306,-7.20923,4.58762,-104.50086614173229,58.055196850393706
320,-10.48625,5.24306,-7.20924,5.24298,-104.50092519685039,61.92543307086614
340,-10.48625,5.24306,-7.20923,5.24297,-104.50086614173229,61.925374015748034
360,-10.48625,5.24306,-7.20924,5.24298,-104.50092519685039,61.92543307086614
380,-10.48625,5.24306,-7.20924,5.24298,-104.50092519685039,61.92543307086614
400,-9.83089,5.24306,-7.20924,5.24297,-100.63068897637797,61.925374015748034
420,-9.83089,5.24306,-6.55388,5.24297,-96.76045275590552,61.925374015748034
440,-9.83089,5.24306,-41.28796,5.24297,-301.8829724409449,61.925374015748034
460,-9.8309,5.89842,-0.65558,5.24295,-61.92803149606299,65.79549212598425
480,-5.89853,5.243,-2.62146,5.2429,-50.31490157480315,61.924606299212606
500,-6.55383,5.24299,-3.93219,5.2429,-61.92531496062992,61.924547244094484
520,-6.55384,5.24298,-3.93219,5.24289,-61.925374015748034,61.92442913385827
540,-7.2092,5.89834,-3.93219,5.89826,-65.79561023622047,69.66496062992125
560,-7.2092,5.24298,-4.58755,5.24289,-69.66584645669292,61.92442913385827
580,-7.20919,5.24298,-4.58754,5.24289,-69.66572834645669,61.92442913385827
600,-7.86455,5.24297,-4.58754,5.24289,-73.53596456692914,61.924370078740154
620,-7.86455,5.24298,-4.58754,5.24289,-73.53596456692914,61.92442913385827
640,-7.86455,5.24297,-4.58754,5.24289,-73.53596456692914,61.924370078740154
660,-7.86455,5.24297,-5.24289,5.24288,-77.40614173228347,61.924311023622046
680,-0.0001099999999993,5.89828,34.7344,6.5535,205.1237598425197,73.53413385826771
700,39.97716,5.89821,41.28809,5.24276,479.9128937007874,65.79312992125985
720,38.66643,5.24285,43.25416,5.24276,483.78301181102364,61.9228937007874
740,40.63251,4.58748,43.90953,3.93203,499.2640157480315,50.31206692913386
760,41.28789,3.93212,44.5649,3.27667,507.0046653543307,42.57159448818898
780,41.94325,3.27675,44.56491,2.6213,510.8749606299213,34.83100393700787
800,41.94325,1.96603,45.87562,1.96594,518.6153740157481,23.22029527559055
820,42.59861,1.31066,45.87562,1.31057,522.4856102362205,15.47970472440945
840,43.25397,1.31066,45.87563,1.31057,526.3559055118111,15.47970472440945
860,43.90934,0.65528999999999,57.01681,1.96591,596.0205708661418,15.479527559055061
880,65.53643,3.2767,71.43494,2.62124,808.8860433070865,34.830354330708666
900,68.15792,3.27669,70.77957,3.2766,820.4969881889765,38.70053149606299
920,68.15792,3.27669,71.43493,3.2766,824.3672244094488,38.70053149606299
940,68.15791,3.27669,71.43492,3.93196,824.3671062992125,42.57076771653543
960,68.15791,3.93205,71.43492,3.27661,824.3671062992125,42.57082677165354
980,68.1579,3.93206,70.77955,3.27661,820.496751968504,42.57088582677165
1000,68.1579,3.93206,71.43491,3.93197,824.3669881889763,46.44112204724409
1020,68.1579,3.93205,71.43492,3.93197,824.3670472440946,46.441062992125985
1040,75.36696,3.93204,83.88694,4.58731,940.4757874015747,50.311122047244105
1060,81.2653,4.58739,83.88694,3.93195,975.3085039370079,50.31106299212598
1080,80.60993,3.93203,84.5423,3.93195,975.3084448818898,46.44082677165354
1100,81.2653,4.58739,83.88695,3.93195,975.3085629921259,50.31106299212598
1120,81.26529,3.93203,84.54231,4.58731,979.1787401574802,50.31106299212598
1140,81.2653,3.93204,83.88695,3.93195,975.3085629921259,46.440885826771655
1160,81.2653,3.93204,84.54232,3.2766,979.1788582677165,42.57070866141732
1180,81.2653,3.93203,83.88696,3.2766,975.3086220472442,42.57064960629921
1200,81.26531,3.93204,83.88696,3.2766,975.3086811023621,42.57070866141732
1220,80.60995,3.93204,83.88696,3.27659,971.4384448818898,42.57064960629921
1240,80.60995,3.27668,83.88696,3.27659,971.4384448818898,38.70041338582678
1260,81.26531,3.93204,83.88697,3.2766,975.3087401574804,42.57070866141732
1280,80.60995,3.27668,83.88696,3.27659,971.4384448818898,38.70041338582678
1300,81.26531,3.27668,83.88697,2.62123,975.3087401574804,34.830177165354336
1320,81.26532,3.27667,91.09601,3.27657,1017.8818700787402,38.70023622047245
1340,91.75122,3.27665,94.37287,2.62121,1099.1580118110237,34.829881889763776
1360,91.09585,2.62129,94.37286,3.27656,1095.287657480315,34.82982283464567
1380,91.09586,2.62129,94.37288,2.62121,1095.2878346456694,30.959645669291337
1400,91.09587,1.96593,94.37289,0.65512,1095.2879527559055,15.478641732283464
1420,91.75124,0.65519999999999,94.37291,-0.65561,1099.1583661417321,-0.0024212598425787405
1440,91.75128,-1.96625,95.0283,-1.96633,1103.0290157480315,-23.22389763779528
1460,91.09592,-1.96624,94.37294,-1.96633,1095.2885433070867,-23.223838582677168
1480,90.44056,-1.31087,93.06221,-1.31096,1083.6777755905512,-15.483248031496064
1500,89.78519,-0.65551000000001,92.40684,-0.65559,1075.93718503937,-7.7427165354331295
1520,89.12982,-0.0001500000000049,92.40684,-0.6556,1072.0668897637797,-3.8725393700787687
1540,89.12982,-0.0001500000000049,92.40938,-0.000239999999998,1072.0818897637796,-0.002303149606315748
1560,89.12981,0.65521,91.75147,-0.000239999999998,1068.196535433071,3.867933070866153
1580,95.02809,1.31056,110.10175,1.96581,1211.3966929133858,19.348641732283465
1600,110.10161,1.96589,112.06788,2.62117,1312.0245472440945,27.088937007874016
1620,108.13549,1.96589,112.06787,1.9658,1300.4135433070867,23.218641732283466
1640,109.44621,1.96589,112.72321,1.31044,1312.0241338582678,19.348405511811027
1660,109.44619,1.96589,112.7232,1.31044,1312.0239566929133,19.348405511811027
1680,110.10155,1.31053,113.37856,1.31044,1319.7644291338584,15.478169291338581
1700,110.10154,1.31052,113.37856,0.65507,1319.76437007874,11.607814960629922
1720,110.10154,1.31052,113.37855,1.31043,1319.764311023622,15.47805118110236
1740,110.10154,1.31052,113.37855,1.31043,1319.764311023622,15.47805118110236
1760,109.44618,1.31052,112.72319,1.31043,1312.0238385826772,15.47805118110236
1780,110.10154,0.65516,113.37854,1.31043,1319.764251968504,11.607814960629922
1800,109.44618,1.31052,112.72319,1.31043,1312.0238385826772,15.47805118110236
1820,110.10153,1.31051,113.37855,1.31043,1319.764251968504,15.477992125984253
1840,110.10153,1.31052,113.37855,0.65507,1319.764251968504,11.607814960629922
1860,110.7569,1.31051,113.37855,0.65507,1323.6345472440944,11.607755905511812
1880,96.33881,-1.31088,67.50267,-5.24304,967.5677952755905,-38.70425196850394
1900,4.58739,-7.86428,-2.62165,-7.86427,11.608700787401576,-92.8851377952756
1920,-9.17557,-7.20882,-5.24317,-6.55356,-85.15003937007874,-81.27389763779529
1940,-7.20945,-6.55348,-4.5878,-6.55356,-69.66879921259843,-77.40377952755907
1960,-7.86481,-6.55348,-4.5878,-5.89821,-73.53903543307086,-73.53360236220472
1980,-7.20945,-5.89812,-4.5878,-5.89821,-69.66879921259843,-69.66336614173228
2000,-7.20945,-5.24276,-4.5878,-5.89821,-69.66879921259843,-65.79312992125985
2020,-7.8648,-5.24276,-4.58779,-5.89821,-73.53891732283465,-65.79312992125985
2040,-7.8648,-5.89812,-4.58779,-5.89821,-73.53891732283465,-69.66336614173228
2060,-7.8648,-5.89812,-4.58778,-5.89821,-73.53885826771655,-69.66336614173228
2080,-7.20944,-5.89812,-9.83073,-5.24283,-100.6309251968504,-65.79301181102362
2100,-16.38457,-5.24274,-11.79682,-5.89819,-166.425531496063,-65.7928937007874
2120,-14.41846,-5.24275,-11.14145,-5.89819,-150.94435039370077,-65.79295275590552
2140,-13.7631,-5.24275,-11.14145,-5.89819,-147.07411417322837,-65.79295275590552
2160,-13.7631,-5.89811,-11.14145,-5.89819,-147.07411417322837,-69.66318897637795
2180,-14.41846,-5.89811,-10.48608,-5.89819,-147.07405511811024,-69.66318897637795
2200,-13.76309,-5.89811,-10.48608,-5.8982,-143.20375984251967,-69.66324803149607
2220,-14.41845,-5.89811,-11.14144,-6.55356,-150.94423228346457,-73.5334842519685
2240,-13.76309,-6.55347,-10.48607,-6.55356,-143.20370078740157,-77.40372047244095
2260,-13.10772,-7.20884,-4.58772,-7.86433,-104.50062992125986,-89.01478346456693
2280,-9.1753,-7.8643,-5.24288,-8.51976,-85.14673228346457,-96.75625984251968
2300,-9.17526,-7.86431,-5.89825,-8.51975,-89.01679133858268,-96.75625984251968
2320,-9.17526,-8.51967,-5.89825,-8.51976,-89.01679133858268,-100.62655511811023
2340,-9.83062,-8.51967,-5.89825,-8.51976,-92.88702755905513,-100.62655511811023
2360,-9.17526,-8.51968,-6.5536,-8.51976,-92.88696850393701,-100.62661417322835
2380,-9.17526,-8.51967,-5.89825,-8.51976,-89.01679133858268,-100.62655511811023
2400,-9.17525,-9.17504,-6.5536,-9.17513,-92.88690944881891,-108.36714566929133
2420,-9.83061,-8.51968,-6.5536,-9.17513,-96.75714566929133,-104.49690944881888
2440,-5.8984,-8.51971,21.62711,-7.86448,92.88608267716535,-96.75702755905512
2460,39.97713,-7.20905,45.22027,-7.86451,503.134251968504,-89.01708661417324
2480,41.94325,-7.86442,45.87562,-7.86451,518.6153740157481,-92.88738188976379
2500,43.25397,-7.20906,47.18634,-7.86451,534.0963188976378,-89.01714566929134
2520,43.90933,-7.86443,47.8417,-7.20915,541.8367913385827,-89.01720472440945
2540,44.56468,-7.86443,47.8417,-7.86452,545.7069685039371,-92.8875
2560,44.56469,-7.86443,48.49706,-7.86451,549.5772637795276,-92.88744094488189
2580,44.56468,-7.20907,47.8417,-7.20916,545.7069685039371,-85.14702755905512
2600,44.56469,-7.20908,47.8417,-7.86452,545.7070275590552,-89.01732283464565
2620,44.56469,-7.20907,47.8417,-7.86452,545.7070275590552,-89.01726377952755
2640,44.56468,-7.86444,54.39534,-7.86453,584.4095669291339,-92.88761811023622
2660,60.29347,-7.86447,64.88123,-8.51992,739.2206692913386,-96.75820866141733
2680,61.60422,-7.86447,64.88122,-8.51991,746.9612598425197,-96.75814960629921
2700,61.60421,-8.51983,64.88122,-8.51991,746.9612007874016,-100.62838582677166
2720,61.60421,-8.51983,64.88122,-8.51992,746.9612007874016,-100.62844488188978
2740,61.6042,-7.86446,64.22586,-8.51991,743.0909055118111,-96.75809055118111
2760,61.60421,-7.86446,64.22586,-7.86455,743.0909645669292,-92.88785433070866
2780,60.94885,-8.51983,64.22586,-8.51991,739.2207283464568,-100.62838582677166
2800,60.94885,-7.86447,64.22586,-8.51991,739.2207283464568,-96.75814960629921
2820,60.94885,-8.51982,64.22586,-8.51991,739.2207283464568,-100.62832677165353
2840,60.94885,-7.86446,63.5705,-8.51991,735.3504921259843,-96.75809055118111
2860,66.19178,-7.20912,80.6101,-5.8985,866.9402362204723,-77.40720472440945
2880,83.8868,-5.89843,87.16382,-6.55388,1010.1414566929133,-73.53726377952756
2900,83.88679,-5.89843,87.1638,-6.55387,1010.141279527559,-73.53720472440946
2920,84.54215,-6.55379,87.16381,-6.55387,1014.0115748031496,-77.40744094488188
2940,83.8868,-6.55379,87.16381,-7.20924,1010.1413976377953,-81.27773622047245
2960,83.88679,-7.20915,87.16381,-7.20923,1010.1413385826772,-85.14791338582675
2980,83.8868,-6.55379,87.16381,-7.20924,1010.1413976377953,-81.27773622047245
3000,83.8868,-7.20915,86.50845,-7.20924,1006.2711614173227,-85.14797244094488
3020,83.8868,-7.20915,87.16382,-7.20924,1010.1414566929133,-85.14797244094488
3040,83.88681,-7.20915,87.16382,-7.8646,1010.1415157480316,-89.01820866141733
3060,83.23145,-7.20915,86.50846,-7.20925,1002.4010433070868,-85.148031496063
3080,83.88681,-6.5538,95.02823,-6.55301,1056.5848818897637,-77.40242125984251
3100,104.20322,-5.89847,112.72322,-6.55393,1281.061653543307,-73.53779527559055
3120,108.79084,-5.89848,111.41248,-5.89857,1300.4133070866142,-69.66761811023622
3140,108.79082,-5.24313,112.06783,-5.24321,1304.2833661417324,-61.92720472440945
3160,108.79082,-5.24313,112.06783,-5.24322,1304.2833661417324,-61.92726377952756
3180,108.13546,-5.24313,111.41247,-5.24322,1296.5428937007875,-61.92726377952756
