T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,9.9999999960687e-06,0.0,0.0,-3.8702362204724414,5.905511808701989e-05
40,-0.65537,-0.65536,-1.96611,-0.65535999999999,-15.481181102362205,-7.740472440944823
60,-19.00562,-5.89827,-45.87562,-11.14119,-383.1569291338583,-100.62673228346456
80,-58.32768,-13.76259,-57.67243,-13.10719,-685.0400196850394,-158.6798031496063
100,-58.3278,-11.14106,-57.67245,-9.83033,-685.0408464566929,-123.84679133858268
120,-58.32784,-10.48567,-57.67251,-9.83031,-685.041437007874,-119.97625984251971
140,-58.3279,-11.14103,-57.67255,-10.48566,-685.0420275590551,-127.71667322834647
160,-58.32792,-11.14102,-57.67256,-10.48567,-685.0422047244094,-127.71667322834647
180,-58.32792,-11.14102,-57.67256,-10.48567,-685.0422047244094,-127.71667322834647
200,-58.32792,-11.79639,-57.67256,-10.48568,-685.0422047244094,-131.58702755905512
220,-58.32792,-11.7964,-57.67256,-11.14104,-685.0422047244094,-135.45732283464565
240,-58.32792,-11.79641,-57.67256,-11.79642,-685.0422047244094,-139.32773622047245
260,-58.32792,-11.79642,-57.67256,-11.79642,-685.0422047244094,-139.32779527559055
280,-58.32792,-12.45179,-57.67256,-11.14106,-685.0422047244094,-139.32785433070865
300,-58.32792,-11.79641,-57.67256,-11.14106,-685.0422047244094,-135.4575
320,-58.32792,-11.79642,-57.67256,-11.14107,-685.0422047244094,-135.4576181102362
340,-58.32792,-11.79643,-57.67256,-11.14108,-685.0422047244094,-135.45773622047247
360,-58.32791,-11.14108,-57.67253,-11.14108,-685.041968503937,-131.5875590551181
380,-58.32788,-11.14108,-57.6725,-11.14108,-685.0416141732284,-131.5875590551181
400,-58.32784,-11.14108,-57.67246,-11.14109,-685.0411417322836,-131.58761811023624
420,-58.3278,-11.14109,-57.67241,-9.83039,-685.0406102362206,-123.84732283464567
440,-58.32773,-10.48576,-57.67233,-9.83042,-685.0397244094489,-119.97744094488189
460,-58.32766,-10.48579,-57.67228,-10.48581,-685.0390157480316,-123.84803149606299
480,-58.32762,-11.79655,-57.67225,-8.51975,-685.0386023622048,-119.97814960629921
500,-58.32758,2.9999999995312e-05,-57.67216,7.20909,-685.0378346456694,42.57354330708659
520,-58.32748,8.51984,-57.6721,11.1413,-685.0368897637795,116.10909448818897
540,-58.32744,11.79669,-57.67208,12.45204,-685.0365354330709,143.20116141732282
560,-58.32744,12.45204,-57.67205,14.41813,-685.0363582677165,158.68210629921262
580,-58.32739,14.41813,-57.67201,15.72885,-685.0358267716535,178.03334645669293
600,-58.32735,16.38421,-57.67196,17.03958,-685.0352952755906,197.3845866141732
620,-58.3273,17.03958,-57.67192,18.3503,-685.0347637795276,208.9953543307087
640,-58.32726,18.35031,-57.67187,19.66103,-685.0342322834646,224.47641732283464
660,-58.32721,19.66105,-57.67183,20.31641,-685.0337007874016,236.08736220472443
680,-58.32717,20.97178,-57.6718,22.2825,-685.0332874015749,255.43866141732286
700,-58.32715,22.28251,-57.67178,23.59323,-685.0330511811023,270.9197244094488
720,-58.32713,23.59325,-57.67176,24.90397,-685.0328149606299,286.400905511811
740,-58.32711,24.90397,-57.67174,25.55933,-685.0325787401575,298.01161417322834
760,-58.32708,25.55934,-57.67168,26.87005,-685.0320472440945,309.6223818897638
780,-58.32703,27.52543,-57.67166,29.49152,-685.0316338582678,336.71427165354334
800,-58.32701,29.49153,-57.67164,30.1469,-685.0313976377953,352.19545275590554
820,-58.32701,30.1469,-57.67165,30.80228,-685.0314566929134,359.93610236220474
840,-58.32704,30.14695,-57.67171,30.80232,-685.0319881889764,359.9366338582677
860,-58.32709,30.80234,-57.6717,32.11306,-685.0322244094489,371.5476377952756
880,-58.32703,32.76841,-57.67164,34.73449,-685.0315157480316,398.6391732283465
900,-58.32698,34.07913,-57.67161,35.38985,-685.0310433070866,410.2498818897638
920,-58.32697,36.04521,-57.6716,36.70058,-685.0309251968504,429.6011220472441
