T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
40,9.9999999960687e-06,0.65537,0.65537,0.65537,3.8703543307086377,7.740590551181103
60,9.9999999960687e-06,0.0,1.31073,0.65535999999999,7.740590551181079,3.870236220472382
80,0.65536999999999,0.0,1.31073,0.65535999999999,11.610826771653484,3.870236220472382
100,0.65536999999999,0.0,1.96609,0.0,15.481062992125926,0.0
120,1.96609,-0.65537,2.62144,0.0,27.091712598425197,-3.8702952755905513
140,1.96608,-0.65537,3.2768,0.0,30.96188976377953,-3.8702952755905513
160,2.62143,-0.65537,3.27679,0.0,34.83200787401575,-3.8702952755905513
180,2.62143,-0.65536,3.27679,9.9999999960687e-06,34.83200787401575,-3.870177165354354
200,2.62142,0.0,3.27678,9.9999999960687e-06,34.83188976377953,5.905511808701989e-05
220,2.62142,-0.65536,3.93214,0.0,38.70212598425197,-3.8702362204724414
240,3.27678,-0.65535,3.27678,9.9999999960687e-06,38.70212598425197,-3.870118110236243
260,2.62142,-0.65536,3.27678,9.9999999960687e-06,34.83188976377953,-3.870177165354354
280,2.62142,-0.65536,3.27678,0.0,34.83188976377953,-3.8702362204724414
300,3.27678,-0.65536,3.27678,-0.65536,38.70212598425197,-7.740472440944883
320,3.27678,-0.65536,3.27677,0.0,38.70206692913386,-3.8702362204724414
340,3.27677,-0.65535,3.93213,9.9999999960687e-06,42.57224409448819,-3.870118110236243
360,3.27677,-0.65536,3.93212,0.0,42.57218503937008,-3.8702362204724414
380,3.27676,-0.65536,4.58748,0.0,46.44236220472441,-3.8702362204724414
400,3.93212,-0.65536,4.58748,-0.65535000000001,50.31259842519685,-7.740413385826831
420,3.93212,-0.65536,4.58748,0.0,50.31259842519685,-3.8702362204724414
440,4.58748,-0.65536,5.24283,9.9999999960687e-06,58.05301181102363,-3.870177165354354
460,4.58748,-0.65535,5.24283,9.9999999960687e-06,58.05301181102363,-3.870118110236243
480,4.58747,9.9999999960687e-06,5.24283,9.9999999960687e-06,58.05295275590551,0.00011811023617403978
500,5.24283,9.9999999960687e-06,5.24282,9.9999999960687e-06,61.92312992125984,0.00011811023617403978
520,5.24282,9.9999999960687e-06,5.89818,0.65537,65.79330708661418,3.8703543307086377
540,5.24282,9.9999999960687e-06,5.24282,0.65537,61.923070866141735,3.8703543307086377
560,4.58746,9.9999999960687e-06,5.24282,0.65537,58.05283464566929,3.8703543307086377
580,5.24282,0.65537,5.24282,0.65538,61.923070866141735,7.740649606299213
600,4.58746,9.9999999960687e-06,5.24282,0.65538,58.05283464566929,3.8704133858267484
620,4.58747,0.65538,7.86429,1.96609,73.53401574803149,15.481122047244094
640,16.38412,4.58754,19.66101,5.89826,212.8649409448819,61.92401574803149
660,17.69492,5.2429,19.00562,5.24291,216.73547244094487,61.924074803149615
680,19.00562,5.2429,19.66098,5.2429,228.346062992126,61.92401574803149
700,19.00562,5.2429,20.31634,5.2429,232.21629921259841,61.92401574803149
720,19.66098,4.58754,20.31634,4.58754,236.08653543307088,54.183543307086616
740,19.00562,4.58753,19.66098,4.58754,228.346062992126,54.1834842519685
760,19.66098,3.93218,19.66098,3.93302,232.21629921259841,46.448031496062995
780,19.00563,3.27681,19.66099,3.93218,228.3461811023622,42.57277559055118
800,18.35282,3.27681,19.00563,3.27682,220.62076771653543,38.70253937007874
820,18.35028,3.27681,19.00563,3.27682,220.60576771653544,38.70253937007874
840,18.35028,3.27681,19.00563,3.27681,220.60576771653544,38.70248031496063
860,18.35027,2.62145,19.00563,2.62145,220.6057086614173,30.962007874015747
880,19.00563,2.62144,19.661,3.2768,228.3462401574803,34.832125984251974
900,19.00564,2.62144,19.661,2.62145,228.34629921259844,30.96194881889764
920,19.00564,2.62144,19.00564,3.2768,224.47606299212597,34.832125984251974
940,19.00564,2.62144,19.00564,2.62144,224.47606299212597,30.96188976377953
960,19.66101,2.62143,29.49153,6.5536,290.27090551181107,54.18324803149606
980,38.66673,8.51968,40.63289,9.17504,468.30484251968505,104.49637795275589
1000,39.32215,7.86432,40.63285,8.51969,472.1751968503937,96.75596456692914
1020,41.2882,7.86431,41.94356,7.20895,491.52614173228346,89.01531496062992
1040,41.2882,7.20895,41.94355,7.20895,491.5260826771654,85.14507874015747
1060,41.28819,6.55358,41.94355,6.55358,491.52602362204726,77.40448818897639
1080,41.94355,5.89823,42.59891,6.55358,499.2664960629922,73.53431102362205
1100,41.94355,5.89822,42.5989,5.89822,499.26643700787406,69.6640157480315
1120,42.5989,5.24285,43.25427,5.89821,507.00690944881893,65.79366141732284
1140,41.94354,5.89821,41.28819,5.89822,491.52596456692913,69.66395669291339
1160,39.97746,5.89821,41.28818,6.55358,479.9151968503937,73.53419291338584
1180,41.28817,5.89821,41.28817,5.89822,487.6555511811024,69.66395669291339
1200,40.63281,5.24285,41.28817,5.89822,483.78531496062993,65.79372047244094
1220,40.6328,5.24285,41.28817,5.89822,483.7852559055119,65.79372047244094
1240,40.6328,5.24285,41.28817,5.24285,483.7852559055119,61.923425196850395
1260,49.80796,8.51965,64.88149,13.76255,677.2999015748031,131.58779527559057
1280,67.50304,13.76255,66.84766,12.45182,793.4096456692914,154.8092716535433
1300,66.84763,11.79647,69.46906,11.79647,805.0198228346457,139.32838582677164
1320,68.8137,11.1411,68.81369,10.48574,812.7601771653543,127.71755905511812
1340,68.15834,9.83037,68.81369,10.48573,808.8899409448818,119.976968503937
1360,68.81369,9.83037,69.46905,9.83037,816.6303543307087,116.10673228346457
1380,68.81368,9.17501,69.46904,9.83037,816.6302362204725,112.23649606299212
1400,68.81368,9.17501,69.46904,9.83037,816.6302362204725,112.23649606299212
1420,68.81368,9.17501,68.81368,9.17501,812.7600000000001,108.3662598425197
