T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65537,-9.9999999960687e-06,0.65536,0.0,7.740531496062992,-5.905511808701989e-05
40,0.0,0.0,0.0,0.65536,0.0,3.8702362204724414
60,0.0,0.65536,0.0,0.65535,0.0,7.7404133858267725
80,0.65791,0.65535,0.65536,0.65535,7.755531496062993,7.740354330708661
100,0.65536,0.65535,0.0,0.65601,3.8702362204724414,7.744251968503938
120,0.65537,0.65535,0.65536,1.31071,7.740531496062992,11.610590551181103
140,1.31072,0.65535,1.31073,1.31071,15.481003937007873,11.610590551181103
160,1.31072,1.31071,1.96608,1.31071,19.351181102362204,15.480826771653545
180,1.31073,1.31072,1.31073,1.96608,15.481062992125985,19.351181102362204
200,1.31074,1.96607,1.31073,1.96608,15.481122047244094,23.221358267716536
220,1.31074,1.96608,1.31074,2.62144,15.481181102362205,27.091653543307086
240,1.31074,2.62143,1.31074,3.27679,15.481181102362205,34.83200787401575
260,1.31074,2.62142,1.31074,3.27678,15.481181102362205,34.83188976377953
280,1.31074,3.27678,1.31074,3.27678,15.481181102362205,38.70212598425197
300,1.31074,3.27678,1.9661,3.27678,19.351417322834646,38.70212598425197
320,1.31075,3.93214,1.31074,3.93214,15.481240157480316,46.44259842519685
340,1.31075,3.93213,1.31075,4.58749,15.481299212598426,50.31271653543307
360,1.31075,4.58748,1.31075,5.24285,15.481299212598426,58.053129921259846
380,1.31075,5.24285,1.31076,5.89821,15.481358267716535,65.79366141732284
400,1.31076,5.89821,1.31076,5.89821,15.481417322834645,69.66389763779527
420,1.31075,5.89821,1.31076,6.55358,15.481358267716535,73.53419291338584
440,0.6554,7.20894,1.31076,6.55358,11.611181102362204,81.27472440944882
460,0.6554,6.55357,1.31076,7.20893,11.611181102362204,81.27460629921259
480,1.31076,7.20892,1.31075,7.20893,15.481358267716535,85.14478346456693
500,1.31076,7.20893,1.31076,7.20893,15.481417322834645,85.14484251968504
520,1.31076,7.20892,1.31075,7.20893,15.481358267716535,85.14478346456693
540,1.31075,7.20892,1.31075,7.20892,15.481299212598426,85.14472440944883
560,1.96611,7.20892,1.31075,7.86428,19.351535433070868,89.01496062992126
580,1.31075,7.20892,1.31075,7.86429,15.481299212598426,89.01501968503938
600,1.31075,8.51965,1.31075,8.51966,15.481299212598426,100.62584645669291
620,1.31076,9.17502,0.6554,9.17503,11.611181102362204,108.36643700787401
640,0.6554,9.83039,0.6554,10.48576,7.740944881889764,119.97726377952756
660,0.6554,11.14113,5.000000000166e-05,11.79649,3.870767716535443,135.45838582677166
680,5.000000000166e-05,12.45186,5.9999999997729e-05,13.10723,0.0006496062992089901,150.93950787401576
700,-0.65529,13.76259,-0.65529,14.41796,-7.739645669291339,166.42057086614173
720,-0.65529,15.07333,-1.31064,16.38406,-11.60982283464567,185.7719881889764
740,-1.966,16.38407,-1.31064,17.69479,-19.350236220472443,201.25311023622052
760,-1.96599,17.69479,-1.96599,17.6948,-23.220354330708663,208.99364173228346
780,-1.96599,18.35016,-2.62134,19.00553,-27.09053149606299,220.60446850393703
800,-2.62134,19.66089,-3.27669,19.66089,-34.830885826771656,232.21523622047243
820,-2.62133,20.31625,-2.62133,20.31626,-30.960590551181102,239.95576771653546
840,-3.27669,20.97162,-3.27668,21.62699,-38.701003937007876,251.566594488189
