T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65538,9.9999999960687e-06,-0.65537,-0.65535999999999,-7.740649606299213,-3.8701771653542942
40,-1.31075,9.9999999960687e-06,-0.65538,-0.65535999999999,-11.611003937007874,-3.8701771653542942
60,-0.65539,-1.3107,-0.65539,-1.31071,-7.740826771653544,-15.480767716535434
80,-0.6554,-1.31071,-3.9999999998486e-05,-1.96607,-3.8707086614173134,-19.351062992125986
100,-4.9999999994554e-05,-1.31071,-5.000000000166e-05,-1.31071,-0.0005905511810800039,-15.480826771653545
120,-0.65542,-1.3107,-0.65542,-1.31071,-7.741181102362205,-15.480767716535434
140,-0.65544,-1.31069,-0.65543,-1.3107,-7.741358267716535,-15.480649606299213
160,-1.31081,-1.31068,-0.65544,-0.65533,-11.611712598425198,-11.610295275590552
180,-0.65546,-1.31068,-0.65546000000001,-1.31068,-7.741653543307146,-15.480472440944883
200,-1.31083,-0.65531,-0.65546000000001,-0.65532,-11.611948818897698,-7.73994094488189
220,-0.65547,-0.65531,-1.31082,-0.65532,-11.61194881889764,-7.73994094488189
240,-0.65547,-0.65531,-1.31082,5.000000000166e-05,-11.61194881889764,-3.869645669291328
260,-0.65547,5.000000000166e-05,-0.65546000000001,5.000000000166e-05,-7.741712598425257,0.0005905511811219685
280,-0.65547,5.000000000166e-05,-0.65546000000001,-0.65531,-7.741712598425257,-3.869645669291328
300,-0.65547,0.65542,-0.65547,5.000000000166e-05,-7.741771653543307,3.8708858267716626
320,-0.65547,5.9999999997729e-05,-0.65547,-0.65532,-7.741771653543307,-3.8696456692913515
340,-0.65547,-0.65531,-0.65546000000001,-1.96605,-7.741712598425257,-15.480472440944883
360,-0.0001099999999993,-2.62141,-9.0000000000146e-05,-3.27678,-0.001181102362201453,-34.831830708661414
380,-9.9999999996214e-05,-2.62141,-9.0000000000146e-05,-3.27679,-0.001122047244072992,-34.83188976377953
400,-9.0000000000146e-05,-2.62142,0.65529,-3.27679,3.869291338582676,-34.831948818897644
420,0.65528,-3.27679,0.65529,-3.93215,7.739586614173229,-42.57248031496063
440,1.31064,-3.27679,1.31065,-3.2768,15.480059055118112,-38.7023031496063
460,1.966,-3.27679,1.966,-3.27679,23.22047244094488,-38.702244094488194
480,1.31062,-2.62142,1.96598,-3.27679,19.35,-34.831948818897644
500,1.96596,-2.62143,1.96596,-2.62144,23.22,-30.961830708661417
520,1.96594,-2.62143,1.96594,-2.62143,23.21976377952756,-30.96177165354331
540,1.96593,-1.96607,1.96593,-2.62143,23.21964566929134,-27.09153543307087
560,1.96591,-1.96606,1.96592,-1.96607,23.21946850393701,-23.221240157480317
580,1.9659,-1.3107,2.62127,-1.96606,27.089586614173232,-19.350944881889763
600,2.62125,-1.31069,2.62125,-1.96606,30.959645669291337,-19.350885826771652
620,2.62124,-1.31069,2.62124,-1.3107,30.959527559055118,-15.480649606299213
640,2.62123,-1.31069,2.62123,-1.31069,30.9594094488189,-15.480590551181102
660,3.27658,-1.31069,3.27658,-1.3107,38.69976377952756,-15.480649606299213
680,3.27657,-1.31069,3.27657,-1.3107,38.69964566929134,-15.480649606299213
700,3.93192,-1.31069,3.93193,-1.31069,46.44005905511811,-15.480590551181102
720,3.27655,-1.31068,3.93192,-1.96605,42.56970472440945,-19.350767716535433
740,3.27655,-1.31068,3.93191,-1.96605,42.56964566929134,-19.350767716535433
760,3.9319,-1.31068,3.93191,-1.96605,46.43982283464567,-19.350767716535433
780,3.9319,-1.31068,4.58982,-1.31069,50.325118110236225,-15.480531496062994
800,3.9319,-1.31069,3.93191,-1.31069,46.43982283464567,-15.480590551181102
820,3.93189,-1.31068,3.9319,-1.31069,46.43970472440945,-15.480531496062994
840,3.27654,-0.65532,3.27654,-0.65531,38.699291338582675,-7.73994094488189
860,3.27653,-0.65531,2.62117,-0.65531,34.82893700787402,-7.7398818897637796
880,1.96581,-0.6553,1.96581,6.0000000004834e-05,23.218228346456694,-3.8695275590550895
900,1.9658,0.65543,1.31045,0.65543,19.347933070866144,7.741299212598425
920,1.9658,1.3108,1.96581,1.31079,23.218169291338583,15.481830708661416
940,1.96581,1.96616,1.31046,1.96614,19.348051181102363,23.22224409448819
960,1.31045,1.96615,1.31046,1.96614,15.477814960629921,23.22218503937008
980,1.31045,3.27687,0.6551,2.6215,11.60757874015748,34.8328937007874
1000,0.65509,3.27687,-0.0002600000000043,3.27687,3.8671062992125727,38.70318897637796
1020,-0.65563,3.93223,-0.65562,3.27686,-7.743602362204725,42.573366141732286
1040,-1.31099,3.93224,-1.96634,3.93223,-19.35431102362205,46.443720472440944
1060,-2.62171,3.93224,-2.62171,3.27687,-30.965078740157484,42.5734842519685
1080,-3.27707,3.93224,-3.93242,3.27687,-42.57572834645669,42.5734842519685
1100,-3.93244,3.93224,-3.93242,3.27687,-46.44602362204725,42.5734842519685
1120,-3.93244,3.93224,-4.58779,3.27687,-50.31631889763779,42.5734842519685
1140,-4.5878,3.93224,-4.58779,3.27687,-54.186555118110235,42.5734842519685
1160,-4.5878,3.93224,-4.58779,3.27687,-54.186555118110235,42.5734842519685
1180,-4.5878,3.93223,-4.58779,3.27687,-54.186555118110235,42.573425196850394
1200,-4.5878,3.27687,-3.27706,2.6215,-46.44602362204725,34.8328937007874
1220,2.62126,3.27685,9.83031,3.27683,73.53289370078741,38.70283464566929
1240,9.17494,3.27684,8.51958,3.27684,104.49519685039368,38.70283464566929
1260,7.86421,3.9322,7.86422,3.27684,92.88442913385826,42.573070866141734
1280,7.8642,3.27684,7.86421,2.62147,92.88431102362205,34.83253937007874
1300,7.20883,3.27684,7.8642,2.62147,89.01395669291338,34.83253937007874
1320,7.20882,3.27683,7.86419,2.62147,89.01383858267717,34.83248031496063
1340,7.20882,3.27683,7.86419,2.62146,89.01383858267717,34.83242125984252
1360,7.86417,3.27682,7.86419,1.9661,92.88401574803149,30.96212598425197
1380,7.86418,2.62146,7.86419,1.9661,92.8840748031496,27.091889763779527
1400,8.51954,2.62146,8.51955,1.96609,100.6245472440945,27.09183070866142
1420,8.51953,2.62146,8.51954,1.96609,100.62442913385826,27.09183070866142
1440,8.51953,1.9661,8.51954,1.96609,100.62442913385826,23.221594488188977
1460,8.51953,2.62145,8.51954,1.96609,100.62442913385826,27.091771653543308
1480,8.51953,3.27681,8.51954,2.62145,100.62442913385826,34.83224409448819
1500,7.86417,3.27682,1.31052,3.27682,54.18124015748032,38.70259842519685
1520,-3.93246,5.24293,-5.24319,5.24295,-54.1869094488189,61.92448818897639
1540,-4.58784,5.89831,-3.93246,5.24294,-50.31673228346456,65.79478346456693
1560,-4.58783,5.24295,-4.58783,4.58758,-54.18696850393701,58.05431102362205
1580,-4.58783,5.24294,-4.58783,4.58758,-54.18696850393701,58.05425196850394
1600,-4.58783,5.24294,-4.58783,4.58758,-54.18696850393701,58.05425196850394
1620,-4.58783,5.24295,-4.58783,4.58758,-54.18696850393701,58.05431102362205
1640,-4.58783,4.58759,-4.58782,4.58758,-54.1869094488189,54.184074803149606
1660,-4.58783,4.58759,-5.24318,3.93222,-58.05714566929134,50.313838582677164
1680,-4.58783,3.93223,-5.24318,3.27686,-58.05714566929134,42.573366141732286
1700,-4.58783,3.93223,-4.58782,3.27686,-54.1869094488189,42.573366141732286
1720,-5.24318,3.27686,-4.58782,2.6215,-58.05708661417323,34.832834645669294
1740,-5.24318,2.6215,-4.58781,2.6215,-58.05702755905512,30.962598425196852
1760,-4.58782,3.27686,-4.58781,2.6215,-54.18679133858268,34.832834645669294
1780,-4.58782,2.62151,-4.58781,2.6215,-54.18679133858268,30.96265748031496
1800,-4.58782,3.27687,-4.58781,1.96615,-54.18679133858268,30.96271653543307
1820,-4.58782,2.62152,-5.24317,1.96615,-58.05702755905512,27.092539370078743
1840,-5.24318,1.96616,-5.89853,1.3108,-65.7975,19.35212598425197
1860,-5.89854,0.65545,-5.89851,-0.65529,-69.66761811023622,0.0009448818897634132
1880,2.62128,-1.31067,11.79643,-1.96605,85.14395669291339,-19.350708661417325
