T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-1.31072,-0.65537,-1.31073,-3.8702952755905513,-15.481003937007873
40,-0.65536,-1.96609,-1.0000000003174e-05,-1.31073,-3.8702952755905704,-19.351299212598423
60,-1.0000000003174e-05,-2.62145,-0.65537,-1.9661,-3.8703543307086803,-27.09183070866142
80,-1.0000000003174e-05,-1.96609,-1.0000000003174e-05,-1.9661,-0.00011811023625796063,-23.221594488188977
100,-1.0000000003174e-05,-2.62146,-1.0000000003174e-05,-1.9661,-0.00011811023625796063,-27.091889763779527
120,-0.65537,-1.31073,-1.0000000003174e-05,-0.65537,-3.8703543307086803,-11.610826771653544
140,-1.0000000003174e-05,-0.65536,-1.0000000003174e-05,-0.65537,-0.00011811023625796063,-7.740531496062992
160,0.0,-1.31073,-1.0000000003174e-05,-0.65538,-5.9055118128980315e-05,-11.610885826771653
180,-0.65537,-1.96609,-1.0000000003174e-05,-1.31075,-3.8703543307086803,-19.351417322834646
200,-1.0000000003174e-05,-1.9661,-0.65537,-1.31075,-3.8703543307086803,-19.351476377952757
220,-0.65537,-1.9661,-0.65538,-0.65538,-7.740649606299213,-15.481181102362205
240,-0.65538,-1.31074,-0.65539,-0.65539,-7.740767716535434,-11.611003937007874
260,-0.65538,-1.96611,-0.65539,-1.31075,-7.740767716535434,-19.351535433070868
280,-0.65538,-0.65538,-0.65539,-0.65538,-7.740767716535434,-7.740708661417322
300,-0.65539,-1.9999999999243e-05,-0.65539,1.3107,-7.740826771653544,7.740236220472445
320,-0.65539,0.65534,-0.65539,0.65534,-7.740826771653544,7.7402362204724415
340,-0.65539,-1.9999999999243e-05,-0.65539,0.65534,-7.740826771653544,3.870000000000005
360,-0.6554,-1.9999999999243e-05,-0.6554,1.3107,-7.740944881889764,7.740236220472445
380,-0.6554,0.65534,-0.6554,1.3107,-7.740944881889764,11.610472440944882
400,-1.31077,0.65536,-0.65541,1.96608,-11.611299212598425,15.480944881889766
420,-0.65541,1.31072,-0.65541,2.62145,-7.741062992125985,23.221476377952758
440,-0.65542000000001,1.96609,-0.65542000000001,3.27681,-7.741181102362323,30.962007874015747
460,-0.65542000000001,2.62145,-0.65542000000001,3.27681,-7.741181102362323,34.83224409448819
480,-0.65542000000001,1.96609,-0.65543,1.96608,-7.741240157480375,23.221476377952758
500,-1.31079,1.96608,-0.65544000000001,2.62144,-11.611594488189036,27.091653543307086
520,-0.65543,2.62144,-1.3108,3.93216,-11.611594488188976,38.70236220472441
540,-1.3108,1.96608,-1.3108,2.62144,-15.481889763779527,27.091653543307086
560,-1.31079,1.96608,-1.3108,3.2768,-15.481830708661416,30.96188976377953
580,-1.3108,3.27681,-1.3108,3.2768,-15.481889763779527,38.702421259842524
600,-1.3108,2.62144,-1.3108,2.62144,-15.481889763779527,30.96188976377953
620,-1.96616,2.62144,-1.3108,3.2768,-19.35212598425197,34.832125984251974
640,-1.96616,2.62144,-1.96617,2.62144,-23.22242125984252,30.96188976377953
660,-1.96617,1.3107,-1.96617,-2.9999999995312e-05,-23.22248031496063,7.740177165354359
680,-1.96617,-3.27685,-1.31081,-4.58761,-19.35224409448819,-46.443661417322836
700,3.27679,-5.89838,8.51973,-6.55379,69.66448818897638,-73.53643700787403
720,9.83047,-10.48596,9.17509,-13.10745,112.23755905511811,-139.33116141732282
740,8.51973,-15.07355,9.17509,-15.72893,104.49696850393701,-181.9044094488189
760,8.51973,-17.03965,8.51973,-17.03965,100.62673228346456,-201.25570866141734
780,8.51973,-17.69502,8.51973,-17.03966,100.62673228346456,-205.12606299212598
800,8.51973,-17.69502,9.17509,-17.03966,104.49696850393701,-205.12606299212598
820,8.51974,-17.69502,8.51974,-17.03966,100.62685039370079,-205.12606299212598
840,8.51974,-18.35039,9.17509,-17.69504,104.49702755905514,-212.8667125984252
860,8.51974,-18.35039,9.1751,-18.35039,104.49708661417323,-216.73688976377954
880,9.1751,-18.35039,8.51974,-17.03967,104.49708661417323,-208.99641732283467
900,8.51974,-18.35039,8.51974,-18.35039,100.62685039370079,-216.73688976377954
920,8.51974,-19.00575,8.51974,-19.66112,100.62685039370079,-228.34765748031498
940,9.1751,-19.66113,15.72875,-15.07359,147.06998031496062,-205.1262992125984
960,19.0056,-15.72894,19.66097,-15.72895,228.34588582677165,-185.77494094488188
980,19.0056,-16.38431,19.66096,-16.38431,228.34582677165352,-193.51547244094488
1000,19.66096,-17.03967,19.66095,-17.03968,232.21600393700788,-201.2560039370079
1020,19.66096,-18.3504,19.66095,-18.35041,232.21600393700788,-216.73706692913385
1040,19.66096,-20.31649,19.66095,-20.97185,232.21600393700788,-243.8287795275591
1060,19.66095,-22.28257,19.66095,-22.28258,232.21594488188975,-263.1800196850394
1080,19.66095,-23.59228,20.31631,-24.24866,236.08618110236222,-282.5252362204725
1100,19.66095,-26.21474,19.66095,-26.21475,232.21594488188975,-309.6229724409449
1120,19.66095,-26.87011,19.66095,-27.52548,232.21594488188975,-321.2337992125984
1140,19.66096,-29.49155,20.31632,-29.49156,236.08629921259845,-348.32545275590553
