T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65535999999999,0.65536,9.9999999960687e-06,0.65538,-3.8701771653542942,7.740590551181103
40,-0.65535999999999,1.31074,9.9999999960687e-06,1.31074,-3.8701771653542942,15.481181102362205
60,-0.65535,1.9661,9.9999999960687e-06,1.9661,-3.870118110236243,23.221653543307088
80,1.0000000003174e-05,2.62146,9.9999999960687e-06,1.96611,0.0001181102362160002,27.09194881889764
100,2.0000000006348e-05,2.62147,1.9999999999243e-05,1.96611,0.00023622047247396258,27.09200787401575
120,-0.65534,2.62147,1.9999999999243e-05,2.62148,-3.870000000000005,30.962303149606303
140,-0.65534,2.62147,0.65538,2.62148,0.0002362204724405255,30.962303149606303
160,-0.65534,3.27684,1.9999999999243e-05,2.62148,-3.870000000000005,34.83259842519685
180,-0.65534,3.27684,-0.65533,2.62149,-7.740177165354331,34.83265748031496
200,-0.65533,3.27684,2.9999999995312e-05,2.62149,-3.8698818897638065,34.83265748031496
220,-0.65532,3.27684,-0.65532,3.27685,-7.74,38.7028937007874
240,-1.31068,3.27685,-0.65532,3.27685,-11.61023622047244,38.702952755905514
260,-1.31068,3.27685,-0.65532,3.27685,-11.61023622047244,38.702952755905514
280,-1.31068,3.9322,-0.65531,3.27685,-11.610177165354331,42.57312992125985
300,-1.96604,3.27685,-1.96607,1.31076,-23.221122047244098,27.09218503937008
320,-5.24296,3.0000000002417e-05,-5.24297,3.0000000002417e-05,-61.92478346456693,0.00035433070868996455
340,-5.24296,3.0000000002417e-05,-5.24296,-0.65532,-61.92472440944882,-3.8698228346456554
360,-5.89832,3.9999999998486e-05,-5.24296,-0.65532,-65.79496062992126,-3.8697637795275677
380,-5.89832,3.9999999998486e-05,-5.24297,5.000000000166e-05,-65.79501968503936,0.0005314960629929883
400,-5.89833,5.000000000166e-05,-5.24297,5.000000000166e-05,-65.79507874015748,0.0005905511811219685
420,-5.24298,5.000000000166e-05,-4.58762,-0.65531,-58.05472440944882,-3.869645669291328
440,-5.24298,5.000000000166e-05,-5.24298,5.9999999997729e-05,-61.924960629921266,0.0006496062992089901
460,-5.24298,0.65542,-4.58762,0.65542,-58.05472440944882,7.741181102362205
480,-5.24298,0.65542,-4.58762,0.65542,-58.05472440944882,7.741181102362205
500,-5.89835,0.65542,-5.24298,-0.65531,-65.79525590551181,0.0006496062992129203
520,-5.89835,5.000000000166e-05,-5.24299,-0.65531,-65.79531496062992,-3.869645669291328
540,-5.24299,0.65541,-5.24299,5.9999999997729e-05,-61.92507874015748,3.8708858267716404
560,-5.89836,5.9999999997729e-05,-5.243,5.9999999997729e-05,-65.79543307086615,0.0007086614172960118
580,-5.243,5.9999999997729e-05,-5.243,-0.65529,-61.925196850393704,-3.869468503937021
600,-5.89836,5.9999999997729e-05,-5.24299,7.0000000000903e-05,-65.79537401574802,0.0007677165354249921
620,-5.89835,0.65543,-5.24299,7.0000000000903e-05,-65.79531496062992,3.8710629921259887
640,-5.24299,0.65543,-5.24299,0.65544,-61.92507874015748,7.741358267716535
660,-5.89835,1.31079,-4.58762,0.65544,-61.92501968503937,11.611594488188976
680,-5.24299,1.31079,-4.58762,0.65544,-58.05478346456693,11.611594488188976
700,-5.24298,1.96616,-4.58762,1.31081,-58.05472440944882,19.352185039370077
720,-5.24298,1.96617,-4.58762,1.31082,-58.05472440944882,19.3523031496063
740,-5.24298,1.96618,-5.24298,1.96618,-61.924960629921266,23.22259842519685
760,-5.24298,2.62155,-5.24298,2.62155,-61.924960629921266,30.963188976377953
780,-5.89833,3.27691,-5.24297,2.62156,-65.79507874015748,34.8334842519685
800,-5.89833,3.27692,-5.89833,3.27692,-69.66531496062991,38.70377952755906
820,-6.55369,3.93229,-5.89832,3.27693,-73.53549212598425,42.57413385826772
840,-6.55368,3.93229,-6.55368,3.9323,-77.40566929133858,46.444429133858264
860,-7.20904,3.9323,-7.20904,3.9323,-85.14614173228347,46.44448818897638
880,-7.86439,3.9323,-7.86439,3.27694,-92.88649606299214,42.57425196850394
900,-8.51975,3.9323,-8.51974,3.93231,-100.6269094488189,46.44454724409449
920,-5.89818,10.48591,-2.62113,17.03952,-50.31088582677166,162.55175196850394
940,-3.93177,19.0056,-4.58715,19.0056,-50.30858267716536,224.4755905511811
960,-5.89787,20.31633,-5.2425,20.31633,-65.78958661417323,239.9566535433071
980,-5.89786,20.31634,-5.24251,20.31635,-65.78958661417323,239.9568307086614
1000,-5.89787,20.31635,-5.24251,20.31635,-65.78964566929135,239.95688976377954
1020,-6.55324,20.97171,-5.24251,20.97172,-69.6599409448819,247.69742125984257
1040,-6.55324,21.62708,-5.89788,21.62709,-73.53023622047245,255.43801181102364
1060,-6.55324,22.93782,-6.55323,22.93782,-77.40041338582677,270.9191338582677
1080,-7.2086,24.24854,-7.20859,24.24855,-85.14088582677165,286.4001377952756
1100,-7.86394,25.55927,-7.20857,26.21464,-89.01088582677167,305.751437007874
1120,-7.86393,27.52536,-7.20856,28.18072,-89.01076771653544,328.97291338582676
1140,-8.51928,28.83607,-8.51927,28.83607,-100.62135826771654,340.5835039370079
1160,-8.51927,29.49143,-8.51927,29.49143,-100.62129921259843,348.32397637795276
1180,-9.17464,29.49143,-8.51927,28.83609,-104.491594488189,344.45385826771656
