T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0000000003174e-05,-1.0000000003174e-05,0.0,0.65537,5.9055118128980315e-05,3.8702362204724223
40,0.0,0.65535999999999,0.0,0.65537,0.0,7.740531496062933
60,0.0,0.65535999999999,0.0,1.31073,0.0,11.610767716535374
80,0.0,0.65535999999999,-1.0000000003174e-05,1.31073,-5.9055118128980315e-05,11.610767716535374
100,0.65534,0.65535999999999,0.65534,0.65537,7.7402362204724415,7.740531496062933
120,0.65533,9.9999999960687e-06,0.65533,0.65538,7.74011811023622,3.8704133858267484
140,0.65532,9.9999999960687e-06,0.65532,1.9999999999243e-05,7.74,0.0001771653543030219
160,0.65532,9.9999999960687e-06,1.31068,-0.65534,11.61023622047244,-3.870059055118134
180,1.31068,-0.65535000000001,0.65531,1.9999999999243e-05,11.610177165354331,-3.870059055118173
200,1.31067,-0.65535000000001,1.31068,1.9999999999243e-05,15.480413385826772,-3.870059055118173
220,0.65531,1.9999999999243e-05,0.65531,1.9999999999243e-05,7.7398818897637796,0.00023622047243200396
240,0.65532,1.9999999999243e-05,0.65531,0.65539,7.73994094488189,3.8705314960629873
260,0.65531,1.9999999999243e-05,0.65531,0.65539,7.7398818897637796,3.8705314960629873
280,0.65531,1.9999999999243e-05,0.65531,0.65539,7.7398818897637796,3.8705314960629873
300,0.65531,1.9999999999243e-05,0.65531,0.65539,7.7398818897637796,3.8705314960629873
320,0.65531,2.9999999995312e-05,0.65531,3.0000000002417e-05,7.7398818897637796,0.0003543307086480059
340,0.65531,2.9999999995312e-05,0.65531,0.6554,7.7398818897637796,3.8706496062991844
360,0.65531,2.9999999995312e-05,0.65531,0.6554,7.7398818897637796,3.8706496062991844
380,0.65531,2.9999999995312e-05,0.65531,0.6554,7.7398818897637796,3.8706496062991844
400,0.65531,0.65539,0.65531,1.31076,7.7398818897637796,11.611122047244095
420,0.65531,0.65539,0.65531,1.31076,7.7398818897637796,11.611122047244095
440,0.65531,0.65539,0.65531,1.31076,7.7398818897637796,11.611122047244095
460,0.65531,0.65539,0.65531,1.31076,7.7398818897637796,11.611122047244095
480,1.31067,0.65539,1.31067,3.0000000002417e-05,15.480354330708662,3.8705905511811167
500,1.96603,-0.65535000000001,1.96603,1.9999999999243e-05,23.22082677165354,-3.870059055118173
520,1.96603,9.9999999960687e-06,2.62139,0.65538,27.091062992125984,3.8704133858267484
540,2.62139,9.9999999960687e-06,1.96603,0.65538,27.091062992125984,3.8704133858267484
560,1.96603,0.65537999999999,1.96603,0.65538,23.22082677165354,7.740708661417264
580,2.62138,9.9999999960687e-06,2.62139,0.65538,30.961240157480315,3.8704133858267484
600,1.96602,9.9999999960687e-06,1.96602,0.65538,23.220708661417326,3.8704133858267484
620,1.96602,9.9999999960687e-06,1.96602,0.65538,23.220708661417326,3.8704133858267484
640,1.96603,0.65537999999999,1.96602,1.31074,23.220767716535434,11.610944881889703
660,1.31066,0.65537999999999,1.31066,1.31075,15.48023622047244,11.611003937007816
680,1.31066,0.65537999999999,1.31067,1.96611,15.480295275590551,15.481240157480256
700,0.65531,1.31075,0.65531,2.62147,7.7398818897637796,23.221771653543307
720,0.65531,1.96611,-5.000000000166e-05,2.62148,3.869645669291328,27.09206692913386
740,-3.9999999998486e-05,2.62147,-0.65539,4.58756,-3.870649606299203,42.573011811023626
760,-2.62136,10.48579,-0.65518,12.45187,-19.349645669291338,135.4586220472441
780,-2.62125,11.79651,-3.27663,13.10724,-34.83,147.06938976377953
800,-3.27662,12.45187,-3.27663,13.10724,-38.700295275590555,150.93962598425196
820,-3.27662,13.7626,-3.93199,13.7626,-42.570531496063,162.55039370078742
840,-3.27662,13.76259,-3.27663,14.41796,-38.700295275590555,166.42057086614173
860,-3.27662,13.76259,-3.27662,14.41796,-38.70023622047244,166.42057086614173
880,-3.27661,14.41795,-2.62125,15.07331,-34.829881889763776,174.1609842519685
900,-2.62125,13.76259,-3.27668,10.4858,-34.83029527559055,143.1991535433071
920,-3.27678,8.51973,-2.62142,9.83046,-34.83188976377953,108.36726377952758
940,-2.62138,9.83045,-2.62139,9.83046,-30.961240157480315,116.10773622047245
960,-2.62138,9.17509,-2.62138,9.83045,-30.961181102362204,112.23744094488191
980,-2.62138,8.51972,-2.62138,9.17509,-30.961181102362204,104.4969094488189
1000,-2.62139,8.51972,-2.62139,8.51972,-30.961299212598426,100.62661417322835
1020,-1.96604,7.86435,-1.96604,8.51972,-23.220944881889764,96.75631889763781
1040,-1.96605,7.20899,-1.3107,7.86436,-19.350885826771652,89.01584645669291
1060,-1.3107,6.55363,-1.31071,7.20899,-15.480767716535434,81.27531496062993
1080,-3.93209,11.7965,4.58777,17.69473,3.8721259842519675,174.1608070866142
1100,5.89855,17.03936,2.62172,17.03937,50.31655511811024,201.25234251968504
1120,2.62171,16.38402,3.27707,16.38402,34.83531496062992,193.51204724409448
1140,2.6217,15.72865,3.27706,15.72865,34.8351968503937,185.7714566929134
1160,2.6217,15.07328,3.27705,15.72865,34.83513779527559,181.90116141732284
1180,3.27705,15.07329,3.27705,15.72864,38.70531496062992,181.90116141732284
1200,3.27705,14.41792,3.27705,15.07329,38.70531496062992,174.16068897637794
1220,3.27705,14.41792,3.93241,14.41792,42.57555118110236,170.2903937007874
1240,3.93241,13.76255,4.58777,14.41792,50.31602362204725,166.42009842519684
1260,3.93241,13.10719,4.58778,13.76255,50.316082677165355,158.67956692913387
1280,3.93242,12.45183,4.58778,13.10719,50.31614173228347,150.93909448818897
1300,4.58778,12.45182,5.24314,13.10719,58.056614173228354,150.93903543307087
1320,4.58778,12.45182,5.24314,13.10718,58.056614173228354,150.93897637795277
1340,5.24314,12.45181,5.24313,13.10718,61.92679133858269,150.93891732283467
1360,5.24314,12.45181,5.8985,13.10718,65.79708661417324,150.93891732283467
1380,5.24314,11.79645,5.24314,12.45183,61.926850393700796,143.19850393700787
1400,5.24314,12.45182,5.24314,12.45183,61.926850393700796,147.06879921259844
1420,5.24314,12.45182,13.10752,17.6947,108.37003937007876,178.03062992125984
1440,36.70068,19.66077,45.87586,19.0054,487.6567322834645,228.34352362204726
1460,44.56515,19.66076,43.25441,20.31613,518.6194488188976,236.08399606299213
1480,43.90978,19.66076,43.25442,20.31613,514.7492125984252,236.08399606299213
1500,43.90978,19.0054,43.90977,19.66076,518.6193897637796,228.34346456692913
1520,43.90978,19.00539,43.90977,19.66076,518.6193897637796,228.34340551181103
1540,43.90977,19.00539,43.90977,19.0054,518.6193307086614,224.4731692913386
1560,43.25441,18.35003,43.25441,18.35003,510.87885826771657,216.7326377952756
1580,42.59905,17.69467,43.25441,18.35003,507.0086220472441,212.86240157480316
1600,43.25441,17.69467,43.25441,19.00539,510.87885826771657,216.7326377952756
1620,43.25441,18.35002,43.25441,19.00538,510.87885826771657,220.60275590551183
1640,43.25442,18.35001,43.25442,18.35002,510.8789763779528,216.73246062992126
1660,43.25442,18.35001,43.25442,18.35002,510.8789763779528,216.73246062992126
1680,43.90978,17.69465,43.90977,17.69465,518.6193897637796,208.99192913385826
1700,43.90977,16.38392,45.87586,16.38392,530.2300984251968,193.5108661417323
1720,53.08497,11.79639,57.67264,9.83031,654.080374015748,127.71673228346457
1740,58.32803,9.17494,57.67266,9.83032,685.0434448818899,112.23578740157481
1760,57.67266,9.17495,57.67267,9.83031,681.1732086614173,112.23578740157481
1780,57.67266,8.51958,57.67266,9.17495,681.1731496062993,104.49525590551181
1800,58.32803,8.51958,57.67266,9.17495,685.0434448818899,104.49525590551181
1820,57.67267,8.51958,57.67267,9.17495,681.1732677165354,104.49525590551181
1840,58.32803,8.51958,57.67267,9.17495,685.0435039370078,104.49525590551181
1860,58.32803,8.51958,58.32803,8.51959,688.9137401574803,100.62501968503936
1880,58.32803,7.86422,58.32802,7.86422,688.9136811023621,92.88448818897639
1900,58.32803,7.20886,58.32803,7.86422,688.9137401574803,89.01425196850393
1920,58.32803,7.20885,58.32804,7.20886,688.9137992125984,85.14395669291339
1940,58.32804,7.20885,58.32804,7.20886,688.9138582677166,85.14395669291339
1960,58.32804,6.55349,58.32804,7.20886,688.9138582677166,81.27372047244094
1980,58.32804,7.20886,58.32804,7.20886,688.9138582677166,85.14401574803149
2000,58.9834,6.55349,60.29424,7.86424,704.3955118110237,85.1440748031496
2020,62.91585,8.5196,62.91591,9.83033,743.1009448818897,108.3657283464567
2040,62.26055,9.83034,62.26055,10.4857,735.3608267716536,119.97661417322836
2060,62.26055,9.83033,61.60519,9.83033,731.4905905511812,116.10625984251969
2080,62.26055,9.17496,61.6052,9.17497,731.4906496062993,108.3657283464567
2100,61.6052,9.17496,62.26056,9.17497,731.4907086614173,108.3657283464567
2120,61.6052,9.17496,61.60521,9.17497,727.620531496063,108.3657283464567
2140,61.60521,9.17496,61.60521,9.83033,727.6205905511811,112.23596456692913
2160,61.60522,9.83032,61.60522,9.83032,727.6207086614173,116.10614173228348
2180,60.94986,9.17496,61.60522,9.83032,723.7504724409449,112.23590551181103
2200,61.60523,9.83032,60.94987,10.48569,723.7505905511811,119.97643700787401
2220,60.94987,9.83032,60.94987,10.48568,719.8803543307087,119.9763779527559
2240,60.94987,9.83031,61.60523,9.83032,723.7505905511811,116.10608267716536
2260,62.26058,8.51959,62.26058,9.17495,735.3611811023621,104.49531496062994
2280,62.2606,7.86422,68.81429,7.86422,774.0643110236219,92.88448818897639
2300,71.43576,7.20886,70.78038,7.86423,839.8590944881889,89.01431102362206
2320,70.78038,7.20886,70.78038,7.20886,835.9887401574803,85.14401574803149
2340,70.78038,7.20886,70.78038,6.5535,835.9887401574803,81.27377952755906
2360,70.78037,5.89814,70.78038,6.5535,835.9886811023622,73.53330708661417
2380,70.78038,5.89813,70.78038,5.89814,835.9887401574803,69.66301181102362
2400,70.78038,4.58741,70.78037,5.24278,835.9886811023622,58.0523031496063
2420,70.78037,4.58741,70.78037,4.58742,835.9886220472441,54.18206692913386
2440,71.43573,3.93205,70.78037,3.93205,839.8588582677166,46.44153543307087
2460,70.78037,3.27668,70.78037,3.93205,835.9886220472441,42.57124015748032
2480,71.43573,3.27668,70.78037,3.27669,839.8588582677166,38.701003937007876
2500,70.78037,2.62132,71.43573,2.62132,839.8588582677166,30.96047244094488
2520,71.43574,1.96595,72.09109,2.62132,847.5993897637795,27.090177165354334
2540,72.09109,1.96595,72.09109,1.96595,851.4695669291339,23.21988188976378
2560,72.09109,1.31059,72.09109,1.96595,851.4695669291339,19.349645669291338
