T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,4.9999999994554e-05,0.65537,-0.65535,0.65537,-3.869881889763812,7.740590551181103
40,-0.6553,1.31074,-1.31071,0.65537,-11.610295275590552,11.610885826771653
60,-0.65531,1.31074,-0.65535,0.65537,-7.74011811023622,11.610885826771653
80,-0.6553,1.31074,-1.3107,0.65537,-11.61023622047244,11.610885826771653
100,-0.6553,1.31074,-1.96606,0.65537,-15.480472440944883,11.610885826771653
120,-0.6553,1.31074,-1.96606,0.65537,-15.480472440944883,11.610885826771653
140,-0.6553,1.31074,-1.3107,0.65537,-11.61023622047244,11.610885826771653
160,-0.65531,0.65537,-0.65535,-0.65537,-7.74011811023622,0.0
180,0.65539999999999,0.65536000000001,0.65535000000001,-1.31073,7.740649606299213,-3.870295275590491
200,1.31075,0.0,0.65534,-1.31073,11.610767716535433,-7.740531496062992
220,1.31074,0.0,0.65533000000001,-1.31073,11.610649606299273,-7.740531496062992
240,1.31073,0.0,0.65533000000001,-1.31073,11.610590551181161,-7.740531496062992
260,1.31073,0.0,0.65533000000001,-1.31074,11.610590551181161,-7.740590551181103
280,1.31074,-0.65535999999999,0.65534,-1.31074,11.610708661417323,-11.610826771653484
300,11.79669,0.0,17.69503,-0.65537,174.16370078740158,-3.8702952755905513
320,16.38434,0.65537,15.07357,0.65536,185.7750590551181,7.740531496062992
340,15.72897,1.31074,14.4182,0.65537,178.034468503937,11.610885826771653
360,15.0736,1.9661,14.4182,1.31072,174.16417322834647,19.351299212598423
380,15.07359,1.9661,13.76283,0.65536,170.29381889763778,15.481062992125985
400,15.07359,1.31073,14.41818,0.65537,174.1639960629921,11.610826771653544
420,14.41822,1.31073,13.76282,0.65536,166.42346456692914,11.610767716535433
440,14.41821,0.65537,13.76281,0.0,166.4233464566929,3.8702952755905513
460,13.10748,0.65537,12.45208,-0.65536,150.94228346456694,5.905511810996746e-05
480,13.10748,1.0000000003174e-05,12.45206,-0.65536,150.9421653543307,-3.8701771653543116
500,13.10747,-0.65535,12.45206,-0.65536,150.94210629921258,-7.7404133858267725
520,13.10746,-0.65535,12.45206,-1.31073,150.94204724409448,-11.610708661417323
540,13.10746,-0.65535999999999,12.45207,-1.31073,150.94210629921258,-11.610767716535374
560,13.10747,-1.31072,11.79671,-1.31073,147.07192913385825,-15.481003937007873
580,13.10748,-0.65535999999999,11.79671,-1.96609,147.07198818897638,-15.481003937007813
600,12.45212,-1.31072,11.79671,-1.96609,143.20175196850394,-19.351240157480316
