T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65537,-0.65535000000001,-0.65536,0.65536,-7.740531496062992,5.9055118051615185e-05
40,-0.65537,9.9999999960687e-06,-1.0000000003174e-05,1.31072,-3.8703543307086803,7.74053149606297
60,-1.0000000003174e-05,0.65535999999999,0.0,1.31072,-5.9055118128980315e-05,11.610708661417265
80,-1.0000000003174e-05,1.31072,-1.0000000003174e-05,1.31072,-0.00011811023625796063,15.480944881889766
100,-0.65537,0.65535999999999,-0.65537,0.65536,-7.740590551181103,7.740472440944823
120,-0.65537,0.65535999999999,-0.65537,0.65536,-7.740590551181103,7.740472440944823
140,-1.31074,0.0,-0.65538,0.65536,-11.610944881889765,3.8702362204724414
160,-1.31074,0.65535999999999,-1.31074,1.31072,-15.481181102362205,11.610708661417265
180,-1.31074,0.65537,-1.31074,1.31072,-15.481181102362205,11.610767716535433
200,-1.31075,1.31072,-1.31073,1.96609,-15.481181102362205,19.351240157480316
220,-1.31074,1.31072,-1.31074,1.96608,-15.481181102362205,19.351181102362204
240,-1.96611,1.96608,-1.9661,2.62143,-23.221712598425196,27.091594488188978
260,-1.96611,1.96608,-1.9661,2.62143,-23.221712598425196,27.091594488188978
280,-2.62148,2.62143,-1.96611,2.62144,-27.09206692913386,30.961830708661417
300,-2.62147,2.62144,-2.62147,3.27679,-30.962244094488188,34.83206692913386
320,-2.62148,3.2768,-3.27683,4.58751,-34.83253937007874,46.44277559055118
340,-3.27683,3.93216,-3.27682,4.58752,-38.70265748031496,50.31307086614173
360,-3.27683,4.58752,-3.27682,5.24287,-38.70265748031496,58.053484251968506
380,-3.93219,4.58751,-3.93219,5.24287,-46.443188976377954,58.0534251968504
400,-4.58755,5.24288,-3.93218,5.24287,-50.31336614173228,61.92372047244094
420,-4.58755,5.24287,-5.24291,5.89823,-58.05389763779528,65.79389763779528
440,-5.89827,5.24287,-6.55363,5.24287,-73.53484251968504,61.92366141732283
460,-7.86436,5.24287,-9.17509,4.58751,-100.62667322834648,58.0534251968504
480,-10.48582,3.27679,-11.79655,3.27679,-131.58879921259842,38.702244094488194
500,-13.10729,2.62144,-14.41802,3.2768,-162.55104330708662,34.832125984251974
520,-16.38411,1.96608,-17.03948,1.96608,-197.38340551181105,23.221417322834647
540,-19.00558,1.31073,-19.66094,1.31073,-228.3455905511811,15.481062992125985
560,-18.35021,2.62145,-9.83044,5.89825,-166.42116141732285,50.31318897637796
580,-4.58749,7.86434,-5.24286,9.17505,-58.05324803149606,100.6263188976378
600,-6.5536,9.17505,-6.5536,9.83041,-77.40472440944882,112.236968503937
620,-5.89824,8.51969,-5.89823,9.83041,-69.66419291338582,108.36673228346457
640,-5.24288,9.17505,-5.24287,9.17505,-61.92372047244094,108.36673228346457
660,-5.24287,9.17507,-4.58751,9.17506,-58.0534251968504,108.3669094488189
680,-4.58751,8.51971,-4.58751,9.17507,-54.183188976377956,104.49673228346458
700,-5.24287,8.51971,-5.24286,8.51971,-61.923602362204726,100.62649606299213
720,-5.89824,7.86436,-5.89824,7.86435,-69.66425196850395,92.88608267716535
740,-7.20898,7.209,-7.20897,6.55365,-85.14537401574805,81.27549212598426
760,-7.86434,5.24293,-7.20898,5.24293,-89.01566929133858,61.92437007874016
780,2.62153,6.55368,17.69499,9.17514,119.97944881889765,92.88673228346457
800,27.52549,11.14123,28.83623,13.1073,332.8448031496063,143.19998031496064
820,27.52804,13.1073,27.5255,13.10729,325.11933070866144,154.81057086614175
840,28.18086,12.45194,28.18087,13.1073,332.84486220472445,150.9403937007874
860,28.18086,13.1073,28.83623,13.76265,336.71509842519686,158.68080708661418
880,28.18086,13.10729,28.83622,13.76265,336.7150393700787,158.68074803149608
900,27.5255,13.76266,28.18087,13.76265,328.974625984252,162.55104330708662
920,28.18086,13.1073,28.18086,13.76265,332.8448031496063,158.68080708661418
940,26.87013,13.1073,27.5255,13.10729,321.23403543307086,154.81057086614175
960,26.87014,13.10729,26.87014,13.10729,317.3638582677165,154.81051181102364
980,25.5594,12.45193,20.97185,12.45193,274.7908464566929,147.07003937007875
1000,18.35037,11.14121,18.35037,12.45192,216.7366535433071,139.32950787401575
1020,17.69501,12.45192,17.69502,12.45191,208.9962401574803,147.06986220472442
1040,17.69501,11.79656,17.69502,11.79656,208.9962401574803,139.32944881889765
1060,17.69502,10.48584,18.35039,11.14119,212.86659448818895,127.71868110236221
1080,18.35039,10.48583,18.35039,11.1412,216.73688976377954,127.71868110236221
1100,18.35039,10.48584,19.00576,11.14119,220.60718503937008,127.71868110236221
1120,18.3504,10.48583,19.66113,10.48583,224.47753937007874,123.84838582677166
1140,19.00576,9.83047,19.00577,10.48583,224.47753937007874,119.97814960629921
1160,19.00576,9.17511,23.59333,12.45193,251.56942913385825,127.71874015748033
1180,39.32214,15.72876,53.08489,20.3163,545.7108070866142,212.86452755905512
1200,57.01712,20.97167,55.05103,22.28237,661.819783464567,255.43724409448822
1220,53.08493,22.28237,53.74029,22.28237,630.8575984251969,263.17759842519683
1240,53.73889,21.62701,53.08494,22.28236,630.8493897637795,259.3073031496063
1260,53.74029,21.62701,53.74029,22.28236,634.7278346456693,259.3073031496063
1280,53.08492,21.627,53.74028,22.28235,630.8574803149606,259.3071850393701
1300,53.08492,20.97164,53.74028,21.62699,630.8574803149606,251.5667125984252
1320,53.08491,20.97164,53.08491,20.97163,626.987125984252,247.69647637795276
1340,53.08491,20.31627,53.08491,19.66091,626.987125984252,236.0857086614173
1360,52.42954,19.66092,52.42954,20.31627,619.2465354330709,236.08576771653543
1380,51.77417,19.00555,51.11881,19.00555,607.6357086614173,224.475
1400,51.77416,17.69484,51.77416,17.69484,611.5058267716536,208.99417322834645
1420,52.42951,17.03949,52.42952,17.03948,619.2462401574803,201.25375984251968
1440,53.08487,16.38413,53.08488,16.38414,626.9867125984251,193.51340551181104
1460,53.74023,15.72878,53.74024,15.72877,634.72718503937,185.77293307086615
1480,38.66685,10.4859,5.89857,4.58766,263.18161417322835,89.01708661417324
1500,-22.93757,-3.93198,-39.97712,-6.55341,-371.5434448818898,-61.92159448818898
1520,-44.56473,-5.24271,-42.59864,-2.62129,-514.7443110236221,-46.44094488188976
1540,-43.254,-1.96593,-42.59863,-1.96595,-507.003720472441,-23.21976377952756
1560,-41.94328,-2.6213,-41.94328,-2.62131,-495.3930708661418,-30.960295275590553
1580,-41.28793,-3.27667,-41.28792,-3.93204,-487.652657480315,-42.571122047244096
1600,-40.63257,-4.58739,-39.9772,-5.24276,-476.04194881889765,-58.05206692913386
1620,-39.9772,-5.89812,-39.32184,-5.89812,-468.3014173228347,-69.66283464566929
1640,-39.32185,-6.55348,-38.66648,-6.55349,-460.5610039370079,-77.40336614173229
1660,-38.66648,-7.20885,-38.66647,-7.20885,-456.6906496062992,-85.14389763779528
1680,-38.01112,-7.86421,-37.35575,-6.5535,-445.0799409448819,-85.14395669291339
1700,-36.70039,-7.20885,-36.70038,-6.5535,-433.4691141732283,-81.27372047244094
1720,-36.04502,-6.55349,-29.49132,-3.27671,-387.02562992125985,-58.05236220472441
1740,-19.66083,-2.62134,-14.41789,-1.31062,-201.25228346456697,-23.220236220472444
1760,-14.41789,-1.96599,-15.07325,-1.31063,-174.1602755905512,-19.35011811023622
1780,-15.07326,-1.96599,-15.07325,-1.96599,-178.03057086614174,-23.220354330708663
1800,-15.07326,-2.62134,-15.07326,-2.62135,-178.03062992125984,-30.960767716535432
1820,-15.07327,-3.93206,-15.07326,-3.93207,-178.03068897637795,-46.4417125984252
1840,-15.72862,-4.58742,-15.07326,-3.93123,-181.90086614173228,-50.306988188976376
1860,-15.07327,-4.58742,-15.07326,-3.93206,-178.03068897637795,-50.311889763779526
1880,-15.07327,-4.58742,-15.07326,-3.93207,-178.03068897637795,-50.31194881889763
1900,-15.07326,-4.58742,-9.83032,-1.31062,-147.06838582677167,-34.830944881889764
1920,0.65555999999999,0.65547,10.48607,3.93228,65.79702755905507,27.093011811023622
1940,17.03974,4.58764,16.38438,5.89835,197.3865354330709,61.925137795275596
1960,15.729,5.24299,16.38437,5.24299,189.6458858267717,61.92507874015748
1980,16.38437,5.243,16.38437,5.24299,193.51618110236222,61.925137795275596
2000,16.38437,3.93227,15.72901,4.58763,189.64594488188976,50.31437007874016
2020,15.729,3.93227,15.07365,4.58763,181.90541338582676,50.31437007874016
2040,14.41828,3.93227,14.41829,4.58763,170.29470472440946,50.31437007874016
2060,14.41828,4.58763,14.41828,5.24299,170.29464566929133,58.05484251968504
2080,14.41828,5.24299,14.41829,5.24299,170.29470472440946,61.92507874015748
2100,14.41828,5.24299,14.41829,5.89835,170.29470472440946,65.79531496062992
2120,15.07364,5.243,15.72901,5.243,181.90541338582676,61.925196850393704
2140,15.729,5.24301,16.38438,6.55373,189.64594488188976,69.6657874015748
2160,16.38437,5.89837,16.38437,6.55373,193.51618110236222,73.53602362204724
2180,16.38437,6.55373,16.38437,6.55374,193.51618110236222,77.40631889763779
2200,16.38436,5.89838,16.38437,5.89838,193.51612204724412,69.66590551181103
2220,16.38436,5.89838,15.72901,5.89838,189.6458858267717,69.66590551181103
2240,17.03974,5.89839,26.21491,8.51985,255.4408464566929,85.14708661417323
2260,39.97761,10.48595,47.84203,13.76275,518.6199212598426,143.2009842519685
2280,49.15276,13.10739,47.84203,14.4181,572.8038779527559,162.55210629921262
2300,47.84202,13.76274,47.84203,13.10738,565.0632874015748,158.68181102362206
2320,47.84203,12.45203,47.84203,11.79666,565.0633464566929,143.2009251968504
2340,47.18666,11.79667,47.18667,11.79741,557.32281496063,139.33511811023624
2360,47.18666,11.79667,46.5313,12.45203,553.4525196850394,143.2009842519685
2380,47.18665,11.14131,46.53129,11.79667,553.4524015748032,135.46051181102365
2400,46.53129,10.48595,45.87593,11.14131,545.7119291338582,127.72003937007874
2420,45.87592,10.48595,45.22056,10.48595,537.9713385826772,123.84980314960632
2440,44.56518,9.8306,38.01152,9.17523,487.65767716535436,112.23915354330711
