T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65537,0.0,0.65535999999999,9.9999999960687e-06,7.740531496062933,5.905511808701989e-05
40,0.65537,0.0,0.0,9.9999999960687e-06,3.8702952755905513,5.905511808701989e-05
60,9.9999999960687e-06,-0.65535,9.9999999960687e-06,9.9999999960687e-06,0.00011811023617403978,-3.870118110236243
80,0.65538,-0.65536,0.65537,-0.65536,7.740649606299213,-7.740472440944883
100,3.0000000002417e-05,-0.65536,0.65538,-0.65536,3.8705314960630064,-7.740472440944883
120,3.0000000002417e-05,-0.65535,0.65539,-0.65535,3.8705905511811167,-7.740354330708661
140,3.9999999998486e-05,-0.65536,0.6554,-0.65535,3.8707086614173134,-7.7404133858267725
160,0.6554,-1.31072,0.6554,-0.65536,7.740944881889764,-11.610708661417323
180,0.65541,-1.31072,1.31076,-1.31071,11.611240157480315,-15.480885826771654
200,0.65542,-1.31072,1.31077,-1.31071,11.611358267716536,-15.480885826771654
220,0.65542,-1.31072,1.31078,-1.31072,11.611417322834646,-15.480944881889766
240,0.65543,-1.31072,1.31079,-1.31072,11.611535433070866,-15.480944881889766
260,0.65543,-1.96609,1.31078,-1.31072,11.611476377952757,-19.351240157480316
280,0.65543,-1.31072,1.31078,-1.31072,11.611476377952757,-15.480944881889766
300,0.65542,-1.31072,1.31079,-1.31072,11.611476377952757,-15.480944881889766
320,0.65542,-1.31072,1.31078,-0.65537,11.611417322834646,-11.610767716535433
340,0.65542,-0.65536,1.31078,-1.31072,11.611417322834646,-11.610708661417323
360,0.65543,-1.31073,0.65542,-0.65536,7.7412401574803145,-11.610767716535433
380,0.65543,-1.31072,1.31079,-0.65536,11.611535433070866,-11.610708661417323
400,0.65543,-0.65537,1.31078,-0.65537,11.611476377952757,-7.740590551181103
420,0.65543,-0.65537,1.96614,-0.65536,15.481712598425199,-7.740531496062992
440,0.65543,-0.65537,1.96614,-0.65537,15.481712598425199,-7.740590551181103
460,1.31079,-0.65537,1.96613,-0.65537,19.351889763779525,-7.740590551181103
480,0.65542,-0.65538,1.31077,-0.65537,11.611358267716536,-7.740649606299213
500,0.65542,-1.31074,1.31077,-0.65537,11.611358267716536,-11.610885826771653
520,0.65541,-0.65538,1.31077,-1.0000000003174e-05,11.611299212598425,-3.8704133858267897
540,0.65541,-0.65538,1.31077,-1.9999999999243e-05,11.611299212598425,-3.8704724409448774
560,0.65542,-0.65538,1.31077,-1.9999999999243e-05,11.611358267716536,-3.8704724409448774
580,1.31077,-0.65538,1.31077,-1.9999999999243e-05,15.481535433070867,-3.8704724409448774
600,0.65541,-0.65538,1.96613,-1.9999999999243e-05,15.481535433070867,-3.8704724409448774
620,1.31077,-1.9999999999243e-05,1.96613,-1.9999999999243e-05,19.351771653543306,-0.00023622047243200396
640,0.65542,-1.9999999999243e-05,1.31077,-0.65538,11.611358267716536,-3.8704724409448774
660,1.31077,-0.65538,1.31076,-0.65538,15.481476377952756,-7.740708661417322
680,0.65541,-0.65538,1.31077,-0.65538,11.611299212598425,-7.740708661417322
700,0.65541,-0.65539,1.31077,-0.65539,11.611299212598425,-7.740826771653544
720,0.65541,-0.65539,1.31076,-0.65539,11.611240157480315,-7.740826771653544
740,1.31077,-1.31075,1.31076,-0.65539,15.481476377952756,-11.611062992125985
760,1.31077,-1.31075,1.31076,-0.65539,15.481476377952756,-11.611062992125985
780,0.6554,-1.31076,0.6554,-0.65539,7.740944881889764,-11.611122047244095
800,1.31076,-1.31076,1.31076,-1.31075,15.481417322834645,-15.481358267716535
820,0.6554,-1.31076,1.31075,-1.31075,11.611122047244095,-15.481358267716535
840,0.6554,-1.31075,1.31075,-1.31075,11.611122047244095,-15.481299212598426
860,0.6554,-1.31075,1.31075,-1.31075,11.611122047244095,-15.481299212598426
880,0.65539,-1.31076,1.31075,-1.31075,11.611062992125985,-15.481358267716535
900,0.65539,-1.31076,1.31074,-1.96611,11.611003937007874,-19.35159448818898
920,0.65539,-1.31076,1.31074,-1.31075,11.611003937007874,-15.481358267716535
940,0.65538,-1.31075,1.31074,-0.65539,11.610944881889765,-11.611062992125985
960,0.65539,-0.65539,1.31074,-0.65539,11.611003937007874,-7.740826771653544
980,0.65538,-0.65539,1.31074,-0.65539,11.610944881889765,-7.740826771653544
1000,0.65538,-3.0000000002417e-05,1.31074,-1.9999999999243e-05,11.610944881889765,-0.00029527559056098424
1020,0.65538,-3.0000000002417e-05,1.31073,-3.0000000002417e-05,11.610885826771653,-0.00035433070868996455
1040,0.65538,-3.0000000002417e-05,2.62147,1.96606,19.351476377952757,11.610413385826757
1060,4.58763,3.93217,4.58763,3.93218,54.1846062992126,46.443011811023624
1080,3.93225,5.24291,4.5876,6.55364,50.31407480314961,69.66466535433071
1100,4.5876,7.86437,4.58759,8.51974,54.18419291338583,96.75655511811024
1120,3.93223,9.17511,4.58758,11.1412,50.313838582677164,119.97820866141734
1140,3.93222,12.45193,4.58757,13.1073,50.31372047244095,150.94033464566928
1160,3.93221,13.1073,4.58755,13.76268,50.31354330708661,158.6809842519685
1180,3.9322,13.76267,4.58756,13.76268,50.31354330708661,162.55127952755905
1200,-58.327,14.41803,4.58755,13.76268,-317.3589566929134,166.4215157480315
1220,3.93219,14.41804,4.58755,14.41804,50.313425196850396,170.29181102362205
1240,3.93219,14.41804,4.58755,15.0734,50.313425196850396,174.1620472440945
1260,3.9322,15.0734,4.58755,15.72877,50.313484251968504,181.90257874015748
1280,3.9322,15.0734,4.58755,15.72876,50.313484251968504,181.90251968503938
1300,3.9322,15.72876,4.58755,15.72876,50.313484251968504,185.77275590551181
1320,3.9322,15.72877,4.58755,15.72877,50.313484251968504,185.77287401574804
1340,3.9322,15.72876,7.86439,15.72875,69.66490157480315,185.77269685039371
1360,15.07354,16.38409,17.69507,15.72872,193.5154133858268,189.64257874015746
1380,16.38435,15.07337,16.38432,15.72873,193.51576771653544,181.90216535433072
1400,16.38433,15.72873,16.38431,15.07336,193.5155905511811,181.9021062992126
1420,15.72896,14.41799,15.72895,14.418,185.7750590551181,170.29127952755906
1440,15.07359,13.10727,15.07358,12.45189,178.034468503937,150.93992125984252
1460,14.41824,12.45189,14.41823,13.10726,170.29411417322834,150.93986220472442
1480,13.76288,12.45189,13.76287,11.79652,162.55364173228347,143.19927165354332
1500,12.45215,10.48579,13.10751,11.14115,150.94287401574803,127.71814960629922
1520,12.45216,11.14114,12.45215,10.48577,147.0726968503937,127.71797244094488
1540,11.7968,10.48578,12.45216,10.48577,143.20251968503936,123.84773622047244
1560,11.14144,9.8304,12.45218,11.14112,139.33240157480316,123.84755905511813
1580,15.72919,12.45183,15.72926,11.79646,185.77824803149608,143.198562992126
1600,15.07388,13.10719,15.72922,13.1072,181.90807086614174,154.80938976377954
1620,15.07387,12.45183,15.72922,11.79647,181.90801181102364,143.1986220472441
1640,15.07387,11.1411,15.72922,10.48574,181.90801181102364,127.71755905511812
1660,15.07387,9.83038,15.72922,9.83038,181.90801181102364,116.1068503937008
1680,15.07386,9.17502,15.07386,8.51966,178.03771653543308,104.49614173228346
