T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,1.0000000003174e-05,0.0,1.0000000003174e-05,0.0,0.00011811023625796063
40,-0.65537,0.65538,-9.9999999960687e-06,0.65538,-3.8703543307086377,7.740708661417322
60,-1.9999999999243e-05,1.31075,-9.9999999960687e-06,1.31075,-0.0001771653543030219,15.481299212598426
80,-1.9999999999243e-05,1.31075,0.65534,1.96611,3.870000000000005,19.351535433070868
100,0.65533,2.62148,0.65533,3.27684,7.74011811023622,34.83259842519685
120,-3.9999999998486e-05,3.27685,0.65533,3.93221,3.8698228346456776,42.573188976377956
140,-3.9999999998486e-05,4.58758,-3.9999999998486e-05,5.24295,-0.0004724409448640079,58.05431102362205
160,-5.000000000166e-05,5.24295,0.65532,5.24296,3.869704724409439,61.92466535433071
180,-5.000000000166e-05,5.89832,-4.9999999994554e-05,5.89832,-0.0005905511810800039,69.6651968503937
200,-5.9999999997729e-05,6.55369,-5.9999999997729e-05,6.55369,-0.0007086614172960118,77.4057874015748
220,-0.65542,7.20906,-0.65542,7.20906,-7.741181102362205,85.14637795275591
240,-0.65542,7.86442,-1.30823,7.86443,-11.596358267716536,92.8869094488189
260,-1.31079,8.5198,-1.96614,7.86444,-19.35194881889764,96.75732283464566
280,-1.96615,8.5198,-1.96614,8.5198,-23.22218503937008,100.62755905511811
300,-1.96615,9.17517,-2.6215,9.17517,-27.09242125984252,108.36814960629921
320,-3.27687,9.17517,-3.27686,9.17517,-38.703129921259844,108.36814960629921
340,-3.27686,9.83054,-3.93221,9.17517,-42.573248031496064,112.23844488188978
360,-3.93222,9.17518,-3.27685,8.51982,-42.573248031496064,104.49803149606299
380,-3.93222,9.17518,-3.93221,8.51981,-46.443484251968506,104.49797244094486
400,-4.58757,9.17517,-4.58757,8.51981,-54.18389763779528,104.49791338582678
420,-4.58757,8.51982,-4.58756,7.86445,-54.18383858267716,96.75750000000001
440,-4.58757,7.86445,-4.58756,7.86444,-54.18383858267716,92.88714566929134
460,-3.93221,7.20908,-3.93221,6.55371,-46.44342519685039,81.27631889763781
480,-2.61895,5.89835,-1.31077,5.24298,-23.207007874015748,65.79525590551181
500,-1.31078,4.58761,-0.65541,3.93224,-11.611358267716536,50.31407480314961
520,-7.0000000000903e-05,3.93223,-7.0000000000903e-05,3.93223,-0.0008267716535539725,46.443661417322836
540,-8.0000000004077e-05,3.93223,0.65529,3.93222,3.869350393700764,46.44360236220472
560,0.65528,3.93222,1.31066,3.27686,11.60988188976378,42.57330708661418
580,1.31064,2.62149,1.31065,2.62149,15.480059055118112,30.962480314960633
600,1.31065,2.62149,1.96601,1.96612,19.35035433070866,27.09218503937008
620,1.96601,1.96612,2.62138,0.65539,27.090885826771654,15.481358267716535
640,2.62137,3.0000000002417e-05,2.62139,-1.3107,30.961181102362207,-7.740177165354316
660,2.62137,-1.96606,3.27675,-1.96608,34.831417322834646,-23.221299212598424
680,3.27675,-2.62143,3.27676,-3.2768,38.70183070866142,-34.83206692913386
700,2.62139,-3.27681,3.27676,-3.93217,34.831594488188976,-42.572716535433074
720,3.27676,-4.58754,11.79654,1.31072,89.01555118110237,-19.351299212598423
740,13.10727,3.27683,11.14118,3.93219,143.19950787401575,42.57295275590551
760,11.14117,4.58756,11.14116,5.89828,131.588562992126,61.92425196850394
780,9.83043,5.24292,9.83044,4.58757,116.1075,58.05407480314961
800,9.17508,4.58756,9.1751,3.93219,108.36720472440946,50.313484251968504
820,9.17508,3.27684,8.51973,3.27683,104.49690944881888,38.702775590551184
840,7.86437,3.27683,7.86438,2.62146,92.88631889763779,34.83242125984252
860,7.20902,1.9661,6.55368,0.65538,81.2757874015748,15.481181102362205
880,5.89832,0.65538,5.89833,-0.65535,69.66525590551181,0.00017716535433055802
900,5.24298,-1.31072,5.24299,-1.96609,61.92501968503937,-19.351240157480316
920,5.24299,-2.62144,4.58765,-2.62145,58.05496062992127,-30.96194881889764
940,4.58765,-2.62144,4.58767,-3.27681,54.18496062992126,-34.83218503937008
960,3.9323,-3.27681,3.93232,-3.93217,46.4446062992126,-42.572716535433074
980,3.93231,-4.58753,3.93232,-4.58753,46.44466535433071,-54.18342519685039
1000,3.27696,-5.24289,3.93233,-5.89826,42.57454724409449,-65.79419291338583
1020,3.27697,-5.2429,4.58769,-6.55362,46.44484251968504,-69.66448818897638
1040,5.24305,-7.20898,5.8984,-7.86435,65.79596456692914,-89.0157283464567
1060,6.55375,-7.86435,6.55376,-8.51972,77.40655511811023,-96.75631889763781
1080,7.20911,-7.86436,7.20911,-7.86436,85.146968503937,-92.88614173228346
1100,7.20909,-7.86437,7.20911,-7.20901,85.14685039370079,-89.01602362204724
1120,6.55374,-7.209,6.55374,-7.209,77.40637795275592,-85.14566929133858
1140,6.55373,-7.20901,5.89838,-7.20901,73.53608267716537,-85.14578740157481
1160,5.89837,-7.20901,6.55374,-6.55365,73.53608267716537,-81.27555118110237
1180,5.89837,-6.55364,6.55374,-6.55365,73.53608267716537,-77.40525590551182
1200,6.55373,-7.20901,6.55375,-7.86438,77.40637795275592,-89.01608267716536
1220,6.55375,-7.86438,6.55376,-7.86438,77.40655511811023,-92.88637795275591
1240,7.20911,-7.86438,7.20913,-8.51975,85.14708661417323,-96.75667322834646
1260,7.20912,-7.86438,7.20913,-7.86438,85.14714566929135,-92.88637795275591
1280,7.20913,-7.86438,7.86449,-7.86439,89.0174409448819,-92.88643700787402
1300,7.86449,-8.51974,7.86449,-8.51974,92.88767716535433,-100.62685039370079
1320,7.20912,-7.86438,6.55377,-8.51975,81.2769094488189,-96.75667322834646
1340,7.20913,-7.86439,7.20913,-8.51975,85.14720472440945,-96.75673228346459
1360,6.55631,-7.86439,6.55377,-8.51975,77.42173228346456,-96.75673228346459
1380,6.55377,-8.51974,6.55377,-8.51975,77.40673228346456,-100.6269094488189
1400,5.89841,-7.86438,6.55378,-8.51975,73.53655511811024,-96.75667322834646
1420,5.8984,-8.51975,5.89841,-8.51975,69.66620078740158,-100.62696850393701
1440,5.24305,-9.17511,5.89841,-9.17511,65.79602362204724,-108.36744094488189
1460,5.24304,-8.51974,5.24305,-9.1751,61.9257283464567,-104.49708661417323
1480,5.24304,-8.51974,5.24305,-8.51973,61.9257283464567,-100.62679133858269
1500,4.58768,-7.86437,5.24304,-7.86437,58.05543307086614,-92.88625984251969
1520,4.58768,-7.209,4.58768,-7.209,54.1851968503937,-85.14566929133858
1540,4.58767,-7.209,5.24304,-7.209,58.05537401574803,-85.14566929133858
1560,4.58767,-6.55363,4.58768,-6.55363,54.185137795275594,-77.40507874015748
1580,4.58767,-5.89827,4.58768,-6.55363,54.185137795275594,-73.53484251968504
1600,3.93231,-5.89826,4.58768,-5.89826,50.31490157480315,-69.66448818897638
1620,4.58767,-5.2429,3.93232,-5.2429,50.31490157480315,-61.92401574803149
1640,3.93231,-5.2429,3.93232,-5.2429,46.44466535433071,-61.92401574803149
1660,3.93231,-5.2429,5.24303,-5.89827,54.185078740157486,-65.79431102362206
1680,5.89838,-5.89827,6.55374,-6.55363,73.53614173228347,-73.53484251968504
1700,6.55372,-5.89827,7.20908,-6.55363,81.27637795275591,-73.53484251968504
1720,7.86442,-6.55363,7.86443,-5.89827,92.8869094488189,-73.53484251968504
1740,7.86441,-4.58754,7.86441,-5.24291,92.88673228346457,-58.05383858267717
1760,7.8644,-4.58754,7.8644,-4.58755,92.88661417322835,-54.18360236220473
1780,7.86439,-4.58754,12.45196,-0.65538,119.97844488188977,-30.96212598425197
1800,26.87002,6.55364,27.52543,4.58757,321.2329724409449,65.7945472440945
1820,26.87004,5.24293,26.87003,6.55366,317.36261811023627,69.66490157480315
1840,26.87002,6.55367,27.52538,5.89831,321.23267716535435,73.53531496062993
1860,27.52537,6.55367,27.52538,5.89831,325.1028543307087,73.53531496062993
1880,27.52536,6.55368,27.52537,6.55368,325.1027362204725,77.40566929133858
1900,27.52536,6.55368,26.87,5.89832,321.2324409448819,73.53543307086615
1920,26.86999,6.55369,26.87,6.55369,317.3621456692914,77.4057874015748
1940,26.86999,6.55368,26.87,6.55368,317.3621456692914,77.40566929133858
1960,26.21463,6.55369,26.86999,6.55368,313.4918503937008,77.4057283464567
1980,26.21462,6.55369,26.21463,7.20905,309.6215551181103,81.27602362204725
2000,25.55926,6.55369,25.55926,6.55369,301.8810236220472,77.4057874015748
2020,24.9039,7.20905,24.90391,7.20904,294.1406102362205,85.14620078740157
2040,24.24854,7.20905,24.24854,6.55369,286.4000787401575,81.27602362204725
