T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-1.0000000003174e-05,0.0,-0.65535999999999,0.0,-3.87029527559051
40,9.9999999960687e-06,-0.65537,9.9999999960687e-06,-1.31073,0.00011811023617403978,-11.610826771653544
60,1.9999999999243e-05,-1.31074,1.9999999999243e-05,-1.31074,0.00023622047243200396,-15.481181102362205
80,-0.65534,-1.9661,-0.65534,-2.62146,-7.7402362204724415,-27.091889763779527
100,-0.65533,-2.62147,-0.65533,-3.27683,-7.74011811023622,-34.83248031496063
120,9.83053,-5.24294,27.52549,-1.96618,220.60641732283466,-42.57354330708662
140,40.63289,3.93204,43.90978,7.20884,499.26773622047244,65.79259842519686
160,41.94371,9.17492,41.28833,9.83028,491.5277952755906,112.23543307086614
180,41.28833,11.79636,41.94368,12.45173,491.52761811023623,143.1973818897638
200,41.28831,13.76244,41.2883,13.76245,487.65714566929137,162.548562992126
220,40.63293,13.76244,40.63293,13.76245,479.91649606299217,162.548562992126
240,40.63292,13.76244,40.63291,13.76245,479.9163188976378,162.548562992126
260,40.63292,13.76244,40.63291,13.10708,479.9163188976378,158.67826771653546
280,41.28827,13.10708,41.28827,12.45172,487.6567322834645,150.93779527559056
300,41.94363,12.45171,41.28827,11.79636,491.526968503937,143.19726377952756
320,41.94363,12.45171,41.94363,11.79636,495.39720472440945,143.19726377952756
340,42.59899,11.14098,42.599,10.48563,503.1377362204725,127.71620078740158
360,43.25435,10.48563,43.25435,9.83027,510.87814960629925,119.9757874015748
380,43.25436,9.83026,43.25436,9.17491,510.87826771653545,112.2352559055118
400,43.25436,8.51954,38.01143,4.58739,479.9160826771653,77.40312992125983
420,29.49164,-0.0001200000000025,27.52551,-1.96619,336.7154527559055,-11.612066929133873
440,28.83624,-1.31083,28.83624,-0.65546999999999,340.58551181102365,-11.612007874015688
460,28.83625,-1.31084,28.83625,-1.31083,340.58562992125985,-15.482303149606299
480,29.49161,-1.31084,29.49161,-1.96619,348.3261023622048,-19.35253937007874
500,29.49161,-1.9662,30.14698,-1.96619,352.1963976377953,-23.22277559055118
520,29.49161,-1.9662,30.14697,-2.62156,352.1963385826772,-27.093070866141733
540,30.14698,-3.27692,30.14698,-3.27692,356.06669291338585,-38.70377952755906
560,30.14698,-3.27692,30.14697,-3.93228,356.0666338582677,-42.5740157480315
580,30.14697,-3.93229,30.14697,-4.58764,356.0665748031496,-50.31454724409449
600,30.14697,-4.58765,30.14697,-5.243,356.0665748031496,-58.055019685039376
620,30.14698,-4.58765,30.14697,-4.58765,356.0666338582677,-54.18484251968504
640,30.14697,-4.58765,30.80233,-4.58765,359.93681102362206,-54.18484251968504
660,30.80234,-4.58765,30.80233,-4.58765,363.8071062992126,-54.18484251968504
680,30.80234,-5.24301,30.80234,-5.89837,363.8071653543307,-65.79555118110237
700,30.80234,-5.24302,30.80234,-5.89837,363.8071653543307,-65.79561023622047
720,36.04526,-4.58767,56.36163,-1.96624,545.7099803149607,-38.70419291338583
740,79.9548,0.65519,85.19777,2.62128,975.3104527559057,19.34923228346457
760,83.88705,3.93199,83.88705,5.24272,990.7919291338583,54.18135826771654
780,83.88705,7.2088,83.88705,7.2088,990.7919291338583,85.14330708661417
800,83.88704,7.20879,83.88704,7.86416,990.791811023622,89.01348425196849
820,83.88705,8.51951,83.23168,9.83024,986.9216338582678,108.36466535433071
840,83.88705,9.83023,83.88704,9.17488,990.7918700787402,112.23490157480315
860,83.88704,9.17487,83.88704,9.17488,990.791811023622,108.36466535433071
880,83.88704,9.83023,83.88704,9.83023,990.791811023622,116.10507874015748
900,83.23168,9.83023,83.23168,9.83023,983.0513385826772,116.10507874015748
920,83.23169,9.83023,82.57633,10.48559,979.1812204724409,119.97531496062992
940,82.57633,11.14095,82.57633,11.14095,975.3109842519685,131.58602362204724
960,82.57633,11.79631,81.92097,11.79631,971.440748031496,139.32649606299213
980,81.92097,11.79631,81.92097,11.79631,967.5705118110236,139.32649606299213
1000,81.92097,11.79631,81.92096,11.79631,967.5704527559055,139.32649606299213
1020,81.92096,12.45167,81.92095,13.10704,967.5703346456693,150.93726377952757
1040,81.92095,13.76239,81.92094,13.7624,967.5702165354331,162.54797244094487
1060,81.26558,14.41776,81.92093,13.7624,963.6998622047245,166.41826771653544
1080,81.92093,14.41776,81.92093,13.7624,967.5700393700788,166.41826771653544
1100,81.92093,13.7624,81.92093,14.41776,967.5700393700788,166.41826771653544
1120,82.57629,15.07312,82.57629,13.76241,975.3105118110236,170.28856299212597
1140,82.5763,13.7624,82.5763,13.7624,975.3106299212599,162.548031496063
1160,83.23166,13.10703,83.23166,13.10704,983.0511023622048,154.8075
1180,82.5763,13.10703,83.23166,11.79631,979.1808661417324,147.066968503937
1200,83.23166,11.79631,83.23165,11.14095,983.0510433070867,135.45625984251967
1220,83.23165,11.14095,83.23164,10.48559,983.0509251968505,127.7157874015748
1240,83.23165,11.14094,83.23164,9.83023,983.0509251968505,123.84549212598426
1260,83.23164,9.83022,82.57628,9.17487,979.1806299212599,112.23478346456693
1280,70.77972,7.20879,53.08486,7.20881,731.4837401574804,85.14330708661417
1300,43.25437,4.58738,44.56509,3.93202,518.6188582677166,50.31141732283464
1320,45.87582,4.58737,45.22045,5.24273,537.9700984251969,58.051771653543305
1340,45.87581,5.24273,45.87581,5.24274,541.8402755905512,61.922066929133855
1360,46.53117,5.89809,46.53117,4.58738,549.5807480314961,61.922066929133855
1380,46.53116,4.58737,46.53116,5.24274,549.5806299212599,58.05183070866143
1400,46.53117,5.24273,47.84188,3.93201,557.3211614173229,54.18153543307087
1420,47.84188,3.27664,48.49724,2.62129,568.931811023622,34.83029527559056
1440,49.1526,1.96592,49.1526,1.31057,580.5425196850393,19.34935039370079
1460,49.80796,1.31056,49.80796,0.6552,588.2829921259843,11.608818897637795
1480,49.80796,-0.000160000000001,51.11868,-1.31088,596.0234645669292,-7.742362204724416
1500,50.46332,-1.96625,51.11868,-1.96625,599.8937007874016,-23.223425196850396
1520,51.11868,-2.62162,51.11868,-2.62161,603.763937007874,-30.96395669291339
1540,51.77404,-2.62162,51.77404,-1.96625,611.5044094488189,-27.09372047244095
1560,51.77404,-1.96626,51.77403,-1.96625,611.5043503937007,-23.223484251968504
1580,52.4294,-0.65554,52.4294,-0.65553,619.2448818897639,-7.74253937007874
1600,51.77404,-0.0001800000000002,51.77404,-0.0001699999999971,611.5044094488189,-0.0020669291338417323
