T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,9.9999999960687e-06,9.9999999960687e-06,0.65536,5.905511808701989e-05,3.8702952755905278
40,0.65535999999999,0.65537,9.9999999960687e-06,0.65536,3.8702952755904687,7.740531496062992
60,0.65535999999999,0.65535999999999,9.9999999960687e-06,0.65536,3.8702952755904687,7.740472440944823
80,0.65535999999999,0.65537,0.65537,0.65536,7.740531496062933,7.740531496062992
100,0.65535999999999,0.65537,0.65537,-9.9999999960687e-06,7.740531496062933,3.8702362204724636
120,0.65535999999999,0.65535999999999,0.65537,0.0,7.740531496062933,3.870236220472382
140,0.65535999999999,0.65537,1.31072,0.65536,11.610708661417265,7.740531496062992
160,1.31071,0.65537,0.65535999999999,1.31072,11.610649606299154,11.610767716535433
180,0.65535,0.65537,1.31071,0.65536,11.610590551181103,7.740531496062992
200,1.31071,9.9999999960687e-06,0.65535,0.65536,11.610590551181103,3.8702952755905278
220,0.65535999999999,0.65537,0.65535,0.65536,7.740413385826713,7.740531496062992
240,1.31071,0.65537,1.31071,0.65536,15.480826771653545,7.740531496062992
260,1.31071,0.65537,0.65535,1.31072,11.610590551181103,11.610767716535433
280,0.65535,0.65537,0.65535,0.65536,7.740354330708661,7.740531496062992
300,1.31071,0.65537,1.31072,1.31072,15.480885826771654,11.610767716535433
320,1.31071,1.31073,1.31072,1.31072,15.480885826771654,15.481003937007873
340,1.31071,0.65537,0.65535999999999,0.65536,11.610649606299154,7.740531496062992
360,0.65535999999999,0.65537,3.27681,0.65535,23.221476377952694,7.740472440944881
380,18.35019,-4.0000000005591e-05,20.97167,-0.65542,232.21570866141732,-3.8708267716535762
400,20.31627,-1.31078,20.31628,-0.65542,239.9560039370079,-11.611417322834646
420,20.31627,-1.31078,20.97162,-1.31078,243.8261220472441,-15.481653543307088
440,21.62696,-1.31077,21.62696,-1.31078,255.43653543307087,-15.481594488188977
460,21.62694,-1.31077,21.62694,-0.65542,255.43629921259844,-11.611358267716536
480,22.28229,-0.65541,22.2823,-1.31077,263.17671259842524,-11.611299212598425
500,22.28229,-0.65541,21.62694,-0.65542,259.3064763779528,-7.741122047244096
520,22.2823,-0.65541,22.28231,-5.000000000166e-05,263.17683070866144,-3.8708267716535527
540,22.28231,-0.65541,22.28231,-0.65542,263.1768897637795,-7.741122047244096
560,22.28231,-0.65542,21.62695,-5.000000000166e-05,259.3066535433071,-3.8708858267716626
580,21.62695,-0.65541,22.28231,-0.65541,259.3066535433071,-7.741062992125985
600,22.2823,-0.6554,22.28231,-5.000000000166e-05,263.17683070866144,-3.870767716535443
620,22.28231,-4.0000000005591e-05,22.28231,-5.000000000166e-05,263.1768897637795,-0.0005314960630349468
640,22.28231,-4.0000000005591e-05,22.93768,-5.000000000166e-05,267.0471850393701,-0.0005314960630349468
660,30.14672,-0.65543,32.11285,-1.31081,367.674625984252,-11.611653543307087
680,32.11283,-1.96616,31.45747,-1.96617,375.415157480315,-23.22242125984252
700,31.45746,-1.96617,32.11281,-1.96617,375.4149803149607,-23.22248031496063
720,32.11281,-2.62153,31.45746,-1.96617,375.4149803149607,-27.09271653543307
740,32.1128,-1.96617,31.45745,-1.96617,375.41486220472444,-23.22248031496063
760,32.1128,-1.96616,31.45744,-1.31081,375.4148031496063,-19.352185039370077
780,31.45744,-1.96616,31.45744,-1.31081,371.54456692913385,-19.352185039370077
800,32.11279,-1.3108,31.45743,-1.31082,375.41468503937006,-15.482007874015748
820,31.45743,-1.31081,31.45743,-1.31081,371.54444881889765,-15.482007874015748
840,30.80206,-1.31081,30.80207,-1.31081,363.80391732283465,-15.482007874015748
860,30.80206,-1.96616,30.80206,-1.3108,363.8038582677166,-19.35212598425197
880,30.80206,-1.3108,30.80207,-0.65544,363.80391732283465,-11.611653543307087
900,31.45743,-1.31079,30.80207,-0.65544,367.67421259842524,-11.611594488188976
920,30.80207,-1.31079,30.80208,-0.65544,363.80403543307085,-11.611594488188976
940,30.80208,-1.31079,30.80209,-0.65543,363.8041535433071,-11.611535433070866
960,30.80209,-0.65543,30.80209,-0.65543,363.8042125984252,-7.741299212598425
980,30.8021,-0.65543,30.14673,-0.65543,359.9340354330709,-7.741299212598425
1000,30.14673,-7.0000000000903e-05,30.14674,-7.0000000000903e-05,356.06379921259844,-0.0008267716535539725
1020,30.14674,-0.65543,28.83602,0.65531,348.32338582677164,-0.0007086614173228877
1040,14.41806,3.27683,4.58762,5.89829,112.23826771653545,54.183779527559054
1060,4.58763,5.89828,5.24298,5.89827,58.05478346456693,69.66466535433071
1080,5.89832,5.24291,5.89832,5.2429,69.6651968503937,61.924074803149615
1100,5.89832,5.24291,5.89832,5.2429,69.6651968503937,61.924074803149615
1120,6.55368,4.58755,6.55369,5.2429,77.4057283464567,58.05383858267717
1140,6.55369,5.24291,7.20906,5.2429,81.27608267716536,61.924074803149615
1160,7.20906,4.58755,7.86443,4.58754,89.01667322834646,54.18360236220473
1180,7.86443,4.58754,7.86444,4.58753,92.88702755905513,54.1834842519685
1200,7.86444,4.58754,7.86444,4.58753,92.88708661417323,54.1834842519685
1220,9.17515,3.93218,9.17515,3.93217,108.36791338582678,46.443011811023624
1240,9.17514,3.93218,9.17514,4.58754,108.36779527559057,50.313307086614174
1260,9.83049,3.93218,9.8305,3.93218,116.10820866141734,46.44307086614173
1280,9.8305,3.93218,9.83051,3.93217,116.10832677165355,46.443011811023624
1300,10.48587,3.27681,9.83052,3.27681,119.9786811023622,38.70248031496063
1320,10.48589,2.62145,13.7627,3.27679,143.2003346456693,34.832125984251974
1340,24.90396,3.27677,26.87009,2.62138,305.7522637795276,34.831594488188976
1360,27.52543,1.96603,27.52544,1.96603,325.103562992126,23.22082677165354
1380,27.52542,1.96603,28.18076,1.96603,328.9735039370079,23.22082677165354
1400,28.18076,1.31067,28.83612,0.6553,336.71385826771655,11.61005905511811
1420,28.83612,0.65531,28.83612,0.65529,340.584094488189,7.739763779527559
1440,29.49148,-6.0000000004834e-05,28.83612,-5.9999999997729e-05,344.4543307086614,-0.0007086614173379705
1460,28.18076,0.6553,28.83612,-7.0000000000903e-05,336.71385826771655,3.869468503937002
1480,29.49148,-6.0000000004834e-05,28.83612,-5.9999999997729e-05,344.4543307086614,-0.0007086614173379705
1500,28.83612,-6.0000000004834e-05,28.18076,-0.65542,336.71385826771655,-3.8709448818897925
1520,28.18075,-0.65542,28.83613,-5.9999999997729e-05,336.71385826771655,-3.87094488188975
1540,28.18075,-5.000000000166e-05,28.18077,-5.9999999997729e-05,332.8436220472441,-0.0006496062992089901
1560,28.83612,-0.65541,28.83613,-0.65542,340.58415354330714,-7.741122047244096
1580,28.83613,-0.65542,28.18078,-0.65542,336.7140354330709,-7.741181102362205
1600,28.83615,-0.65542,28.18079,-0.65542,336.7142125984252,-7.741181102362205
1620,28.18079,-1.31078,33.42373,-0.65544999999999,363.80622047244094,-11.61159448818892
