T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-0.65536,-9.9999999960687e-06,0.0,-5.905511808701989e-05,-3.8702362204724414
40,-9.9999999960687e-06,-0.65537,0.65534,-1.96609,3.870059055118134,-15.481062992125985
60,0.65534,-2.62145,1.3107,-2.62146,11.610472440944882,-30.96206692913386
80,1.31069,-2.62145,1.96605,-1.31074,19.350826771653544,-23.221594488188977
100,1.96606,-1.96609,1.31069,-1.31074,19.350885826771652,-19.351358267716535
120,1.31069,-1.31073,1.96605,-1.31074,19.350826771653544,-15.481122047244094
140,1.31069,-1.96609,1.96605,-1.31073,19.350826771653544,-19.351299212598423
160,1.31069,-1.96609,1.96604,-1.9661,19.350767716535433,-23.221594488188977
180,1.96605,-1.9661,1.96604,-1.96611,23.221003937007875,-23.221712598425196
200,1.31068,-2.62146,1.96603,-2.62147,19.350649606299214,-30.96218503937008
220,1.31067,-3.27682,1.31066,-2.62147,15.480295275590551,-34.83242125984252
240,1.31067,-3.27683,1.31067,-2.62147,15.480354330708662,-34.83248031496063
260,1.31067,-3.27683,1.96603,-2.62147,19.350590551181103,-34.83248031496063
280,1.31068,-2.62147,1.96603,-1.96611,19.350649606299214,-27.09200787401575
300,1.96604,-1.9661,1.96604,-1.31075,23.220944881889764,-19.351476377952757
320,1.96604,-1.9661,1.96604,-0.65537,23.220944881889764,-15.481122047244094
340,-3.27685,-1.31073,1.31067,-0.65537,-11.611299212598425,-11.610826771653544
360,0.6553,-0.65537,0.6553,-9.9999999960687e-06,7.739763779527559,-3.8703543307086377
380,0.6553,0.0,0.6553,-9.9999999960687e-06,7.739763779527559,-5.905511808701989e-05
400,0.6553,-9.9999999960687e-06,1.31067,0.65536,11.61005905511811,3.870177165354354
420,4.5875,1.31073,2.62142,2.62145,42.57236220472441,23.221535433070866
440,1.96606,2.62145,2.62142,3.93218,27.091417322834648,38.70253937007874
460,1.96606,3.27683,1.96605,3.93219,23.221122047244098,42.57295275590551
480,1.96606,2.62147,1.96606,3.27682,23.221181102362205,34.83242125984252
500,1.3107,2.62146,1.96606,3.27682,19.350944881889763,34.83236220472441
520,1.96607,2.62147,1.96606,3.93219,23.221240157480317,38.70271653543307
540,1.96607,3.9322,1.96607,3.93219,23.221299212598424,46.44324803149607
560,1.96608,3.9322,1.96608,4.58755,23.221417322834647,50.313484251968504
580,1.96609,4.58756,1.96608,5.24292,23.221476377952758,58.054015748031496
600,1.9661,4.58757,1.96609,5.24293,23.221594488188977,58.054133858267726
620,1.31073,5.24293,1.96609,5.89829,19.351299212598423,65.7946062992126
640,1.31074,5.24294,1.31073,5.89829,15.481122047244094,65.79466535433072
660,0.65537,5.8983,1.31074,6.55366,11.610885826771653,73.5351968503937
