T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-9.9999999960687e-06,-0.65537,1.31073,-1.31072,7.740472440944905,-11.610767716535433
40,0.65536,-1.31073,1.31073,-1.96609,11.610767716535433,-19.351299212598423
60,0.65536,-2.62147,1.9661,-3.93219,15.481062992125985,-38.70271653543307
80,0.65536,-4.58757,2.62146,-5.89828,19.351299212598423,-61.924311023622046
100,1.96609,-6.55366,3.27682,-7.20902,30.96206692913386,-81.27566929133859
120,1.96608,-7.8644,3.27682,-8.51975,30.962007874015747,-96.75679133858267
140,1.96608,-9.17512,3.27682,-9.17512,30.962007874015747,-108.36755905511811
160,1.96608,-10.48586,2.62146,-10.48585,27.091771653543308,-123.84868110236222
180,1.96608,-11.14122,3.27683,-11.14121,30.96206692913386,-131.5891535433071
200,1.96609,-11.79659,3.27683,-11.79658,30.96212598425197,-139.3297440944882
220,1.96609,-13.10732,3.27683,-13.10731,30.96212598425197,-154.81080708661418
240,1.96609,-12.45196,3.27682,-13.10731,30.96206692913386,-150.94057086614174
260,1.96609,-13.76268,2.62147,-13.76267,27.091889763779527,-162.55127952755905
280,2.62145,-13.76268,1.96865,-13.76268,27.106889763779527,-162.55133858267718
300,-0.6554,-12.45196,-1.9999999999243e-05,-12.45195,-3.870590551181098,-147.0703346456693
320,-2.9999999995312e-05,-12.45196,0.65534,-12.45195,3.8699409448819173,-147.0703346456693
340,-3.9999999998486e-05,-12.45196,0.65534,-13.10623,3.8698818897637888,-150.93419291338583
360,-0.6554,-12.45196,0.65534,-12.45195,-0.00035433070866111604,-147.0703346456693
380,-0.65539,-12.45196,0.65534,-12.45195,-0.00029527559055114857,-147.0703346456693
400,-0.6554,-12.45196,0.65534,-12.45195,-0.00035433070866111604,-147.0703346456693
420,-0.6554,-13.10732,-1.9999999999243e-05,-13.10731,-3.870590551181098,-154.81080708661418
440,-0.6554,-13.10732,-1.9999999999243e-05,-13.10731,-3.870590551181098,-154.81080708661418
460,-3.9999999998486e-05,-13.10732,0.65534,-13.10731,3.8698818897637888,-154.81080708661418
480,-0.65539,-13.10732,0.65534,-13.10731,-0.00029527559055114857,-154.81080708661418
500,-3.9999999998486e-05,-13.10731,0.65534,-13.10731,3.8698818897637888,-154.81074803149608
520,-3.9999999998486e-05,-12.45196,-1.9999999999243e-05,-13.10731,-0.000354330708648006,-150.94057086614174
540,-3.9999999998486e-05,-12.45196,-1.9999999999243e-05,-13.1073,-0.000354330708648006,-150.9405118110236
560,-3.9999999998486e-05,-13.10731,-1.9999999999243e-05,-13.10731,-0.000354330708648006,-154.81074803149608
580,-3.9999999998486e-05,-13.10731,-1.9999999999243e-05,-13.10731,-0.000354330708648006,-154.81074803149608
600,-0.6554,-12.45195,-1.9999999999243e-05,-12.45195,-3.870590551181098,-147.07027559055118
620,-0.6554,-12.45195,-2.9999999995312e-05,-12.45194,-3.8706496062991844,-147.07021653543308
640,-0.6554,-12.45195,-1.9999999999243e-05,-12.45194,-3.870590551181098,-147.07021653543308
660,-2.9999999995312e-05,-11.79658,1.96611,-10.48584,11.610708661417352,-131.58909448818898
680,1.31073,-10.48585,1.31075,-9.83048,15.481181102362205,-119.97832677165356
700,0.65537,-9.83049,1.31074,-9.83048,11.610885826771653,-116.10809055118109
720,0.65537,-9.83048,1.31074,-9.83048,11.610885826771653,-116.10803149606299
740,0.65537,-9.83048,0.65538,-9.83047,7.740649606299213,-116.10797244094488
760,1.0000000003174e-05,-9.83048,0.65538,-9.83047,3.8704133858267897,-116.10797244094488
780,0.0,-9.83048,0.65538,-9.83047,3.870354330708661,-116.10797244094488
800,0.0,-9.83048,0.65538,-10.48583,3.870354330708661,-119.97820866141734
820,0.65536,-10.48584,1.31073,-9.83047,11.610767716535433,-119.97820866141734
840,0.65535,-10.48584,1.31073,-11.14119,11.610708661417323,-127.71868110236221
860,-9.9999999960687e-06,-11.1412,0.65536,-11.14119,3.870177165354354,-131.58891732283465
880,-0.65538,-11.79656,0.0,-11.79656,-3.870354330708661,-139.32944881889765
900,-0.65538,-12.45192,1.0000000003174e-05,-11.79655,-3.870295275590532,-143.19962598425198
920,1.96614,-11.14119,1.96617,-11.14119,23.2223031496063,-131.58885826771655
940,0.65542,-10.48583,0.65544,-10.48581,7.741299212598425,-123.84826771653545
960,5.9999999997729e-05,-10.48582,8.0000000004077e-05,-11.14117,0.0008267716535539725,-127.71844488188977
980,-1.31067,-11.14117,-1.31066,-11.79652,-15.480295275590551,-135.45879921259842
1000,-1.96604,-11.79653,-1.96603,-12.45188,-23.220885826771653,-143.19927165354332
1020,-2.62141,-12.45189,-1.96603,-12.45188,-27.091181102362206,-147.06950787401576
1040,-3.27677,-12.45188,-2.6214,-12.45187,-34.8317125984252,-147.06938976377953
1060,-3.27678,-13.10724,-2.6214,-13.10723,-34.831771653543306,-154.8098622047244
1080,-3.27678,-13.7626,-2.6214,-14.41796,-34.831771653543306,-166.42062992125986
1100,-3.27678,-14.41796,-2.6214,-14.41796,-34.831771653543306,-170.2908661417323
1120,-3.27678,-15.07332,-3.27677,-15.72868,-38.70206692913386,-181.9015748031496
1140,-3.27678,-16.38405,1.31083,-15.72866,-11.60994094488189,-189.64198818897637
1160,4.58772,-15.72867,-58.98216,-15.72866,-321.2270078740158,-185.7716338582677
1180,4.58773,-15.72867,5.2431,-16.38402,58.05608267716535,-189.64187007874017
1200,4.58772,-16.38403,5.24309,-17.03939,58.055964566929134,-197.38240157480317
1220,4.58771,-17.69476,5.24308,-17.69476,58.05584645669292,-208.99322834645668
1240,4.58771,-18.35012,5.24308,-18.35012,58.05584645669292,-216.73370078740157
1260,4.58771,-19.00549,5.24308,-19.00549,58.05584645669292,-224.4742913385827
1280,4.58771,-19.66085,5.24309,-19.66085,58.05590551181103,-232.21476377952757
1300,4.58771,-19.66086,5.24308,-19.66085,58.05584645669292,-232.2148228346457
1320,4.58771,-20.31622,5.24309,-20.31622,58.05590551181103,-239.95535433070867
1340,4.58771,-20.31623,5.24309,-20.97158,58.05590551181103,-243.8256496062992
1360,4.58771,-21.62694,4.58772,-20.97158,54.18561023622048,-251.566062992126
1380,3.93234,-21.62695,4.58772,-22.2823,50.31531496062993,-259.306594488189
1400,5.2431,-22.28231,8.51998,-22.2823,81.278031496063,-263.17683070866144
1420,6.55388,-22.28231,7.20925,-22.2823,81.27832677165355,-263.17683070866144
1440,6.55387,-21.62694,6.55389,-22.2823,77.408031496063,-259.30653543307085
1460,5.89851,-22.28231,6.55388,-22.2823,73.53773622047245,-263.17683070866144
1480,5.24315,-22.93767,5.89852,-22.93766,65.79726377952757,-270.9173031496063
1500,5.24314,-22.93767,5.89852,-22.93766,65.79720472440945,-270.9173031496063
1520,4.58777,-22.93767,5.24315,-23.59302,58.056614173228354,-274.7875393700788
1540,4.58776,-24.24839,5.24313,-24.90374,58.05643700787402,-290.2684842519685
1560,4.58774,-25.55912,8.51998,-26.21445,77.40779527559056,-305.74942913385826
1580,13.10762,-24.90373,17.03989,-24.24835,178.03647637795277,-290.2681889763779
1600,16.38455,-23.59299,16.38455,-23.59299,193.5183070866142,-278.65736220472445
1620,15.07381,-23.59299,15.72918,-24.24835,181.90742125984252,-282.52759842519686
1640,15.0738,-24.24836,15.07381,-24.90371,178.03706692913386,-290.26812992125986
1660,14.41843,-24.90372,15.0738,-25.55907,174.1667125984252,-298.0086023622047
1680,13.76306,-25.55908,14.41843,-26.21444,166.4261220472441,-305.7491338582677
1700,13.76305,-26.21444,14.41842,-26.21444,166.4260039370079,-309.6193700787402
1720,13.76304,-26.21445,14.41842,-26.8698,166.42594488188976,-313.4896653543307
1740,13.10768,-27.52517,12.45229,-27.52517,150.94470472440946,-325.10043307086613
1760,9.83334,-28.18055,10.48616,-28.18053,119.9970472440945,-332.84102362204726
1780,9.83079,-27.52518,10.48617,-27.52517,119.9820472440945,-325.10049212598426
1800,10.48615,-27.52518,10.48617,-27.52518,123.85228346456694,-325.10055118110233
1820,9.83079,-28.18054,11.14153,-28.18053,123.85228346456694,-332.84096456692913
1840,9.83079,-28.18054,10.48616,-28.18053,119.98198818897637,-332.84096456692913
1860,9.83079,-28.18054,10.48616,-28.18053,119.98198818897637,-332.84096456692913
1880,9.83078,-28.18054,10.48616,-28.18053,119.98192913385826,-332.84096456692913
