T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.31071,0.0,0.65535000000001,-1.31072,11.610590551181161,-7.740472440944883
40,1.96606,-1.31072,1.96606,-3.2768,23.221181102362205,-27.091653543307086
60,2.62142,-3.2768,2.62142,-5.24288,30.96165354330709,-50.31307086614174
80,3.93214,-5.89824,3.93214,-8.51968,46.44259842519685,-85.1451968503937
100,3.93213,-8.51968,3.93213,-10.48576,46.44248031496063,-112.23685039370079
120,4.58748,-10.48576,3.27676,-10.48576,46.44236220472441,-123.84755905511813
140,3.27675,-9.8304,2.6214,-10.48575,34.831594488188976,-119.97726377952756
160,2.62139,-9.83039,1.31068,-11.14111,23.220885826771653,-123.84744094488188
180,1.96602,-9.17503,0.65532,-9.17502,15.480354330708662,-108.36643700787401
200,1.31067,-7.8643,0.65531,-7.86429,11.610118110236222,-92.88537401574804
220,0.65532,-6.55357,-3.9999999998486e-05,-8.51967,3.8697637795275677,-89.01519685039369
240,0.65532,-9.83041,-3.9999999998486e-05,-13.76259,3.8697637795275677,-139.32874015748033
260,-7.0000000000903e-05,-22.28237,-0.65547,-35.38988,-3.87129921259843,-340.5841535433071
280,-3.27681,-83.88729,-9.83008,-271.97693,-77.4028937007874,-2101.560354330709
300,20.31751,-290.32755,59.63954,-290.98069,472.1873031496063,-3432.9226771653543
320,81.9216,-290.32371,49.15327,-290.97907,774.0641929133859,-3432.890433070866
340,11.14221,-290.32371,1.96709,-290.97907,77.41712598425198,-3432.890433070866
360,11.1421,-290.32371,26.21557,-290.97907,220.61616141732284,-3432.890433070866
380,43.25533,-290.32371,54.39651,-290.97992,576.6840944881891,-3432.895452755906
400,36.04626,-290.32588,13.76396,-290.98194,294.1548425196851,-3432.920196850394
420,6.55539,-290.32688,3.27826,-290.98224,58.07273622047244,-3432.9278740157483
440,-3.93155,-279.84094,-16.38377,-236.58691,-119.9723622047244,-3049.770767716536
460,-24.24818,-193.9882,-32.11256,-154.66629,-332.83901574803156,-2058.9832086614174
480,-34.07869,-119.93196,-33.42338,-95.0281,-398.63427165354335,-1269.4491732283466
500,-30.14662,-76.02252,-29.49127,-64.88128,-352.19226377952754,-832.1090551181102
520,-26.86984,-55.70616,-26.86984,-49.80786,-317.3603149606299,-623.1142913385827
540,-25.55913,-43.2542,-24.90377,-39.32199,-298.0092519685039,-487.6546653543307
560,-22.93769,-34.07908,-23.59304,-31.45761,-274.7877755905512,-387.0276968503937
