T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-0.65536,-0.65536,-0.65536,-3.8702362204724414,-7.740472440944883
40,0.0,-0.65535,-0.65536,-0.65535,-3.8702362204724414,-7.740354330708661
60,0.0,-1.31071,-0.65536,-0.65535,-3.8702362204724414,-11.610590551181103
80,0.0,-1.31071,-0.65536,-1.96607,-3.8702362204724414,-19.351062992125986
100,0.65536,-1.96606,0.0,-1.96607,3.8702362204724414,-23.221240157480317
120,1.0000000003174e-05,-1.96606,0.0,-2.62143,5.9055118128980315e-05,-27.091476377952755
140,0.65537,-3.27679,0.65538,-2.62143,7.740649606299213,-34.83200787401575
160,1.31075,-3.27679,1.31075,-2.62143,15.481299212598426,-34.83200787401575
180,2.62148,-3.27679,2.62149,-3.27679,30.962421259842518,-38.702244094488194
200,3.93223,-3.27679,3.27687,-2.62143,42.573425196850394,-34.83200787401575
220,4.5876,-3.27679,3.93224,-3.27679,50.3140157480315,-38.702244094488194
240,4.58761,-3.27679,3.93224,-3.93215,50.31407480314961,-42.57248031496063
260,4.5876,-3.93215,3.93224,-3.93216,50.3140157480315,-46.44277559055118
280,4.5876,-5.24287,3.93224,-4.58752,50.3140157480315,-58.053484251968506
300,4.5876,-5.24287,5.24296,-5.24288,58.05448818897638,-61.92372047244094
320,7.2091,-5.24287,7.2091,-5.89824,85.14685039370079,-65.7939566929134
340,7.20909,-5.89824,6.55374,-5.24288,81.27655511811024,-65.7940157480315
360,6.55374,-4.58751,6.55374,-4.58752,77.40637795275592,-54.18324803149606
380,7.2091,-3.93215,5.89838,-4.58672,77.40637795275592,-50.3082874015748
400,7.20911,-5.24287,6.55374,-5.24287,81.27667322834645,-61.92366141732283
420,7.2091,-5.89822,5.89838,-6.55358,77.40637795275592,-73.53425196850394
440,6.55374,-6.55357,5.89838,-6.55357,73.53614173228347,-77.40437007874016
460,6.55374,-7.20894,5.24302,-7.20894,69.66590551181103,-85.14496062992126
480,6.55375,-7.8643,14.41819,-5.89823,123.85003937007875,-81.27478346456694
500,20.97195,-7.20895,20.31659,-7.86433,243.82996062992126,-89.01543307086615
520,19.00586,-6.55361,18.35051,-5.89826,220.6084842519685,-73.53466535433071
540,19.00588,-6.55362,18.35051,-7.20899,220.60860236220472,-81.2752559055118
560,18.3505,-6.55362,17.69513,-7.20899,212.86789370078742,-81.2752559055118
580,18.3505,-7.86434,17.69512,-7.86434,212.8678346456693,-92.88590551181103
600,17.69512,-8.5197,16.38439,-9.17506,201.25694881889763,-104.49661417322837
620,16.38439,-9.17505,15.07365,-9.17506,185.77582677165356,-108.36679133858269
640,15.07364,-9.17506,13.76291,-9.83041,170.29458661417323,-112.23702755905512
660,13.10754,-10.48577,12.45216,-11.14113,150.94311023622046,-127.71791338582678
680,12.45217,-11.14113,11.79679,-11.79649,143.20251968503936,-135.45838582677166
700,11.79679,-12.45185,11.14142,-12.45185,135.46187007874016,-147.069094488189
720,11.79678,-12.45185,11.14141,-11.79649,135.46175196850393,-143.19885826771653
740,19.6612,-10.48579,32.11326,-9.83044,305.7546850393701,-119.97773622047245
760,34.73481,-10.48579,32.7687,-9.83044,398.64277559055125,-119.97773622047245
780,33.42406,-9.17507,32.76869,-9.17508,390.9020669291338,-108.36702755905512
800,33.42404,-9.17508,32.76867,-9.17507,390.90183070866146,-108.36702755905512
820,33.42403,-9.83043,32.76865,-9.83042,390.9016535433071,-116.10738188976379
840,33.42401,-10.48579,32.76864,-10.48578,390.90147637795275,-123.84785433070866
860,33.424,-11.14114,32.76864,-11.14114,390.9014173228346,-131.58826771653543
