T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-9.9999999960687e-06,0.0,0.0,0.0,-5.905511808701989e-05
40,0.0,-9.9999999960687e-06,0.65536,-9.9999999960687e-06,3.8702362204724414,-0.00011811023617403978
60,0.65536,-9.9999999960687e-06,-1.0000000003174e-05,-9.9999999960687e-06,3.8701771653543116,-0.00011811023617403978
80,-1.0000000003174e-05,-9.9999999960687e-06,0.65535,0.65535,3.8701181102362017,3.870118110236243
100,-1.0000000003174e-05,0.65535000000001,-1.9999999999243e-05,0.65536,-0.00017716535434498227,7.740413385826831
120,-1.0000000003174e-05,0.65536,-1.0000000003174e-05,1.31072,-0.00011811023625796063,11.610708661417323
140,-1.9999999999243e-05,0.65536,-1.0000000003174e-05,1.31072,-0.00017716535434498227,11.610708661417323
160,-1.9999999999243e-05,1.31072,-1.0000000003174e-05,1.31073,-0.00017716535434498227,15.481003937007873
180,-1.0000000003174e-05,1.96609,-1.0000000003174e-05,1.96609,-0.00011811023625796063,23.221535433070866
200,-1.0000000003174e-05,1.9661,-1.0000000003174e-05,1.9661,-0.00011811023625796063,23.221653543307088
220,-0.65537,1.31074,-1.0000000003174e-05,1.96609,-3.8703543307086803,19.351358267716535
240,-0.65537,1.9661,-0.65536,2.62146,-7.740531496062992,27.091889763779527
260,-0.65537,1.9661,-0.65537,2.62146,-7.740590551181103,27.091889763779527
280,-0.65536,2.62147,-1.31072,2.62146,-11.610708661417323,30.96218503937008
300,-1.31072,1.96611,-1.31072,3.27683,-15.480944881889766,30.962244094488188
320,-1.31072,2.62148,-1.31072,3.27683,-15.480944881889766,34.83253937007874
340,-1.31072,2.62148,-1.96607,3.27684,-19.351122047244097,34.83259842519685
360,-1.96608,3.27684,-1.96608,3.27684,-23.221417322834647,38.70283464566929
380,-1.96608,3.27684,-1.96607,3.9322,-23.221358267716536,42.573070866141734
400,-1.96607,3.27684,-1.96607,3.27684,-23.221299212598424,38.70283464566929
420,-1.96607,3.27684,-1.96607,3.9322,-23.221299212598424,42.573070866141734
440,-1.96607,3.27684,-1.96607,3.27683,-23.221299212598424,38.702775590551184
460,-1.96607,2.62147,-2.62143,3.27683,-27.09153543307087,34.83248031496063
480,-2.62142,3.9322,-1.96605,4.58757,-27.091358267716533,50.31360236220473
500,-2.62141,4.58757,-2.62141,5.24294,-30.961535433070868,58.05419291338583
520,-1.96605,5.24294,-2.6214,5.24294,-27.091240157480314,61.924488188976376
540,-1.96604,5.24294,-1.96604,5.8983,-23.220944881889764,65.79472440944882
560,-1.96604,5.8983,-1.96604,5.24294,-23.220944881889764,65.79472440944882
580,-1.96604,5.89831,-2.6214,5.8983,-27.091181102362206,69.66501968503938
600,-2.6214,5.89831,-2.6214,6.55367,-30.961417322834645,73.53531496062993
620,-2.6214,5.89831,-3.27675,6.55367,-34.831594488188976,73.53531496062993
640,-3.27675,6.55367,-3.27675,7.20903,-38.701771653543304,81.2757874015748
660,-3.27676,7.20904,-3.27675,7.20903,-38.70183070866142,85.14608267716535
680,-3.93211,7.20903,-3.93211,7.20903,-46.442244094488196,85.14602362204725
700,-3.27675,6.55367,-3.27674,7.20903,-38.701712598425196,81.2757874015748
