T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,9.9999999960687e-06,0.65536,0.0,-0.65537,5.905511808701989e-05,-5.905511810996746e-05
40,9.9999999960687e-06,0.65535000000001,0.0,-9.9999999960687e-06,5.905511808701989e-05,3.870118110236302
60,9.9999999960687e-06,0.65535000000001,-0.65536,-9.9999999960687e-06,-3.870177165354354,3.870118110236302
80,0.0,1.31071,-0.65536,0.65535,-3.8702362204724414,11.610590551181103
100,-0.65536,1.96608,-0.65536,0.65536,-7.740472440944883,15.480944881889766
120,-0.65536,1.96608,-0.65536,0.65536,-7.740472440944883,15.480944881889766
140,-0.65536,1.31072,-0.65537,0.0,-7.740531496062992,7.740472440944883
160,-0.65536,1.31072,-0.65537,0.0,-7.740531496062992,7.740472440944883
180,-0.65537,1.31072,-0.65537,0.65536,-7.740590551181103,11.610708661417323
200,-1.31073,1.31072,-0.65537,0.65536,-11.610826771653544,11.610708661417323
220,-0.65536,1.31072,-0.65537,0.65536,-7.740531496062992,11.610708661417323
240,-0.65536,1.31072,-0.65537,0.0,-7.740531496062992,7.740472440944883
260,-0.65537,1.31072,-0.65538,0.0,-7.740649606299213,7.740472440944883
280,-0.65537,0.65536,-0.65538,0.0,-7.740649606299213,3.8702362204724414
300,-1.31073,1.31073,-1.31074,0.65537,-15.481122047244094,11.610826771653544
320,-1.31073,1.96609,-1.9661,1.31073,-19.351358267716535,19.351299212598423
340,-1.31074,2.62146,-1.31074,1.9661,-15.481181102362205,27.091889763779527
360,-1.31074,3.27683,-1.31074,2.62146,-15.481181102362205,34.83242125984252
380,-1.96609,3.93219,-1.9661,3.27683,-23.221594488188977,42.57295275590551
400,-1.96608,4.58756,-1.96608,3.93219,-23.221417322834647,50.313484251968504
420,-1.96608,5.24292,-1.96609,4.58756,-23.221476377952758,58.054015748031496
440,-2.62144,5.24292,-1.96608,4.58756,-27.091653543307086,58.054015748031496
460,-2.62144,5.24292,-4.58755,5.24293,-42.57277559055118,61.924311023622046
480,-8.51976,6.55367,-7.86438,6.55366,-96.75673228346456,77.40549212598427
500,-7.86436,8.51976,-8.51973,7.86441,-96.75643700787403,96.7569094488189
520,-8.51974,9.17513,-8.51974,7.20904,-100.62685039370079,96.75690944881889
540,-9.17509,7.86441,-9.17509,7.20905,-108.36720472440946,89.01649606299213
560,-9.1751,7.86441,-9.1751,7.20904,-108.36732283464568,89.01643700787403
580,-9.1751,7.8644,-8.51974,6.55367,-104.49708661417323,85.14608267716535
600,-9.17511,7.20903,-8.51975,5.8983,-104.49720472440944,77.40549212598427
620,-9.1751,7.20903,-8.51974,6.55366,-104.49708661417323,81.27572834645669
640,-9.1751,7.86439,-9.17511,7.20903,-108.36738188976379,89.01625984251969
660,-8.51975,8.51975,-8.51974,7.86439,-100.6269094488189,96.75673228346459
680,-8.51974,7.86438,-8.51975,6.55366,-100.6269094488189,85.14590551181102
