T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
40,0.65535,0.65536,1.0000000003174e-05,-0.65535999999999,3.8702362204724596,5.966356018162751e-14
60,0.0,0.65536,0.0,0.0,0.0,3.8702362204724414
80,0.65536,0.65535,1.0000000003174e-05,0.0,3.8702952755905704,3.8701771653543307
100,0.65536,0.65536,1.0000000003174e-05,-0.65537,3.8702952755905704,-5.905511810996746e-05
120,0.65536,0.65535,-0.65535,-0.65537,5.9055118110623105e-05,-0.00011811023622059054
140,0.0,-9.9999999960687e-06,-1.31071,-0.65537,-7.7404133858267725,-3.8703543307086377
160,-0.65536,-9.9999999960687e-06,-1.31071,-0.65537,-11.610649606299212,-3.8703543307086377
180,-0.65535,-9.9999999960687e-06,-1.31071,-1.31074,-11.610590551181103,-7.74064960629919
200,-1.31071,-9.9999999960687e-06,-1.31071,-1.31074,-15.480826771653545,-7.74064960629919
220,-0.65535,-9.9999999960687e-06,-1.31071,-0.65537,-11.610590551181103,-3.8703543307086377
240,-1.31071,-1.9999999999243e-05,-1.96607,-1.9999999999243e-05,-19.351062992125986,-0.00023622047243200396
260,-1.31071,0.65535,-1.96606,-1.9999999999243e-05,-19.351003937007874,3.870059055118115
280,-1.96607,0.65534,-1.96606,-1.9999999999243e-05,-23.221240157480317,3.870000000000005
300,-1.3107,0.65533,-2.62141,-1.9999999999243e-05,-23.221122047244098,3.8699409448818933
320,-1.96606,0.65533,-2.62141,0.65534,-27.091358267716533,7.740177165354331
340,-1.96606,0.65534,-2.62142,0.65534,-27.091417322834648,7.7402362204724415
360,-1.96606,1.31069,-1.96605,0.65534,-23.221122047244098,11.61041338582677
380,-1.96606,1.31069,-2.62141,0.65533000000001,-27.091358267716533,11.610354330708718
400,-1.96605,1.31069,-3.27676,0.65533000000001,-30.96147637795276,11.610354330708718
420,-2.62141,1.31069,-2.62141,0.65533000000001,-30.961535433070868,11.610354330708718
440,-2.62141,1.31069,-2.6214,0.65533000000001,-30.96147637795276,11.610354330708718
460,-2.62141,1.31069,-3.27676,0.65532,-34.8317125984252,11.610295275590552
480,-2.62141,1.31068,-3.93212,0.65533000000001,-38.70194881889764,11.61029527559061
500,-3.27676,1.31068,-3.93212,1.31068,-42.57212598425197,15.480472440944883
520,-3.93212,1.96604,-3.93211,1.31068,-46.4423031496063,19.350708661417325
540,-3.27676,1.96604,-3.93211,1.31068,-42.57206692913386,19.350708661417325
560,-2.6214,1.96604,-2.6214,1.31068,-30.961417322834645,19.350708661417325
580,-1.31069,1.96604,-1.3107,1.31069,-15.480649606299213,19.350767716535433
600,-0.65534,1.96604,-0.65535,1.31069,-7.740295275590552,19.350767716535433
620,1.0000000003174e-05,1.96604,-0.65535,0.65532,-3.8701181102362017,15.480472440944883
640,0.65536,1.96604,1.0000000003174e-05,1.31069,3.8702952755905704,19.350767716535433
660,0.65536,1.96604,0.65536,1.96604,7.740472440944883,23.220944881889764
680,1.31072,2.6214,1.31072,1.96604,15.480944881889766,27.091181102362206
700,1.31071,2.6214,1.31072,1.96604,15.480885826771654,27.091181102362206
720,1.96607,2.6214,1.31327,1.96604,19.366181102362205,27.091181102362206
740,1.96607,2.6214,1.31071,1.96604,19.351062992125986,27.091181102362206
760,1.96606,2.6214,1.96607,1.96604,23.221240157480317,27.091181102362206
780,2.62142,2.6214,1.96606,1.96603,27.091417322834648,27.0911220472441
800,2.62141,2.6214,1.96606,1.96603,27.091358267716533,27.0911220472441
820,2.62141,2.62139,1.96606,1.96604,27.091358267716533,27.0911220472441
840,1.96605,2.62139,1.96605,1.96603,23.221062992125987,27.091062992125984
860,1.96605,2.62139,1.31069,1.96603,19.350826771653544,27.091062992125984
880,1.96605,2.62139,0.65533,1.96603,15.480590551181102,27.091062992125984
900,0.65533,2.62139,-3.0000000002417e-05,1.31067,3.8698818897637652,23.22082677165354
920,-3.9999999998486e-05,1.96603,-0.65539,1.31067,-3.870649606299203,19.350590551181103
940,-3.9999999998486e-05,1.96603,-0.65539,1.31067,-3.870649606299203,19.350590551181103
960,-0.6554,1.96603,-1.31075,1.31067,-11.611122047244095,19.350590551181103
980,-1.31076,1.96603,-1.96612,1.31067,-19.351653543307087,19.350590551181103
1000,-1.96612,1.96603,-2.62148,1.31067,-27.09212598425197,19.350590551181103
1020,-3.27684,1.96603,-3.93221,1.31067,-42.57312992125985,19.350590551181103
1040,-4.58759,1.31067,-6.55368,0.65531,-65.79490157480315,11.610118110236222
1060,-7.86442,0.65532,-9.83051,-0.6554,-104.49761811023622,-0.0004724409448817066
1080,-11.14126,-0.6554,-13.76271,-1.96611,-147.07068897637797,-15.481358267716535
1100,-14.41811,-1.31075,-17.03956,-2.62147,-185.77364173228347,-23.221771653543307
1120,-17.69494,-1.96611,-19.66103,-3.27682,-220.6061220472441,-30.96218503937008
1140,-20.31641,-2.62146,-21.62713,-3.27682,-247.69807086614173,-34.83236220472441
1160,-22.28251,-2.62053,-22.93786,-3.27681,-267.04942913385827,-34.82681102362205
1180,-22.28252,-2.62145,-23.59322,-3.93216,-270.9197244094488,-38.702421259842524
1200,-23.59323,-3.93216,-24.24858,-4.58751,-282.53037401574807,-50.31301181102362
1220,-23.59322,-3.93214,-24.24856,-4.5875,-282.53019685039374,-50.3128346456693
1240,-24.24856,-4.58749,-24.9039,-5.8982,-290.27043307086615,-61.92336614173229
1260,-19.66093,-5.89819,-21.62696,-7.2089,-243.8261220472441,-77.40407480314961
1280,-22.93768,-7.2089,-23.59304,-7.86425,-274.7877165354331,-89.01466535433072
1300,-24.24839,-7.86424,-25.5591,-8.5196,-294.138720472441,-96.75496062992126
1320,-25.5591,-8.5196,-26.21445,-9.17495,-305.74931102362206,-104.49537401574803
