T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,-0.65537,-9.9999999960687e-06,0.0,-5.905511808701989e-05,-3.8702952755905513
40,0.0,-0.65537,0.0,-0.65535999999999,0.0,-7.740531496062933
60,-0.65535999999999,-1.31073,-0.65537,-0.65535999999999,-7.740531496062933,-11.610767716535374
80,-0.65535999999999,-1.31073,-0.65535999999999,-0.65535999999999,-7.740472440944764,-11.610767716535374
100,-0.65535999999999,-1.31073,-0.65537,-1.31072,-7.740531496062933,-15.481003937007873
120,-1.31072,-1.96609,-1.31072,-1.31072,-15.480944881889766,-19.351240157480316
140,-1.31072,-1.31073,-1.31072,-0.65535999999999,-15.480944881889766,-11.610767716535374
160,-1.31072,-1.31072,-1.31071,-1.31072,-15.480885826771654,-15.480944881889766
180,-1.31072,-1.31072,-1.96607,-0.65535,-19.351122047244097,-11.610649606299212
200,-1.96607,-0.65536,-1.96607,-0.65535,-23.221299212598424,-7.7404133858267725
220,-1.31071,-1.31072,-1.96607,-1.31071,-19.351062992125986,-15.480885826771654
240,-1.96607,-1.31072,-1.96607,-0.65535,-23.221299212598424,-11.610649606299212
260,-1.96606,-1.31072,-1.96607,-0.65535,-23.221240157480317,-11.610649606299212
280,-1.96606,-1.31072,-1.96607,-0.65535,-23.221240157480317,-11.610649606299212
300,-1.96606,-1.31072,-1.96606,-1.31071,-23.221181102362205,-15.480885826771654
320,-1.96606,-1.96608,-1.96606,-0.65535,-23.221181102362205,-15.480885826771654
340,-2.62142,-1.31072,-1.96606,-1.31071,-27.091417322834648,-15.480885826771654
360,-1.96606,-1.31072,-1.96605,-1.31072,-23.221122047244098,-15.480944881889766
380,-3.27677,-1.31072,-1.96605,-0.65535,-30.961535433070868,-11.610649606299212
400,-2.62141,-1.31072,-3.27678,-0.65535,-34.831830708661414,-11.610649606299212
420,-3.27677,-1.31072,1.3108,-1.31071,-11.61005905511811,-15.480885826771654
440,5.24304,-2.62144,6.55379,-1.96607,69.6663188976378,-27.091594488188978
460,5.89843,-1.96608,6.55379,-1.31071,73.53673228346457,-19.351122047244097
480,6.55379,-0.65534,6.55379,3.0000000002417e-05,77.40696850393701,-3.869940944881876
500,6.55379,-0.65535,6.5538,2.0000000006348e-05,77.40702755905512,-3.8700590551180727
520,5.89844,1.9999999999243e-05,5.89844,0.65539,69.66661417322835,3.8705314960629873
540,5.89844,1.9999999999243e-05,5.89844,0.65539,69.66661417322835,3.8705314960629873
560,5.89844,1.9999999999243e-05,5.24308,0.65539,65.7963779527559,3.8705314960629873
580,5.24309,1.9999999999243e-05,5.89844,0.65539,65.79643700787402,3.8705314960629873
600,5.89845,1.9999999999243e-05,5.89844,3.0000000002417e-05,69.66667322834647,0.00029527559056098424
620,5.89845,-0.65534,6.5538,2.0000000006348e-05,73.53690944881889,-3.8699999999999624
640,6.5538,-0.65534,7.20916,-0.65534,81.27732283464567,-7.7402362204724415
660,11.14138,-1.96607,13.1075,-1.31071,143.2020472440945,-19.351062992125986
680,12.45214,-1.31071,12.45213,2.0000000006348e-05,147.07246062992127,-7.740295275590515
700,13.10749,1.9999999999243e-05,12.45213,3.0000000002417e-05,150.9426377952756,0.00029527559056098424
720,12.45213,-0.65535,12.45213,2.0000000006348e-05,147.07240157480317,-3.8700590551180727
740,12.45213,-1.31071,13.10749,-0.65534,150.9426377952756,-11.610531496062993
760,13.1075,-1.96607,13.1075,-0.65535,154.81299212598427,-15.480826771653545
780,13.10751,-1.96607,13.76287,-1.3107,158.68334645669293,-19.351003937007874
800,13.76288,-1.96607,-59.63744,-1.3107,-270.91275590551186,-19.351003937007874
820,13.76289,-1.96607,13.76289,-1.3107,162.5538188976378,-19.351003937007874
840,13.76289,-1.3107,13.76289,-1.3107,162.5538188976378,-15.480708661417323
860,13.76289,-1.96606,13.76289,-1.31069,162.5538188976378,-19.350885826771652
880,14.41825,-1.96606,13.76288,-1.3107,166.42399606299213,-19.350944881889763
900,13.76289,-1.96607,13.76289,-1.96606,162.5538188976378,-23.221240157480317
920,13.76289,-2.62143,13.76289,-1.96606,162.5538188976378,-27.091476377952755
940,13.76289,-1.96607,13.76289,-1.96606,162.5538188976378,-23.221240157480317
960,13.7629,-3.27679,16.38439,-2.62141,178.03517716535436,-34.83188976377953
