T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,9.9999999960687e-06,-1.0000000003174e-05,-0.65535,-0.65537,-3.870118110236243,-3.8703543307086803
40,-0.65535,-1.0000000003174e-05,-0.65534,-0.65537,-7.740295275590552,-3.8703543307086803
60,-0.65534,0.65535,-0.65533,0.65535000000001,-7.740177165354331,7.740354330708721
80,-1.31069,1.96608,-1.31069,1.96608,-15.480590551181102,23.221417322834647
100,-1.31069,2.62144,-1.96605,1.96608,-19.350826771653544,27.091653543307086
120,-1.96605,2.62144,-2.6214,1.96608,-27.091240157480314,27.091653543307086
140,-2.62141,2.62143,-2.6214,2.62144,-30.96147637795276,30.961830708661417
160,-1.96605,3.27679,-1.96604,2.62143,-23.221003937007875,34.83200787401575
180,-1.96605,2.62142,-1.96604,1.96606,-23.221003937007875,27.091417322834648
200,-1.31069,1.96605,-1.96605,1.96605,-19.350826771653544,23.221062992125987
220,-1.96604,1.96605,-1.96604,1.31069,-23.220944881889764,19.350826771653544
240,-1.96604,1.31068,-2.6214,1.31068,-27.091181102362206,15.480472440944883
260,-2.62141,1.31067,-3.27676,0.65532,-34.8317125984252,11.610177165354331
280,-3.27676,1.31067,-2.6214,-4.9999999994554e-05,-34.831653543307084,7.7398818897638115
300,-2.6214,0.65531,-3.27676,0.65531,-34.831653543307084,7.7398818897637796
320,-3.27677,0.65531,-3.93212,0.65531,-42.57218503937008,7.7398818897637796
340,-3.27677,1.96603,-3.93212,1.96604,-42.57218503937008,23.220885826771653
360,-3.27677,3.27675,-3.93212,2.62139,-42.57218503937008,34.83153543307087
380,-3.93212,3.27675,-3.93212,3.27675,-46.44236220472441,38.701771653543304
400,-3.93212,3.93211,-1.96602,3.27675,-34.83153543307087,42.572007874015746
420,5.89842,5.24283,14.41824,6.55355,119.98027559055117,69.66366141732283
440,17.03973,7.2089,15.72901,6.55355,193.51618110236222,81.27431102362206
460,16.38437,7.86428,15.72901,7.86428,189.64594488188976,92.8851968503937
480,16.38437,9.175,15.72901,9.17501,189.64594488188976,108.36620078740158
500,16.38437,10.48573,15.72901,10.48573,189.64594488188976,123.84720472440945
520,15.72901,11.14109,15.72902,11.79646,185.77576771653546,135.4579724409449
540,15.72902,13.10719,15.07366,13.76255,181.9055905511811,158.67956692913387
560,15.07366,14.41791,15.07367,14.41791,178.03541338582679,170.29027559055118
580,15.07366,15.07327,15.07367,15.07328,178.03541338582679,178.03080708661417
600,15.07367,16.384,15.07368,17.03937,178.035531496063,197.38210629921264
620,15.07367,18.35009,15.07368,19.00546,178.035531496063,220.60364173228348
640,15.07367,20.31618,14.41832,20.31619,174.16529527559055,239.9549409448819
660,14.41831,22.28227,14.41831,22.28228,170.29500000000002,263.1764763779527
680,14.41832,23.593,14.41832,23.59301,170.29511811023622,278.6575393700788
700,14.41831,25.55909,13.76296,25.55911,166.42482283464568,301.8791338582677
720,14.41832,26.21446,14.41832,26.86983,170.29511811023622,313.4899015748032
740,13.76295,28.18054,1.96634,28.18056,92.88950787401575,332.84114173228346
760,-13.76254,26.86987,-22.93773,26.86989,-216.73387795275593,317.3607874015748
780,-22.28239,28.83599,-22.28238,30.14672,-263.1777755905512,348.3230905511811
800,-22.28239,30.80208,-22.28239,29.49135,-263.1778346456693,356.063562992126
820,-21.62703,28.83597,-21.62702,28.83597,-255.43730314960635,340.58232283464565
840,-21.62703,28.83596,-21.62703,28.1806,-255.43736220472442,336.711968503937
860,-21.62704,27.52523,-21.62704,26.86986,-255.43748031496065,321.2308464566929
880,-21.62704,26.86986,-21.62704,26.2145,-255.43748031496065,313.4903149606299
900,-21.62704,26.86985,-22.2824,26.86986,-259.30771653543303,317.36049212598425
920,-22.2824,26.21449,-22.2824,25.55914,-263.1779527559055,305.7497834645669
940,-21.62704,25.55913,-21.62703,24.90377,-255.43742125984252,298.0092519685039
960,-21.62703,24.90376,-21.62703,24.24841,-255.43736220472442,290.2687204724409
980,-21.62703,24.2484,-21.62702,23.59304,-255.43730314960635,282.528188976378
1000,-22.28238,23.59304,-22.28238,22.28231,-263.1777165354331,270.9174212598425
1020,-22.28238,22.93767,-22.93774,22.28231,-267.04795275590556,267.047125984252
1040,-23.59311,22.28231,-22.93774,22.28231,-274.7884842519685,263.1768897637795
1060,-22.93774,23.59302,-23.5931,22.93767,-274.78842519685037,274.7875393700788
1080,-23.59311,23.59303,-24.24846,22.93767,-282.52895669291337,274.7875984251969
1100,-24.24847,23.59302,-24.90382,23.59301,-290.2694291338583,278.657657480315
1120,-25.55919,24.24837,-24.90382,23.59301,-298.00990157480317,282.5278346456693
1140,-24.90383,24.90372,-25.55918,24.24837,-298.00990157480317,290.26824803149606
1160,-25.55919,24.24835,-25.55919,23.59299,-301.8801968503937,282.52759842519686
1180,-25.55919,23.59299,-26.21454,23.59299,-305.75037401574804,278.65736220472445
1200,-26.86991,24.24835,-26.8699,23.59299,-317.36108267716537,282.52759842519686
1220,-26.21455,24.24835,-26.8699,23.59299,-313.4908464566929,282.52759842519686
1240,-26.21455,24.90371,-26.86991,24.24835,-313.49090551181104,290.2680708661417
1260,-26.86991,24.24835,-26.86991,23.59299,-317.3611417322835,282.52759842519686
1280,-27.52527,24.24834,-26.8699,23.59298,-321.23131889763783,282.52748031496066
1300,-28.18064,24.90371,-32.11286,27.52519,-356.06397637795277,309.6194881889764
1320,-34.73433,28.18057,-34.73432,26.86985,-410.2479330708661,325.10090551181105
