T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.0000000003174e-05,-0.65536,-0.65536,0.0,-3.8702952755905704,-3.8702362204724414
40,-1.0000000003174e-05,-0.65535,-1.0000000003174e-05,-9.9999999960687e-06,-0.00011811023625796063,-3.870236220472417
60,-1.9999999999243e-05,9.9999999960687e-06,-0.65538,-9.9999999960687e-06,-3.8704724409448774,0.0
80,-0.65538,9.9999999960687e-06,-0.65538,-9.9999999960687e-06,-7.740708661417322,0.0
100,-0.65538,0.0,-1.31074,-9.9999999960687e-06,-11.610944881889765,-5.905511808701989e-05
120,-1.31074,0.0,-1.31074,0.65535,-15.481181102362205,3.8701771653543307
140,-1.31074,0.0,-1.31074,0.65535,-15.481181102362205,3.8701771653543307
160,-1.31074,0.0,-1.9661,0.65535,-19.351417322834646,3.8701771653543307
180,-1.31074,9.9999999960687e-06,-1.96609,0.65535,-19.351358267716535,3.870236220472417
200,-1.31074,0.0,-1.96609,0.65535,-19.351358267716535,3.8701771653543307
220,-1.31074,0.0,-1.31073,-9.9999999960687e-06,-15.481122047244094,-5.905511808701989e-05
240,-1.31074,0.0,-1.9661,-9.9999999960687e-06,-19.351417322834646,-5.905511808701989e-05
260,-1.9661,0.0,-2.62146,0.65535,-27.091889763779527,3.8701771653543307
280,-2.62146,0.65536,-3.27675,3.93215,-34.83194881889764,27.091594488188978
300,-1.31053,5.24287,-0.65514,5.89821,-11.608287401574804,65.79377952755905
320,-0.65517,5.24288,-0.65516,5.89823,-7.738169291338583,65.7939566929134
340,-0.65611,5.24288,-0.65516,5.89822,-7.743720472440945,65.79389763779528
360,-0.65517,5.24288,-0.65517,5.89822,-7.738228346456694,65.79389763779528
380,-0.65517,5.89822,-1.31053,5.89821,-11.608464566929134,69.66395669291339
400,-1.31053,5.89823,-1.31053,5.89821,-15.478700787401575,69.6640157480315
420,-0.65516,5.24286,-1.31052,5.89821,-11.608346456692914,65.79372047244094
440,-1.31052,5.24286,-1.31052,5.89821,-15.478582677165354,65.79372047244094
460,-0.65517,5.24286,-1.31053,5.89821,-11.608464566929134,65.79372047244094
480,-1.31053,5.24285,-1.31054,5.8982,-15.478759842519686,65.79360236220472
500,-1.31055,5.24286,-1.9659,5.89821,-19.349114173228347,65.79372047244094
520,-1.96591,5.24286,-1.96591,5.89821,-23.219409448818897,65.79372047244094
540,-1.96591,5.24286,-1.96591,5.89821,-23.219409448818897,65.79372047244094
560,-1.96591,5.24286,-1.96591,5.8982,-23.219409448818897,65.79366141732284
580,-1.31055,5.24286,-1.96591,5.8982,-19.34917322834646,65.79366141732284
600,-1.96591,5.24285,-1.96591,5.8982,-23.219409448818897,65.79360236220472
620,-1.96592,5.24286,-1.96592,5.8982,-23.219527559055116,65.79366141732284
640,-1.96592,5.24285,-1.96592,5.8982,-23.219527559055116,65.79360236220472
