T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,-0.65536,0.0,-0.65535999999999,3.8702362204724414,-7.740472440944823
40,0.65536,0.0,9.9999999960687e-06,-0.65535999999999,3.8702952755905278,-3.870236220472382
60,0.65536,0.0,0.0,0.0,3.8702362204724414,0.0
80,0.65535,-0.65537,0.0,-0.65535999999999,3.8701771653543307,-7.740531496062933
100,0.65536,-1.0000000003174e-05,0.65535999999999,-0.65535999999999,7.740472440944823,-3.87029527559051
120,0.65535,0.0,9.9999999960687e-06,-0.65535,3.870236220472417,-3.8701771653543307
140,1.31072,0.0,0.0,1.0000000003174e-05,7.740472440944883,5.9055118128980315e-05
160,0.65536,0.0,9.9999999960687e-06,1.0000000003174e-05,3.8702952755905278,5.9055118128980315e-05
180,0.65536,0.0,9.9999999960687e-06,1.0000000003174e-05,3.8702952755905278,5.9055118128980315e-05
200,0.65537,0.0,9.9999999960687e-06,0.0,3.8703543307086377,0.0
220,0.65537,0.65536,1.96613,1.9661,15.481299212598426,15.481062992125985
240,3.93223,2.62147,3.27688,2.62148,42.5734842519685,30.962303149606303
260,3.27687,3.27683,2.62151,3.27684,34.83295275590552,38.702775590551184
280,3.27687,3.93219,1.96616,3.93221,30.962775590551182,46.443307086614176
300,3.27687,4.58756,2.62152,4.58757,34.833011811023624,54.18383858267716
320,2.62152,4.58757,1.96616,4.58758,27.09259842519685,54.18395669291339
340,2.62152,5.24293,1.96617,5.24294,27.092657480314962,61.92442913385827
360,2.62152,5.89829,1.31081,5.89831,23.22242125984252,69.66496062992127
380,1.96617,6.55366,1.31081,6.55367,19.35224409448819,77.40549212598427
400,1.31081,6.55366,0.65544999999999,6.55367,11.611771653543247,77.40549212598427
420,1.31081,6.55366,0.65544999999999,7.20904,11.611771653543247,81.2757874015748
440,0.65546,7.20903,9.9999999996214e-05,7.20904,3.871417322834623,85.14608267716535
460,0.65545,7.86439,-0.65526000000001,7.8644,0.001122047244035619,92.88655511811024
480,9.9999999996214e-05,7.8644,-0.65526000000001,7.86441,-3.8690551181103165,92.88667322834645
500,9.9999999996214e-05,8.51976,-1.31061,8.51977,-7.73923228346459,100.62714566929134
520,-0.65526,8.51977,-1.31061,8.51977,-11.609468503937007,100.62720472440944
540,-0.65525,9.17513,-1.96597,9.17514,-15.47964566929134,108.36773622047244
560,-0.65525,9.17513,-1.31061,9.17514,-11.609409448818898,108.36773622047244
580,9.9999999996214e-05,9.17512,-0.65526000000001,8.51977,-3.8690551181103165,104.49738188976379
600,0.65546,9.17512,9.9999999996214e-05,8.51977,3.871417322834623,104.49738188976379
620,1.31081,9.17512,0.65546,9.17512,11.611830708661417,108.36755905511811
640,1.96617,8.51975,1.31082,9.17513,19.3523031496063,104.49732283464566
660,8.51985,11.1412,17.69503,11.79658,154.81228346456695,135.4593307086614
680,22.28261,11.79656,20.31652,11.79657,251.56966535433074,139.32950787401575
700,20.97187,12.45192,20.31652,12.45193,243.8290748031496,147.06998031496062
720,20.97187,13.10729,20.97187,12.45193,247.69925196850394,150.9402755905512
740,20.97187,12.45193,20.31651,12.45194,243.82901574803148,147.07009842519687
760,20.97187,12.45193,20.31651,12.45193,243.82901574803148,147.07003937007875
780,20.97186,12.45192,20.31651,12.45193,243.8289566929134,147.06998031496062
800,20.97187,12.45193,20.31651,12.45194,243.82901574803148,147.07009842519687
820,20.31651,12.45193,19.66115,12.45194,236.0885433070866,147.07009842519687
840,20.3165,12.45193,19.66115,12.45193,236.08848425196848,147.07003937007875
860,20.31651,12.45192,19.66115,11.79657,236.0885433070866,143.19974409448818
