T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.65535,1.0000000003174e-05,0.65536,5.9055118128980315e-05,7.7404133858267725
40,0.0,0.65535999999999,1.0000000003174e-05,0.0,5.9055118128980315e-05,3.870236220472382
60,0.0,0.65535999999999,1.0000000003174e-05,0.0,5.9055118128980315e-05,3.870236220472382
80,0.0,0.65535,1.0000000003174e-05,0.0,5.9055118128980315e-05,3.8701771653543307
100,0.0,0.65535,-0.65535,-9.9999999960687e-06,-3.8701771653543307,3.870118110236243
120,-0.65536,-1.0000000003174e-05,1.0000000003174e-05,-0.65537,-3.8701771653543116,-3.8703543307086803
140,-0.65536,-1.9999999999243e-05,-0.65535,-9.9999999960687e-06,-7.7404133858267725,-0.0001771653543030219
160,-0.65536,-1.9999999999243e-05,-0.65535999999999,-1.9999999999243e-05,-7.740472440944823,-0.00023622047243200396
180,-0.65536,-1.9999999999243e-05,-0.65535999999999,-1.9999999999243e-05,-7.740472440944823,-0.00023622047243200396
200,-0.65537,0.65534,-0.65535999999999,0.65535000000001,-7.740531496062933,7.74029527559061
220,-0.65538,-1.9999999999243e-05,-0.65537,-1.9999999999243e-05,-7.740649606299213,-0.00023622047243200396
240,-1.9999999999243e-05,-3.0000000002417e-05,-9.9999999960687e-06,-1.9999999999243e-05,-0.0001771653543030219,-0.00029527559056098424
260,-0.65538,-3.0000000002417e-05,-0.65537,-0.65539,-7.740649606299213,-3.8705905511811167
280,-1.9999999999243e-05,-0.65539,-0.65537,-0.65537999999999,-3.8704133858267675,-7.740767716535374
300,-1.9999999999243e-05,-3.0000000002417e-05,-9.9999999960687e-06,-0.65539,-0.0001771653543030219,-3.8705905511811167
320,-0.65538,-0.65539,-0.65537,-0.65539,-7.740649606299213,-7.740826771653544
340,-0.65538,-3.0000000002417e-05,-1.9999999999243e-05,-0.65539,-3.8704724409448774,-3.8705905511811167
360,-0.65538,-0.65539,-1.31073,-2.62147,-11.610885826771653,-19.351535433070868
380,-0.65538,-0.65539,-0.65537,-0.65539,-7.740649606299213,-7.740826771653544
400,-0.65538,-0.65539,-0.65537,-0.65539,-7.740649606299213,-7.740826771653544
420,-0.65538,-3.0000000002417e-05,-0.65537,-0.65537999999999,-7.740649606299213,-3.8705314960629473
440,-0.65538,-1.9999999999243e-05,-0.65537,-0.65537,-7.740649606299213,-3.8704133858267675
460,-0.65538,-1.9999999999243e-05,-0.65537,-9.9999999960687e-06,-7.740649606299213,-0.0001771653543030219
480,-0.65538,-1.0000000003174e-05,-0.65535999999999,-0.65537,-7.740590551181042,-3.8703543307086803
500,-0.65537,-1.9999999999243e-05,-1.31072,-0.65537,-11.610767716535433,-3.8704133858267675
520,-0.65537,-0.65537,-0.65535999999999,-0.65537,-7.740531496062933,-7.740590551181103
540,-0.65537,-0.65537,-0.65535999999999,-0.65535999999999,-7.740531496062933,-7.740531496062933
560,-0.65537,-0.65537,-1.31072,-0.65537,-11.610767716535433,-7.740590551181103
580,-1.31073,-1.0000000003174e-05,-1.31072,-0.65537,-15.481003937007873,-3.8703543307086803
600,-1.31073,-0.65537,-1.31072,-0.65537,-15.481003937007873,-7.740590551181103
620,0.6554,9.9999999960687e-06,1.31079,0.65538,11.611358267716536,3.8704133858267484
640,1.31078,1.31074,0.65542000000001,1.31075,11.611417322834704,15.481240157480316
660,1.31077,1.96611,0.65542000000001,1.96611,11.611358267716593,23.221771653543307
680,1.31077,2.62146,1.31078,1.31074,15.481594488188977,23.221653543307088
700,0.65541,1.9661,1.31078,1.9661,11.611358267716536,23.221653543307088
720,0.65541,2.62145,0.65542000000001,1.96609,7.741122047244153,27.091771653543308
740,0.65541,2.62145,0.65542000000001,1.96609,7.741122047244153,27.091771653543308
760,0.65541,2.62145,0.65542000000001,2.62145,7.741122047244153,30.962007874015747
780,0.65541,2.62145,0.65542000000001,2.62145,7.741122047244153,30.962007874015747
800,0.65541,2.62145,5.000000000166e-05,1.96609,3.8708267716535527,27.091771653543308
820,5.000000000166e-05,2.62144,5.000000000166e-05,1.96608,0.0005905511811219685,27.091653543307086
840,-0.65531,2.62144,-0.65531,1.96607,-7.7398818897637796,27.091594488188978
860,-0.65532,2.62143,-0.65531,1.96607,-7.73994094488189,27.09153543307087
880,-0.65532,2.62142,-0.65531,1.96606,-7.73994094488189,27.091417322834648
900,-0.65532,2.62141,-0.65531,1.96606,-7.73994094488189,27.091358267716533
920,-1.31067,2.62141,-0.65531,1.31068,-11.610118110236222,23.221003937007875
940,-1.31067,1.31067,-1.31066,1.31067,-15.480295275590551,15.480354330708662
960,-1.31067,1.31067,-1.96602,1.31067,-19.350531496062995,15.480354330708662
980,-1.96603,1.31066,-1.96602,0.6553,-23.220767716535434,11.61
1000,-1.96603,0.65529,-1.96602,0.65529,-23.220767716535434,7.739645669291339
1020,-2.6214,0.65527,-4.58753,-1.31082,-42.57242125984252,-3.8713582677165355
1040,-5.89828,-1.31082,-5.24291,-0.65546,-65.79442913385827,-11.611889763779528
1060,-4.58754,-0.65545,-5.2429,-1.31082,-58.05377952755905,-11.611830708661417
1080,-5.24291,-1.31082,-5.89825,-1.96621,-65.79425196850393,-19.35253937007874
1100,-5.89827,-1.31084,-5.89826,-2.62155,-69.66454724409449,-23.22277559055118
1120,-5.89826,-2.62157,-6.55361,-3.27693,-73.53466535433071,-34.83366141732284
1140,-6.55362,-3.27693,-5.89825,-3.9323,-73.53466535433071,-42.57419291338583
1160,-5.89826,-3.93231,-5.89826,-3.93231,-69.66448818897638,-46.4446062992126
1180,-6.55362,-3.93231,-5.89826,-4.58767,-73.53472440944881,-50.314842519685044
1200,-6.55362,-5.8984,-7.20898,-6.55376,-81.27519685039371,-73.5363779527559
1220,-5.89826,-5.24305,-5.89826,-5.89841,-69.66448818897638,-65.79602362204724
1240,-5.89826,-6.55377,-3.93215,-6.55377,-58.05360236220473,-77.40673228346456
1260,11.79665,-6.55374,20.97182,-8.51983,193.51458661417323,-89.01714566929134
1280,21.62719,-7.86448,19.6611,-7.20911,243.82848425196852,-89.01726377952755
1300,19.00573,-6.55299,19.00574,-5.89838,224.4771850393701,-73.5317125984252
1320,19.00573,-5.89839,18.35037,-6.55374,220.60688976377952,-73.53620078740158
1340,18.35036,-5.89839,18.35037,-6.55375,216.73659448818898,-73.53625984251968
1360,18.35035,-6.55375,18.35036,-6.55375,216.73647637795276,-77.40649606299213
1380,17.69499,-6.55375,17.695,-6.55375,208.99600393700786,-77.40649606299213
1400,17.69499,-6.55375,17.695,-7.20911,208.99600393700786,-81.27673228346457
1420,17.69499,-6.55375,17.695,-7.20911,208.99600393700786,-81.27673228346457
1440,17.69499,-6.55376,17.695,-6.55375,208.99600393700786,-77.40655511811023
1460,17.69499,-6.55376,17.69499,-6.55375,208.99594488188978,-77.40655511811023
1480,17.03963,-6.55375,17.03963,-6.55375,201.25547244094489,-77.40649606299213
1500,17.03962,-5.89839,16.38682,-6.55375,197.40023622047244,-73.53625984251968
1520,17.03962,-6.55375,16.38427,-6.55374,197.38517716535435,-77.40643700787402
1540,17.03962,-5.89839,16.38427,-6.55375,197.38517716535435,-73.53625984251968
1560,17.03962,-5.89839,17.03963,-7.20911,201.25541338582678,-77.40649606299213
1580,17.03962,-7.20912,17.03963,-7.86448,201.25541338582678,-89.01732283464568
1600,17.03962,-7.86448,16.38427,-8.51984,197.38517716535435,-96.75779527559057
1620,16.38426,-7.86449,16.38427,-8.51985,193.5149409448819,-96.75791338582678
1640,16.38426,-7.86449,16.38426,-8.51985,193.51488188976379,-96.75791338582678
1660,15.7289,-7.86449,15.7289,-8.51984,185.7744094488189,-96.75785433070865
1680,15.72889,-7.86449,15.7289,-8.51985,185.7743503937008,-96.75791338582678
1700,15.7289,-7.86449,15.7289,-7.86448,185.7744094488189,-92.88761811023622
1720,15.72889,-7.86449,15.7289,-8.51985,185.7743503937008,-96.75791338582678
1740,16.38424,-7.86449,15.72889,-7.86449,189.644468503937,-92.88767716535433
1760,15.72888,-7.20913,15.72889,-8.51985,185.77423228346458,-92.88767716535433
1780,15.72888,-7.86449,15.72889,-7.86449,185.77423228346458,-92.88767716535433
1800,15.07352,-7.20912,15.72889,-7.20912,181.90399606299212,-85.14708661417323
1820,15.07352,-6.55376,15.07353,-6.55375,178.0337598425197,-77.40655511811023
1840,15.07352,-5.24303,15.07353,-5.24301,178.0337598425197,-61.92543307086614
1860,14.41816,-4.58765,13.76281,-4.58764,166.42305118110235,-54.184783464566934
1880,13.7628,-3.93228,13.76281,-4.58763,162.55281496062992,-50.31442913385827
1900,14.41817,-3.27691,13.76281,-3.93226,166.42311023622048,-42.57383858267717
1920,13.7628,-3.2769,13.76281,-3.2769,162.55281496062992,-38.70354330708661
