T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65536,0.65537,0.0,0.65537,-3.8702362204724414,7.740590551181103
40,-0.65536,1.31074,-0.65536,1.31073,-7.740472440944883,15.481122047244094
60,-1.31072,2.62146,-0.65536,1.9661,-11.610708661417323,27.091889763779527
80,-1.31071,2.62146,-1.31072,2.62146,-15.480885826771654,30.96212598425197
100,-1.96607,2.62146,-1.31072,2.62146,-19.351122047244097,30.96212598425197
120,-1.96606,3.93218,-1.96607,3.27682,-23.221240157480317,42.57283464566929
140,-2.62141,3.93219,-2.62142,3.93218,-30.961594488188975,46.443129921259846
160,-3.27678,4.58755,-2.62142,5.24291,-34.83188976377953,58.05389763779528
180,-3.27677,5.89827,-2.62141,6.55363,-34.831771653543306,73.53484251968504
200,-3.27677,7.209,-2.62141,7.86436,-34.831771653543306,89.01590551181103
220,-3.27676,9.17509,-3.27676,9.17509,-38.701889763779526,108.36720472440946
240,-3.27675,10.48581,-2.6214,11.79653,-34.831594488188976,131.58862204724412
260,-3.27674,13.76262,-2.6214,15.07334,-34.83153543307087,170.29110236220473
280,-2.62139,17.03941,-1.31067,17.69477,-23.22082677165354,205.12311023622044
300,-1.31066,19.66085,-0.65531,20.31621,-11.61005905511811,236.085
320,-0.65531,21.62693,0.65541,22.28227,0.0005905511811029528,259.30629921259845
340,1.31077,22.28228,2.62148,22.28226,23.221948818897637,263.17641732283465
360,3.27684,22.28226,3.9322,22.28225,42.573070866141734,263.1762401574803
380,4.58756,22.93761,5.24291,22.93761,58.05395669291339,270.91665354330706
400,4.58756,24.24833,5.24291,23.59297,58.05395669291339,282.5273622047244
420,5.24292,23.59298,5.24291,22.93761,61.92419291338583,274.7869488188976
440,4.58756,22.93762,5.24291,22.28225,58.05395669291339,267.0464763779528
460,3.93219,22.28226,4.58755,21.62689,50.313425196850396,259.30600393700786
480,3.9322,21.62691,3.9322,21.62691,46.443307086614176,255.43594488188975
500,3.27685,21.62691,3.9322,20.97155,42.57312992125985,251.56570866141735
520,3.27685,20.97155,3.27684,20.31619,38.7028937007874,243.82523622047245
540,3.27685,20.3162,3.93221,20.31619,42.573188976377956,239.9550590551181
560,2.6215,20.97156,2.62149,20.3162,30.962539370078744,243.82535433070865
580,1.96613,20.3162,8.51989,21.62691,61.92531496062992,247.69553149606298
600,19.00609,21.62693,22.28307,20.97157,243.83362204724412,251.56594488188978
620,20.97233,22.28231,20.31696,22.93767,243.83438976377954,267.047125984252
640,19.66162,24.24841,20.31698,24.24842,236.09409448818897,286.39860236220477
660,19.00627,25.55916,20.31699,24.9038,232.22397637795274,298.00960629921263
680,19.00627,26.21453,19.00627,26.21453,224.4835039370079,309.62043307086617
700,18.35092,26.86991,18.35092,26.86991,216.7431496062992,317.3611417322835
720,17.69557,27.52528,17.69557,27.52528,209.00279527559056,325.10173228346457
