T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1.31072,0.65538,-1.31072,0.65537,-15.480944881889766,7.740649606299213
40,-1.96608,1.31075,-1.96608,1.31076,-23.221417322834647,15.481358267716535
60,-2.62144,1.96613,-2.62145,2.62149,-30.96194881889764,27.09224409448819
80,-3.93218,1.96614,-3.93219,2.6215,-46.443129921259846,27.092362204724413
100,-4.58755,3.27687,-4.58757,3.27687,-54.183779527559054,38.70318897637796
120,-5.24293,3.27687,-4.58759,3.93223,-58.05425196850394,42.573425196850394
140,-5.24295,3.93223,-4.58761,3.93223,-58.05448818897638,46.443661417322836
160,-5.24297,3.93223,-4.58761,4.58759,-58.054606299212594,50.31389763779527
180,-5.24298,4.5876,-5.24298,4.58759,-61.924960629921266,54.18419291338583
200,-5.24298,4.5876,-47.84139,5.24295,-313.49037401574805,58.05442913385827
220,-5.89834,4.5876,-5.24299,5.24295,-65.79525590551181,58.05442913385827
240,-5.243,4.58759,-4.58765,5.24294,-58.055019685039376,58.05431102362205
260,-5.243,5.24295,-4.58765,5.24294,-58.055019685039376,61.9245472440945
280,-5.24301,5.24294,-4.58765,5.89829,-58.055078740157484,65.79466535433072
300,-5.24301,5.8983,-4.58766,5.89829,-58.05513779527559,69.66490157480315
320,-5.24302,5.8983,-4.58767,6.55365,-58.055255905511814,73.53513779527559
340,-5.24303,5.8983,-4.58768,6.55366,-58.05537401574803,73.5351968503937
360,-5.24303,6.55366,-5.24303,6.55366,-61.925551181102364,77.40543307086614
380,-5.24303,6.55366,-4.58768,6.55365,-58.05537401574803,77.40537401574804
400,-5.24304,6.55366,-4.58769,7.20901,-58.05549212598426,81.27561023622047
420,-5.24305,7.20901,-4.5877,7.20901,-58.055610236220474,85.14578740157481
440,-5.24306,7.86437,-4.58771,7.86437,-58.0557283464567,92.88625984251969
460,-4.5877,7.86437,-3.93235,7.86436,-50.31525590551181,92.88620078740156
480,-5.24307,7.86436,-3.93236,8.51971,-54.18561023622048,96.75631889763781
500,-4.58771,8.51972,-4.58773,8.51971,-54.185669291338584,100.62655511811023
520,-4.58772,9.17507,-4.58773,9.17507,-54.18572834645669,108.366968503937
540,-5.24309,9.17507,-3.93238,9.17506,-54.18584645669292,108.3669094488189
560,-4.58774,9.83043,-4.58774,9.83042,-54.18590551181103,116.10738188976379
580,-5.2431,9.83043,-4.58775,9.83042,-58.05620078740158,116.10738188976379
600,-5.24311,9.17507,-4.58775,9.83043,-58.05625984251969,112.23720472440947
620,-5.2431,9.83043,-4.58775,9.83042,-58.05620078740158,116.10738188976379
640,-5.24311,10.48579,-4.58776,10.48578,-58.0563188976378,123.84785433070866
660,-5.89848,10.48579,-5.24312,10.48579,-65.7968503937008,123.84791338582677
680,-5.24311,11.14115,-5.24312,11.79651,-61.926555118110244,135.4586220472441
700,-5.89848,11.14116,-5.24312,11.14115,-65.7968503937008,131.58844488188976
720,-5.24312,11.79652,-4.58777,11.79651,-58.05643700787402,139.32891732283466
740,-5.24313,11.79652,-4.58778,12.45187,-58.05655511811023,143.1991535433071
760,-4.58779,12.45188,-3.93244,12.45188,-50.31631889763779,147.06944881889763
780,-4.58781,12.45188,-3.93246,12.45188,-50.31655511811024,147.06944881889763
800,-4.58782,12.45188,-3.93247,12.45188,-50.31667322834645,147.06944881889763
820,-4.58783,12.45189,-3.93246,12.45189,-50.31667322834645,147.06956692913386
840,-4.58782,12.4519,-3.93247,13.10725,-50.31667322834645,150.93986220472442
860,-4.58783,13.10726,-4.58783,13.10725,-54.18696850393701,154.81009842519686
880,-5.24319,13.10726,-4.58783,13.76261,-58.05720472440945,158.6803346456693
900,-4.58782,13.76262,-3.93247,13.76262,-50.31667322834645,162.55062992125985
920,-5.24319,13.76262,-4.58784,13.76261,-58.05726377952756,162.55057086614173
940,-5.24319,13.76262,-5.24319,13.76261,-61.927440944881894,162.55057086614173
960,-5.89854,13.76262,-5.24318,14.41798,-65.79755905511811,166.4208661417323
980,-5.89853,13.76262,-5.89853,13.76261,-69.66767716535433,162.55057086614173
1000,-5.89853,13.10726,-3.27708,14.41797,-54.186673228346464,162.55057086614173
1020,-1.96632,15.7287,-1.96631,15.07333,-23.224192913385828,181.90175196850393
1040,-1.96631,15.07334,-0.65558,15.07333,-15.483602362204724,178.0315157480315
1060,-1.96629,15.07333,-47.8415,14.41797,-294.1404921259842,174.16122047244093
1080,-1.96629,14.41798,-1.31093,14.41797,-19.353661417322833,170.29104330708662
1100,-2.62164,14.41798,-1.96627,14.41798,-27.093956692913387,170.29110236220473
1120,-2.62162,14.41799,-1.96626,13.76262,-27.093779527559057,166.42092519685042
1140,-2.62162,13.10727,-2.62162,13.10726,-30.964015748031496,154.81021653543309
1160,-3.27697,13.10727,-2.62162,12.4519,-34.83419291338583,150.93998031496065
1180,-3.27697,12.45191,-2.62161,11.79654,-34.83413385826772,143.19950787401575
1200,-3.27697,11.79655,-3.27697,11.79654,-38.704370078740155,139.32927165354332
1220,-3.27697,10.48583,-2.62161,10.48582,-34.83413385826772,123.84832677165355
1240,-3.27697,10.48583,-2.62161,10.48582,-34.83413385826772,123.84832677165355
1260,-3.27697,10.48582,-2.62161,9.83044,-34.83413385826772,119.97791338582677
1280,-3.27696,10.48581,-1.96625,9.83044,-30.96383858267717,119.97785433070867
1300,-3.27697,9.83045,-2.62161,9.83044,-34.83413385826772,116.10761811023622
1320,-3.27696,9.17509,-2.6216,8.51972,-34.8340157480315,104.4969094488189
1340,-3.27696,8.51973,-0.000160000000001,9.17507,-19.35307086614174,104.4968503937008
1360,21.62684,7.86435,34.73413,8.51969,332.84037401574807,96.75614173228347
1380,32.76805,7.86434,32.76804,7.86433,387.0241535433071,92.88584645669292
1400,33.42342,7.86434,34.07877,7.86433,398.6349803149606,92.88584645669292
1420,33.42342,7.20897,34.07877,7.20896,398.6349803149606,85.14525590551182
1440,33.42342,6.5536,33.42341,6.5536,394.7647440944882,77.40472440944882
1460,33.42342,6.55361,34.73413,5.89824,402.5052165354331,73.5345472440945
1480,34.07878,5.89824,35.38948,5.89824,410.2456299212599,69.66425196850395
1500,34.07876,5.24288,36.04482,5.24287,414.1156299212599,61.92372047244094
1520,35.38946,5.24287,35.38945,5.24286,417.98568897637796,61.923602362204726
1540,35.38945,5.24286,36.04479,4.58749,421.85574803149603,58.05324803149606
1560,35.38944,5.24286,36.04479,5.24285,421.85568897637796,61.92348425196851
1580,35.38943,5.24286,35.38942,5.24285,417.98533464566935,61.92348425196851
1600,34.73408,5.24285,36.04479,5.24284,417.9854527559055,61.92336614173229
1620,35.38943,5.24285,36.04478,5.24283,421.85557086614176,61.923307086614166
1640,35.38942,5.24283,36.70013,5.24282,425.72568897637797,61.92312992125984
1660,36.04476,5.24283,36.70012,4.58746,429.59574803149604,58.0528937007874
1680,36.70012,4.58747,37.35548,5.24282,437.33622047244097,58.0528937007874
1700,36.70012,4.58747,37.35547,4.58745,437.33616141732284,54.18259842519685
