T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65535,0.0,0.65536,-0.65537,7.7404133858267725,-3.8702952755905513
40,1.31071,-0.65537,0.65536,-0.65538,11.610649606299212,-7.740649606299213
60,1.31072,-0.65537,1.31072,-1.31073,15.480944881889766,-11.610826771653544
80,1.96608,-1.9661,1.96608,-1.9661,23.221417322834647,-23.221653543307088
100,1.96608,-2.62146,1.96609,-1.96611,23.221476377952758,-27.09194881889764
120,2.62144,-1.9661,2.62145,-3.27683,30.96194881889764,-30.96218503937008
140,3.2768,-3.27683,2.62145,-3.9322,34.83218503937008,-42.573011811023626
160,3.27681,-3.9322,3.27681,-4.58756,38.70248031496063,-50.31354330708661
180,3.93217,-4.58756,3.27681,-4.58756,42.572716535433074,-54.183779527559054
200,3.93218,-4.58757,3.27682,-5.24293,42.57283464566929,-58.054133858267726
220,3.93218,-4.58757,3.27683,-5.24294,42.572893700787404,-58.05419291338583
240,3.93219,-5.24293,3.27684,-5.24294,42.573011811023626,-61.92442913385827
260,3.9322,-5.24294,3.27685,-5.8983,42.57312992125985,-65.79472440944882
280,3.9322,-5.24294,3.27686,-5.8983,42.573188976377956,-65.79472440944882
300,3.93222,-6.55366,3.93222,-7.20902,46.443543307086614,-81.27566929133859
320,3.93221,-7.20902,3.93222,-8.51973,46.443484251968506,-92.88631889763779
340,4.58757,-9.83045,4.58757,-10.48579,54.18389763779528,-119.97779527559055
360,5.89828,-10.48578,5.24293,-11.14112,65.7945472440945,-127.71791338582678
380,5.89828,-10.48574,5.89828,-10.48572,69.66472440944882,-123.84720472440945
400,7.20898,-9.17497,5.89826,-7.86426,77.40496062992126,-100.62537401574804
420,6.5536,-5.89816,5.24289,-3.27671,69.66431102362205,-54.182303149606305
440,4.58751,-1.31062,3.93215,0.0001000000000033,50.31295275590551,-7.739291338582658
460,3.27678,1.31082,1.96605,2.62155,30.961594488188975,23.22265748031496
480,1.96604,1.96619,1.31068,1.9662,19.350708661417325,23.22277559055118
500,1.31068,1.31084,0.65531,0.0001200000000025,11.610177165354331,7.741889763779543
520,0.65531,-0.65524,-0.65541,-1.31062,-0.0005905511811029528,-11.609409448818898
540,-5.000000000166e-05,-1.31062,-1.31075,-1.31064,-7.740944881889774,-15.47988188976378
560,-0.6554,-1.31065,-1.31075,-1.31065,-11.611122047244095,-15.480118110236223
580,-1.31075,-1.31066,-1.9661,-1.31067,-19.351476377952757,-15.480295275590551
600,-0.65538,-0.65532,-1.96609,-0.65532,-15.481122047244094,-7.74
620,-0.65537,-0.65533,-1.31072,-1.31069,-11.610767716535433,-11.610354330708663
640,5.24292,12.45192,22.28254,45.22017,162.55192913385827,340.5832086614173
660,40.63283,45.22045,44.56504,45.22052,503.1370275590551,534.100216535433
680,41.28818,45.22052,36.04526,45.22052,456.6935433070866,534.1006299212598
700,30.80234,45.22052,26.2148,45.22052,336.7153937007874,534.1006299212598
720,22.93798,45.22052,19.66118,45.22052,251.56984251968504,534.1006299212598
740,19.00581,45.22052,17.69765,45.22052,216.75271653543308,534.1006299212598
760,17.6951,45.22052,16.38439,45.22052,201.25683070866143,534.1006299212598
780,17.03975,45.22052,17.03976,45.22052,201.25694881889763,534.1006299212598
800,17.03976,45.22052,17.03977,45.22052,201.25706692913388,534.1006299212598
820,17.69513,45.22052,17.03978,45.22052,205.12742125984252,534.1006299212598
840,17.69514,45.22052,17.69515,45.22052,208.99777559055119,534.1006299212598
860,17.69514,45.22052,17.69515,45.22052,208.99777559055119,534.1006299212598
880,18.3505,45.22052,17.69514,45.22052,212.86795275590552,534.1006299212598
900,18.3505,45.22052,18.35051,45.22052,216.73824803149606,534.1006299212598
920,18.3505,45.22052,19.00587,45.22052,220.6084842519685,534.1006299212598
940,19.00587,45.22052,19.00588,45.22052,224.4788385826772,534.1006299212598
960,15.72902,45.22052,14.4183,45.22052,178.03535433070866,534.1006299212598
980,15.07365,45.22052,14.41829,45.22052,174.165,534.1006299212598
1000,15.07364,45.22052,15.07364,45.22052,178.03511811023623,534.1006299212598
1020,15.72899,45.22052,15.72899,45.22052,185.7754724409449,534.1006299212598
1040,17.0397,45.22052,17.03971,45.22052,201.2563582677165,534.1006299212598
1060,17.69506,45.22052,17.69507,45.22052,208.9968307086614,534.1006299212598
1080,18.35044,45.22052,18.35044,45.22052,216.73748031496064,534.1006299212598
1100,19.66115,45.22052,18.35044,45.22052,224.4778937007874,534.1006299212598
1120,18.35044,45.22052,17.03973,45.22052,208.99706692913384,534.1006299212598
1140,16.38437,45.22052,15.07366,45.22052,185.77576771653546,534.1006299212598
1160,15.07365,45.22052,13.10758,45.22052,166.42458661417322,534.1006299212598
1180,13.76293,45.22052,19.00589,45.22052,193.51665354330711,534.1006299212598
1200,32.1133,45.22052,34.07946,45.22052,390.902125984252,534.1006299212598
1220,32.76872,45.22052,30.80263,45.22052,375.4213582677166,534.1006299212598
1240,30.80262,45.22052,29.49191,45.22052,356.0700590551181,534.1006299212598
1260,30.14726,45.22052,29.4919,45.22052,352.19976377952753,534.1006299212598
1280,29.49188,45.22052,28.83652,45.22052,344.45905511811026,534.1006299212598
1300,29.49187,45.22052,28.83651,45.22052,344.45893700787406,534.1006299212598
1320,29.49187,45.22052,28.18116,45.22052,340.58875984251966,534.1006299212598
1340,29.49186,45.22052,28.83651,45.22052,344.4588779527559,534.1006299212598
1360,28.83651,45.22052,28.83651,45.22052,340.5887007874016,534.1006299212598
1380,29.49187,45.22052,29.49188,45.22052,348.3292322834646,534.1006299212598
1400,29.49187,45.22052,29.49188,45.22052,348.3292322834646,534.1006299212598
1420,30.14724,45.22052,29.49189,45.22052,352.19958661417326,534.1006299212598
1440,30.14724,45.22052,30.14725,45.22052,356.0698228346457,534.1006299212598
1460,30.14724,45.22052,30.14726,45.22052,356.0698818897638,534.1006299212598
1480,30.14724,45.22052,29.4919,45.22052,352.19964566929133,534.1006299212598
1500,30.14725,45.22052,29.4919,45.22052,352.19970472440946,534.1006299212598
1520,30.14726,45.22052,29.49191,45.22052,352.19982283464566,534.1006299212598
1540,30.80263,45.22052,30.14728,45.22052,359.9404133858268,534.1006299212598
